# Matrix: invextr1_new
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.01-0.1/invextr1_new.mtx
# Category: 10k-50k-0.01-0.1
# Date: 2026-03-06 02:59:26
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 30412
# Cols: 30412
# NNZ(A): 1793881
# NNZ(C) estimate: 153405595
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.51      7.51      15.06     0.94      24.03        12.77     | 393498   0        0        346106   970      | 1      1380898        10570908     -       
8      8      1      1/8    | 0.50      7.53      15.09     0.92      24.05        12.76     | 393498   0        0        346106   970      | 8      1380898        10570908     -       
8      8      2      2/8    | 0.52      7.64      14.21     0.98      23.36        13.14     | 393498   0        111221   234885   970      | 16     1380898        10570908     -       
8      8      3      3/8    | 0.51      7.62      13.54     0.98      22.66        13.54     | 393498   0        177528   168578   970      | 24     1380898        10570908     -       
8      8      4      4/8    | 0.51      7.53      13.34     0.94      22.33        13.74     | 393498   0        232080   114026   970      | 32     1380898        10570908     -       
8      8      5      5/8    | 0.51      7.49      11.90     0.94      20.85        14.72     | 393498   0        281573   64533    970      | 40     1380898        10570908     -       
8      8      6      6/8    | 0.52      7.65      11.06     0.96      20.21        15.18     | 393498   0        324833   21273    970      | 48     1380898        10570908     -       
8      8      7      7/8    | 0.51      7.58      10.61     0.95      19.66        15.60     | 393498   0        344246   1860     970      | 56     1380898        10570908     -       
8      8      8      8/8    | 0.51      7.51      10.42     0.93      19.37        15.84     | 393498   0        347076   0        0        | 64     1380898        10570908     -       
8      16     0      0/8    | 0.42      6.90      14.61     0.94      22.89        13.40     | 393498   0        0        346106   970      | 1      1678575        10570908     -       
8      16     1      1/8    | 0.43      7.14      14.59     0.97      23.15        13.25     | 393498   0        0        346106   970      | 8      1678575        10570908     -       
8      16     2      2/8    | 0.42      6.96      13.14     0.95      21.50        14.27     | 393498   0        111221   234885   970      | 16     1678575        10570908     -       
8      16     3      3/8    | 0.44      6.96      12.17     0.97      20.55        14.93     | 393498   0        177528   168578   970      | 24     1678575        10570908     -       
8      16     4      4/8    | 0.43      6.98      11.65     0.97      20.05        15.30     | 393498   0        232080   114026   970      | 32     1678575        10570908     -       
8      16     5      5/8    | 0.43      6.90      10.17     0.95      18.46        16.62     | 393498   0        281573   64533    970      | 40     1678575        10570908     -       
8      16     6      6/8    | 0.42      6.95      9.29      0.97      17.65        17.38     | 393498   0        324833   21273    970      | 48     1678575        10570908     -       
8      16     7      7/8    | 0.43      6.92      8.80      0.97      17.14        17.90     | 393498   0        344246   1860     970      | 56     1678575        10570908     -       
8      16     8      8/8    | 0.42      6.86      8.65      0.93      16.88        18.17     | 393498   0        347076   0        0        | 64     1678575        10570908     -       
8      32     0      0/8    | 0.38      7.31      20.15     0.97      28.82        10.65     | 393498   0        0        346106   970      | 1      2224363        10570908     -       
8      32     1      1/8    | 0.40      7.67      20.16     1.07      29.33        10.46     | 393498   0        0        346106   970      | 8      2224363        10570908     -       
8      32     2      2/8    | 0.39      7.40      16.74     0.98      25.53        12.02     | 393498   0        111221   234885   970      | 16     2224363        10570908     -       
8      32     3      3/8    | 0.40      7.60      14.52     1.05      23.59        13.01     | 393498   0        177528   168578   970      | 24     2224363        10570908     -       
8      32     4      4/8    | 0.39      7.63      12.47     1.06      21.58        14.22     | 393498   0        232080   114026   970      | 32     2224363        10570908     -       
8      32     5      5/8    | 0.39      7.41      10.55     0.97      19.34        15.86     | 393498   0        281573   64533    970      | 40     2224363        10570908     -       
8      32     6      6/8    | 0.38      7.29      8.94      0.95      17.57        17.46     | 393498   0        324833   21273    970      | 48     2224363        10570908     -       
8      32     7      7/8    | 0.39      7.47      8.27      1.00      17.15        17.89     | 393498   0        344246   1860     970      | 56     2224363        10570908     -       
8      32     8      8/8    | 0.39      7.43      8.00      0.99      16.82        18.24     | 393498   0        347076   0        0        | 64     2224363        10570908     -       
16     8      0      0/8    | 0.48      4.40      12.66     0.93      18.48        16.60     | 188030   0        0        94962    92       | 1      488508         10570908     -       
16     8      1      1/8    | 0.47      4.31      12.67     0.93      18.39        16.68     | 188030   0        0        94962    92       | 32     488508         10570908     -       
16     8      2      2/8    | 0.47      4.33      11.56     0.91      17.29        17.75     | 188030   0        36611    58351    92       | 64     488508         10570908     -       
16     8      3      3/8    | 0.47      4.46      10.79     0.92      16.65        18.42     | 188030   0        56292    38670    92       | 96     488508         10570908     -       
16     8      4      4/8    | 0.47      4.41      10.04     0.95      15.89        19.30     | 188030   0        73662    21300    92       | 128    488508         10570908     -       
16     8      5      5/8    | 0.46      4.34      9.29      0.91      15.03        20.42     | 188030   0        87726    7236     92       | 160    488508         10570908     -       
16     8      6      6/8    | 0.47      4.28      8.90      0.92      14.59        21.03     | 188030   0        93572    1390     92       | 192    488508         10570908     -       
16     8      7      7/8    | 0.46      4.36      8.99      0.95      14.77        20.77     | 188030   0        94781    181      92       | 224    488508         10570908     -       
16     8      8      8/8    | 0.47      4.36      9.02      0.93      14.79        20.75     | 188030   0        95054    0        0        | 256    488508         10570908     -       
16     16     0      0/8    | 0.34      3.46      10.88     0.89      15.58        19.69     | 188030   0        0        94962    92       | 1      574893         10570908     -       
16     16     1      1/8    | 0.36      3.44      10.89     0.90      15.61        19.66     | 188030   0        0        94962    92       | 32     574893         10570908     -       
16     16     2      2/8    | 0.35      3.49      9.76      0.90      14.51        21.14     | 188030   0        36611    58351    92       | 64     574893         10570908     -       
16     16     3      3/8    | 0.35      3.53      9.01      0.89      13.80        22.24     | 188030   0        56292    38670    92       | 96     574893         10570908     -       
16     16     4      4/8    | 0.35      3.53      8.34      0.92      13.15        23.33     | 188030   0        73662    21300    92       | 128    574893         10570908     -       
16     16     5      5/8    | 0.35      3.51      7.76      0.90      12.54        24.47     | 188030   0        87726    7236     92       | 160    574893         10570908     -       
16     16     6      6/8    | 0.35      3.54      7.53      0.88      12.30        24.94     | 188030   0        93572    1390     92       | 192    574893         10570908     -       
16     16     7      7/8    | 0.35      3.48      7.64      0.85      12.34        24.87     | 188030   0        94781    181      92       | 224    574893         10570908     -       
16     16     8      8/8    | 0.35      3.56      7.25      0.91      12.09        25.37     | 188030   0        95054    0        0        | 256    574893         10570908     -       
16     32     0      0/8    | 0.28      3.23      14.16     0.91      18.59        16.51     | 188030   0        0        94962    92       | 1      738373         10570908     -       
16     32     1      1/8    | 0.28      3.23      14.15     0.88      18.55        16.54     | 188030   0        0        94962    92       | 32     738373         10570908     -       
16     32     2      2/8    | 0.27      3.25      11.24     0.93      15.70        19.54     | 188030   0        36611    58351    92       | 64     738373         10570908     -       
16     32     3      3/8    | 0.28      3.23      9.64      0.88      14.04        21.85     | 188030   0        56292    38670    92       | 96     738373         10570908     -       
16     32     4      4/8    | 0.28      3.25      8.14      0.88      12.57        24.42     | 188030   0        73662    21300    92       | 128    738373         10570908     -       
16     32     5      5/8    | 0.28      3.26      7.03      0.90      11.48        26.74     | 188030   0        87726    7236     92       | 160    738373         10570908     -       
16     32     6      6/8    | 0.27      3.22      6.79      0.91      11.20        27.40     | 188030   0        93572    1390     92       | 192    738373         10570908     -       
16     32     7      7/8    | 0.27      3.22      6.83      0.89      11.22        27.34     | 188030   0        94781    181      92       | 224    738373         10570908     -       
16     32     8      8/8    | 0.28      3.27      6.39      0.93      10.89        28.16     | 188030   0        95054    0        0        | 256    738373         10570908     -       
32     8      0      0/8    | 0.48      2.92      12.41     0.69      16.51        18.58     | 81272    0        0        25415    0        | 1      177377         10570908     -       
32     8      1      1/8    | 0.48      2.89      12.39     0.63      16.41        18.70     | 81272    0        0        25415    0        | 128    177377         10570908     -       
32     8      2      2/8    | 0.49      2.91      10.70     0.64      14.75        20.80     | 81272    0        11088    14327    0        | 256    177377         10570908     -       
32     8      3      3/8    | 0.47      2.88      9.61      0.64      13.61        22.54     | 81272    0        18598    6817     0        | 384    177377         10570908     -       
32     8      4      4/8    | 0.47      2.77      9.17      0.61      13.04        23.52     | 81272    0        22368    3047     0        | 512    177377         10570908     -       
32     8      5      5/8    | 0.48      2.93      9.03      0.64      13.09        23.44     | 81272    0        24789    626      0        | 640    177377         10570908     -       
32     8      6      6/8    | 0.48      3.03      9.15      0.63      13.31        23.06     | 81272    0        25261    154      0        | 768    177377         10570908     -       
32     8      7      7/8    | 0.48      2.96      9.18      0.63      13.26        23.14     | 81272    0        25390    25       0        | 896    177377         10570908     -       
32     8      8      8/8    | 0.48      2.87      9.02      0.63      13.02        23.56     | 81272    0        25415    0        0        | 1024   177377         10570908     -       
32     16     0      0/8    | 0.32      2.22      12.42     0.62      15.60        19.67     | 81272    0        0        25415    0        | 1      202624         10570908     -       
32     16     1      1/8    | 0.34      2.20      12.54     0.64      15.75        19.48     | 81272    0        0        25415    0        | 128    202624         10570908     -       
32     16     2      2/8    | 0.33      2.13      10.25     0.62      13.33        23.01     | 81272    0        11088    14327    0        | 256    202624         10570908     -       
32     16     3      3/8    | 0.34      2.30      8.73      0.69      12.07        25.42     | 81272    0        18598    6817     0        | 384    202624         10570908     -       
32     16     4      4/8    | 0.33      2.19      7.98      0.62      11.14        27.54     | 81272    0        22368    3047     0        | 512    202624         10570908     -       
32     16     5      5/8    | 0.33      2.19      7.65      0.65      10.83        28.33     | 81272    0        24789    626      0        | 640    202624         10570908     -       
32     16     6      6/8    | 0.33      2.20      7.71      0.62      10.87        28.22     | 81272    0        25261    154      0        | 768    202624         10570908     -       
32     16     7      7/8    | 0.34      2.12      7.83      0.68      11.00        27.90     | 81272    0        25390    25       0        | 896    202624         10570908     -       
32     16     8      8/8    | 0.34      2.14      7.83      0.64      10.97        27.96     | 81272    0        25415    0        0        | 1024   202624         10570908     -       
32     32     0      0/8    | 0.25      1.73      13.55     0.71      16.26        18.87     | 81272    0        0        25415    0        | 1      249241         10570908     -       
32     32     1      1/8    | 0.24      1.68      13.61     0.70      16.24        18.89     | 81272    0        0        25415    0        | 128    249241         10570908     -       
32     32     2      2/8    | 0.25      1.73      10.54     0.69      13.22        23.22     | 81272    0        11088    14327    0        | 256    249241         10570908     -       
32     32     3      3/8    | 0.25      1.78      8.50      0.71      11.26        27.25     | 81272    0        18598    6817     0        | 384    249241         10570908     -       
32     32     4      4/8    | 0.24      1.76      7.37      0.70      10.09        30.42     | 81272    0        22368    3047     0        | 512    249241         10570908     -       
32     32     5      5/8    | 0.25      1.71      6.70      0.70      9.37         32.76     | 81272    0        24789    626      0        | 640    249241         10570908     -       
32     32     6      6/8    | 0.25      1.70      6.76      0.71      9.44         32.50     | 81272    0        25261    154      0        | 768    249241         10570908     -       
32     32     7      7/8    | 0.27      1.74      6.80      0.80      9.62         31.90     | 81272    0        25390    25       0        | 896    249241         10570908     -       
32     32     8      8/8    | 0.25      1.73      6.87      0.71      9.57         32.05     | 81272    0        25415    0        0        | 1024   249241         10570908     -       
