# Matrix: kim1
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.01-0.1/kim1.mtx
# Category: 10k-50k-0.01-0.1
# Date: 2026-03-06 03:03:14
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 38415
# Cols: 38415
# NNZ(A): 933195
# NNZ(C) estimate: 22971447
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.10      0.50      0.66      0.53      1.81         25.41     | 28469    0        0        89048    0        | 1      156075         3003795      -       
8      8      1      1/8    | 0.10      0.52      0.66      0.54      1.84         25.00     | 28469    0        0        89048    0        | 8      156075         3003795      -       
8      8      2      2/8    | 0.11      0.49      0.67      0.51      1.79         25.62     | 28469    0        19056    69992    0        | 16     156075         3003795      -       
8      8      3      3/8    | 0.10      0.52      0.67      0.50      1.80         25.57     | 28469    0        28854    60194    0        | 24     156075         3003795      -       
8      8      4      4/8    | 0.10      0.53      0.69      0.51      1.85         24.85     | 28469    0        38916    50132    0        | 32     156075         3003795      -       
8      8      5      5/8    | 0.12      0.53      0.66      0.54      1.87         24.62     | 28469    0        57301    31747    0        | 40     156075         3003795      -       
8      8      6      6/8    | 0.10      0.55      0.65      0.52      1.84         25.00     | 28469    0        75584    13464    0        | 48     156075         3003795      -       
8      8      7      7/8    | 0.12      0.54      0.60      0.56      1.84         24.97     | 28469    0        89048    0        0        | 56     156075         3003795      -       
8      8      8      8/8    | 0.11      0.53      0.60      0.53      1.78         25.84     | 28469    0        89048    0        0        | 64     156075         3003795      -       
8      16     0      0/8    | 0.12      0.69      0.76      0.66      2.24         20.52     | 28469    0        0        89048    0        | 1      208134         3003795      -       
8      16     1      1/8    | 0.11      0.71      0.76      0.66      2.24         20.49     | 28469    0        0        89048    0        | 8      208134         3003795      -       
8      16     2      2/8    | 0.10      0.64      0.73      0.63      2.12         21.69     | 28469    0        19056    69992    0        | 16     208134         3003795      -       
8      16     3      3/8    | 0.12      0.67      0.73      0.63      2.17         21.21     | 28469    0        28854    60194    0        | 24     208134         3003795      -       
8      16     4      4/8    | 0.11      0.69      0.74      0.65      2.21         20.77     | 28469    0        38916    50132    0        | 32     208134         3003795      -       
8      16     5      5/8    | 0.10      0.69      0.70      0.62      2.13         21.56     | 28469    0        57301    31747    0        | 40     208134         3003795      -       
8      16     6      6/8    | 0.10      0.66      0.66      0.63      2.06         22.25     | 28469    0        75584    13464    0        | 48     208134         3003795      -       
8      16     7      7/8    | 0.12      0.67      0.59      0.65      2.04         22.48     | 28469    0        89048    0        0        | 56     208134         3003795      -       
8      16     8      8/8    | 0.11      0.67      0.59      0.62      2.01         22.89     | 28469    0        89048    0        0        | 64     208134         3003795      -       
8      32     0      0/8    | 0.10      0.89      1.27      0.81      3.07         14.97     | 28469    0        0        89048    0        | 1      298058         3003795      -       
8      32     1      1/8    | 0.10      0.92      1.27      0.80      3.11         14.77     | 28469    0        0        89048    0        | 8      298058         3003795      -       
8      32     2      2/8    | 0.13      0.93      1.18      0.84      3.10         14.81     | 28469    0        19056    69992    0        | 16     298058         3003795      -       
8      32     3      3/8    | 0.12      0.94      1.15      0.84      3.06         15.03     | 28469    0        28854    60194    0        | 24     298058         3003795      -       
8      32     4      4/8    | 0.10      0.90      1.07      0.81      2.90         15.86     | 28469    0        38916    50132    0        | 32     298058         3003795      -       
8      32     5      5/8    | 0.12      0.94      1.05      0.86      2.98         15.41     | 28469    0        57301    31747    0        | 40     298058         3003795      -       
8      32     6      6/8    | 0.12      0.92      0.90      0.83      2.79         16.47     | 28469    0        75584    13464    0        | 48     298058         3003795      -       
8      32     7      7/8    | 0.12      0.94      0.68      0.83      2.58         17.79     | 28469    0        89048    0        0        | 56     298058         3003795      -       
8      32     8      8/8    | 0.11      0.89      0.68      0.79      2.48         18.50     | 28469    0        89048    0        0        | 64     298058         3003795      -       
16     8      0      0/8    | 0.10      0.24      0.68      0.45      1.47         31.17     | 14352    0        0        35167    0        | 1      54445          3003795      -       
16     8      1      1/8    | 0.09      0.24      0.68      0.44      1.46         31.40     | 14352    0        0        35167    0        | 32     54445          3003795      -       
16     8      2      2/8    | 0.10      0.24      0.65      0.46      1.46         31.47     | 14352    0        14145    21022    0        | 64     54445          3003795      -       
16     8      3      3/8    | 0.11      0.26      0.60      0.46      1.44         31.90     | 14352    0        24034    11133    0        | 96     54445          3003795      -       
16     8      4      4/8    | 0.10      0.25      0.53      0.47      1.36         33.73     | 14352    0        35167    0        0        | 128    54445          3003795      -       
16     8      5      5/8    | 0.09      0.24      0.53      0.45      1.32         34.70     | 14352    0        35167    0        0        | 160    54445          3003795      -       
16     8      6      6/8    | 0.11      0.25      0.53      0.50      1.41         32.61     | 14352    0        35167    0        0        | 192    54445          3003795      -       
16     8      7      7/8    | 0.10      0.24      0.53      0.46      1.35         34.11     | 14352    0        35167    0        0        | 224    54445          3003795      -       
16     8      8      8/8    | 0.11      0.25      0.53      0.46      1.36         33.86     | 14352    0        35167    0        0        | 256    54445          3003795      -       
16     16     0      0/8    | 0.11      0.30      0.70      0.47      1.58         29.00     | 14352    0        0        35167    0        | 1      78107          3003795      -       
16     16     1      1/8    | 0.10      0.29      0.70      0.46      1.57         29.23     | 14352    0        0        35167    0        | 32     78107          3003795      -       
16     16     2      2/8    | 0.10      0.30      0.66      0.45      1.52         30.19     | 14352    0        14145    21022    0        | 64     78107          3003795      -       
16     16     3      3/8    | 0.10      0.31      0.60      0.47      1.50         30.69     | 14352    0        24034    11133    0        | 96     78107          3003795      -       
16     16     4      4/8    | 0.10      0.29      0.50      0.47      1.38         33.41     | 14352    0        35167    0        0        | 128    78107          3003795      -       
16     16     5      5/8    | 0.11      0.29      0.50      0.45      1.36         33.68     | 14352    0        35167    0        0        | 160    78107          3003795      -       
16     16     6      6/8    | 0.11      0.29      0.49      0.45      1.36         33.86     | 14352    0        35167    0        0        | 192    78107          3003795      -       
16     16     7      7/8    | 0.11      0.30      0.49      0.45      1.36         33.81     | 14352    0        35167    0        0        | 224    78107          3003795      -       
16     16     8      8/8    | 0.10      0.30      0.49      0.45      1.35         34.01     | 14352    0        35167    0        0        | 256    78107          3003795      -       
16     32     0      0/8    | 0.11      0.36      1.20      0.49      2.18         21.07     | 14352    0        0        35167    0        | 1      104135         3003795      -       
16     32     1      1/8    | 0.10      0.38      1.21      0.48      2.18         21.09     | 14352    0        0        35167    0        | 32     104135         3003795      -       
16     32     2      2/8    | 0.09      0.35      1.05      0.47      1.98         23.24     | 14352    0        14145    21022    0        | 64     104135         3003795      -       
16     32     3      3/8    | 0.10      0.36      0.89      0.45      1.81         25.37     | 14352    0        24034    11133    0        | 96     104135         3003795      -       
16     32     4      4/8    | 0.12      0.39      0.48      0.52      1.52         30.13     | 14352    0        35167    0        0        | 128    104135         3003795      -       
16     32     5      5/8    | 0.10      0.37      0.48      0.46      1.43         32.11     | 14352    0        35167    0        0        | 160    104135         3003795      -       
16     32     6      6/8    | 0.09      0.35      0.48      0.47      1.41         32.58     | 14352    0        35167    0        0        | 192    104135         3003795      -       
16     32     7      7/8    | 0.09      0.35      0.48      0.47      1.40         32.75     | 14352    0        35167    0        0        | 224    104135         3003795      -       
16     32     8      8/8    | 0.09      0.35      0.48      0.46      1.40         32.91     | 14352    0        35167    0        0        | 256    104135         3003795      -       
32     8      0      0/8    | 0.09      0.24      1.41      0.39      2.15         21.42     | 14122    0        0        10642    0        | 1      27227          3003795      -       
32     8      1      1/8    | 0.10      0.24      1.42      0.39      2.16         21.29     | 14122    0        0        10642    0        | 128    27227          3003795      -       
32     8      2      2/8    | 0.09      0.26      1.04      0.39      1.78         25.74     | 14122    0        7699     2943     0        | 256    27227          3003795      -       
32     8      3      3/8    | 0.09      0.26      0.59      0.40      1.35         33.98     | 14122    0        10642    0        0        | 384    27227          3003795      -       
32     8      4      4/8    | 0.09      0.26      0.59      0.40      1.35         33.93     | 14122    0        10642    0        0        | 512    27227          3003795      -       
32     8      5      5/8    | 0.10      0.24      0.59      0.37      1.31         34.94     | 14122    0        10642    0        0        | 640    27227          3003795      -       
32     8      6      6/8    | 0.10      0.26      0.59      0.38      1.34         34.34     | 14122    0        10642    0        0        | 768    27227          3003795      -       
32     8      7      7/8    | 0.09      0.26      0.59      0.39      1.33         34.41     | 14122    0        10642    0        0        | 896    27227          3003795      -       
32     8      8      8/8    | 0.09      0.24      0.59      0.37      1.31         35.07     | 14122    0        10642    0        0        | 1024   27227          3003795      -       
32     16     0      0/8    | 0.08      0.23      1.47      0.38      2.17         21.18     | 14122    0        0        10642    0        | 1      27242          3003795      -       
32     16     1      1/8    | 0.09      0.23      1.48      0.40      2.21         20.77     | 14122    0        0        10642    0        | 128    27242          3003795      -       
32     16     2      2/8    | 0.09      0.23      1.08      0.41      1.81         25.31     | 14122    0        7699     2943     0        | 256    27242          3003795      -       
32     16     3      3/8    | 0.09      0.22      0.50      0.39      1.22         37.60     | 14122    0        10642    0        0        | 384    27242          3003795      -       
32     16     4      4/8    | 0.11      0.24      0.50      0.42      1.28         35.81     | 14122    0        10642    0        0        | 512    27242          3003795      -       
32     16     5      5/8    | 0.10      0.23      0.50      0.41      1.25         36.72     | 14122    0        10642    0        0        | 640    27242          3003795      -       
32     16     6      6/8    | 0.10      0.23      0.50      0.40      1.24         37.20     | 14122    0        10642    0        0        | 768    27242          3003795      -       
32     16     7      7/8    | 0.10      0.23      0.50      0.40      1.25         36.87     | 14122    0        10642    0        0        | 896    27242          3003795      -       
32     16     8      8/8    | 0.10      0.24      0.50      0.43      1.29         35.64     | 14122    0        10642    0        0        | 1024   27242          3003795      -       
32     32     0      0/8    | 0.09      0.22      1.33      0.43      2.08         22.14     | 14122    0        0        10642    0        | 1      39059          3003795      -       
32     32     1      1/8    | 0.10      0.21      1.33      0.42      2.07         22.21     | 14122    0        0        10642    0        | 128    39059          3003795      -       
32     32     2      2/8    | 0.10      0.20      0.97      0.43      1.72         26.76     | 14122    0        7699     2943     0        | 256    39059          3003795      -       
32     32     3      3/8    | 0.10      0.21      0.48      0.42      1.22         37.63     | 14122    0        10642    0        0        | 384    39059          3003795      -       
32     32     4      4/8    | 0.10      0.21      0.48      0.42      1.22         37.60     | 14122    0        10642    0        0        | 512    39059          3003795      -       
32     32     5      5/8    | 0.09      0.22      0.48      0.43      1.23         37.32     | 14122    0        10642    0        0        | 640    39059          3003795      -       
32     32     6      6/8    | 0.09      0.20      0.48      0.42      1.19         38.61     | 14122    0        10642    0        0        | 768    39059          3003795      -       
32     32     7      7/8    | 0.11      0.22      0.48      0.43      1.25         36.81     | 14122    0        10642    0        0        | 896    39059          3003795      -       
32     32     8      8/8    | 0.09      0.21      0.48      0.43      1.22         37.54     | 14122    0        10642    0        0        | 1024   39059          3003795      -       
