# Matrix: lhr17c
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.01-0.1/lhr17c.mtx
# Category: 10k-50k-0.01-0.1
# Date: 2026-03-06 03:05:35
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 17576
# Cols: 17576
# NNZ(A): 381975
# NNZ(C) estimate: 8322403
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.10      0.33      0.30      0.38      1.13         14.74     | 23051    0        0        56796    4048     | 1      95419          2061055      -       
8      8      1      1/8    | 0.10      0.34      0.30      0.41      1.16         14.39     | 23051    0        0        56796    4048     | 8      95419          2061055      -       
8      8      2      2/8    | 0.09      0.33      0.29      0.39      1.10         15.12     | 23051    0        10718    46078    4048     | 16     95419          2061055      -       
8      8      3      3/8    | 0.09      0.33      0.28      0.39      1.09         15.20     | 23051    0        19822    36974    4048     | 24     95419          2061055      -       
8      8      4      4/8    | 0.09      0.34      0.28      0.39      1.10         15.10     | 23051    0        36755    20041    4048     | 32     95419          2061055      -       
8      8      5      5/8    | 0.09      0.33      0.25      0.40      1.08         15.38     | 23051    0        48455    8341     4048     | 40     95419          2061055      -       
8      8      6      6/8    | 0.10      0.35      0.27      0.42      1.15         14.50     | 23051    0        53280    3516     4048     | 48     95419          2061055      -       
8      8      7      7/8    | 0.10      0.33      0.28      0.41      1.12         14.86     | 23051    0        56287    509      4048     | 56     95419          2061055      -       
8      8      8      8/8    | 0.09      0.35      0.31      0.39      1.15         14.47     | 23051    0        60844    0        0        | 64     95419          2061055      -       
8      16     0      0/8    | 0.09      0.37      0.31      0.43      1.21         13.80     | 23051    0        0        56796    4048     | 1      106836         2061055      -       
8      16     1      1/8    | 0.08      0.36      0.31      0.43      1.20         13.87     | 23051    0        0        56796    4048     | 8      106836         2061055      -       
8      16     2      2/8    | 0.09      0.36      0.30      0.43      1.19         14.05     | 23051    0        10718    46078    4048     | 16     106836         2061055      -       
8      16     3      3/8    | 0.10      0.37      0.28      0.46      1.23         13.49     | 23051    0        19822    36974    4048     | 24     106836         2061055      -       
8      16     4      4/8    | 0.10      0.37      0.28      0.45      1.20         13.85     | 23051    0        36755    20041    4048     | 32     106836         2061055      -       
8      16     5      5/8    | 0.09      0.36      0.25      0.43      1.13         14.73     | 23051    0        48455    8341     4048     | 40     106836         2061055      -       
8      16     6      6/8    | 0.09      0.36      0.26      0.44      1.15         14.46     | 23051    0        53280    3516     4048     | 48     106836         2061055      -       
8      16     7      7/8    | 0.11      0.39      0.27      0.47      1.25         13.37     | 23051    0        56287    509      4048     | 56     106836         2061055      -       
8      16     8      8/8    | 0.10      0.41      0.29      0.45      1.27         13.12     | 23051    0        60844    0        0        | 64     106836         2061055      -       
8      32     0      0/8    | 0.11      0.48      0.45      0.55      1.60         10.38     | 23051    0        0        56796    4048     | 1      124642         2061055      -       
8      32     1      1/8    | 0.11      0.43      0.45      0.45      1.45         11.49     | 23051    0        0        56796    4048     | 8      124642         2061055      -       
8      32     2      2/8    | 0.10      0.44      0.41      0.45      1.41         11.83     | 23051    0        10718    46078    4048     | 16     124642         2061055      -       
8      32     3      3/8    | 0.11      0.45      0.39      0.47      1.42         11.71     | 23051    0        19822    36974    4048     | 24     124642         2061055      -       
8      32     4      4/8    | 0.10      0.42      0.34      0.45      1.32         12.59     | 23051    0        36755    20041    4048     | 32     124642         2061055      -       
8      32     5      5/8    | 0.11      0.42      0.31      0.43      1.28         13.03     | 23051    0        48455    8341     4048     | 40     124642         2061055      -       
8      32     6      6/8    | 0.10      0.43      0.32      0.45      1.30         12.79     | 23051    0        53280    3516     4048     | 48     124642         2061055      -       
8      32     7      7/8    | 0.09      0.43      0.32      0.44      1.30         12.81     | 23051    0        56287    509      4048     | 56     124642         2061055      -       
8      32     8      8/8    | 0.08      0.42      0.33      0.45      1.29         12.91     | 23051    0        60844    0        0        | 64     124642         2061055      -       
16     8      0      0/8    | 0.11      0.21      0.24      0.34      0.92         18.19     | 12641    0        0        16646    571      | 1      32747          2061055      -       
16     8      1      1/8    | 0.10      0.20      0.24      0.35      0.90         18.49     | 12641    0        0        16646    571      | 32     32747          2061055      -       
16     8      2      2/8    | 0.10      0.21      0.22      0.33      0.86         19.29     | 12641    0        4299     12347    571      | 64     32747          2061055      -       
16     8      3      3/8    | 0.09      0.21      0.21      0.32      0.84         19.91     | 12641    0        7746     8900     571      | 96     32747          2061055      -       
16     8      4      4/8    | 0.09      0.20      0.22      0.33      0.84         19.84     | 12641    0        11291    5355     571      | 128    32747          2061055      -       
16     8      5      5/8    | 0.09      0.20      0.22      0.33      0.85         19.67     | 12641    0        14511    2135     571      | 160    32747          2061055      -       
16     8      6      6/8    | 0.09      0.20      0.30      0.31      0.92         18.11     | 12641    0        15569    1077     571      | 192    32747          2061055      -       
16     8      7      7/8    | 0.09      0.19      0.32      0.34      0.95         17.58     | 12641    0        16384    262      571      | 224    32747          2061055      -       
16     8      8      8/8    | 0.11      0.21      0.34      0.36      1.03         16.14     | 12641    0        17217    0        0        | 256    32747          2061055      -       
16     16     0      0/8    | 0.10      0.19      0.23      0.31      0.84         19.74     | 12641    0        0        16646    571      | 1      35480          2061055      -       
16     16     1      1/8    | 0.09      0.19      0.24      0.35      0.89         18.74     | 12641    0        0        16646    571      | 32     35480          2061055      -       
16     16     2      2/8    | 0.10      0.20      0.22      0.34      0.87         19.22     | 12641    0        4299     12347    571      | 64     35480          2061055      -       
16     16     3      3/8    | 0.09      0.20      0.22      0.33      0.85         19.56     | 12641    0        7746     8900     571      | 96     35480          2061055      -       
16     16     4      4/8    | 0.10      0.20      0.23      0.35      0.88         18.96     | 12641    0        11291    5355     571      | 128    35480          2061055      -       
16     16     5      5/8    | 0.09      0.18      0.24      0.31      0.83         20.08     | 12641    0        14511    2135     571      | 160    35480          2061055      -       
16     16     6      6/8    | 0.10      0.21      0.31      0.35      0.98         16.95     | 12641    0        15569    1077     571      | 192    35480          2061055      -       
16     16     7      7/8    | 0.09      0.19      0.34      0.33      0.96         17.34     | 12641    0        16384    262      571      | 224    35480          2061055      -       
16     16     8      8/8    | 0.09      0.20      0.36      0.34      1.00         16.68     | 12641    0        17217    0        0        | 256    35480          2061055      -       
16     32     0      0/8    | 0.10      0.20      0.36      0.39      1.06         15.76     | 12641    0        0        16646    571      | 1      40062          2061055      -       
16     32     1      1/8    | 0.08      0.19      0.35      0.37      1.00         16.58     | 12641    0        0        16646    571      | 32     40062          2061055      -       
16     32     2      2/8    | 0.09      0.19      0.31      0.36      0.96         17.27     | 12641    0        4299     12347    571      | 64     40062          2061055      -       
16     32     3      3/8    | 0.10      0.20      0.29      0.41      1.01         16.41     | 12641    0        7746     8900     571      | 96     40062          2061055      -       
16     32     4      4/8    | 0.09      0.20      0.29      0.40      0.99         16.76     | 12641    0        11291    5355     571      | 128    40062          2061055      -       
16     32     5      5/8    | 0.10      0.20      0.29      0.39      0.99         16.81     | 12641    0        14511    2135     571      | 160    40062          2061055      -       
16     32     6      6/8    | 0.10      0.20      0.32      0.42      1.05         15.81     | 12641    0        15569    1077     571      | 192    40062          2061055      -       
16     32     7      7/8    | 0.09      0.20      0.35      0.38      1.03         16.13     | 12641    0        16384    262      571      | 224    40062          2061055      -       
16     32     8      8/8    | 0.08      0.19      0.37      0.37      1.02         16.33     | 12641    0        17217    0        0        | 256    40062          2061055      -       
32     8      0      0/8    | 0.11      0.20      0.40      0.34      1.07         15.61     | 6659     0        0        4953     0        | 1      12340          2061055      -       
32     8      1      1/8    | 0.10      0.19      0.40      0.33      1.03         16.19     | 6659     0        0        4953     0        | 128    12340          2061055      -       
32     8      2      2/8    | 0.10      0.20      0.38      0.33      1.01         16.41     | 6659     0        1749     3204     0        | 256    12340          2061055      -       
32     8      3      3/8    | 0.09      0.20      0.38      0.32      1.00         16.68     | 6659     0        3008     1945     0        | 384    12340          2061055      -       
32     8      4      4/8    | 0.10      0.21      0.41      0.32      1.04         16.07     | 6659     0        3950     1003     0        | 512    12340          2061055      -       
32     8      5      5/8    | 0.11      0.20      0.54      0.33      1.19         13.99     | 6659     0        4483     470      0        | 640    12340          2061055      -       
32     8      6      6/8    | 0.10      0.21      0.66      0.33      1.31         12.74     | 6659     0        4764     189      0        | 768    12340          2061055      -       
32     8      7      7/8    | 0.09      0.21      0.68      0.34      1.33         12.47     | 6659     0        4876     77       0        | 896    12340          2061055      -       
32     8      8      8/8    | 0.10      0.21      0.74      0.34      1.40         11.86     | 6659     0        4953     0        0        | 1024   12340          2061055      -       
32     16     0      0/8    | 0.10      0.16      0.43      0.31      1.01         16.43     | 6659     0        0        4953     0        | 1      13100          2061055      -       
32     16     1      1/8    | 0.10      0.16      0.42      0.32      1.01         16.43     | 6659     0        0        4953     0        | 128    13100          2061055      -       
32     16     2      2/8    | 0.10      0.17      0.37      0.33      0.98         16.98     | 6659     0        1749     3204     0        | 256    13100          2061055      -       
32     16     3      3/8    | 0.10      0.17      0.37      0.33      0.99         16.88     | 6659     0        3008     1945     0        | 384    13100          2061055      -       
32     16     4      4/8    | 0.09      0.17      0.40      0.32      0.99         16.75     | 6659     0        3950     1003     0        | 512    13100          2061055      -       
32     16     5      5/8    | 0.10      0.18      0.52      0.36      1.18         14.08     | 6659     0        4483     470      0        | 640    13100          2061055      -       
32     16     6      6/8    | 0.10      0.18      0.69      0.33      1.29         12.86     | 6659     0        4764     189      0        | 768    13100          2061055      -       
32     16     7      7/8    | 0.09      0.17      0.73      0.33      1.34         12.44     | 6659     0        4876     77       0        | 896    13100          2061055      -       
32     16     8      8/8    | 0.09      0.16      0.75      0.31      1.31         12.71     | 6659     0        4953     0        0        | 1024   13100          2061055      -       
32     32     0      0/8    | 0.11      0.15      0.37      0.36      1.00         16.61     | 6659     0        0        4953     0        | 1      14496          2061055      -       
32     32     1      1/8    | 0.10      0.15      0.38      0.33      0.98         17.02     | 6659     0        0        4953     0        | 128    14496          2061055      -       
32     32     2      2/8    | 0.09      0.15      0.34      0.33      0.93         17.96     | 6659     0        1749     3204     0        | 256    14496          2061055      -       
32     32     3      3/8    | 0.10      0.15      0.35      0.33      0.94         17.78     | 6659     0        3008     1945     0        | 384    14496          2061055      -       
32     32     4      4/8    | 0.10      0.16      0.39      0.34      1.00         16.68     | 6659     0        3950     1003     0        | 512    14496          2061055      -       
32     32     5      5/8    | 0.09      0.15      0.49      0.33      1.07         15.57     | 6659     0        4483     470      0        | 640    14496          2061055      -       
32     32     6      6/8    | 0.11      0.16      0.71      0.34      1.32         12.64     | 6659     0        4764     189      0        | 768    14496          2061055      -       
32     32     7      7/8    | 0.10      0.16      0.73      0.33      1.32         12.57     | 6659     0        4876     77       0        | 896    14496          2061055      -       
32     32     8      8/8    | 0.09      0.15      0.72      0.33      1.30         12.81     | 6659     0        4953     0        0        | 1024   14496          2061055      -       
