# Matrix: lhr34
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.01-0.1/lhr34.mtx
# Category: 10k-50k-0.01-0.1
# Date: 2026-03-06 03:08:25
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 35152
# Cols: 35152
# NNZ(A): 764014
# NNZ(C) estimate: 16647454
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.10      0.62      0.65      0.57      1.96         17.02     | 46209    0        0        113687   8096     | 1      191092         4124758      -       
8      8      1      1/8    | 0.10      0.61      0.65      0.56      1.93         17.24     | 46209    0        0        113687   8096     | 8      191092         4124758      -       
8      8      2      2/8    | 0.11      0.63      0.63      0.57      1.96         17.02     | 46209    0        21472    92215    8096     | 16     191092         4124758      -       
8      8      3      3/8    | 0.10      0.61      0.62      0.55      1.90         17.54     | 46209    0        39704    73983    8096     | 24     191092         4124758      -       
8      8      4      4/8    | 0.13      0.62      0.62      0.58      1.97         16.94     | 46209    0        73595    40092    8096     | 32     191092         4124758      -       
8      8      5      5/8    | 0.11      0.62      0.54      0.57      1.86         17.93     | 46209    0        97005    16682    8096     | 40     191092         4124758      -       
8      8      6      6/8    | 0.10      0.62      0.55      0.57      1.85         17.98     | 46209    0        106655   7032     8096     | 48     191092         4124758      -       
8      8      7      7/8    | 0.10      0.60      0.55      0.56      1.82         18.25     | 46209    0        112669   1018     8096     | 56     191092         4124758      -       
8      8      8      8/8    | 0.12      0.63      0.59      0.60      1.95         17.07     | 46209    0        121783   0        0        | 64     191092         4124758      -       
8      16     0      0/8    | 0.11      0.66      0.68      0.64      2.12         15.73     | 46209    0        0        113687   8096     | 1      213580         4124758      -       
8      16     1      1/8    | 0.11      0.70      0.68      0.66      2.17         15.35     | 46209    0        0        113687   8096     | 8      213580         4124758      -       
8      16     2      2/8    | 0.11      0.68      0.65      0.66      2.12         15.68     | 46209    0        21472    92215    8096     | 16     213580         4124758      -       
8      16     3      3/8    | 0.11      0.69      0.63      0.63      2.07         16.05     | 46209    0        39704    73983    8096     | 24     213580         4124758      -       
8      16     4      4/8    | 0.10      0.70      0.62      0.63      2.08         16.04     | 46209    0        73595    40092    8096     | 32     213580         4124758      -       
8      16     5      5/8    | 0.12      0.67      0.54      0.65      2.00         16.68     | 46209    0        97005    16682    8096     | 40     213580         4124758      -       
8      16     6      6/8    | 0.12      0.68      0.54      0.64      2.00         16.66     | 46209    0        106655   7032     8096     | 48     213580         4124758      -       
8      16     7      7/8    | 0.11      0.68      0.55      0.64      1.99         16.76     | 46209    0        112669   1018     8096     | 56     213580         4124758      -       
8      16     8      8/8    | 0.11      0.69      0.58      0.65      2.04         16.36     | 46209    0        121783   0        0        | 64     213580         4124758      -       
8      32     0      0/8    | 0.11      0.80      0.97      0.63      2.52         13.23     | 46209    0        0        113687   8096     | 1      249695         4124758      -       
8      32     1      1/8    | 0.12      0.83      0.97      0.65      2.58         12.90     | 46209    0        0        113687   8096     | 8      249695         4124758      -       
8      32     2      2/8    | 0.12      0.79      0.91      0.63      2.46         13.52     | 46209    0        21472    92215    8096     | 16     249695         4124758      -       
8      32     3      3/8    | 0.10      0.77      0.86      0.62      2.36         14.11     | 46209    0        39704    73983    8096     | 24     249695         4124758      -       
8      32     4      4/8    | 0.10      0.77      0.78      0.61      2.28         14.62     | 46209    0        73595    40092    8096     | 32     249695         4124758      -       
8      32     5      5/8    | 0.10      0.77      0.67      0.63      2.19         15.22     | 46209    0        97005    16682    8096     | 40     249695         4124758      -       
8      32     6      6/8    | 0.12      0.84      0.66      0.67      2.31         14.44     | 46209    0        106655   7032     8096     | 48     249695         4124758      -       
8      32     7      7/8    | 0.11      0.78      0.65      0.66      2.22         15.00     | 46209    0        112669   1018     8096     | 56     249695         4124758      -       
8      32     8      8/8    | 0.11      0.82      0.67      0.62      2.24         14.89     | 46209    0        121783   0        0        | 64     249695         4124758      -       
16     8      0      0/8    | 0.11      0.26      0.49      0.42      1.30         25.61     | 25191    0        0        33475    1147     | 1      65459          4124758      -       
16     8      1      1/8    | 0.11      0.26      0.49      0.39      1.25         26.61     | 25191    0        0        33475    1147     | 32     65459          4124758      -       
16     8      2      2/8    | 0.11      0.26      0.46      0.41      1.25         26.64     | 25191    0        8778     24697    1147     | 64     65459          4124758      -       
16     8      3      3/8    | 0.11      0.26      0.44      0.44      1.27         26.13     | 25191    0        15707    17768    1147     | 96     65459          4124758      -       
16     8      4      4/8    | 0.11      0.25      0.43      0.41      1.21         27.45     | 25191    0        22842    10633    1147     | 128    65459          4124758      -       
16     8      5      5/8    | 0.10      0.26      0.43      0.41      1.21         27.49     | 25191    0        29234    4241     1147     | 160    65459          4124758      -       
16     8      6      6/8    | 0.10      0.27      0.49      0.42      1.28         25.91     | 25191    0        31327    2148     1147     | 192    65459          4124758      -       
16     8      7      7/8    | 0.10      0.25      0.56      0.40      1.32         25.15     | 25191    0        32967    508      1147     | 224    65459          4124758      -       
16     8      8      8/8    | 0.10      0.26      0.59      0.42      1.38         24.06     | 25191    0        34622    0        0        | 256    65459          4124758      -       
16     16     0      0/8    | 0.09      0.27      0.46      0.45      1.28         26.05     | 25191    0        0        33475    1147     | 1      70876          4124758      -       
16     16     1      1/8    | 0.11      0.28      0.47      0.49      1.37         24.36     | 25191    0        0        33475    1147     | 32     70876          4124758      -       
16     16     2      2/8    | 0.10      0.27      0.43      0.47      1.28         26.01     | 25191    0        8778     24697    1147     | 64     70876          4124758      -       
16     16     3      3/8    | 0.10      0.27      0.42      0.47      1.27         26.11     | 25191    0        15707    17768    1147     | 96     70876          4124758      -       
16     16     4      4/8    | 0.10      0.26      0.42      0.48      1.27         26.18     | 25191    0        22842    10633    1147     | 128    70876          4124758      -       
16     16     5      5/8    | 0.10      0.27      0.44      0.49      1.31         25.32     | 25191    0        29234    4241     1147     | 160    70876          4124758      -       
16     16     6      6/8    | 0.10      0.28      0.49      0.49      1.37         24.25     | 25191    0        31327    2148     1147     | 192    70876          4124758      -       
16     16     7      7/8    | 0.09      0.26      0.55      0.46      1.37         24.27     | 25191    0        32967    508      1147     | 224    70876          4124758      -       
16     16     8      8/8    | 0.10      0.27      0.61      0.47      1.46         22.76     | 25191    0        34622    0        0        | 256    70876          4124758      -       
16     32     0      0/8    | 0.09      0.28      0.73      0.53      1.65         20.20     | 25191    0        0        33475    1147     | 1      80029          4124758      -       
16     32     1      1/8    | 0.09      0.29      0.73      0.52      1.64         20.25     | 25191    0        0        33475    1147     | 32     80029          4124758      -       
16     32     2      2/8    | 0.09      0.30      0.65      0.52      1.56         21.32     | 25191    0        8778     24697    1147     | 64     80029          4124758      -       
16     32     3      3/8    | 0.09      0.29      0.60      0.52      1.51         22.08     | 25191    0        15707    17768    1147     | 96     80029          4124758      -       
16     32     4      4/8    | 0.09      0.30      0.56      0.53      1.49         22.42     | 25191    0        22842    10633    1147     | 128    80029          4124758      -       
16     32     5      5/8    | 0.09      0.30      0.52      0.52      1.45         22.93     | 25191    0        29234    4241     1147     | 160    80029          4124758      -       
16     32     6      6/8    | 0.09      0.29      0.56      0.51      1.46         22.77     | 25191    0        31327    2148     1147     | 192    80029          4124758      -       
16     32     7      7/8    | 0.11      0.30      0.58      0.56      1.56         21.29     | 25191    0        32967    508      1147     | 224    80029          4124758      -       
16     32     8      8/8    | 0.10      0.29      0.63      0.53      1.56         21.38     | 25191    0        34622    0        0        | 256    80029          4124758      -       
32     8      0      0/8    | 0.10      0.22      0.74      0.48      1.55         21.48     | 13248    0        0        9967     0        | 1      24607          4124758      -       
32     8      1      1/8    | 0.10      0.22      0.74      0.45      1.52         21.92     | 13248    0        0        9967     0        | 128    24607          4124758      -       
32     8      2      2/8    | 0.10      0.21      0.66      0.45      1.43         23.25     | 13248    0        3538     6429     0        | 256    24607          4124758      -       
32     8      3      3/8    | 0.12      0.22      0.62      0.45      1.42         23.48     | 13248    0        6075     3892     0        | 384    24607          4124758      -       
32     8      4      4/8    | 0.11      0.20      0.60      0.47      1.39         23.88     | 13248    0        7991     1976     0        | 512    24607          4124758      -       
32     8      5      5/8    | 0.10      0.21      0.70      0.46      1.49         22.32     | 13248    0        9047     920      0        | 640    24607          4124758      -       
32     8      6      6/8    | 0.10      0.22      0.86      0.45      1.64         20.29     | 13248    0        9598     369      0        | 768    24607          4124758      -       
32     8      7      7/8    | 0.11      0.23      0.90      0.47      1.72         19.34     | 13248    0        9822     145      0        | 896    24607          4124758      -       
