# Matrix: mixtank_new
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.01-0.1/mixtank_new.mtx
# Category: 10k-50k-0.01-0.1
# Date: 2026-03-06 03:15:24
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 29957
# Cols: 29957
# NNZ(A): 1995041
# NNZ(C) estimate: 176887371
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.65      15.81     24.33     1.02      41.83        8.46      | 708334   0        0        402843   28       | 1      2879997        11989523     -       
8      8      1      1/8    | 0.65      15.79     24.36     1.00      41.82        8.46      | 708334   0        0        402843   28       | 8      2879997        11989523     -       
8      8      2      2/8    | 0.64      15.69     23.04     1.01      40.40        8.76      | 708334   0        137825   265018   28       | 16     2879997        11989523     -       
8      8      3      3/8    | 0.64      15.68     21.89     1.00      39.22        9.02      | 708334   0        224996   177847   28       | 24     2879997        11989523     -       
8      8      4      4/8    | 0.64      15.88     21.46     0.99      38.98        9.07      | 708334   0        304845   97998    28       | 32     2879997        11989523     -       
8      8      5      5/8    | 0.66      15.91     18.80     1.03      36.42        9.71      | 708334   0        369149   33694    28       | 40     2879997        11989523     -       
8      8      6      6/8    | 0.64      15.82     17.76     1.01      35.24        10.04     | 708334   0        398385   4458     28       | 48     2879997        11989523     -       
8      8      7      7/8    | 0.65      15.77     17.69     1.02      35.15        10.07     | 708334   0        402787   56       28       | 56     2879997        11989523     -       
8      8      8      8/8    | 0.66      15.71     17.42     1.02      34.82        10.16     | 708334   0        402871   0        0        | 64     2879997        11989523     -       
8      16     0      0/8    | 0.63      14.99     24.18     1.02      40.84        8.66      | 708334   0        0        402843   28       | 1      3447003        11989523     -       
8      16     1      1/8    | 0.62      14.87     24.21     1.04      40.75        8.68      | 708334   0        0        402843   28       | 8      3447003        11989523     -       
