# Matrix: msc10848
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.01-0.1/msc10848.mtx
# Category: 10k-50k-0.01-0.1
# Date: 2026-03-06 03:18:24
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 10848
# Cols: 10848
# NNZ(A): 1229778
# NNZ(C) estimate: 164504790
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.29      2.28      3.06      0.82      6.45         51.00     | 43486    0        0        141759   29237    | 1      641664         6185646      -       
8      8      1      1/8    | 0.29      2.29      3.04      0.80      6.43         51.14     | 43486    0        0        141759   29237    | 8      641664         6185646      -       
8      8      2      2/8    | 0.28      2.32      2.95      0.85      6.41         51.31     | 43486    0        40758    101001   29237    | 16     641664         6185646      -       
8      8      3      3/8    | 0.28      2.30      2.96      0.82      6.38         51.57     | 43486    0        75296    66463    29237    | 24     641664         6185646      -       
8      8      4      4/8    | 0.28      2.23      3.14      0.81      6.47         50.84     | 43486    0        95129    46630    29237    | 32     641664         6185646      -       
8      8      5      5/8    | 0.29      2.33      3.07      0.81      6.52         50.48     | 43486    0        113210   28549    29237    | 40     641664         6185646      -       
8      8      6      6/8    | 0.28      2.30      3.25      0.78      6.63         49.63     | 43486    0        128472   13287    29237    | 48     641664         6185646      -       
8      8      7      7/8    | 0.29      2.32      3.39      0.80      6.82         48.26     | 43486    0        139637   2122     29237    | 56     641664         6185646      -       
8      8      8      8/8    | 0.27      2.23      4.12      0.76      7.39         44.50     | 43486    0        170996   0        0        | 64     641664         6185646      -       
8      16     0      0/8    | 0.23      2.18      2.99      0.88      6.28         52.39     | 43486    0        0        141759   29237    | 1      804410         6185646      -       
8      16     1      1/8    | 0.24      2.25      2.99      0.94      6.44         51.09     | 43486    0        0        141759   29237    | 8      804410         6185646      -       
8      16     2      2/8    | 0.22      2.29      2.88      0.87      6.28         52.40     | 43486    0        40758    101001   29237    | 16     804410         6185646      -       
8      16     3      3/8    | 0.23      2.17      2.85      0.89      6.15         53.53     | 43486    0        75296    66463    29237    | 24     804410         6185646      -       
8      16     4      4/8    | 0.24      2.31      2.96      0.99      6.52         50.45     | 43486    0        95129    46630    29237    | 32     804410         6185646      -       
