# Matrix: net75
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.01-0.1/net75.mtx
# Category: 10k-50k-0.01-0.1
# Date: 2026-03-06 03:23:23
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 23120
# Cols: 23120
# NNZ(A): 1489200
# NNZ(C) estimate: 150141280
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.53      9.11      18.29     1.42      29.36        10.23     | 617155   0        0        546302   852589   | 1      2703114        76391302     -       
8      8      1      1/8    | 0.53      9.19      18.28     1.44      29.45        10.20     | 617155   0        0        546302   852589   | 8      2703114        76391302     -       
8      8      2      2/8    | 0.53      9.24      18.10     1.45      29.34        10.24     | 617155   0        112388   433914   852589   | 16     2703114        76391302     -       
8      8      3      3/8    | 0.54      9.33      17.92     1.46      29.28        10.26     | 617155   0        194748   351554   852589   | 24     2703114        76391302     -       
8      8      4      4/8    | 0.53      9.24      17.79     1.42      29.00        10.36     | 617155   0        303850   242452   852589   | 32     2703114        76391302     -       
8      8      5      5/8    | 0.53      9.33      17.28     1.44      28.60        10.50     | 617155   0        378049   168253   852589   | 40     2703114        76391302     -       
8      8      6      6/8    | 0.54      9.27      16.89     1.46      28.17        10.66     | 617155   0        476711   69591    852589   | 48     2703114        76391302     -       
8      8      7      7/8    | 0.55      9.32      16.56     1.53      27.98        10.73     | 617155   0        546286   16       852589   | 56     2703114        76391302     -       
8      8      8      8/8    | 0.53      9.29      13.71     1.44      24.99        12.02     | 617155   0        1398891  0        0        | 64     2703114        76391302     -       
8      16     0      0/8    | 0.51      9.95      18.87     1.44      30.79        9.75      | 617155   0        0        546302   852589   | 1      3312902        76391302     -       
8      16     1      1/8    | 0.52      9.94      18.88     1.43      30.78        9.76      | 617155   0        0        546302   852589   | 8      3312902        76391302     -       
8      16     2      2/8    | 0.52      10.24     18.57     1.48      30.83        9.74      | 617155   0        112388   433914   852589   | 16     3312902        76391302     -       
8      16     3      3/8    | 0.51      10.07     18.29     1.46      30.34        9.90      | 617155   0        194748   351554   852589   | 24     3312902        76391302     -       
8      16     4      4/8    | 0.53      10.04     17.98     1.46      30.02        10.00     | 617155   0        303850   242452   852589   | 32     3312902        76391302     -       
8      16     5      5/8    | 0.52      10.03     17.45     1.44      29.45        10.20     | 617155   0        378049   168253   852589   | 40     3312902        76391302     -       
8      16     6      6/8    | 0.52      9.92      16.87     1.45      28.77        10.44     | 617155   0        476711   69591    852589   | 48     3312902        76391302     -       
8      16     7      7/8    | 0.52      9.96      16.44     1.48      28.41        10.57     | 617155   0        546286   16       852589   | 56     3312902        76391302     -       
8      16     8      8/8    | 0.52      10.19     12.62     1.52      24.86        12.08     | 617155   0        1398891  0        0        | 64     3312902        76391302     -       
8      32     0      0/8    | 0.65      12.73     26.60     1.49      41.48        7.24      | 617155   0        0        546302   852589   | 1      4370972        76391302     -       
8      32     1      1/8    | 0.67      12.98     26.62     1.54      41.83        7.18      | 617155   0        0        546302   852589   | 8      4370972        76391302     -       
8      32     2      2/8    | 0.66      12.74     25.92     1.53      40.86        7.35      | 617155   0        112388   433914   852589   | 16     4370972        76391302     -       
8      32     3      3/8    | 0.64      12.69     25.31     1.50      40.17        7.47      | 617155   0        194748   351554   852589   | 24     4370972        76391302     -       
8      32     4      4/8    | 0.64      12.58     24.31     1.52      39.08        7.68      | 617155   0        303850   242452   852589   | 32     4370972        76391302     -       
8      32     5      5/8    | 0.65      12.88     23.52     1.54      38.60        7.78      | 617155   0        378049   168253   852589   | 40     4370972        76391302     -       
8      32     6      6/8    | 0.65      12.82     22.36     1.52      37.37        8.04      | 617155   0        476711   69591    852589   | 48     4370972        76391302     -       
8      32     7      7/8    | 0.64      12.90     21.52     1.53      36.61        8.20      | 617155   0        546286   16       852589   | 56     4370972        76391302     -       
8      32     8      8/8    | 0.67      12.73     13.31     1.50      28.23        10.64     | 617155   0        1398891  0        0        | 64     4370972        76391302     -       
16     8      0      0/8    | 0.47      7.18      23.93     1.35      32.94        9.12      | 327684   0        0        274765   141138   | 1      941905         76391302     -       
16     8      1      1/8    | 0.47      7.22      23.86     1.36      32.92        9.12      | 327684   0        0        274765   141138   | 32     941905         76391302     -       
16     8      2      2/8    | 0.48      7.20      23.47     1.38      32.54        9.23      | 327684   0        46795    227970   141138   | 64     941905         76391302     -       
16     8      3      3/8    | 0.48      7.28      22.99     1.34      32.10        9.35      | 327684   0        99017    175748   141138   | 96     941905         76391302     -       
16     8      4      4/8    | 0.47      7.29      22.80     1.35      31.94        9.40      | 327684   0        147590   127175   141138   | 128    941905         76391302     -       
16     8      5      5/8    | 0.47      7.26      22.48     1.35      31.57        9.51      | 327684   0        192578   82187    141138   | 160    941905         76391302     -       
16     8      6      6/8    | 0.47      7.28      22.32     1.34      31.42        9.56      | 327684   0        227879   46886    141138   | 192    941905         76391302     -       
16     8      7      7/8    | 0.47      7.12      22.22     1.34      31.16        9.64      | 327684   0        261326   13439    141138   | 224    941905         76391302     -       
16     8      8      8/8    | 0.48      7.13      22.93     1.39      31.94        9.40      | 327684   0        415903   0        0        | 256    941905         76391302     -       
16     16     0      0/8    | 0.45      5.66      18.16     1.35      25.63        11.71     | 327684   0        0        274765   141138   | 1      1085007        76391302     -       
16     16     1      1/8    | 0.44      5.75      18.12     1.30      25.63        11.72     | 327684   0        0        274765   141138   | 32     1085007        76391302     -       
16     16     2      2/8    | 0.44      5.65      17.68     1.35      25.14        11.95     | 327684   0        46795    227970   141138   | 64     1085007        76391302     -       
16     16     3      3/8    | 0.44      5.65      17.19     1.32      24.60        12.21     | 327684   0        99017    175748   141138   | 96     1085007        76391302     -       
16     16     4      4/8    | 0.44      5.61      16.52     1.36      23.95        12.54     | 327684   0        147590   127175   141138   | 128    1085007        76391302     -       
16     16     5      5/8    | 0.45      5.73      15.84     1.34      23.38        12.84     | 327684   0        192578   82187    141138   | 160    1085007        76391302     -       
16     16     6      6/8    | 0.44      5.59      15.27     1.33      22.64        13.26     | 327684   0        227879   46886    141138   | 192    1085007        76391302     -       
