# Matrix: ns3Da
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.01-0.1/ns3Da.mtx
# Category: 10k-50k-0.01-0.1
# Date: 2026-03-06 03:27:02
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 20414
# Cols: 20414
# NNZ(A): 1679599
# NNZ(C) estimate: 177530721
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 5.41      252.35    395.76    1.24      654.79       0.54      | 3853779  0        0        169617   0        | 1      6512608        12454346     -       
8      8      1      1/8    | 5.40      251.62    395.39    1.15      653.58       0.54      | 3853779  0        0        169617   0        | 8      6512608        12454346     -       
8      8      2      2/8    | 5.41      252.72    390.16    1.25      649.56       0.55      | 3853779  0        150257   19360    0        | 16     6512608        12454346     -       
8      8      3      3/8    | 5.41      248.76    389.65    1.23      645.07       0.55      | 3853779  0        166169   3448     0        | 24     6512608        12454346     -       
8      8      4      4/8    | 5.40      251.92    391.78    1.18      650.30       0.55      | 3853779  0        168814   803      0        | 32     6512608        12454346     -       
8      8      5      5/8    | 5.66      247.18    389.19    1.30      643.35       0.55      | 3853779  0        169440   177      0        | 40     6512608        12454346     -       
8      8      6      6/8    | 5.40      248.32    388.57    1.19      643.50       0.55      | 3853779  0        169581   36       0        | 48     6512608        12454346     -       
8      8      7      7/8    | 5.39      251.89    388.95    1.16      647.41       0.55      | 3853779  0        169613   4        0        | 56     6512608        12454346     -       
8      8      8      8/8    | 5.40      247.12    389.46    1.15      643.16       0.55      | 3853779  0        169617   0        0        | 64     6512608        12454346     -       
8      16     0      0/8    | 7.99      255.38    419.44    1.31      684.15       0.52      | 3853779  0        0        169617   0        | 1      6512704        12454346     -       
8      16     1      1/8    | 8.00      254.54    418.38    1.16      682.10       0.52      | 3853779  0        0        169617   0        | 8      6512704        12454346     -       
8      16     2      2/8    | 8.00      255.15    411.49    1.25      675.92       0.53      | 3853779  0        150257   19360    0        | 16     6512704        12454346     -       
8      16     3      3/8    | 7.99      254.54    409.39    1.17      673.10       0.53      | 3853779  0        166169   3448     0        | 24     6512704        12454346     -       
8      16     4      4/8    | 7.99      254.62    411.81    1.17      675.61       0.53      | 3853779  0        168814   803      0        | 32     6512704        12454346     -       
8      16     5      5/8    | 8.00      255.49    409.15    1.26      673.93       0.53      | 3853779  0        169440   177      0        | 40     6512704        12454346     -       
8      16     6      6/8    | 8.00      254.86    409.66    1.22      673.75       0.53      | 3853779  0        169581   36       0        | 48     6512704        12454346     -       
8      16     7      7/8    | 7.98      255.22    409.44    1.26      673.93       0.53      | 3853779  0        169613   4        0        | 56     6512704        12454346     -       
8      16     8      8/8    | 7.97      255.17    409.84    1.25      674.25       0.53      | 3853779  0        169617   0        0        | 64     6512704        12454346     -       
8      32     0      0/8    | 10.39     249.43    391.64    1.25      652.74       0.54      | 3853779  0        0        169617   0        | 1      6512704        12454346     -       
8      32     1      1/8    | 10.39     249.23    391.40    1.26      652.31       0.54      | 3853779  0        0        169617   0        | 8      6512704        12454346     -       
8      32     2      2/8    | 10.39     249.09    387.71    1.27      648.50       0.55      | 3853779  0        150257   19360    0        | 16     6512704        12454346     -       
8      32     3      3/8    | 10.40     248.91    387.16    1.20      647.69       0.55      | 3853779  0        166169   3448     0        | 24     6512704        12454346     -       
8      32     4      4/8    | 10.38     248.85    386.87    1.18      647.29       0.55      | 3853779  0        168814   803      0        | 32     6512704        12454346     -       
8      32     5      5/8    | 10.43     249.79    387.09    1.30      648.65       0.55      | 3853779  0        169440   177      0        | 40     6512704        12454346     -       
8      32     6      6/8    | 10.40     248.86    385.83    1.19      646.31       0.55      | 3853779  0        169581   36       0        | 48     6512704        12454346     -       
8      32     7      7/8    | 10.39     249.16    386.71    1.18      647.47       0.55      | 3853779  0        169613   4        0        | 56     6512704        12454346     -       
8      32     8      8/8    | 10.38     248.95    386.44    1.20      647.00       0.55      | 3853779  0        169617   0        0        | 64     6512704        12454346     -       
16     8      0      0/8    | 5.22      143.95    241.50    0.97      391.66       0.91      | 1482907  0        0        15761    0        | 1      1628176        12454346     -       
16     8      1      1/8    | 5.31      144.01    241.50    0.96      391.80       0.91      | 1482907  0        0        15761    0        | 32     1628176        12454346     -       
16     8      2      2/8    | 5.24      143.75    239.36    0.98      389.35       0.91      | 1482907  0        14701    1060     0        | 64     1628176        12454346     -       
16     8      3      3/8    | 5.23      143.47    239.31    0.99      389.02       0.91      | 1482907  0        15685    76       0        | 96     1628176        12454346     -       
16     8      4      4/8    | 5.21      143.54    239.45    0.93      389.16       0.91      | 1482907  0        15748    13       0        | 128    1628176        12454346     -       
16     8      5      5/8    | 5.31      144.09    239.47    0.97      389.87       0.91      | 1482907  0        15756    5        0        | 160    1628176        12454346     -       
