# Matrix: onetone1
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.01-0.1/onetone1.mtx
# Category: 10k-50k-0.01-0.1
# Date: 2026-03-06 03:28:48
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 36057
# Cols: 36057
# NNZ(A): 341088
# NNZ(C) estimate: 2734359
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.21      2.72      1.34      0.80      5.08         1.08      | 424185   0        0        53796    0        | 1      972754         1953351      -       
8      8      1      1/8    | 0.20      2.73      1.34      0.78      5.06         1.08      | 424185   0        0        53796    0        | 8      972754         1953351      -       
8      8      2      2/8    | 0.20      2.63      1.12      0.77      4.73         1.16      | 424185   0        43147    10649    0        | 16     972754         1953351      -       
8      8      3      3/8    | 0.19      2.62      1.08      0.78      4.68         1.17      | 424185   0        52698    1098     0        | 24     972754         1953351      -       
8      8      4      4/8    | 0.20      2.62      1.09      0.77      4.70         1.16      | 424185   0        53530    266      0        | 32     972754         1953351      -       
8      8      5      5/8    | 0.20      2.62      1.06      0.79      4.68         1.17      | 424185   0        53796    0        0        | 40     972754         1953351      -       
8      8      6      6/8    | 0.20      2.69      1.06      0.81      4.77         1.15      | 424185   0        53796    0        0        | 48     972754         1953351      -       
8      8      7      7/8    | 0.20      2.69      1.06      0.78      4.74         1.15      | 424185   0        53796    0        0        | 56     972754         1953351      -       
8      8      8      8/8    | 0.20      2.62      1.06      0.79      4.67         1.17      | 424185   0        53796    0        0        | 64     972754         1953351      -       
8      16     0      0/8    | 0.21      3.56      1.56      0.88      6.22         0.88      | 424185   0        0        53796    0        | 1      1309307        1953351      -       
8      16     1      1/8    | 0.21      3.58      1.57      0.85      6.22         0.88      | 424185   0        0        53796    0        | 8      1309307        1953351      -       
8      16     2      2/8    | 0.20      3.44      1.22      0.83      5.70         0.96      | 424185   0        43147    10649    0        | 16     1309307        1953351      -       
8      16     3      3/8    | 0.20      3.44      1.15      0.84      5.64         0.97      | 424185   0        52698    1098     0        | 24     1309307        1953351      -       
8      16     4      4/8    | 0.20      3.48      1.14      0.85      5.68         0.96      | 424185   0        53530    266      0        | 32     1309307        1953351      -       
