# Matrix: pkustk07
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.01-0.1/pkustk07.mtx
# Category: 10k-50k-0.01-0.1
# Date: 2026-03-06 03:36:43
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 16860
# Cols: 16860
# NNZ(A): 2418804
# NNZ(C) estimate: 410021730
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.57      8.34      17.59     0.97      27.48        29.84     | 146766   0        0        436349   33781    | 1      1430882        13944528     -       
8      8      1      1/8    | 0.55      8.08      17.59     1.00      27.23        30.12     | 146766   0        0        436349   33781    | 8      1430882        13944528     -       
8      8      2      2/8    | 0.56      8.34      16.39     0.98      26.29        31.19     | 146766   0        158149   278200   33781    | 16     1430882        13944528     -       
8      8      3      3/8    | 0.56      8.23      15.32     0.95      25.08        32.70     | 146766   0        262791   173558   33781    | 24     1430882        13944528     -       
8      8      4      4/8    | 0.56      8.49      15.18     0.99      25.24        32.48     | 146766   0        317836   118513   33781    | 32     1430882        13944528     -       
8      8      5      5/8    | 0.57      8.34      13.68     1.05      23.66        34.66     | 146766   0        373094   63255    33781    | 40     1430882        13944528     -       
8      8      6      6/8    | 0.56      8.32      13.25     0.97      23.12        35.47     | 146766   0        403005   33344    33781    | 48     1430882        13944528     -       
8      8      7      7/8    | 0.57      8.30      12.80     0.97      22.65        36.20     | 146766   0        426646   9703     33781    | 56     1430882        13944528     -       
8      8      8      8/8    | 0.56      8.47      12.28     0.96      22.28        36.80     | 146766   0        470130   0        0        | 64     1430882        13944528     -       
8      16     0      0/8    | 0.49      7.32      17.18     1.00      26.02        31.51     | 146766   0        0        436349   33781    | 1      1547042        13944528     -       
8      16     1      1/8    | 0.50      7.24      17.15     0.96      25.86        31.71     | 146766   0        0        436349   33781    | 8      1547042        13944528     -       
8      16     2      2/8    | 0.50      7.22      15.21     0.97      23.91        34.30     | 146766   0        158149   278200   33781    | 16     1547042        13944528     -       
8      16     3      3/8    | 0.48      7.29      13.64     0.95      22.38        36.65     | 146766   0        262791   173558   33781    | 24     1547042        13944528     -       
8      16     4      4/8    | 0.48      7.32      13.22     0.95      21.99        37.30     | 146766   0        317836   118513   33781    | 32     1547042        13944528     -       
8      16     5      5/8    | 0.51      7.42      11.91     1.06      20.93        39.19     | 146766   0        373094   63255    33781    | 40     1547042        13944528     -       
8      16     6      6/8    | 0.49      7.39      11.52     0.97      20.39        40.23     | 146766   0        403005   33344    33781    | 48     1547042        13944528     -       
8      16     7      7/8    | 0.50      7.24      11.18     0.98      19.91        41.19     | 146766   0        426646   9703     33781    | 56     1547042        13944528     -       
8      16     8      8/8    | 0.50      7.42      11.19     0.98      20.11        40.78     | 146766   0        470130   0        0        | 64     1547042        13944528     -       
8      32     0      0/8    | 0.44      6.91      23.44     0.98      31.77        25.81     | 146766   0        0        436349   33781    | 1      1654212        13944528     -       
8      32     1      1/8    | 0.43      6.83      23.39     0.97      31.63        25.93     | 146766   0        0        436349   33781    | 8      1654212        13944528     -       
8      32     2      2/8    | 0.43      6.70      19.30     0.99      27.44        29.88     | 146766   0        158149   278200   33781    | 16     1654212        13944528     -       
8      32     3      3/8    | 0.43      6.88      16.26     0.96      24.56        33.39     | 146766   0        262791   173558   33781    | 24     1654212        13944528     -       
8      32     4      4/8    | 0.44      6.96      14.58     1.03      23.04        35.60     | 146766   0        317836   118513   33781    | 32     1654212        13944528     -       
8      32     5      5/8    | 0.43      6.77      12.96     1.01      21.20        38.69     | 146766   0        373094   63255    33781    | 40     1654212        13944528     -       
8      32     6      6/8    | 0.43      6.68      12.21     0.99      20.32        40.35     | 146766   0        403005   33344    33781    | 48     1654212        13944528     -       
8      32     7      7/8    | 0.43      6.77      11.54     0.99      19.75        41.53     | 146766   0        426646   9703     33781    | 56     1654212        13944528     -       
8      32     8      8/8    | 0.43      6.68      10.96     1.00      19.09        42.95     | 146766   0        470130   0        0        | 64     1654212        13944528     -       
16     8      0      0/8    | 0.54      5.22      15.75     0.89      22.42        36.58     | 106252   0        0        126006   2910     | 1      491024         13944528     -       
16     8      1      1/8    | 0.53      5.10      15.77     0.89      22.31        36.76     | 106252   0        0        126006   2910     | 32     491024         13944528     -       
16     8      2      2/8    | 0.53      5.15      14.09     0.90      20.68        39.65     | 106252   0        53567    72439    2910     | 64     491024         13944528     -       
16     8      3      3/8    | 0.53      5.14      13.06     0.88      19.63        41.78     | 106252   0        80310    45696    2910     | 96     491024         13944528     -       
16     8      4      4/8    | 0.52      5.00      12.45     0.88      18.86        43.49     | 106252   0        97179    28827    2910     | 128    491024         13944528     -       
16     8      5      5/8    | 0.52      5.16      11.96     0.86      18.53        44.26     | 106252   0        109789   16217    2910     | 160    491024         13944528     -       
16     8      6      6/8    | 0.52      5.08      11.59     0.84      18.04        45.45     | 106252   0        117729   8277     2910     | 192    491024         13944528     -       
16     8      7      7/8    | 0.54      5.19      11.36     0.91      18.02        45.51     | 106252   0        123152   2854     2910     | 224    491024         13944528     -       
16     8      8      8/8    | 0.53      5.13      11.47     0.86      18.01        45.52     | 106252   0        128916   0        0        | 256    491024         13944528     -       
16     16     0      0/8    | 0.41      4.36      14.81     0.88      20.47        40.05     | 106252   0        0        126006   2910     | 1      523184         13944528     -       
16     16     1      1/8    | 0.41      4.43      14.75     0.86      20.46        40.08     | 106252   0        0        126006   2910     | 32     523184         13944528     -       
16     16     2      2/8    | 0.40      4.21      12.84     0.86      18.32        44.76     | 106252   0        53567    72439    2910     | 64     523184         13944528     -       
16     16     3      3/8    | 0.40      4.32      11.73     0.83      17.29        47.44     | 106252   0        80310    45696    2910     | 96     523184         13944528     -       
16     16     4      4/8    | 0.42      4.31      11.16     0.92      16.82        48.75     | 106252   0        97179    28827    2910     | 128    523184         13944528     -       
16     16     5      5/8    | 0.41      4.28      10.80     0.96      16.48        49.76     | 106252   0        109789   16217    2910     | 160    523184         13944528     -       
16     16     6      6/8    | 0.40      4.48      10.57     0.87      16.35        50.17     | 106252   0        117729   8277     2910     | 192    523184         13944528     -       
16     16     7      7/8    | 0.41      4.32      10.49     0.90      16.14        50.82     | 106252   0        123152   2854     2910     | 224    523184         13944528     -       
16     16     8      8/8    | 0.41      4.40      10.54     0.90      16.26        50.44     | 106252   0        128916   0        0        | 256    523184         13944528     -       
16     32     0      0/8    | 0.34      3.92      18.57     0.91      23.75        34.53     | 106252   0        0        126006   2910     | 1      549372         13944528     -       
16     32     1      1/8    | 0.35      3.82      18.56     0.94      23.68        34.62     | 106252   0        0        126006   2910     | 32     549372         13944528     -       
16     32     2      2/8    | 0.34      3.86      14.50     0.91      19.63        41.77     | 106252   0        53567    72439    2910     | 64     549372         13944528     -       
16     32     3      3/8    | 0.34      3.87      12.46     0.86      17.55        46.74     | 106252   0        80310    45696    2910     | 96     549372         13944528     -       
16     32     4      4/8    | 0.34      3.77      11.31     0.90      16.34        50.20     | 106252   0        97179    28827    2910     | 128    549372         13944528     -       
16     32     5      5/8    | 0.34      3.83      10.66     0.87      15.72        52.16     | 106252   0        109789   16217    2910     | 160    549372         13944528     -       
16     32     6      6/8    | 0.35      3.82      10.37     0.92      15.47        52.99     | 106252   0        117729   8277     2910     | 192    549372         13944528     -       
16     32     7      7/8    | 0.33      3.80      10.22     0.91      15.29        53.64     | 106252   0        123152   2854     2910     | 224    549372         13944528     -       
16     32     8      8/8    | 0.34      3.83      10.29     0.93      15.41        53.22     | 106252   0        128916   0        0        | 256    549372         13944528     -       
32     8      0      0/8    | 0.62      4.24      16.57     0.59      22.04        37.21     | 50067    0        0        32943    229      | 1      159139         13944528     -       
32     8      1      1/8    | 0.61      4.24      16.55     0.57      21.98        37.30     | 50067    0        0        32943    229      | 128    159139         13944528     -       
32     8      2      2/8    | 0.61      4.12      14.43     0.59      19.77        41.48     | 50067    0        15784    17159    229      | 256    159139         13944528     -       
32     8      3      3/8    | 0.62      4.14      14.19     0.60      19.57        41.90     | 50067    0        22592    10351    229      | 384    159139         13944528     -       
32     8      4      4/8    | 0.61      4.27      12.90     0.59      18.39        44.60     | 50067    0        26507    6436     229      | 512    159139         13944528     -       
32     8      5      5/8    | 0.61      4.14      12.65     0.57      17.98        45.60     | 50067    0        29467    3476     229      | 640    159139         13944528     -       
32     8      6      6/8    | 0.61      4.16      12.62     0.58      17.99        45.58     | 50067    0        31378    1565     229      | 768    159139         13944528     -       
32     8      7      7/8    | 0.62      3.98      12.62     0.56      17.79        46.09     | 50067    0        32295    648      229      | 896    159139         13944528     -       
32     8      8      8/8    | 0.61      4.27      11.94     0.60      17.43        47.03     | 50067    0        33172    0        0        | 1024   159139         13944528     -       
32     16     0      0/8    | 0.47      3.38      18.12     0.62      22.61        36.26     | 50067    0        0        32943    229      | 1      167063         13944528     -       
32     16     1      1/8    | 0.47      3.43      18.14     0.64      22.69        36.13     | 50067    0        0        32943    229      | 128    167063         13944528     -       
32     16     2      2/8    | 0.46      3.37      14.63     0.64      19.13        42.88     | 50067    0        15784    17159    229      | 256    167063         13944528     -       
32     16     3      3/8    | 0.48      3.37      13.43     0.68      17.98        45.61     | 50067    0        22592    10351    229      | 384    167063         13944528     -       
32     16     4      4/8    | 0.47      3.45      12.75     0.65      17.34        47.29     | 50067    0        26507    6436     229      | 512    167063         13944528     -       
32     16     5      5/8    | 0.49      3.43      11.60     0.67      16.20        50.61     | 50067    0        29467    3476     229      | 640    167063         13944528     -       
32     16     6      6/8    | 0.48      3.35      11.54     0.66      16.04        51.12     | 50067    0        31378    1565     229      | 768    167063         13944528     -       
32     16     7      7/8    | 0.47      3.37      11.31     0.64      15.80        51.89     | 50067    0        32295    648      229      | 896    167063         13944528     -       
32     16     8      8/8    | 0.47      3.46      11.37     0.63      15.94        51.45     | 50067    0        33172    0        0        | 1024   167063         13944528     -       
32     32     0      0/8    | 0.36      2.93      20.25     0.64      24.20        33.88     | 50067    0        0        32943    229      | 1      172319         13944528     -       
32     32     1      1/8    | 0.35      2.85      20.36     0.57      24.15        33.95     | 50067    0        0        32943    229      | 128    172319         13944528     -       
32     32     2      2/8    | 0.34      2.85      15.50     0.59      19.30        42.50     | 50067    0        15784    17159    229      | 256    172319         13944528     -       
32     32     3      3/8    | 0.35      2.83      13.43     0.56      17.19        47.70     | 50067    0        22592    10351    229      | 384    172319         13944528     -       
32     32     4      4/8    | 0.36      2.86      12.07     0.62      15.92        51.50     | 50067    0        26507    6436     229      | 512    172319         13944528     -       
32     32     5      5/8    | 0.35      2.90      11.31     0.60      15.17        54.07     | 50067    0        29467    3476     229      | 640    172319         13944528     -       
32     32     6      6/8    | 0.34      2.91      11.01     0.59      14.88        55.13     | 50067    0        31378    1565     229      | 768    172319         13944528     -       
32     32     7      7/8    | 0.34      2.96      11.04     0.57      14.94        54.90     | 50067    0        32295    648      229      | 896    172319         13944528     -       
32     32     8      8/8    | 0.35      2.82      11.74     0.61      15.54        52.76     | 50067    0        33172    0        0        | 1024   172319         13944528     -       
