# Matrix: pli
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.01-0.1/pli.mtx
# Category: 10k-50k-0.01-0.1
# Date: 2026-03-06 03:38:29
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 22695
# Cols: 22695
# NNZ(A): 1350309
# NNZ(C) estimate: 99698581
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.14      1.44      2.93      0.84      5.36         37.24     | 58148    0        0        234703   0        | 1      432649         8548665      -       
8      8      1      1/8    | 0.13      1.43      2.92      0.84      5.35         37.28     | 58148    0        0        234703   0        | 8      432649         8548665      -       
8      8      2      2/8    | 0.13      1.52      2.86      0.83      5.35         37.26     | 58148    0        42410    192293   0        | 16     432649         8548665      -       
8      8      3      3/8    | 0.12      1.46      2.80      0.80      5.20         38.36     | 58148    0        74272    160431   0        | 24     432649         8548665      -       
8      8      4      4/8    | 0.13      1.44      2.86      0.80      5.24         38.02     | 58148    0        106086   128617   0        | 32     432649         8548665      -       
8      8      5      5/8    | 0.13      1.45      2.68      0.81      5.07         39.30     | 58148    0        140463   94240    0        | 40     432649         8548665      -       
8      8      6      6/8    | 0.14      1.48      2.65      0.85      5.12         38.94     | 58148    0        180496   54207    0        | 48     432649         8548665      -       
8      8      7      7/8    | 0.13      1.51      2.65      0.81      5.12         38.98     | 58148    0        198717   35986    0        | 56     432649         8548665      -       
8      8      8      8/8    | 0.13      1.43      2.66      0.86      5.10         39.10     | 58148    0        234703   0        0        | 64     432649         8548665      -       
8      16     0      0/8    | 0.14      1.41      2.92      0.83      5.31         37.52     | 58148    0        0        234703   0        | 1      496549         8548665      -       
8      16     1      1/8    | 0.13      1.40      2.92      0.84      5.31         37.54     | 58148    0        0        234703   0        | 8      496549         8548665      -       
8      16     2      2/8    | 0.14      1.47      2.81      0.87      5.30         37.61     | 58148    0        42410    192293   0        | 16     496549         8548665      -       
8      16     3      3/8    | 0.13      1.39      2.72      0.81      5.07         39.36     | 58148    0        74272    160431   0        | 24     496549         8548665      -       
8      16     4      4/8    | 0.15      1.47      2.72      0.86      5.21         38.29     | 58148    0        106086   128617   0        | 32     496549         8548665      -       
8      16     5      5/8    | 0.14      1.43      2.53      0.86      4.97         40.15     | 58148    0        140463   94240    0        | 40     496549         8548665      -       
8      16     6      6/8    | 0.13      1.50      2.51      0.84      5.00         39.90     | 58148    0        180496   54207    0        | 48     496549         8548665      -       
8      16     7      7/8    | 0.12      1.42      2.50      0.82      4.87         40.91     | 58148    0        198717   35986    0        | 56     496549         8548665      -       
8      16     8      8/8    | 0.12      1.40      2.53      0.84      4.91         40.64     | 58148    0        234703   0        0        | 64     496549         8548665      -       
8      32     0      0/8    | 0.15      1.73      4.29      0.86      7.04         28.31     | 58148    0        0        234703   0        | 1      588353         8548665      -       
8      32     1      1/8    | 0.15      1.71      4.28      0.93      7.09         28.14     | 58148    0        0        234703   0        | 8      588353         8548665      -       
8      32     2      2/8    | 0.14      1.64      3.96      0.84      6.60         30.20     | 58148    0        42410    192293   0        | 16     588353         8548665      -       
8      32     3      3/8    | 0.14      1.67      3.77      0.91      6.50         30.66     | 58148    0        74272    160431   0        | 24     588353         8548665      -       
8      32     4      4/8    | 0.14      1.64      3.51      0.86      6.16         32.39     | 58148    0        106086   128617   0        | 32     588353         8548665      -       
8      32     5      5/8    | 0.13      1.65      3.28      0.86      5.94         33.55     | 58148    0        140463   94240    0        | 40     588353         8548665      -       
