# Matrix: poisson3Da
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.01-0.1/poisson3Da.mtx
# Category: 10k-50k-0.01-0.1
# Date: 2026-03-06 03:39:32
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 13514
# Cols: 13514
# NNZ(A): 352762
# NNZ(C) estimate: 11768678
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.88      15.41     14.46     0.95      31.73        0.74      | 1145818  0        0        30258    0        | 1      2825552        2957530      -       
8      8      1      1/8    | 0.87      15.34     14.49     0.94      31.65        0.74      | 1145818  0        0        30258    0        | 8      2825552        2957530      -       
8      8      2      2/8    | 0.87      15.37     14.29     0.96      31.51        0.75      | 1145818  0        26331    3927     0        | 16     2825552        2957530      -       
8      8      3      3/8    | 0.87      15.53     14.24     0.99      31.65        0.74      | 1145818  0        29434    824      0        | 24     2825552        2957530      -       
8      8      4      4/8    | 0.87      15.41     14.37     0.97      31.64        0.74      | 1145818  0        30052    206      0        | 32     2825552        2957530      -       
8      8      5      5/8    | 0.89      15.38     14.21     0.94      31.44        0.75      | 1145818  0        30191    67       0        | 40     2825552        2957530      -       
8      8      6      6/8    | 0.89      15.51     14.14     0.97      31.52        0.75      | 1145818  0        30245    13       0        | 48     2825552        2957530      -       
8      8      7      7/8    | 0.88      15.38     13.95     0.97      31.20        0.75      | 1145818  0        30256    2        0        | 56     2825552        2957530      -       
8      8      8      8/8    | 0.87      15.35     13.97     0.93      31.14        0.76      | 1145818  0        30258    0        0        | 64     2825552        2957530      -       
8      16     0      0/8    | 1.01      19.75     21.84     0.96      43.57        0.54      | 1145818  0        0        30258    0        | 1      2850434        2957530      -       
8      16     1      1/8    | 1.02      19.92     21.83     0.98      43.77        0.54      | 1145818  0        0        30258    0        | 8      2850434        2957530      -       
8      16     2      2/8    | 1.01      19.78     21.47     0.99      43.28        0.54      | 1145818  0        26331    3927     0        | 16     2850434        2957530      -       
8      16     3      3/8    | 1.01      19.73     21.48     0.96      43.19        0.54      | 1145818  0        29434    824      0        | 24     2850434        2957530      -       
8      16     4      4/8    | 1.02      19.72     21.47     0.94      43.17        0.55      | 1145818  0        30052    206      0        | 32     2850434        2957530      -       
8      16     5      5/8    | 1.02      19.91     21.30     0.99      43.24        0.54      | 1145818  0        30191    67       0        | 40     2850434        2957530      -       
8      16     6      6/8    | 1.02      19.84     21.24     0.97      43.08        0.55      | 1145818  0        30245    13       0        | 48     2850434        2957530      -       
8      16     7      7/8    | 1.01      19.70     21.13     0.95      42.80        0.55      | 1145818  0        30256    2        0        | 56     2850434        2957530      -       
8      16     8      8/8    | 1.01      19.75     21.18     0.96      42.91        0.55      | 1145818  0        30258    0        0        | 64     2850434        2957530      -       
8      32     0      0/8    | 1.18      26.04     29.80     0.94      57.97        0.41      | 1145818  0        0        30258    0        | 1      2855344        2957530      -       
8      32     1      1/8    | 1.18      26.20     29.89     0.96      58.25        0.40      | 1145818  0        0        30258    0        | 8      2855344        2957530      -       
8      32     2      2/8    | 1.18      26.11     29.52     0.93      57.76        0.41      | 1145818  0        26331    3927     0        | 16     2855344        2957530      -       
8      32     3      3/8    | 1.18      26.07     29.59     0.94      57.80        0.41      | 1145818  0        29434    824      0        | 24     2855344        2957530      -       
8      32     4      4/8    | 1.18      26.04     29.46     0.93      57.62        0.41      | 1145818  0        30052    206      0        | 32     2855344        2957530      -       
8      32     5      5/8    | 1.18      26.12     29.55     0.92      57.78        0.41      | 1145818  0        30191    67       0        | 40     2855344        2957530      -       
8      32     6      6/8    | 1.19      26.23     29.52     0.96      57.92        0.41      | 1145818  0        30245    13       0        | 48     2855344        2957530      -       
8      32     7      7/8    | 1.18      26.18     29.37     0.95      57.70        0.41      | 1145818  0        30256    2        0        | 56     2855344        2957530      -       
8      32     8      8/8    | 1.19      26.10     29.38     0.94      57.64        0.41      | 1145818  0        30258    0        0        | 64     2855344        2957530      -       
16     8      0      0/8    | 1.16      16.45     24.94     0.81      43.38        0.54      | 537492   0        0        2903     0        | 1      713667         2957530      -       
16     8      1      1/8    | 1.17      16.45     24.93     0.85      43.41        0.54      | 537492   0        0        2903     0        | 32     713667         2957530      -       
16     8      2      2/8    | 1.17      16.51     24.84     0.80      43.34        0.54      | 537492   0        2607     296      0        | 64     713667         2957530      -       
16     8      3      3/8    | 1.17      16.45     24.81     0.82      43.26        0.54      | 537492   0        2850     53       0        | 96     713667         2957530      -       
16     8      4      4/8    | 1.16      16.42     24.87     0.84      43.30        0.54      | 537492   0        2891     12       0        | 128    713667         2957530      -       
