# Matrix: pwt
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.01-0.1/pwt.mtx
# Category: 10k-50k-0.01-0.1
# Date: 2026-03-06 03:41:02
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 36519
# Cols: 36519
# NNZ(A): 326107
# NNZ(C) estimate: 2934955
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.12      0.79      0.44      0.57      1.93         3.04      | 75987    0        0        36242    64       | 1      250201         913963       -       
8      8      1      1/8    | 0.11      0.76      0.43      0.58      1.90         3.09      | 75987    0        0        36242    64       | 8      250201         913963       -       
8      8      2      2/8    | 0.11      0.78      0.39      0.57      1.88         3.13      | 75987    0        15686    20556    64       | 16     250201         913963       -       
8      8      3      3/8    | 0.13      0.80      0.38      0.60      1.92         3.05      | 75987    0        24399    11843    64       | 24     250201         913963       -       
8      8      4      4/8    | 0.13      0.79      0.34      0.57      1.84         3.19      | 75987    0        34894    1348     64       | 32     250201         913963       -       
8      8      5      5/8    | 0.11      0.77      0.34      0.58      1.81         3.24      | 75987    0        35962    280      64       | 40     250201         913963       -       
8      8      6      6/8    | 0.12      0.79      0.35      0.60      1.87         3.14      | 75987    0        36124    118      64       | 48     250201         913963       -       
8      8      7      7/8    | 0.12      0.79      0.34      0.57      1.84         3.19      | 75987    0        36215    27       64       | 56     250201         913963       -       
8      8      8      8/8    | 0.11      0.77      0.34      0.57      1.81         3.24      | 75987    0        36306    0        0        | 64     250201         913963       -       
8      16     0      0/8    | 0.13      1.02      0.47      0.75      2.38         2.47      | 75987    0        0        36242    64       | 1      339357         913963       -       
8      16     1      1/8    | 0.12      1.03      0.47      0.71      2.34         2.51      | 75987    0        0        36242    64       | 8      339357         913963       -       
8      16     2      2/8    | 0.11      1.02      0.42      0.71      2.27         2.59      | 75987    0        15686    20556    64       | 16     339357         913963       -       
8      16     3      3/8    | 0.11      0.99      0.39      0.68      2.18         2.69      | 75987    0        24399    11843    64       | 24     339357         913963       -       
8      16     4      4/8    | 0.11      1.00      0.34      0.72      2.17         2.71      | 75987    0        34894    1348     64       | 32     339357         913963       -       
8      16     5      5/8    | 0.11      1.00      0.32      0.72      2.16         2.72      | 75987    0        35962    280      64       | 40     339357         913963       -       
8      16     6      6/8    | 0.11      1.00      0.32      0.69      2.12         2.76      | 75987    0        36124    118      64       | 48     339357         913963       -       
8      16     7      7/8    | 0.12      0.99      0.32      0.71      2.14         2.74      | 75987    0        36215    27       64       | 56     339357         913963       -       
8      16     8      8/8    | 0.13      1.04      0.32      0.76      2.26         2.60      | 75987    0        36306    0        0        | 64     339357         913963       -       
8      32     0      0/8    | 0.13      1.44      0.71      0.78      3.08         1.91      | 75987    0        0        36242    64       | 1      505765         913963       -       
8      32     1      1/8    | 0.13      1.43      0.70      0.80      3.07         1.91      | 75987    0        0        36242    64       | 8      505765         913963       -       
8      32     2      2/8    | 0.12      1.40      0.62      0.78      2.94         1.99      | 75987    0        15686    20556    64       | 16     505765         913963       -       
