# Matrix: rim
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.01-0.1/rim.mtx
# Category: 10k-50k-0.01-0.1
# Date: 2026-03-06 03:47:30
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 22560
# Cols: 22560
# NNZ(A): 1014951
# NNZ(C) estimate: 48495211
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.11      0.81      1.57      0.63      3.14         30.89     | 32215    0        0        110729   11018    | 1      213128         4123936      -       
8      8      1      1/8    | 0.11      0.82      1.57      0.62      3.12         31.06     | 32215    0        0        110729   11018    | 8      213128         4123936      -       
8      8      2      2/8    | 0.11      0.82      1.51      0.62      3.08         31.51     | 32215    0        32996    77733    11018    | 16     213128         4123936      -       
8      8      3      3/8    | 0.10      0.85      1.46      0.61      3.05         31.80     | 32215    0        58191    52538    11018    | 24     213128         4123936      -       
8      8      4      4/8    | 0.11      0.83      1.49      0.61      3.04         31.88     | 32215    0        75604    35125    11018    | 32     213128         4123936      -       
8      8      5      5/8    | 0.11      0.82      1.41      0.63      2.98         32.51     | 32215    0        85460    25269    11018    | 40     213128         4123936      -       
8      8      6      6/8    | 0.11      0.82      1.40      0.63      2.97         32.66     | 32215    0        93616    17113    11018    | 48     213128         4123936      -       
8      8      7      7/8    | 0.10      0.85      1.38      0.62      2.97         32.62     | 32215    0        103113   7616     11018    | 56     213128         4123936      -       
8      8      8      8/8    | 0.13      0.86      1.40      0.68      3.08         31.48     | 32215    0        121747   0        0        | 64     213128         4123936      -       
8      16     0      0/8    | 0.11      0.73      1.39      0.63      2.88         33.74     | 32215    0        0        110729   11018    | 1      222579         4123936      -       
8      16     1      1/8    | 0.10      0.71      1.38      0.63      2.83         34.22     | 32215    0        0        110729   11018    | 8      222579         4123936      -       
8      16     2      2/8    | 0.10      0.73      1.31      0.63      2.77         34.96     | 32215    0        32996    77733    11018    | 16     222579         4123936      -       
8      16     3      3/8    | 0.12      0.72      1.25      0.66      2.77         35.03     | 32215    0        58191    52538    11018    | 24     222579         4123936      -       
8      16     4      4/8    | 0.11      0.74      1.26      0.64      2.77         34.98     | 32215    0        75604    35125    11018    | 32     222579         4123936      -       
8      16     5      5/8    | 0.12      0.76      1.18      0.67      2.75         35.28     | 32215    0        85460    25269    11018    | 40     222579         4123936      -       
8      16     6      6/8    | 0.11      0.74      1.17      0.64      2.67         36.30     | 32215    0        93616    17113    11018    | 48     222579         4123936      -       
8      16     7      7/8    | 0.10      0.70      1.17      0.65      2.63         36.81     | 32215    0        103113   7616     11018    | 56     222579         4123936      -       
8      16     8      8/8    | 0.12      0.74      1.27      0.70      2.85         34.09     | 32215    0        121747   0        0        | 64     222579         4123936      -       
8      32     0      0/8    | 0.11      0.78      1.94      0.63      3.48         27.90     | 32215    0        0        110729   11018    | 1      244476         4123936      -       
8      32     1      1/8    | 0.13      0.82      1.94      0.66      3.56         27.23     | 32215    0        0        110729   11018    | 8      244476         4123936      -       
8      32     2      2/8    | 0.11      0.76      1.80      0.65      3.33         29.11     | 32215    0        32996    77733    11018    | 16     244476         4123936      -       
8      32     3      3/8    | 0.12      0.80      1.68      0.63      3.24         29.94     | 32215    0        58191    52538    11018    | 24     244476         4123936      -       
8      32     4      4/8    | 0.12      0.79      1.60      0.66      3.18         30.49     | 32215    0        75604    35125    11018    | 32     244476         4123936      -       
8      32     5      5/8    | 0.11      0.78      1.53      0.65      3.09         31.42     | 32215    0        85460    25269    11018    | 40     244476         4123936      -       
8      32     6      6/8    | 0.11      0.79      1.47      0.63      3.01         32.21     | 32215    0        93616    17113    11018    | 48     244476         4123936      -       
8      32     7      7/8    | 0.11      0.78      1.40      0.64      2.95         32.84     | 32215    0        103113   7616     11018    | 56     244476         4123936      -       
8      32     8      8/8    | 0.11      0.80      1.33      0.65      2.91         33.32     | 32215    0        121747   0        0        | 64     244476         4123936      -       
16     8      0      0/8    | 0.11      0.41      1.19      0.43      2.16         44.97     | 11434    0        0        35254    0        | 1      59164          4123936      -       
16     8      1      1/8    | 0.11      0.41      1.18      0.43      2.15         45.09     | 11434    0        0        35254    0        | 32     59164          4123936      -       
16     8      2      2/8    | 0.10      0.40      1.15      0.42      2.09         46.32     | 11434    0        10078    25176    0        | 64     59164          4123936      -       
16     8      3      3/8    | 0.11      0.41      1.14      0.43      2.10         46.25     | 11434    0        18944    16310    0        | 96     59164          4123936      -       
16     8      4      4/8    | 0.10      0.42      1.12      0.42      2.08         46.67     | 11434    0        22613    12641    0        | 128    59164          4123936      -       
16     8      5      5/8    | 0.10      0.40      1.15      0.41      2.06         46.97     | 11434    0        25348    9906     0        | 160    59164          4123936      -       
16     8      6      6/8    | 0.09      0.40      1.18      0.42      2.11         45.92     | 11434    0        30511    4743     0        | 192    59164          4123936      -       
16     8      7      7/8    | 0.12      0.42      1.24      0.43      2.23         43.55     | 11434    0        35091    163      0        | 224    59164          4123936      -       
16     8      8      8/8    | 0.10      0.41      1.26      0.40      2.18         44.49     | 11434    0        35254    0        0        | 256    59164          4123936      -       
16     16     0      0/8    | 0.10      0.32      0.94      0.42      1.79         54.06     | 11434    0        0        35254    0        | 1      61441          4123936      -       
16     16     1      1/8    | 0.10      0.32      0.95      0.42      1.80         53.76     | 11434    0        0        35254    0        | 32     61441          4123936      -       
16     16     2      2/8    | 0.09      0.33      0.92      0.42      1.78         54.52     | 11434    0        10078    25176    0        | 64     61441          4123936      -       
16     16     3      3/8    | 0.10      0.31      0.93      0.38      1.73         56.00     | 11434    0        18944    16310    0        | 96     61441          4123936      -       
16     16     4      4/8    | 0.12      0.32      0.97      0.43      1.86         52.17     | 11434    0        22613    12641    0        | 128    61441          4123936      -       
16     16     5      5/8    | 0.10      0.33      1.01      0.42      1.87         51.95     | 11434    0        25348    9906     0        | 160    61441          4123936      -       
16     16     6      6/8    | 0.09      0.31      1.12      0.41      1.94         50.07     | 11434    0        30511    4743     0        | 192    61441          4123936      -       
16     16     7      7/8    | 0.10      0.32      1.26      0.41      2.10         46.19     | 11434    0        35091    163      0        | 224    61441          4123936      -       
16     16     8      8/8    | 0.11      0.33      1.25      0.45      2.15         45.09     | 11434    0        35254    0        0        | 256    61441          4123936      -       
16     32     0      0/8    | 0.10      0.30      1.45      0.46      2.33         41.63     | 11434    0        0        35254    0        | 1      64104          4123936      -       
16     32     1      1/8    | 0.09      0.30      1.46      0.47      2.33         41.68     | 11434    0        0        35254    0        | 32     64104          4123936      -       
16     32     2      2/8    | 0.11      0.32      1.36      0.49      2.29         42.30     | 11434    0        10078    25176    0        | 64     64104          4123936      -       
16     32     3      3/8    | 0.10      0.30      1.27      0.48      2.17         44.70     | 11434    0        18944    16310    0        | 96     64104          4123936      -       
16     32     4      4/8    | 0.10      0.30      1.22      0.48      2.12         45.77     | 11434    0        22613    12641    0        | 128    64104          4123936      -       
16     32     5      5/8    | 0.09      0.31      1.27      0.49      2.17         44.76     | 11434    0        25348    9906     0        | 160    64104          4123936      -       
16     32     6      6/8    | 0.10      0.31      1.29      0.49      2.20         44.13     | 11434    0        30511    4743     0        | 192    64104          4123936      -       
16     32     7      7/8    | 0.11      0.31      1.41      0.50      2.34         41.47     | 11434    0        35091    163      0        | 224    64104          4123936      -       
16     32     8      8/8    | 0.10      0.30      1.32      0.47      2.20         44.05     | 11434    0        35254    0        0        | 256    64104          4123936      -       
32     8      0      0/8    | 0.11      0.37      1.75      0.41      2.65         36.54     | 4745     0        0        10086    0        | 1      16171          4123936      -       
32     8      1      1/8    | 0.10      0.38      1.75      0.42      2.66         36.50     | 4745     0        0        10086    0        | 128    16171          4123936      -       
32     8      2      2/8    | 0.09      0.36      1.57      0.39      2.44         39.82     | 4745     0        3856     6230     0        | 256    16171          4123936      -       
32     8      3      3/8    | 0.10      0.37      1.49      0.42      2.40         40.48     | 4745     0        6066     4020     0        | 384    16171          4123936      -       
32     8      4      4/8    | 0.10      0.37      1.53      0.41      2.42         40.13     | 4745     0        7032     3054     0        | 512    16171          4123936      -       
32     8      5      5/8    | 0.09      0.37      1.60      0.40      2.47         39.32     | 4745     0        8064     2022     0        | 640    16171          4123936      -       
32     8      6      6/8    | 0.09      0.36      1.65      0.39      2.51         38.69     | 4745     0        9670     416      0        | 768    16171          4123936      -       
32     8      7      7/8    | 0.09      0.36      1.43      0.41      2.30         42.19     | 4745     0        10086    0        0        | 896    16171          4123936      -       
32     8      8      8/8    | 0.10      0.37      1.45      0.40      2.33         41.68     | 4745     0        10086    0        0        | 1024   16171          4123936      -       
32     16     0      0/8    | 0.11      0.30      1.65      0.38      2.45         39.56     | 4745     0        0        10086    0        | 1      16332          4123936      -       
32     16     1      1/8    | 0.10      0.29      1.65      0.35      2.41         40.28     | 4745     0        0        10086    0        | 128    16332          4123936      -       
32     16     2      2/8    | 0.10      0.30      1.48      0.35      2.24         43.32     | 4745     0        3856     6230     0        | 256    16332          4123936      -       
32     16     3      3/8    | 0.11      0.30      1.44      0.37      2.23         43.47     | 4745     0        6066     4020     0        | 384    16332          4123936      -       
32     16     4      4/8    | 0.10      0.30      1.55      0.37      2.34         41.50     | 4745     0        7032     3054     0        | 512    16332          4123936      -       
32     16     5      5/8    | 0.10      0.29      1.53      0.36      2.30         42.17     | 4745     0        8064     2022     0        | 640    16332          4123936      -       
32     16     6      6/8    | 0.10      0.30      1.61      0.37      2.40         40.48     | 4745     0        9670     416      0        | 768    16332          4123936      -       
32     16     7      7/8    | 0.09      0.30      1.49      0.36      2.25         43.09     | 4745     0        10086    0        0        | 896    16332          4123936      -       
32     16     8      8/8    | 0.09      0.29      1.50      0.35      2.24         43.32     | 4745     0        10086    0        0        | 1024   16332          4123936      -       
32     32     0      0/8    | 0.08      0.26      1.45      0.33      2.14         45.34     | 4745     0        0        10086    0        | 1      17075          4123936      -       
32     32     1      1/8    | 0.11      0.28      1.45      0.35      2.21         43.95     | 4745     0        0        10086    0        | 128    17075          4123936      -       
32     32     2      2/8    | 0.10      0.26      1.29      0.34      2.00         48.37     | 4745     0        3856     6230     0        | 256    17075          4123936      -       
32     32     3      3/8    | 0.10      0.27      1.26      0.35      1.99         48.71     | 4745     0        6066     4020     0        | 384    17075          4123936      -       
32     32     4      4/8    | 0.10      0.27      1.40      0.35      2.14         45.32     | 4745     0        7032     3054     0        | 512    17075          4123936      -       
32     32     5      5/8    | 0.10      0.27      1.44      0.35      2.17         44.78     | 4745     0        8064     2022     0        | 640    17075          4123936      -       
32     32     6      6/8    | 0.10      0.27      1.55      0.34      2.28         42.60     | 4745     0        9670     416      0        | 768    17075          4123936      -       
