# Matrix: sinc15
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.01-0.1/sinc15.mtx
# Category: 10k-50k-0.01-0.1
# Date: 2026-03-06 03:52:28
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 11532
# Cols: 11532
# NNZ(A): 568526
# NNZ(C) estimate: 31286689
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.25      1.63      6.07      0.94      8.90         7.03      | 116732   0        0        220898   195057   | 1      595128         22566029     -       
8      8      1      1/8    | 0.27      1.74      6.08      1.00      9.11         6.87      | 116732   0        0        220898   195057   | 8      595128         22566029     -       
8      8      2      2/8    | 0.26      1.75      6.02      0.93      8.97         6.98      | 116732   0        13765    207133   195057   | 16     595128         22566029     -       
8      8      3      3/8    | 0.27      1.67      5.96      0.99      8.91         7.03      | 116732   0        28697    192201   195057   | 24     595128         22566029     -       
8      8      4      4/8    | 0.27      1.72      5.84      0.95      8.79         7.12      | 116732   0        50288    170610   195057   | 32     595128         22566029     -       
8      8      5      5/8    | 0.27      1.65      5.53      0.98      8.44         7.42      | 116732   0        79827    141071   195057   | 40     595128         22566029     -       
8      8      6      6/8    | 0.27      1.66      5.12      0.95      8.01         7.81      | 116732   0        144139   76759    195057   | 48     595128         22566029     -       
8      8      7      7/8    | 0.26      1.69      4.71      0.96      7.63         8.20      | 116732   0        188039   32859    195057   | 56     595128         22566029     -       
8      8      8      8/8    | 0.27      1.69      3.07      0.99      6.03         10.38     | 116732   0        415955   0        0        | 64     595128         22566029     -       
8      16     0      0/8    | 0.28      1.84      8.49      0.97      11.60        5.40      | 116732   0        0        220898   195057   | 1      640729         22566029     -       
8      16     1      1/8    | 0.28      1.87      8.49      0.93      11.59        5.40      | 116732   0        0        220898   195057   | 8      640729         22566029     -       
8      16     2      2/8    | 0.27      1.75      8.39      0.93      11.35        5.51      | 116732   0        13765    207133   195057   | 16     640729         22566029     -       
8      16     3      3/8    | 0.29      1.81      8.24      0.97      11.32        5.53      | 116732   0        28697    192201   195057   | 24     640729         22566029     -       
8      16     4      4/8    | 0.28      1.81      7.93      0.96      10.99        5.69      | 116732   0        50288    170610   195057   | 32     640729         22566029     -       
8      16     5      5/8    | 0.27      1.76      7.30      0.92      10.26        6.10      | 116732   0        79827    141071   195057   | 40     640729         22566029     -       
8      16     6      6/8    | 0.27      1.85      6.50      0.92      9.57         6.54      | 116732   0        144139   76759    195057   | 48     640729         22566029     -       
8      16     7      7/8    | 0.28      1.78      5.79      0.92      8.77         7.13      | 116732   0        188039   32859    195057   | 56     640729         22566029     -       
8      16     8      8/8    | 0.28      1.81      3.04      0.93      6.06         10.32     | 116732   0        415955   0        0        | 64     640729         22566029     -       
8      32     0      0/8    | 0.31      1.98      16.02     1.01      19.33        3.24      | 116732   0        0        220898   195057   | 1      690195         22566029     -       
8      32     1      1/8    | 0.30      1.92      16.01     0.99      19.24        3.25      | 116732   0        0        220898   195057   | 8      690195         22566029     -       
8      32     2      2/8    | 0.31      1.98      15.76     1.08      19.15        3.27      | 116732   0        13765    207133   195057   | 16     690195         22566029     -       
8      32     3      3/8    | 0.30      1.92      15.46     1.06      18.76        3.34      | 116732   0        28697    192201   195057   | 24     690195         22566029     -       
8      32     4      4/8    | 0.30      1.97      14.65     1.00      17.94        3.49      | 116732   0        50288    170610   195057   | 32     690195         22566029     -       
8      32     5      5/8    | 0.30      1.98      13.29     0.99      16.57        3.78      | 116732   0        79827    141071   195057   | 40     690195         22566029     -       
8      32     6      6/8    | 0.30      2.01      11.40     1.03      14.76        4.24      | 116732   0        144139   76759    195057   | 48     690195         22566029     -       
8      32     7      7/8    | 0.30      1.97      9.60      1.02      12.90        4.85      | 116732   0        188039   32859    195057   | 56     690195         22566029     -       
8      32     8      8/8    | 0.30      1.99      2.74      1.01      6.05         10.33     | 116732   0        415955   0        0        | 64     690195         22566029     -       
16     8      0      0/8    | 0.28      1.53      4.06      0.73      6.61         9.46      | 61627    0        0        81762    25321    | 1      178124         22566029     -       
16     8      1      1/8    | 0.29      1.57      4.06      0.75      6.69         9.35      | 61627    0        0        81762    25321    | 32     178124         22566029     -       
16     8      2      2/8    | 0.29      1.54      4.00      0.74      6.59         9.50      | 61627    0        5542     76220    25321    | 64     178124         22566029     -       
16     8      3      3/8    | 0.29      1.54      3.99      0.70      6.53         9.58      | 61627    0        8301     73461    25321    | 96     178124         22566029     -       
16     8      4      4/8    | 0.28      1.55      4.00      0.69      6.53         9.58      | 61627    0        14138    67624    25321    | 128    178124         22566029     -       
16     8      5      5/8    | 0.28      1.60      4.03      0.69      6.62         9.46      | 61627    0        20994    60768    25321    | 160    178124         22566029     -       
16     8      6      6/8    | 0.29      1.54      4.17      0.72      6.73         9.29      | 61627    0        29409    52353    25321    | 192    178124         22566029     -       
16     8      7      7/8    | 0.29      1.56      4.42      0.71      7.00         8.95      | 61627    0        58734    23028    25321    | 224    178124         22566029     -       
16     8      8      8/8    | 0.28      1.59      4.61      0.71      7.21         8.68      | 61627    0        107083   0        0        | 256    178124         22566029     -       
16     16     0      0/8    | 0.25      1.26      3.69      0.77      5.98         10.46     | 61627    0        0        81762    25321    | 1      184306         22566029     -       
16     16     1      1/8    | 0.25      1.28      3.70      0.77      6.02         10.39     | 61627    0        0        81762    25321    | 32     184306         22566029     -       
16     16     2      2/8    | 0.25      1.25      3.63      0.75      5.89         10.61     | 61627    0        5542     76220    25321    | 64     184306         22566029     -       
16     16     3      3/8    | 0.25      1.28      3.61      0.77      5.92         10.58     | 61627    0        8301     73461    25321    | 96     184306         22566029     -       
16     16     4      4/8    | 0.24      1.26      3.49      0.76      5.77         10.85     | 61627    0        14138    67624    25321    | 128    184306         22566029     -       
16     16     5      5/8    | 0.24      1.27      3.34      0.74      5.60         11.17     | 61627    0        20994    60768    25321    | 160    184306         22566029     -       
16     16     6      6/8    | 0.26      1.29      3.33      0.79      5.67         11.03     | 61627    0        29409    52353    25321    | 192    184306         22566029     -       
16     16     7      7/8    | 0.25      1.27      3.21      0.77      5.51         11.35     | 61627    0        58734    23028    25321    | 224    184306         22566029     -       
16     16     8      8/8    | 0.25      1.27      2.78      0.77      5.08         12.32     | 61627    0        107083   0        0        | 256    184306         22566029     -       
16     32     0      0/8    | 0.19      0.86      9.62      0.76      11.44        5.47      | 61627    0        0        81762    25321    | 1      188929         22566029     -       
16     32     1      1/8    | 0.19      0.85      9.61      0.78      11.44        5.47      | 61627    0        0        81762    25321    | 32     188929         22566029     -       
16     32     2      2/8    | 0.18      0.89      9.41      0.75      11.24        5.57      | 61627    0        5542     76220    25321    | 64     188929         22566029     -       
16     32     3      3/8    | 0.20      0.87      9.28      0.77      11.13        5.62      | 61627    0        8301     73461    25321    | 96     188929         22566029     -       
16     32     4      4/8    | 0.19      0.85      8.87      0.77      10.70        5.85      | 61627    0        14138    67624    25321    | 128    188929         22566029     -       
16     32     5      5/8    | 0.19      0.87      8.22      0.74      10.02        6.24      | 61627    0        20994    60768    25321    | 160    188929         22566029     -       
16     32     6      6/8    | 0.18      0.85      7.37      0.74      9.15         6.84      | 61627    0        29409    52353    25321    | 192    188929         22566029     -       
16     32     7      7/8    | 0.19      0.84      5.34      0.74      7.12         8.79      | 61627    0        58734    23028    25321    | 224    188929         22566029     -       
16     32     8      8/8    | 0.19      0.84      1.52      0.74      3.31         18.93     | 61627    0        107083   0        0        | 256    188929         22566029     -       
32     8      0      0/8    | 0.33      2.08      4.02      0.54      6.98         8.97      | 20733    0        0        28403    106      | 1      52690          22566029     -       
32     8      1      1/8    | 0.33      2.09      4.00      0.57      7.00         8.93      | 20733    0        0        28403    106      | 128    52690          22566029     -       
32     8      2      2/8    | 0.33      2.12      3.91      0.56      6.94         9.02      | 20733    0        2465     25938    106      | 256    52690          22566029     -       
32     8      3      3/8    | 0.33      2.08      3.95      0.55      6.92         9.04      | 20733    0        3522     24881    106      | 384    52690          22566029     -       
32     8      4      4/8    | 0.33      2.07      3.94      0.53      6.88         9.10      | 20733    0        5260     23143    106      | 512    52690          22566029     -       
32     8      5      5/8    | 0.33      2.06      3.93      0.54      6.87         9.11      | 20733    0        7178     21225    106      | 640    52690          22566029     -       
32     8      6      6/8    | 0.33      2.08      4.14      0.54      7.10         8.81      | 20733    0        9237     19166    106      | 768    52690          22566029     -       
32     8      7      7/8    | 0.33      2.10      4.53      0.53      7.50         8.34      | 20733    0        13010    15393    106      | 896    52690          22566029     -       
32     8      8      8/8    | 0.34      2.12      4.69      0.56      7.73         8.09      | 20733    0        28509    0        0        | 1024   52690          22566029     -       
32     16     0      0/8    | 0.20      1.47      4.19      0.54      6.41         9.76      | 20733    0        0        28403    106      | 1      53138          22566029     -       
32     16     1      1/8    | 0.20      1.40      4.25      0.53      6.38         9.81      | 20733    0        0        28403    106      | 128    53138          22566029     -       
32     16     2      2/8    | 0.21      1.39      4.06      0.60      6.27         9.98      | 20733    0        2465     25938    106      | 256    53138          22566029     -       
32     16     3      3/8    | 0.20      1.39      4.01      0.55      6.16         10.15     | 20733    0        3522     24881    106      | 384    53138          22566029     -       
32     16     4      4/8    | 0.20      1.41      3.82      0.55      6.00         10.43     | 20733    0        5260     23143    106      | 512    53138          22566029     -       
32     16     5      5/8    | 0.20      1.47      3.48      0.53      5.70         10.99     | 20733    0        7178     21225    106      | 640    53138          22566029     -       
32     16     6      6/8    | 0.20      1.38      3.63      0.57      5.79         10.81     | 20733    0        9237     19166    106      | 768    53138          22566029     -       
32     16     7      7/8    | 0.20      1.40      3.49      0.57      5.67         11.03     | 20733    0        13010    15393    106      | 896    53138          22566029     -       
32     16     8      8/8    | 0.19      1.41      3.43      0.56      5.59         11.19     | 20733    0        28509    0        0        | 1024   53138          22566029     -       
32     32     0      0/8    | 0.14      0.84      7.36      0.60      8.95         6.99      | 20733    0        0        28403    106      | 1      54134          22566029     -       
32     32     1      1/8    | 0.17      0.86      7.40      0.64      9.08         6.89      | 20733    0        0        28403    106      | 128    54134          22566029     -       
32     32     2      2/8    | 0.15      0.83      7.11      0.59      8.69         7.20      | 20733    0        2465     25938    106      | 256    54134          22566029     -       
32     32     3      3/8    | 0.15      0.83      6.99      0.62      8.61         7.27      | 20733    0        3522     24881    106      | 384    54134          22566029     -       
32     32     4      4/8    | 0.16      0.84      6.66      0.62      8.29         7.55      | 20733    0        5260     23143    106      | 512    54134          22566029     -       
32     32     5      5/8    | 0.15      0.86      6.16      0.59      7.77         8.06      | 20733    0        7178     21225    106      | 640    54134          22566029     -       
32     32     6      6/8    | 0.15      0.84      5.54      0.60      7.15         8.76      | 20733    0        9237     19166    106      | 768    54134          22566029     -       
32     32     7      7/8    | 0.15      0.85      4.43      0.58      6.03         10.38     | 20733    0        13010    15393    106      | 896    54134          22566029     -       
32     32     8      8/8    | 0.15      0.84      1.47      0.58      3.05         20.52     | 20733    0        28509    0        0        | 1024   54134          22566029     -       
