# Matrix: sparsine
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.01-0.1/sparsine.mtx
# Category: 10k-50k-0.01-0.1
# Date: 2026-03-06 04:03:28
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 50000
# Cols: 50000
# NNZ(A): 1548988
# NNZ(C) estimate: 54208450
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 3.64      181.50    83.83     2.38      271.37       0.40      | 13980117 0        0        8277     0        | 1      36486516       18662060     -       
8      8      1      1/8    | 3.65      180.43    83.83     2.44      270.37       0.40      | 13980117 0        0        8277     0        | 8      36486516       18662060     -       
8      8      2      2/8    | 3.61      182.29    83.66     2.43      272.01       0.40      | 13980117 0        7970     307      0        | 16     36486516       18662060     -       
8      8      3      3/8    | 3.62      181.45    83.64     2.40      271.12       0.40      | 13980117 0        8187     90       0        | 24     36486516       18662060     -       
8      8      4      4/8    | 3.64      181.93    83.72     2.43      271.73       0.40      | 13980117 0        8237     40       0        | 32     36486516       18662060     -       
8      8      5      5/8    | 3.63      181.76    83.65     2.41      271.47       0.40      | 13980117 0        8270     7        0        | 40     36486516       18662060     -       
8      8      6      6/8    | 3.65      179.75    83.65     2.39      269.46       0.40      | 13980117 0        8275     2        0        | 48     36486516       18662060     -       
8      8      7      7/8    | 3.63      182.07    83.63     2.42      271.77       0.40      | 13980117 0        8277     0        0        | 56     36486516       18662060     -       
8      8      8      8/8    | 3.63      181.53    83.64     2.41      271.23       0.40      | 13980117 0        8277     0        0        | 64     36486516       18662060     -       
8      16     0      0/8    | 4.24      179.72    94.60     2.46      281.05       0.39      | 13980117 0        0        8277     0        | 1      38465930       18662060     -       
8      16     1      1/8    | 4.22      179.15    94.66     2.49      280.54       0.39      | 13980117 0        0        8277     0        | 8      38465930       18662060     -       
8      16     2      2/8    | 4.26      181.11    94.38     2.55      282.33       0.38      | 13980117 0        7970     307      0        | 16     38465930       18662060     -       
8      16     3      3/8    | 4.21      180.11    94.38     2.47      281.20       0.39      | 13980117 0        8187     90       0        | 24     38465930       18662060     -       
8      16     4      4/8    | 4.25      178.37    94.40     2.49      279.54       0.39      | 13980117 0        8237     40       0        | 32     38465930       18662060     -       
8      16     5      5/8    | 4.23      178.18    94.36     2.48      279.26       0.39      | 13980117 0        8270     7        0        | 40     38465930       18662060     -       
8      16     6      6/8    | 4.26      181.06    94.35     2.48      282.17       0.38      | 13980117 0        8275     2        0        | 48     38465930       18662060     -       
8      16     7      7/8    | 4.23      180.22    94.36     2.50      281.34       0.39      | 13980117 0        8277     0        0        | 56     38465930       18662060     -       
8      16     8      8/8    | 4.27      180.18    94.38     2.46      281.31       0.39      | 13980117 0        8277     0        0        | 64     38465930       18662060     -       
8      32     0      0/8    | 5.52      200.49    109.14    2.52      317.78       0.34      | 13980117 0        0        8277     0        | 1      38981022       18662060     -       
8      32     1      1/8    | 5.52      199.65    109.09    2.48      316.77       0.34      | 13980117 0        0        8277     0        | 8      38981022       18662060     -       
8      32     2      2/8    | 5.54      200.35    108.82    2.47      317.22       0.34      | 13980117 0        7970     307      0        | 16     38981022       18662060     -       
8      32     3      3/8    | 5.52      202.94    108.83    2.50      319.89       0.34      | 13980117 0        8187     90       0        | 24     38981022       18662060     -       
8      32     4      4/8    | 5.52      201.52    108.76    2.47      318.31       0.34      | 13980117 0        8237     40       0        | 32     38981022       18662060     -       
8      32     5      5/8    | 5.54      201.79    108.80    2.47      318.64       0.34      | 13980117 0        8270     7        0        | 40     38981022       18662060     -       
8      32     6      6/8    | 5.54      201.88    108.69    2.49      318.63       0.34      | 13980117 0        8275     2        0        | 48     38981022       18662060     -       
8      32     7      7/8    | 5.51      201.59    108.75    2.47      318.36       0.34      | 13980117 0        8277     0        0        | 56     38981022       18662060     -       
8      32     8      8/8    | 5.55      200.61    108.78    2.50      317.53       0.34      | 13980117 0        8277     0        0        | 64     38981022       18662060     -       
16     8      0      0/8    | 1.46      101.57    135.38    1.58      240.01       0.45      | 7684371  0        0        304      0        | 1      9707925        18662060     -       
16     8      1      1/8    | 1.45      102.17    135.25    1.60      240.49       0.45      | 7684371  0        0        304      0        | 32     9707925        18662060     -       
16     8      2      2/8    | 1.45      101.56    135.30    1.56      239.89       0.45      | 7684371  0        242      62       0        | 64     9707925        18662060     -       
