# Matrix: std1_Jac2_db
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.01-0.1/std1_Jac2_db.mtx
# Category: 10k-50k-0.01-0.1
# Date: 2026-03-06 04:04:23
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 21982
# Cols: 21982
# NNZ(A): 498771
# NNZ(C) estimate: 46070008
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.15      1.20      2.07      0.49      3.92         23.51     | 25643    0        0        38508    23598    | 1      105581         2943388      -       
8      8      1      1/8    | 0.14      1.20      2.08      0.47      3.91         23.58     | 25643    0        0        38508    23598    | 8      105581         2943388      -       
8      8      2      2/8    | 0.13      1.18      2.02      0.45      3.81         24.21     | 25643    0        10281    28227    23598    | 16     105581         2943388      -       
8      8      3      3/8    | 0.15      1.23      1.98      0.48      3.86         23.88     | 25643    0        16132    22376    23598    | 24     105581         2943388      -       
8      8      4      4/8    | 0.14      1.18      1.97      0.45      3.76         24.51     | 25643    0        20453    18055    23598    | 32     105581         2943388      -       
8      8      5      5/8    | 0.15      1.17      1.88      0.45      3.67         25.14     | 25643    0        23635    14873    23598    | 40     105581         2943388      -       
8      8      6      6/8    | 0.15      1.17      1.85      0.49      3.67         25.11     | 25643    0        27019    11489    23598    | 48     105581         2943388      -       
8      8      7      7/8    | 0.14      1.16      1.78      0.46      3.56         25.85     | 25643    0        33522    4986     23598    | 56     105581         2943388      -       
8      8      8      8/8    | 0.14      1.19      1.44      0.47      3.25         28.33     | 25643    0        62106    0        0        | 64     105581         2943388      -       
8      16     0      0/8    | 0.11      0.76      1.53      0.46      2.88         31.98     | 25643    0        0        38508    23598    | 1      117941         2943388      -       
8      16     1      1/8    | 0.13      0.76      1.52      0.49      2.92         31.52     | 25643    0        0        38508    23598    | 8      117941         2943388      -       
8      16     2      2/8    | 0.12      0.83      1.48      0.46      2.90         31.81     | 25643    0        10281    28227    23598    | 16     117941         2943388      -       
8      16     3      3/8    | 0.11      0.76      1.44      0.44      2.76         33.37     | 25643    0        16132    22376    23598    | 24     117941         2943388      -       
8      16     4      4/8    | 0.11      0.73      1.42      0.44      2.71         34.01     | 25643    0        20453    18055    23598    | 32     117941         2943388      -       
8      16     5      5/8    | 0.11      0.73      1.39      0.45      2.69         34.23     | 25643    0        23635    14873    23598    | 40     117941         2943388      -       
8      16     6      6/8    | 0.11      0.74      1.37      0.44      2.67         34.48     | 25643    0        27019    11489    23598    | 48     117941         2943388      -       
8      16     7      7/8    | 0.12      0.76      1.35      0.48      2.74         33.62     | 25643    0        33522    4986     23598    | 56     117941         2943388      -       
8      16     8      8/8    | 0.11      0.74      1.28      0.46      2.61         35.32     | 25643    0        62106    0        0        | 64     117941         2943388      -       
8      32     0      0/8    | 0.11      0.67      1.95      0.53      3.27         28.19     | 25643    0        0        38508    23598    | 1      135501         2943388      -       
8      32     1      1/8    | 0.11      0.64      1.95      0.55      3.26         28.29     | 25643    0        0        38508    23598    | 8      135501         2943388      -       
8      32     2      2/8    | 0.12      0.66      1.85      0.57      3.20         28.78     | 25643    0        10281    28227    23598    | 16     135501         2943388      -       
8      32     3      3/8    | 0.12      0.64      1.78      0.51      3.06         30.15     | 25643    0        16132    22376    23598    | 24     135501         2943388      -       
8      32     4      4/8    | 0.12      0.66      1.72      0.54      3.05         30.22     | 25643    0        20453    18055    23598    | 32     135501         2943388      -       
8      32     5      5/8    | 0.11      0.67      1.69      0.51      3.00         30.73     | 25643    0        23635    14873    23598    | 40     135501         2943388      -       
8      32     6      6/8    | 0.11      0.63      1.64      0.48      2.87         32.15     | 25643    0        27019    11489    23598    | 48     135501         2943388      -       
8      32     7      7/8    | 0.12      0.66      1.56      0.54      2.89         31.92     | 25643    0        33522    4986     23598    | 56     135501         2943388      -       
8      32     8      8/8    | 0.11      0.66      1.33      0.52      2.63         35.07     | 25643    0        62106    0        0        | 64     135501         2943388      -       
16     8      0      0/8    | 0.13      1.36      1.58      0.35      3.43         26.87     | 12130    0        0        12216    3940     | 1      32828          2943388      -       
16     8      1      1/8    | 0.13      1.36      1.55      0.36      3.40         27.09     | 12130    0        0        12216    3940     | 32     32828          2943388      -       
16     8      2      2/8    | 0.12      1.36      1.55      0.34      3.38         27.25     | 12130    0        2797     9419     3940     | 64     32828          2943388      -       
16     8      3      3/8    | 0.12      1.36      1.50      0.34      3.34         27.60     | 12130    0        4644     7572     3940     | 96     32828          2943388      -       
16     8      4      4/8    | 0.13      1.36      1.49      0.36      3.35         27.55     | 12130    0        5799     6417     3940     | 128    32828          2943388      -       
16     8      5      5/8    | 0.11      1.35      1.47      0.32      3.26         28.24     | 12130    0        6813     5403     3940     | 160    32828          2943388      -       
16     8      6      6/8    | 0.12      1.35      1.45      0.34      3.27         28.20     | 12130    0        7673     4543     3940     | 192    32828          2943388      -       
16     8      7      7/8    | 0.11      1.35      1.44      0.33      3.25         28.33     | 12130    0        8679     3537     3940     | 224    32828          2943388      -       
16     8      8      8/8    | 0.11      1.34      1.69      0.34      3.50         26.33     | 12130    0        16156    0        0        | 256    32828          2943388      -       
16     16     0      0/8    | 0.11      0.72      1.26      0.42      2.53         36.45     | 12130    0        0        12216    3940     | 1      34391          2943388      -       
16     16     1      1/8    | 0.10      0.71      1.29      0.40      2.51         36.71     | 12130    0        0        12216    3940     | 32     34391          2943388      -       
16     16     2      2/8    | 0.10      0.72      1.25      0.40      2.49         37.03     | 12130    0        2797     9419     3940     | 64     34391          2943388      -       
16     16     3      3/8    | 0.10      0.72      1.23      0.40      2.46         37.46     | 12130    0        4644     7572     3940     | 96     34391          2943388      -       
16     16     4      4/8    | 0.10      0.71      1.21      0.39      2.42         38.01     | 12130    0        5799     6417     3940     | 128    34391          2943388      -       
16     16     5      5/8    | 0.10      0.73      1.25      0.40      2.49         36.99     | 12130    0        6813     5403     3940     | 160    34391          2943388      -       
