# Matrix: std1_Jac3
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.01-0.1/std1_Jac3.mtx
# Category: 10k-50k-0.01-0.1
# Date: 2026-03-06 04:08:34
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 21982
# Cols: 21982
# NNZ(A): 1455848
# NNZ(C) estimate: 114661142
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.31      2.86      5.21      0.87      9.27         24.73     | 145385   0        0        307560   46611    | 1      567545         13447461     -       
8      8      1      1/8    | 0.31      2.86      5.17      0.91      9.26         24.76     | 145385   0        0        307560   46611    | 8      567545         13447461     -       
8      8      2      2/8    | 0.31      2.75      5.02      0.89      8.97         25.58     | 145385   0        78248    229312   46611    | 16     567545         13447461     -       
8      8      3      3/8    | 0.32      2.90      4.88      0.93      9.05         25.35     | 145385   0        128707   178853   46611    | 24     567545         13447461     -       
8      8      4      4/8    | 0.32      2.86      4.85      0.90      8.95         25.64     | 145385   0        169672   137888   46611    | 32     567545         13447461     -       
8      8      5      5/8    | 0.32      2.89      4.56      0.90      8.68         26.43     | 145385   0        210695   96865    46611    | 40     567545         13447461     -       
8      8      6      6/8    | 0.32      2.77      4.35      0.92      8.37         27.39     | 145385   0        254015   53545    46611    | 48     567545         13447461     -       
8      8      7      7/8    | 0.32      2.73      4.18      0.90      8.14         28.17     | 145385   0        293264   14296    46611    | 56     567545         13447461     -       
8      8      8      8/8    | 0.32      2.85      4.07      0.90      8.15         28.12     | 145385   0        354171   0        0        | 64     567545         13447461     -       
8      16     0      0/8    | 0.23      2.36      5.33      0.85      8.79         26.08     | 145385   0        0        307560   46611    | 1      612532         13447461     -       
8      16     1      1/8    | 0.23      2.28      5.34      0.86      8.72         26.29     | 145385   0        0        307560   46611    | 8      612532         13447461     -       
8      16     2      2/8    | 0.23      2.30      5.06      0.89      8.50         26.99     | 145385   0        78248    229312   46611    | 16     612532         13447461     -       
8      16     3      3/8    | 0.22      2.27      4.83      0.83      8.17         28.06     | 145385   0        128707   178853   46611    | 24     612532         13447461     -       
8      16     4      4/8    | 0.22      2.34      4.73      0.85      8.16         28.11     | 145385   0        169672   137888   46611    | 32     612532         13447461     -       
8      16     5      5/8    | 0.26      2.43      4.39      1.38      8.48         27.03     | 145385   0        210695   96865    46611    | 40     612532         13447461     -       
8      16     6      6/8    | 0.24      2.31      4.15      0.86      7.57         30.29     | 145385   0        254015   53545    46611    | 48     612532         13447461     -       
8      16     7      7/8    | 0.23      2.38      3.93      0.86      7.42         30.91     | 145385   0        293264   14296    46611    | 56     612532         13447461     -       
8      16     8      8/8    | 0.23      2.25      3.86      0.87      7.22         31.75     | 145385   0        354171   0        0        | 64     612532         13447461     -       
8      32     0      0/8    | 0.19      2.15      7.56      0.89      10.81        21.21     | 145385   0        0        307560   46611    | 1      682108         13447461     -       
8      32     1      1/8    | 0.20      2.04      7.55      0.94      10.74        21.35     | 145385   0        0        307560   46611    | 8      682108         13447461     -       
8      32     2      2/8    | 0.19      2.11      6.98      0.89      10.19        22.50     | 145385   0        78248    229312   46611    | 16     682108         13447461     -       
8      32     3      3/8    | 0.18      2.16      6.56      0.90      9.81         23.36     | 145385   0        128707   178853   46611    | 24     682108         13447461     -       
8      32     4      4/8    | 0.18      2.08      6.13      0.89      9.29         24.67     | 145385   0        169672   137888   46611    | 32     682108         13447461     -       
8      32     5      5/8    | 0.18      2.06      5.58      0.89      8.72         26.29     | 145385   0        210695   96865    46611    | 40     682108         13447461     -       
8      32     6      6/8    | 0.18      2.02      5.11      0.85      8.16         28.09     | 145385   0        254015   53545    46611    | 48     682108         13447461     -       
8      32     7      7/8    | 0.19      2.04      4.72      0.90      7.87         29.14     | 145385   0        293264   14296    46611    | 56     682108         13447461     -       
8      32     8      8/8    | 0.19      2.04      4.32      0.96      7.53         30.46     | 145385   0        354171   0        0        | 64     682108         13447461     -       
16     8      0      0/8    | 0.27      2.02      3.97      0.60      6.88         33.35     | 62260    0        0        94614    4455     | 1      172282         13447461     -       
16     8      1      1/8    | 0.28      1.96      3.94      0.64      6.83         33.60     | 62260    0        0        94614    4455     | 32     172282         13447461     -       
16     8      2      2/8    | 0.27      1.93      3.75      0.61      6.58         34.87     | 62260    0        24917    69697    4455     | 64     172282         13447461     -       
