# Matrix: stokes128
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.01-0.1/stokes128.mtx
# Category: 10k-50k-0.01-0.1
# Date: 2026-03-06 04:09:23
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 49666
# Cols: 49666
# NNZ(A): 558594
# NNZ(C) estimate: 6565402
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.13      0.61      0.66      0.58      1.99         6.60      | 78223    0        0        96130    0        | 1      248481         2299416      -       
8      8      1      1/8    | 0.12      0.58      0.66      0.56      1.93         6.80      | 78223    0        0        96130    0        | 8      248481         2299416      -       
8      8      2      2/8    | 0.12      0.58      0.63      0.56      1.92         6.85      | 78223    0        24772    71358    0        | 16     248481         2299416      -       
8      8      3      3/8    | 0.13      0.59      0.55      0.57      1.85         7.11      | 78223    0        60446    35684    0        | 24     248481         2299416      -       
8      8      4      4/8    | 0.12      0.55      0.54      0.58      1.80         7.28      | 78223    0        84451    11679    0        | 32     248481         2299416      -       
8      8      5      5/8    | 0.12      0.61      0.45      0.56      1.75         7.52      | 78223    0        96130    0        0        | 40     248481         2299416      -       
8      8      6      6/8    | 0.11      0.58      0.44      0.54      1.69         7.77      | 78223    0        96130    0        0        | 48     248481         2299416      -       
8      8      7      7/8    | 0.11      0.58      0.44      0.56      1.71         7.68      | 78223    0        96130    0        0        | 56     248481         2299416      -       
8      8      8      8/8    | 0.13      0.59      0.44      0.58      1.76         7.48      | 78223    0        96130    0        0        | 64     248481         2299416      -       
8      16     0      0/8    | 0.13      0.98      0.72      0.87      2.72         4.83      | 78223    0        0        96130    0        | 1      326859         2299416      -       
8      16     1      1/8    | 0.13      1.00      0.72      0.83      2.68         4.89      | 78223    0        0        96130    0        | 8      326859         2299416      -       
8      16     2      2/8    | 0.12      0.98      0.68      0.82      2.61         5.04      | 78223    0        24772    71358    0        | 16     326859         2299416      -       
8      16     3      3/8    | 0.11      0.97      0.56      0.81      2.47         5.31      | 78223    0        60446    35684    0        | 24     326859         2299416      -       
8      16     4      4/8    | 0.12      1.00      0.54      0.79      2.47         5.31      | 78223    0        84451    11679    0        | 32     326859         2299416      -       
8      16     5      5/8    | 0.11      0.99      0.42      0.80      2.33         5.64      | 78223    0        96130    0        0        | 40     326859         2299416      -       
8      16     6      6/8    | 0.11      0.97      0.42      0.81      2.31         5.68      | 78223    0        96130    0        0        | 48     326859         2299416      -       
8      16     7      7/8    | 0.11      0.95      0.42      0.79      2.27         5.79      | 78223    0        96130    0        0        | 56     326859         2299416      -       
8      16     8      8/8    | 0.11      0.97      0.42      0.80      2.31         5.69      | 78223    0        96130    0        0        | 64     326859         2299416      -       
8      32     0      0/8    | 0.13      1.40      1.05      0.82      3.41         3.85      | 78223    0        0        96130    0        | 1      479919         2299416      -       
8      32     1      1/8    | 0.12      1.36      1.05      0.82      3.36         3.91      | 78223    0        0        96130    0        | 8      479919         2299416      -       
8      32     2      2/8    | 0.12      1.43      0.97      0.79      3.32         3.95      | 78223    0        24772    71358    0        | 16     479919         2299416      -       
8      32     3      3/8    | 0.11      1.35      0.76      0.79      3.01         4.36      | 78223    0        60446    35684    0        | 24     479919         2299416      -       
8      32     4      4/8    | 0.11      1.34      0.67      0.77      2.89         4.54      | 78223    0        84451    11679    0        | 32     479919         2299416      -       
8      32     5      5/8    | 0.12      1.34      0.45      0.78      2.70         4.86      | 78223    0        96130    0        0        | 40     479919         2299416      -       
8      32     6      6/8    | 0.13      1.38      0.45      0.82      2.80         4.69      | 78223    0        96130    0        0        | 48     479919         2299416      -       
8      32     7      7/8    | 0.12      1.36      0.45      0.82      2.77         4.74      | 78223    0        96130    0        0        | 56     479919         2299416      -       
8      32     8      8/8    | 0.12      1.39      0.45      0.78      2.75         4.77      | 78223    0        96130    0        0        | 64     479919         2299416      -       
16     8      0      0/8    | 0.11      0.35      0.65      0.49      1.61         8.14      | 49377    0        0        35760    0        | 1      98885          2299416      -       
16     8      1      1/8    | 0.11      0.36      0.64      0.46      1.57         8.35      | 49377    0        0        35760    0        | 32     98885          2299416      -       
16     8      2      2/8    | 0.10      0.35      0.47      0.46      1.39         9.47      | 49377    0        25810    9950     0        | 64     98885          2299416      -       
16     8      3      3/8    | 0.11      0.37      0.33      0.49      1.31         10.00     | 49377    0        35760    0        0        | 96     98885          2299416      -       
16     8      4      4/8    | 0.11      0.37      0.33      0.49      1.32         9.97      | 49377    0        35760    0        0        | 128    98885          2299416      -       
16     8      5      5/8    | 0.11      0.35      0.33      0.46      1.26         10.39     | 49377    0        35760    0        0        | 160    98885          2299416      -       
16     8      6      6/8    | 0.11      0.36      0.33      0.47      1.28         10.23     | 49377    0        35760    0        0        | 192    98885          2299416      -       
16     8      7      7/8    | 0.10      0.38      0.33      0.47      1.30         10.13     | 49377    0        35760    0        0        | 224    98885          2299416      -       
16     8      8      8/8    | 0.10      0.36      0.33      0.48      1.29         10.21     | 49377    0        35760    0        0        | 256    98885          2299416      -       
16     16     0      0/8    | 0.11      0.45      0.59      0.45      1.61         8.17      | 49377    0        0        35760    0        | 1      124273         2299416      -       
16     16     1      1/8    | 0.11      0.43      0.59      0.46      1.62         8.12      | 49377    0        0        35760    0        | 32     124273         2299416      -       
16     16     2      2/8    | 0.11      0.44      0.43      0.47      1.45         9.05      | 49377    0        25810    9950     0        | 64     124273         2299416      -       
16     16     3      3/8    | 0.11      0.42      0.29      0.46      1.29         10.16     | 49377    0        35760    0        0        | 96     124273         2299416      -       
16     16     4      4/8    | 0.10      0.43      0.30      0.43      1.27         10.31     | 49377    0        35760    0        0        | 128    124273         2299416      -       
16     16     5      5/8    | 0.11      0.44      0.30      0.47      1.34         9.82      | 49377    0        35760    0        0        | 160    124273         2299416      -       
16     16     6      6/8    | 0.11      0.44      0.29      0.44      1.29         10.14     | 49377    0        35760    0        0        | 192    124273         2299416      -       
16     16     7      7/8    | 0.10      0.41      0.29      0.47      1.28         10.25     | 49377    0        35760    0        0        | 224    124273         2299416      -       
16     16     8      8/8    | 0.10      0.41      0.30      0.44      1.25         10.51     | 49377    0        35760    0        0        | 256    124273         2299416      -       
16     32     0      0/8    | 0.10      0.52      1.00      0.53      2.17         6.04      | 49377    0        0        35760    0        | 1      162899         2299416      -       
16     32     1      1/8    | 0.10      0.54      1.00      0.54      2.19         6.00      | 49377    0        0        35760    0        | 32     162899         2299416      -       
16     32     2      2/8    | 0.10      0.53      0.61      0.55      1.80         7.31      | 49377    0        25810    9950     0        | 64     162899         2299416      -       
16     32     3      3/8    | 0.10      0.53      0.28      0.53      1.45         9.03      | 49377    0        35760    0        0        | 96     162899         2299416      -       
16     32     4      4/8    | 0.10      0.52      0.28      0.55      1.46         8.99      | 49377    0        35760    0        0        | 128    162899         2299416      -       
16     32     5      5/8    | 0.11      0.54      0.28      0.56      1.51         8.71      | 49377    0        35760    0        0        | 160    162899         2299416      -       
