# Matrix: tandem_vtx
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.01-0.1/tandem_vtx.mtx
# Category: 10k-50k-0.01-0.1
# Date: 2026-03-06 04:11:41
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 18454
# Cols: 18454
# NNZ(A): 253350
# NNZ(C) estimate: 3682680
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.13      1.27      0.85      0.75      3.01         2.45      | 86379    0        0        43770    134      | 1      448331         1162304      -       
8      8      1      1/8    | 0.14      1.28      0.84      0.74      3.01         2.44      | 86379    0        0        43770    134      | 8      448331         1162304      -       
8      8      2      2/8    | 0.15      1.35      0.71      0.82      3.04         2.42      | 86379    0        22573    21197    134      | 16     448331         1162304      -       
8      8      3      3/8    | 0.14      1.29      0.63      0.78      2.84         2.59      | 86379    0        32987    10783    134      | 24     448331         1162304      -       
8      8      4      4/8    | 0.14      1.31      0.63      0.77      2.86         2.58      | 86379    0        38143    5627     134      | 32     448331         1162304      -       
8      8      5      5/8    | 0.14      1.31      0.57      0.76      2.79         2.64      | 86379    0        40820    2950     134      | 40     448331         1162304      -       
8      8      6      6/8    | 0.14      1.32      0.57      0.77      2.81         2.62      | 86379    0        42446    1324     134      | 48     448331         1162304      -       
8      8      7      7/8    | 0.14      1.29      0.58      0.78      2.80         2.63      | 86379    0        43300    470      134      | 56     448331         1162304      -       
8      8      8      8/8    | 0.14      1.36      0.56      0.78      2.86         2.58      | 86379    0        43904    0        0        | 64     448331         1162304      -       
8      16     0      0/8    | 0.15      1.90      0.96      0.80      3.82         1.93      | 86379    0        0        43770    134      | 1      667467         1162304      -       
8      16     1      1/8    | 0.14      1.81      0.96      0.79      3.71         1.98      | 86379    0        0        43770    134      | 8      667467         1162304      -       
8      16     2      2/8    | 0.14      1.81      0.77      0.79      3.51         2.10      | 86379    0        22573    21197    134      | 16     667467         1162304      -       
8      16     3      3/8    | 0.14      1.81      0.67      0.78      3.42         2.16      | 86379    0        32987    10783    134      | 24     667467         1162304      -       
8      16     4      4/8    | 0.15      1.88      0.65      0.84      3.53         2.08      | 86379    0        38143    5627     134      | 32     667467         1162304      -       
8      16     5      5/8    | 0.15      1.87      0.59      0.79      3.42         2.16      | 86379    0        40820    2950     134      | 40     667467         1162304      -       
8      16     6      6/8    | 0.15      1.86      0.58      0.83      3.43         2.15      | 86379    0        42446    1324     134      | 48     667467         1162304      -       
8      16     7      7/8    | 0.15      1.85      0.59      0.81      3.41         2.16      | 86379    0        43300    470      134      | 56     667467         1162304      -       
8      16     8      8/8    | 0.15      1.89      0.56      0.81      3.42         2.15      | 86379    0        43904    0        0        | 64     667467         1162304      -       
