# Matrix: ted_A_unscaled
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.01-0.1/ted_A_unscaled.mtx
# Category: 10k-50k-0.01-0.1
# Date: 2026-03-06 04:15:21
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 10605
# Cols: 10605
# NNZ(A): 424587
# NNZ(C) estimate: 18015573
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.11      0.25      0.23      0.34      0.94         38.13     | 1211     0        0        13241    24723    | 1      40207          2060816      -       
8      8      1      1/8    | 0.09      0.26      0.23      0.36      0.95         37.81     | 1211     0        0        13241    24723    | 8      40207          2060816      -       
8      8      2      2/8    | 0.11      0.26      0.23      0.37      0.98         36.73     | 1211     0        1866     11375    24723    | 16     40207          2060816      -       
8      8      3      3/8    | 0.10      0.25      0.22      0.35      0.93         38.95     | 1211     0        3174     10067    24723    | 24     40207          2060816      -       
8      8      4      4/8    | 0.10      0.25      0.23      0.34      0.93         38.58     | 1211     0        5706     7535     24723    | 32     40207          2060816      -       
8      8      5      5/8    | 0.11      0.26      0.23      0.36      0.96         37.42     | 1211     0        8928     4313     24723    | 40     40207          2060816      -       
8      8      6      6/8    | 0.11      0.25      0.23      0.35      0.95         37.85     | 1211     0        11709    1532     24723    | 48     40207          2060816      -       
8      8      7      7/8    | 0.10      0.25      0.23      0.35      0.93         38.62     | 1211     0        13068    173      24723    | 56     40207          2060816      -       
8      8      8      8/8    | 0.10      0.25      0.52      0.34      1.22         29.61     | 1211     0        37964    0        0        | 64     40207          2060816      -       
8      16     0      0/8    | 0.10      0.23      0.22      0.35      0.90         39.99     | 1211     0        0        13241    24723    | 1      41543          2060816      -       
8      16     1      1/8    | 0.09      0.22      0.21      0.33      0.86         41.70     | 1211     0        0        13241    24723    | 8      41543          2060816      -       
8      16     2      2/8    | 0.10      0.22      0.22      0.33      0.87         41.37     | 1211     0        1866     11375    24723    | 16     41543          2060816      -       
8      16     3      3/8    | 0.09      0.22      0.21      0.33      0.86         41.99     | 1211     0        3174     10067    24723    | 24     41543          2060816      -       
8      16     4      4/8    | 0.08      0.22      0.21      0.33      0.86         42.04     | 1211     0        5706     7535     24723    | 32     41543          2060816      -       
