# Matrix: tsyl201
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.01-0.1/tsyl201.mtx
# Category: 10k-50k-0.01-0.1
# Date: 2026-03-06 04:34:39
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 20685
# Cols: 20685
# NNZ(A): 2454957
# NNZ(C) estimate: 308227437
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.21      2.51      5.96      0.81      9.51         64.84     | 46072    0        0        204715   24537    | 1      494642         8321013      -       
8      8      1      1/8    | 0.22      2.52      5.93      0.82      9.50         64.91     | 46072    0        0        204715   24537    | 8      494642         8321013      -       
8      8      2      2/8    | 0.23      2.56      5.85      0.86      9.52         64.74     | 46072    0        45484    159231   24537    | 16     494642         8321013      -       
8      8      3      3/8    | 0.22      2.55      5.77      0.84      9.39         65.62     | 46072    0        83318    121397   24537    | 24     494642         8321013      -       
8      8      4      4/8    | 0.23      2.58      5.88      0.86      9.55         64.52     | 46072    0        111930   92785    24537    | 32     494642         8321013      -       
8      8      5      5/8    | 0.21      2.62      5.89      0.84      9.59         64.31     | 46072    0        150242   54473    24537    | 40     494642         8321013      -       
8      8      6      6/8    | 0.22      2.52      6.11      0.82      9.68         63.67     | 46072    0        172510   32205    24537    | 48     494642         8321013      -       
8      8      7      7/8    | 0.23      2.59      6.46      0.88      10.18        60.56     | 46072    0        191040   13675    24537    | 56     494642         8321013      -       
8      8      8      8/8    | 0.22      2.62      7.32      0.86      11.04        55.85     | 46072    0        229252   0        0        | 64     494642         8321013      -       
8      16     0      0/8    | 0.19      2.29      5.09      0.87      8.46         72.83     | 46072    0        0        204715   24537    | 1      581418         8321013      -       
8      16     1      1/8    | 0.20      2.28      5.09      0.85      8.44         73.04     | 46072    0        0        204715   24537    | 8      581418         8321013      -       
8      16     2      2/8    | 0.20      2.27      4.95      0.83      8.26         74.60     | 46072    0        45484    159231   24537    | 16     581418         8321013      -       
8      16     3      3/8    | 0.20      2.27      4.86      0.86      8.21         75.10     | 46072    0        83318    121397   24537    | 24     581418         8321013      -       
8      16     4      4/8    | 0.20      2.28      5.00      0.87      8.36         73.74     | 46072    0        111930   92785    24537    | 32     581418         8321013      -       
8      16     5      5/8    | 0.19      2.31      5.10      0.85      8.46         72.83     | 46072    0        150242   54473    24537    | 40     581418         8321013      -       
8      16     6      6/8    | 0.19      2.27      5.42      0.88      8.77         70.29     | 46072    0        172510   32205    24537    | 48     581418         8321013      -       
8      16     7      7/8    | 0.20      2.28      5.86      0.86      9.22         66.87     | 46072    0        191040   13675    24537    | 56     581418         8321013      -       
8      16     8      8/8    | 0.20      2.32      7.17      0.87      10.57        58.29     | 46072    0        229252   0        0        | 64     581418         8321013      -       
8      32     0      0/8    | 0.19      2.66      7.86      0.94      11.68        52.78     | 46072    0        0        204715   24537    | 1      763680         8321013      -       
8      32     1      1/8    | 0.19      2.62      7.88      0.90      11.60        53.12     | 46072    0        0        204715   24537    | 8      763680         8321013      -       
8      32     2      2/8    | 0.19      2.59      7.41      0.88      11.08        55.64     | 46072    0        45484    159231   24537    | 16     763680         8321013      -       
8      32     3      3/8    | 0.20      2.64      7.04      0.93      10.84        56.89     | 46072    0        83318    121397   24537    | 24     763680         8321013      -       
8      32     4      4/8    | 0.19      2.62      6.73      0.91      10.46        58.93     | 46072    0        111930   92785    24537    | 32     763680         8321013      -       
8      32     5      5/8    | 0.20      2.64      6.62      0.96      10.44        59.08     | 46072    0        150242   54473    24537    | 40     763680         8321013      -       
8      32     6      6/8    | 0.20      2.67      6.60      0.90      10.37        59.43     | 46072    0        172510   32205    24537    | 48     763680         8321013      -       
8      32     7      7/8    | 0.20      2.67      6.75      0.93      10.56        58.38     | 46072    0        191040   13675    24537    | 56     763680         8321013      -       
8      32     8      8/8    | 0.19      2.65      7.21      0.90      10.97        56.17     | 46072    0        229252   0        0        | 64     763680         8321013      -       
16     8      0      0/8    | 0.18      1.67      6.44      0.58      8.88         69.40     | 38430    0        0        64965    702      | 1      172667         8321013      -       
16     8      1      1/8    | 0.18      1.70      6.43      0.57      8.88         69.40     | 38430    0        0        64965    702      | 32     172667         8321013      -       
16     8      2      2/8    | 0.17      1.60      6.34      0.59      8.72         70.73     | 38430    0        16588    48377    702      | 64     172667         8321013      -       
16     8      3      3/8    | 0.18      1.60      6.19      0.59      8.57         71.89     | 38430    0        28847    36118    702      | 96     172667         8321013      -       
16     8      4      4/8    | 0.18      1.62      6.20      0.57      8.59         71.78     | 38430    0        38771    26194    702      | 128    172667         8321013      -       
16     8      5      5/8    | 0.17      1.64      6.24      0.56      8.62         71.54     | 38430    0        49663    15302    702      | 160    172667         8321013      -       
16     8      6      6/8    | 0.17      1.69      6.32      0.59      8.79         70.12     | 38430    0        57532    7433     702      | 192    172667         8321013      -       
