# Matrix: vibrobox
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.01-0.1/vibrobox.mtx
# Category: 10k-50k-0.01-0.1
# Date: 2026-03-06 04:38:25
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 12328
# Cols: 12328
# NNZ(A): 342828
# NNZ(C) estimate: 12724852
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.37      2.26      2.63      0.82      6.11         4.17      | 212172   0        0        99185    0        | 1      689109         2471588      -       
8      8      1      1/8    | 0.36      2.34      2.63      0.79      6.14         4.15      | 212172   0        0        99185    0        | 8      689109         2471588      -       
8      8      2      2/8    | 0.36      2.36      2.27      0.80      5.80         4.39      | 212172   0        59238    39947    0        | 16     689109         2471588      -       
8      8      3      3/8    | 0.38      2.32      2.08      0.87      5.67         4.49      | 212172   0        85653    13532    0        | 24     689109         2471588      -       
8      8      4      4/8    | 0.36      2.29      2.11      0.79      5.56         4.58      | 212172   0        97383    1802     0        | 32     689109         2471588      -       
8      8      5      5/8    | 0.37      2.34      2.06      0.81      5.59         4.55      | 212172   0        98984    201      0        | 40     689109         2471588      -       
8      8      6      6/8    | 0.36      2.25      2.01      0.79      5.43         4.69      | 212172   0        99138    47       0        | 48     689109         2471588      -       
8      8      7      7/8    | 0.37      2.35      2.03      0.80      5.57         4.57      | 212172   0        99185    0        0        | 56     689109         2471588      -       
8      8      8      8/8    | 0.38      2.39      2.06      0.82      5.65         4.51      | 212172   0        99185    0        0        | 64     689109         2471588      -       
8      16     0      0/8    | 0.34      2.39      2.80      0.79      6.33         4.02      | 212172   0        0        99185    0        | 1      861395         2471588      -       
8      16     1      1/8    | 0.33      2.31      2.81      0.77      6.23         4.09      | 212172   0        0        99185    0        | 8      861395         2471588      -       
8      16     2      2/8    | 0.33      2.39      2.27      0.77      5.78         4.41      | 212172   0        59238    39947    0        | 16     861395         2471588      -       
8      16     3      3/8    | 0.33      2.31      1.94      0.75      5.34         4.77      | 212172   0        85653    13532    0        | 24     861395         2471588      -       
8      16     4      4/8    | 0.33      2.32      1.90      0.77      5.33         4.78      | 212172   0        97383    1802     0        | 32     861395         2471588      -       
8      16     5      5/8    | 0.34      2.38      1.74      0.82      5.29         4.81      | 212172   0        98984    201      0        | 40     861395         2471588      -       
8      16     6      6/8    | 0.33      2.36      1.76      0.78      5.24         4.86      | 212172   0        99138    47       0        | 48     861395         2471588      -       
8      16     7      7/8    | 0.34      2.41      1.77      0.79      5.33         4.78      | 212172   0        99185    0        0        | 56     861395         2471588      -       
8      16     8      8/8    | 0.34      2.32      1.76      0.79      5.21         4.88      | 212172   0        99185    0        0        | 64     861395         2471588      -       
8      32     0      0/8    | 0.28      2.94      3.88      0.83      7.95         3.20      | 212172   0        0        99185    0        | 1      1061347        2471588      -       
8      32     1      1/8    | 0.29      2.84      3.88      0.85      7.87         3.23      | 212172   0        0        99185    0        | 8      1061347        2471588      -       
8      32     2      2/8    | 0.28      2.81      2.70      0.84      6.64         3.83      | 212172   0        59238    39947    0        | 16     1061347        2471588      -       
8      32     3      3/8    | 0.28      2.82      2.01      0.83      5.95         4.28      | 212172   0        85653    13532    0        | 24     1061347        2471588      -       
8      32     4      4/8    | 0.28      2.87      1.70      0.82      5.69         4.48      | 212172   0        97383    1802     0        | 32     1061347        2471588      -       
8      32     5      5/8    | 0.30      2.93      1.66      0.91      5.83         4.37      | 212172   0        98984    201      0        | 40     1061347        2471588      -       
8      32     6      6/8    | 0.29      2.83      1.67      0.83      5.62         4.53      | 212172   0        99138    47       0        | 48     1061347        2471588      -       
8      32     7      7/8    | 0.28      2.84      1.61      0.84      5.58         4.56      | 212172   0        99185    0        0        | 56     1061347        2471588      -       
8      32     8      8/8    | 0.29      2.86      1.61      0.82      5.59         4.55      | 212172   0        99185    0        0        | 64     1061347        2471588      -       
16     8      0      0/8    | 0.32      1.85      2.36      0.73      5.26         4.84      | 115447   0        0        23484    0        | 1      268851         2471588      -       
16     8      1      1/8    | 0.32      1.83      2.38      0.74      5.29         4.81      | 115447   0        0        23484    0        | 32     268851         2471588      -       
16     8      2      2/8    | 0.32      1.88      2.07      0.79      5.07         5.02      | 115447   0        18466    5018     0        | 64     268851         2471588      -       
16     8      3      3/8    | 0.33      1.89      1.92      0.75      4.90         5.19      | 115447   0        22840    644      0        | 96     268851         2471588      -       
16     8      4      4/8    | 0.33      1.80      2.13      0.78      5.06         5.03      | 115447   0        23420    64       0        | 128    268851         2471588      -       
16     8      5      5/8    | 0.32      1.90      2.22      0.74      5.19         4.90      | 115447   0        23476    8        0        | 160    268851         2471588      -       
16     8      6      6/8    | 0.32      1.89      2.22      0.75      5.19         4.90      | 115447   0        23482    2        0        | 192    268851         2471588      -       
16     8      7      7/8    | 0.31      1.85      2.21      0.72      5.10         4.99      | 115447   0        23484    0        0        | 224    268851         2471588      -       
16     8      8      8/8    | 0.32      1.82      2.21      0.72      5.08         5.01      | 115447   0        23484    0        0        | 256    268851         2471588      -       
16     16     0      0/8    | 0.26      1.74      2.33      0.79      5.12         4.97      | 115447   0        0        23484    0        | 1      322663         2471588      -       
16     16     1      1/8    | 0.27      1.75      2.33      0.76      5.12         4.97      | 115447   0        0        23484    0        | 32     322663         2471588      -       
16     16     2      2/8    | 0.28      1.77      1.84      0.86      4.75         5.35      | 115447   0        18466    5018     0        | 64     322663         2471588      -       
16     16     3      3/8    | 0.27      1.73      1.81      0.82      4.64         5.48      | 115447   0        22840    644      0        | 96     322663         2471588      -       
16     16     4      4/8    | 0.27      1.78      1.84      0.81      4.72         5.40      | 115447   0        23420    64       0        | 128    322663         2471588      -       
16     16     5      5/8    | 0.27      1.73      1.79      0.85      4.66         5.46      | 115447   0        23476    8        0        | 160    322663         2471588      -       
16     16     6      6/8    | 0.26      1.77      1.77      0.77      4.58         5.55      | 115447   0        23482    2        0        | 192    322663         2471588      -       
16     16     7      7/8    | 0.27      1.73      1.75      0.79      4.54         5.60      | 115447   0        23484    0        0        | 224    322663         2471588      -       
