# Matrix: vsp_south31_slptsk
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.01-0.1/vsp_south31_slptsk.mtx
# Category: 10k-50k-0.01-0.1
# Date: 2026-03-06 04:48:40
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 39668
# Cols: 39668
# NNZ(A): 379828
# NNZ(C) estimate: 678848892
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 3.09      31.41     42.37     3.90      80.79        16.81     | 1062261  0        0        892289   5629685  | 1      12075833       389540274    -       
8      8      1      1/8    | 3.09      31.05     42.45     3.83      80.44        16.88     | 1062261  0        0        892289   5629685  | 8      12075833       389540274    -       
8      8      2      2/8    | 3.09      31.13     42.11     3.86      80.20        16.93     | 1062261  0        381270   511019   5629685  | 16     12075833       389540274    -       
8      8      3      3/8    | 3.10      30.99     41.72     3.83      79.66        17.04     | 1062261  0        518128   374161   5629685  | 24     12075833       389540274    -       
8      8      4      4/8    | 3.08      31.95     41.27     3.92      80.23        16.92     | 1062261  0        648037   244252   5629685  | 32     12075833       389540274    -       
8      8      5      5/8    | 3.09      31.75     40.82     3.85      79.52        17.07     | 1062261  0        681088   211201   5629685  | 40     12075833       389540274    -       
8      8      6      6/8    | 3.09      31.17     40.56     3.87      78.71        17.25     | 1062261  0        700773   191516   5629685  | 48     12075833       389540274    -       
8      8      7      7/8    | 3.08      31.17     40.71     3.85      78.82        17.23     | 1062261  0        804464   87825    5629685  | 56     12075833       389540274    -       
8      8      8      8/8    | 3.08      31.78     29.47     3.88      68.24        19.90     | 1062261  0        6521974  0        0        | 64     12075833       389540274    -       
8      16     0      0/8    | 2.69      37.83     43.20     3.97      87.71        15.48     | 1062261  0        0        892289   5629685  | 1      14614901       389540274    -       
8      16     1      1/8    | 2.69      38.59     42.54     3.98      87.82        15.46     | 1062261  0        0        892289   5629685  | 8      14614901       389540274    -       
8      16     2      2/8    | 2.71      38.43     41.55     3.98      86.69        15.66     | 1062261  0        381270   511019   5629685  | 16     14614901       389540274    -       
8      16     3      3/8    | 2.72      38.36     41.43     4.03      86.56        15.68     | 1062261  0        518128   374161   5629685  | 24     14614901       389540274    -       
8      16     4      4/8    | 2.69      38.20     41.60     3.93      86.44        15.71     | 1062261  0        648037   244252   5629685  | 32     14614901       389540274    -       
8      16     5      5/8    | 2.70      38.29     41.06     3.98      86.05        15.78     | 1062261  0        681088   211201   5629685  | 40     14614901       389540274    -       
8      16     6      6/8    | 2.67      38.23     41.59     3.96      86.47        15.70     | 1062261  0        700773   191516   5629685  | 48     14614901       389540274    -       
8      16     7      7/8    | 2.68      37.91     39.45     3.99      84.04        16.15     | 1062261  0        804464   87825    5629685  | 56     14614901       389540274    -       
8      16     8      8/8    | 2.71      38.11     24.94     3.97      69.74        19.47     | 1062261  0        6521974  0        0        | 64     14614901       389540274    -       
8      32     0      0/8    | 2.63      46.41     48.40     4.17      101.64       13.36     | 1062261  0        0        892289   5629685  | 1      17593443       389540274    -       
8      32     1      1/8    | 2.60      45.76     48.41     4.10      100.88       13.46     | 1062261  0        0        892289   5629685  | 8      17593443       389540274    -       
8      32     2      2/8    | 2.65      46.27     46.41     4.12      99.48        13.65     | 1062261  0        381270   511019   5629685  | 16     17593443       389540274    -       
8      32     3      3/8    | 2.64      45.51     45.70     4.06      97.93        13.86     | 1062261  0        518128   374161   5629685  | 24     17593443       389540274    -       
