# Matrix: windtunnel_evap3d
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.01-0.1/windtunnel_evap3d.mtx
# Category: 10k-50k-0.01-0.1
# Date: 2026-03-06 04:54:51
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 40816
# Cols: 40816
# NNZ(A): 2730600
# NNZ(C) estimate: 201100816
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.40      10.89     24.81     0.99      37.11        10.84     | 843748   0        0        709328   0        | 1      2269702        17626772     -       
8      8      1      1/8    | 0.40      10.90     24.82     1.06      37.19        10.82     | 843748   0        0        709328   0        | 8      2269702        17626772     -       
8      8      2      2/8    | 0.40      10.91     23.15     1.04      35.52        11.32     | 843748   0        313424   395904   0        | 16     2269702        17626772     -       
8      8      3      3/8    | 0.41      10.87     20.91     1.00      33.20        12.11     | 843748   0        509844   199484   0        | 24     2269702        17626772     -       
8      8      4      4/8    | 0.40      10.90     20.89     1.03      33.24        12.10     | 843748   0        618294   91034    0        | 32     2269702        17626772     -       
8      8      5      5/8    | 0.40      10.88     17.73     1.01      30.05        13.39     | 843748   0        684648   24680    0        | 40     2269702        17626772     -       
8      8      6      6/8    | 0.40      10.96     17.31     1.00      29.68        13.55     | 843748   0        708728   600      0        | 48     2269702        17626772     -       
8      8      7      7/8    | 0.41      11.05     17.12     1.04      29.64        13.57     | 843748   0        709328   0        0        | 56     2269702        17626772     -       
8      8      8      8/8    | 0.41      10.97     17.13     1.01      29.53        13.62     | 843748   0        709328   0        0        | 64     2269702        17626772     -       
8      16     0      0/8    | 0.43      12.52     27.20     1.06      41.24        9.75      | 843748   0        0        709328   0        | 1      2599798        17626772     -       
8      16     1      1/8    | 0.43      12.39     27.20     1.04      41.08        9.79      | 843748   0        0        709328   0        | 8      2599798        17626772     -       
8      16     2      2/8    | 0.44      12.49     23.89     1.12      37.96        10.59     | 843748   0        313424   395904   0        | 16     2599798        17626772     -       
