# Matrix: xenon1
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.01-0.1/xenon1.mtx
# Category: 10k-50k-0.01-0.1
# Date: 2026-03-06 04:56:15
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 48600
# Cols: 48600
# NNZ(A): 1181120
# NNZ(C) estimate: 29582850
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.14      1.81      2.16      0.84      4.97         11.89     | 134110   0        0        213005   0        | 1      653295         4239250      -       
8      8      1      1/8    | 0.14      1.90      2.16      0.80      5.02         11.79     | 134110   0        0        213005   0        | 8      653295         4239250      -       
8      8      2      2/8    | 0.14      1.88      1.86      0.81      4.70         12.59     | 134110   0        120335   92670    0        | 16     653295         4239250      -       
8      8      3      3/8    | 0.14      1.80      1.59      0.81      4.36         13.59     | 134110   0        187215   25790    0        | 24     653295         4239250      -       
8      8      4      4/8    | 0.16      1.89      1.60      0.83      4.50         13.15     | 134110   0        203650   9355     0        | 32     653295         4239250      -       
8      8      5      5/8    | 0.15      1.88      1.42      0.84      4.30         13.76     | 134110   0        212330   675      0        | 40     653295         4239250      -       
8      8      6      6/8    | 0.15      1.92      1.37      0.84      4.29         13.79     | 134110   0        213005   0        0        | 48     653295         4239250      -       
8      8      7      7/8    | 0.15      1.92      1.37      0.84      4.29         13.79     | 134110   0        213005   0        0        | 56     653295         4239250      -       
8      8      8      8/8    | 0.15      1.82      1.37      0.85      4.21         14.07     | 134110   0        213005   0        0        | 64     653295         4239250      -       
8      16     0      0/8    | 0.15      2.35      2.54      0.84      5.89         10.05     | 134110   0        0        213005   0        | 1      833187         4239250      -       
8      16     1      1/8    | 0.15      2.38      2.54      0.84      5.92         9.99      | 134110   0        0        213005   0        | 8      833187         4239250      -       
8      16     2      2/8    | 0.15      2.37      2.01      0.82      5.36         11.05     | 134110   0        120335   92670    0        | 16     833187         4239250      -       
8      16     3      3/8    | 0.15      2.30      1.57      0.85      4.89         12.09     | 134110   0        187215   25790    0        | 24     833187         4239250      -       
8      16     4      4/8    | 0.16      2.38      1.53      0.89      4.98         11.88     | 134110   0        203650   9355     0        | 32     833187         4239250      -       
8      16     5      5/8    | 0.15      2.37      1.35      0.83      4.71         12.55     | 134110   0        212330   675      0        | 40     833187         4239250      -       
8      16     6      6/8    | 0.15      2.36      1.29      0.81      4.63         12.76     | 134110   0        213005   0        0        | 48     833187         4239250      -       
8      16     7      7/8    | 0.14      2.25      1.29      0.83      4.53         13.08     | 134110   0        213005   0        0        | 56     833187         4239250      -       
8      16     8      8/8    | 0.14      2.30      1.29      0.81      4.56         12.98     | 134110   0        213005   0        0        | 64     833187         4239250      -       
