# Matrix: 3dtube
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.1-1/3dtube.mtx
# Category: 10k-50k-0.1-1
# Date: 2026-03-06 05:02:49
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 45330
# Cols: 45330
# NNZ(A): 3213618
# NNZ(C) estimate: 299381624
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.35      2.59      7.57      1.01      11.54        51.89     | 53611    0        0        289854   206404   | 1      770979         23716476     -       
8      8      1      1/8    | 0.35      2.52      7.81      0.96      11.66        51.37     | 53611    0        0        289854   206404   | 8      770979         23716476     -       
8      8      2      2/8    | 0.35      2.54      7.70      0.98      11.59        51.67     | 53611    0        59882    229972   206404   | 16     770979         23716476     -       
8      8      3      3/8    | 0.35      2.58      7.59      0.97      11.51        52.04     | 53611    0        100510   189344   206404   | 24     770979         23716476     -       
8      8      4      4/8    | 0.35      2.58      7.92      0.99      11.86        50.48     | 53611    0        158990   130864   206404   | 32     770979         23716476     -       
8      8      5      5/8    | 0.35      2.59      7.65      0.96      11.56        51.78     | 53611    0        172147   117707   206404   | 40     770979         23716476     -       
8      8      6      6/8    | 0.35      2.59      7.94      1.02      11.91        50.27     | 53611    0        208698   81156    206404   | 48     770979         23716476     -       
8      8      7      7/8    | 0.35      2.53      8.85      0.99      12.73        47.02     | 53611    0        287428   2426     206404   | 56     770979         23716476     -       
8      8      8      8/8    | 0.35      2.59      7.63      0.95      11.53        51.94     | 53611    0        496258   0        0        | 64     770979         23716476     -       
8      16     0      0/8    | 0.24      2.50      7.51      0.94      11.20        53.45     | 53611    0        0        289854   206404   | 1      914405         23716476     -       
8      16     1      1/8    | 0.25      2.60      7.47      1.01      11.35        52.75     | 53611    0        0        289854   206404   | 8      914405         23716476     -       
8      16     2      2/8    | 0.24      2.54      7.20      0.93      10.94        54.76     | 53611    0        59882    229972   206404   | 16     914405         23716476     -       
8      16     3      3/8    | 0.24      2.56      7.32      0.95      11.09        53.97     | 53611    0        100510   189344   206404   | 24     914405         23716476     -       
8      16     4      4/8    | 0.24      2.54      7.55      0.95      11.30        53.00     | 53611    0        158990   130864   206404   | 32     914405         23716476     -       
8      16     5      5/8    | 0.25      2.54      7.12      0.94      10.88        55.06     | 53611    0        172147   117707   206404   | 40     914405         23716476     -       
8      16     6      6/8    | 0.25      2.59      7.43      0.94      11.22        53.36     | 53611    0        208698   81156    206404   | 48     914405         23716476     -       
8      16     7      7/8    | 0.25      2.58      8.46      0.94      12.25        48.86     | 53611    0        287428   2426     206404   | 56     914405         23716476     -       
8      16     8      8/8    | 0.39      2.55      7.49      0.96      11.41        52.49     | 53611    0        496258   0        0        | 64     914405         23716476     -       
8      32     0      0/8    | 0.21      3.23      10.25     0.97      14.68        40.78     | 53611    0        0        289854   206404   | 1      1212757        23716476     -       
8      32     1      1/8    | 0.23      3.43      10.30     0.99      14.96        40.02     | 53611    0        0        289854   206404   | 8      1212757        23716476     -       
8      32     2      2/8    | 0.22      3.33      9.96      0.98      14.50        41.30     | 53611    0        59882    229972   206404   | 16     1212757        23716476     -       
8      32     3      3/8    | 0.22      3.24      9.81      0.95      14.24        42.05     | 53611    0        100510   189344   206404   | 24     1212757        23716476     -       
8      32     4      4/8    | 0.21      3.28      9.21      0.94      13.66        43.82     | 53611    0        158990   130864   206404   | 32     1212757        23716476     -       
8      32     5      5/8    | 0.21      3.25      9.17      0.96      13.62        43.97     | 53611    0        172147   117707   206404   | 40     1212757        23716476     -       
8      32     6      6/8    | 0.22      3.26      8.89      0.94      13.32        44.94     | 53611    0        208698   81156    206404   | 48     1212757        23716476     -       
8      32     7      7/8    | 0.23      3.37      9.20      0.95      13.77        43.49     | 53611    0        287428   2426     206404   | 56     1212757        23716476     -       
8      32     8      8/8    | 0.21      3.39      7.71      0.96      12.29        48.71     | 53611    0        496258   0        0        | 64     1212757        23716476     -       
16     8      0      0/8    | 0.30      1.58      7.47      0.72      10.08        59.38     | 33647    0        0        99701    43220    | 1      248844         23716476     -       
16     8      1      1/8    | 0.31      1.57      7.53      0.74      10.16        58.90     | 33647    0        0        99701    43220    | 32     248844         23716476     -       
16     8      2      2/8    | 0.31      1.57      7.75      0.74      10.38        57.70     | 33647    0        23484    76217    43220    | 64     248844         23716476     -       
16     8      3      3/8    | 0.31      1.53      7.63      0.74      10.22        58.57     | 33647    0        46868    52833    43220    | 96     248844         23716476     -       
16     8      4      4/8    | 0.31      1.57      7.87      0.72      10.48        57.11     | 33647    0        62586    37115    43220    | 128    248844         23716476     -       
16     8      5      5/8    | 0.31      1.61      7.88      0.74      10.55        56.73     | 33647    0        68624    31077    43220    | 160    248844         23716476     -       
16     8      6      6/8    | 0.31      1.60      7.72      0.74      10.38        57.70     | 33647    0        78423    21278    43220    | 192    248844         23716476     -       
16     8      7      7/8    | 0.31      1.55      8.44      0.74      11.05        54.17     | 33647    0        89402    10299    43220    | 224    248844         23716476     -       
16     8      8      8/8    | 0.31      1.60      8.30      0.72      10.95        54.70     | 33647    0        142921   0        0        | 256    248844         23716476     -       
16     16     0      0/8    | 0.20      1.36      7.23      0.96      9.77         61.28     | 33647    0        0        99701    43220    | 1      308362         23716476     -       
16     16     1      1/8    | 0.19      1.36      7.32      0.94      9.83         60.92     | 33647    0        0        99701    43220    | 32     308362         23716476     -       
16     16     2      2/8    | 0.20      1.33      7.25      0.97      9.77         61.29     | 33647    0        23484    76217    43220    | 64     308362         23716476     -       
16     16     3      3/8    | 0.19      1.37      7.18      0.93      9.69         61.80     | 33647    0        46868    52833    43220    | 96     308362         23716476     -       
16     16     4      4/8    | 0.19      1.29      7.39      0.93      9.82         60.99     | 33647    0        62586    37115    43220    | 128    308362         23716476     -       
16     16     5      5/8    | 0.18      1.32      7.55      0.93      10.01        59.83     | 33647    0        68624    31077    43220    | 160    308362         23716476     -       
16     16     6      6/8    | 0.18      1.31      7.61      0.91      10.03        59.70     | 33647    0        78423    21278    43220    | 192    308362         23716476     -       
16     16     7      7/8    | 0.20      1.35      8.22      0.96      10.76        55.67     | 33647    0        89402    10299    43220    | 224    308362         23716476     -       
16     16     8      8/8    | 0.19      1.34      7.31      0.92      9.78         61.22     | 33647    0        142921   0        0        | 256    308362         23716476     -       
16     32     0      0/8    | 0.15      1.46      9.95      0.91      12.47        48.00     | 33647    0        0        99701    43220    | 1      409438         23716476     -       
16     32     1      1/8    | 0.16      1.47      9.66      0.97      12.28        48.75     | 33647    0        0        99701    43220    | 32     409438         23716476     -       
16     32     2      2/8    | 0.15      1.49      8.98      0.97      11.60        51.61     | 33647    0        23484    76217    43220    | 64     409438         23716476     -       
16     32     3      3/8    | 0.14      1.46      8.58      0.93      11.12        53.84     | 33647    0        46868    52833    43220    | 96     409438         23716476     -       
16     32     4      4/8    | 0.16      1.50      8.55      1.05      11.28        53.09     | 33647    0        62586    37115    43220    | 128    409438         23716476     -       
