# Matrix: TSOPF_RS_b300_c3
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.1-1/TSOPF_RS_b300_c3.mtx
# Category: 10k-50k-0.1-1
# Date: 2026-03-06 08:13:25
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 42138
# Cols: 42138
# NNZ(A): 4413449
# NNZ(C) estimate: 34508933
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.16      1.13      1.63      0.94      3.87         17.82     | 23704    0        0        37007    289205   | 1      366322         19956888     -       
8      8      1      1/8    | 0.16      1.06      1.63      0.93      3.79         18.22     | 23704    0        0        37007    289205   | 8      366322         19956888     -       
8      8      2      2/8    | 0.25      1.10      1.65      0.91      3.92         17.62     | 23704    0        7227     29780    289205   | 16     366322         19956888     -       
8      8      3      3/8    | 0.14      1.06      1.61      0.87      3.71         18.60     | 23704    0        13558    23449    289205   | 24     366322         19956888     -       
8      8      4      4/8    | 0.24      1.11      1.65      0.95      3.96         17.42     | 23704    0        17382    19625    289205   | 32     366322         19956888     -       
8      8      5      5/8    | 0.26      1.11      1.62      0.90      3.91         17.66     | 23704    0        23599    13408    289205   | 40     366322         19956888     -       
8      8      6      6/8    | 0.15      1.04      1.58      0.88      3.67         18.81     | 23704    0        30094    6913     289205   | 48     366322         19956888     -       
8      8      7      7/8    | 0.15      1.07      1.57      0.87      3.67         18.80     | 23704    0        36557    450      289205   | 56     366322         19956888     -       
8      8      8      8/8    | 0.14      1.06      1.49      0.89      3.59         19.23     | 23704    0        326212   0        0        | 64     366322         19956888     -       
8      16     0      0/8    | 0.23      1.18      1.77      0.94      4.14         16.69     | 23704    0        0        37007    289205   | 1      403457         19956888     -       
8      16     1      1/8    | 0.23      1.20      1.77      0.93      4.15         16.64     | 23704    0        0        37007    289205   | 8      403457         19956888     -       
8      16     2      2/8    | 0.22      1.21      1.76      0.95      4.16         16.58     | 23704    0        7227     29780    289205   | 16     403457         19956888     -       
8      16     3      3/8    | 0.15      1.15      1.72      0.89      3.92         17.61     | 23704    0        13558    23449    289205   | 24     403457         19956888     -       
8      16     4      4/8    | 0.23      1.22      1.75      0.93      4.14         16.69     | 23704    0        17382    19625    289205   | 32     403457         19956888     -       
8      16     5      5/8    | 0.23      1.20      1.72      0.94      4.10         16.82     | 23704    0        23599    13408    289205   | 40     403457         19956888     -       
8      16     6      6/8    | 0.15      1.14      1.68      0.92      3.91         17.64     | 23704    0        30094    6913     289205   | 48     403457         19956888     -       
8      16     7      7/8    | 0.22      1.19      1.69      0.92      4.03         17.12     | 23704    0        36557    450      289205   | 56     403457         19956888     -       
8      16     8      8/8    | 0.13      1.14      1.54      0.88      3.71         18.62     | 23704    0        326212   0        0        | 64     403457         19956888     -       
8      32     0      0/8    | 0.24      1.34      2.72      0.93      5.25         13.14     | 23704    0        0        37007    289205   | 1      451362         19956888     -       
8      32     1      1/8    | 0.15      1.32      2.68      0.98      5.16         13.38     | 23704    0        0        37007    289205   | 8      451362         19956888     -       
