# Matrix: pattern1
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.1-1/pattern1.mtx
# Category: 10k-50k-0.1-1
# Date: 2026-03-06 06:56:24
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 19242
# Cols: 19242
# NNZ(A): 9323432
# NNZ(C) estimate: 7292315690
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 31.47     306.56    1367.48   2.48      1708.01      8.54      | 371201   0        0        3253730  2163903  | 1      5788836        203789090    -       
8      8      1      1/8    | 31.47     303.15    1367.98   2.45      1705.08      8.55      | 371201   0        0        3253730  2163903  | 8      5788836        203789090    -       
8      8      2      2/8    | 31.41     302.11    1274.53   2.49      1610.57      9.06      | 371201   0        1549342  1704388  2163903  | 16     5788836        203789090    -       
8      8      3      3/8    | 31.49     302.09    1196.42   2.41      1532.42      9.52      | 371201   0        2942179  311551   2163903  | 24     5788836        203789090    -       
8      8      4      4/8    | 31.36     301.84    1227.61   2.40      1563.22      9.33      | 371201   0        3165649  88081    2163903  | 32     5788836        203789090    -       
8      8      5      5/8    | 31.48     301.94    1172.67   2.47      1508.58      9.67      | 371201   0        3180579  73151    2163903  | 40     5788836        203789090    -       
8      8      6      6/8    | 31.38     302.04    1171.48   2.42      1507.35      9.68      | 371201   0        3186259  67471    2163903  | 48     5788836        203789090    -       
8      8      7      7/8    | 31.52     302.77    1173.88   2.47      1510.68      9.65      | 371201   0        3238489  15241    2163903  | 56     5788836        203789090    -       
8      8      8      8/8    | 31.55     302.09    1081.83   2.43      1417.93      10.29     | 371201   0        5417633  0        0        | 64     5788836        203789090    -       
8      16     0      0/8    | 16.12     176.76    1150.71   2.40      1346.03      10.84     | 371201   0        0        3253730  2163903  | 1      5788836        203789090    -       
8      16     1      1/8    | 16.18     177.16    1150.63   2.50      1346.53      10.83     | 371201   0        0        3253730  2163903  | 8      5788836        203789090    -       
8      16     2      2/8    | 16.11     177.03    1042.83   2.44      1238.43      11.78     | 371201   0        1549342  1704388  2163903  | 16     5788836        203789090    -       
8      16     3      3/8    | 16.16     176.83    939.47    2.42      1134.93      12.85     | 371201   0        2942179  311551   2163903  | 24     5788836        203789090    -       
8      16     4      4/8    | 16.06     176.76    949.37    2.43      1144.65      12.74     | 371201   0        3165649  88081    2163903  | 32     5788836        203789090    -       
8      16     5      5/8    | 16.09     176.67    910.25    2.44      1105.50      13.19     | 371201   0        3180579  73151    2163903  | 40     5788836        203789090    -       
8      16     6      6/8    | 16.23     177.53    907.58    2.46      1103.87      13.21     | 371201   0        3186259  67471    2163903  | 48     5788836        203789090    -       
8      16     7      7/8    | 16.13     176.98    902.86    2.41      1098.42      13.28     | 371201   0        3238489  15241    2163903  | 56     5788836        203789090    -       
8      16     8      8/8    | 16.03     177.39    678.96    2.46      874.88       16.67     | 371201   0        5417633  0        0        | 64     5788836        203789090    -       
8      32     0      0/8    | 9.04      120.77    957.61    2.43      1089.88      13.38     | 371201   0        0        3253730  2163903  | 1      5788836        203789090    -       
8      32     1      1/8    | 9.04      120.55    957.28    2.52      1089.42      13.39     | 371201   0        0        3253730  2163903  | 8      5788836        203789090    -       
8      32     2      2/8    | 9.03      120.86    829.17    2.41      961.50       15.17     | 371201   0        1549342  1704388  2163903  | 16     5788836        203789090    -       
8      32     3      3/8    | 9.13      120.46    725.72    2.41      857.75       17.00     | 371201   0        2942179  311551   2163903  | 24     5788836        203789090    -       
8      32     4      4/8    | 9.06      120.93    701.06    2.49      833.56       17.50     | 371201   0        3165649  88081    2163903  | 32     5788836        203789090    -       
8      32     5      5/8    | 9.04      120.99    698.66    2.44      831.15       17.55     | 371201   0        3180579  73151    2163903  | 40     5788836        203789090    -       
8      32     6      6/8    | 9.09      121.69    697.06    2.43      830.29       17.57     | 371201   0        3186259  67471    2163903  | 48     5788836        203789090    -       
8      32     7      7/8    | 9.00      120.79    693.34    2.46      825.62       17.67     | 371201   0        3238489  15241    2163903  | 56     5788836        203789090    -       
8      32     8      8/8    | 9.00      121.03    509.51    2.41      641.97       22.72     | 371201   0        5417633  0        0        | 64     5788836        203789090    -       
16     8      0      0/8    | 9.60      121.86    655.32    2.28      789.08       18.48     | 1076     0        0        924378   521755   | 1      1447209        203789090    -       
16     8      1      1/8    | 9.65      121.32    654.75    2.40      788.14       18.51     | 1076     0        0        924378   521755   | 32     1447209        203789090    -       
16     8      2      2/8    | 9.59      120.99    615.93    2.26      748.78       19.48     | 1076     0        358404   565974   521755   | 64     1447209        203789090    -       
16     8      3      3/8    | 9.67      121.36    546.08    2.39      679.52       21.46     | 1076     0        851575   72803    521755   | 96     1447209        203789090    -       
16     8      4      4/8    | 9.65      121.67    537.59    2.36      671.30       21.73     | 1076     0        885504   38874    521755   | 128    1447209        203789090    -       
16     8      5      5/8    | 9.67      121.20    538.00    2.41      671.30       21.73     | 1076     0        887256   37122    521755   | 160    1447209        203789090    -       
16     8      6      6/8    | 9.61      121.92    536.94    2.28      670.76       21.74     | 1076     0        888038   36340    521755   | 192    1447209        203789090    -       
16     8      7      7/8    | 9.60      121.01    534.60    2.30      667.52       21.85     | 1076     0        890609   33769    521755   | 224    1447209        203789090    -       
16     8      8      8/8    | 9.65      122.03    522.80    2.40      656.90       22.20     | 1076     0        1446133  0        0        | 256    1447209        203789090    -       
16     16     0      0/8    | 5.17      71.84     477.78    2.24      557.05       26.18     | 1076     0        0        924378   521755   | 1      1447209        203789090    -       
16     16     1      1/8    | 5.17      71.80     477.74    2.20      556.92       26.19     | 1076     0        0        924378   521755   | 32     1447209        203789090    -       
16     16     2      2/8    | 5.23      72.08     449.20    2.41      528.94       27.57     | 1076     0        358404   565974   521755   | 64     1447209        203789090    -       
16     16     3      3/8    | 5.24      72.40     394.47    2.34      474.46       30.74     | 1076     0        851575   72803    521755   | 96     1447209        203789090    -       
16     16     4      4/8    | 5.24      71.96     388.22    2.35      467.78       31.18     | 1076     0        885504   38874    521755   | 128    1447209        203789090    -       
16     16     5      5/8    | 5.23      72.28     388.52    2.35      468.41       31.14     | 1076     0        887256   37122    521755   | 160    1447209        203789090    -       
16     16     6      6/8    | 5.24      72.23     386.99    2.35      466.84       31.24     | 1076     0        888038   36340    521755   | 192    1447209        203789090    -       
16     16     7      7/8    | 5.24      72.03     386.03    2.32      465.65       31.32     | 1076     0        890609   33769    521755   | 224    1447209        203789090    -       
16     16     8      8/8    | 5.25      72.18     337.85    2.36      417.67       34.92     | 1076     0        1446133  0        0        | 256    1447209        203789090    -       
16     32     0      0/8    | 2.77      57.37     453.05    2.27      515.47       28.29     | 1076     0        0        924378   521755   | 1      1447209        203789090    -       
16     32     1      1/8    | 2.82      57.58     453.12    2.32      515.86       28.27     | 1076     0        0        924378   521755   | 32     1447209        203789090    -       
16     32     2      2/8    | 2.83      57.38     415.88    2.35      478.46       30.48     | 1076     0        358404   565974   521755   | 64     1447209        203789090    -       
16     32     3      3/8    | 2.82      57.48     342.88    2.31      405.51       35.97     | 1076     0        851575   72803    521755   | 96     1447209        203789090    -       
16     32     4      4/8    | 2.77      57.20     334.90    2.25      397.14       36.72     | 1076     0        885504   38874    521755   | 128    1447209        203789090    -       
16     32     5      5/8    | 2.83      57.71     334.76    2.34      397.66       36.68     | 1076     0        887256   37122    521755   | 160    1447209        203789090    -       
16     32     6      6/8    | 2.81      57.27     333.43    2.33      395.85       36.84     | 1076     0        888038   36340    521755   | 192    1447209        203789090    -       
16     32     7      7/8    | 2.82      57.78     332.50    2.37      395.49       36.88     | 1076     0        890609   33769    521755   | 224    1447209        203789090    -       
16     32     8      8/8    | 2.81      57.20     279.15    2.46      341.64       42.69     | 1076     0        1446133  0        0        | 256    1447209        203789090    -       
