# Matrix: pdb1HYS
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.1-1/pdb1HYS.mtx
# Category: 10k-50k-0.1-1
# Date: 2026-03-06 06:58:34
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 36417
# Cols: 36417
# NNZ(A): 4344765
# NNZ(C) estimate: 555322659
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.28      2.72      5.73      1.01      9.75         113.90    | 54509    0        0        261962   162950   | 1      651237         19594581     -       
8      8      1      1/8    | 0.17      2.63      5.69      0.96      9.46         117.37    | 54509    0        0        261962   162950   | 8      651237         19594581     -       
8      8      2      2/8    | 0.17      2.63      5.66      0.93      9.41         118.04    | 54509    0        55116    206846   162950   | 16     651237         19594581     -       
8      8      3      3/8    | 0.18      2.72      5.66      0.98      9.55         116.29    | 54509    0        96622    165340   162950   | 24     651237         19594581     -       
8      8      4      4/8    | 0.18      2.70      5.73      0.99      9.61         115.63    | 54509    0        131318   130644   162950   | 32     651237         19594581     -       
8      8      5      5/8    | 0.18      2.71      5.69      0.96      9.55         116.29    | 54509    0        169893   92069    162950   | 40     651237         19594581     -       
8      8      6      6/8    | 0.18      2.70      5.79      0.97      9.66         114.94    | 54509    0        199481   62481    162950   | 48     651237         19594581     -       
8      8      7      7/8    | 0.18      2.73      6.02      0.96      9.91         112.08    | 54509    0        236709   25253    162950   | 56     651237         19594581     -       
8      8      8      8/8    | 0.19      2.72      12.84     0.99      16.76        66.28     | 54509    0        424912   0        0        | 64     651237         19594581     -       
8      16     0      0/8    | 0.16      2.48      5.22      0.95      8.82         125.91    | 54509    0        0        261962   162950   | 1      712415         19594581     -       
8      16     1      1/8    | 0.16      2.45      5.18      0.91      8.71         127.48    | 54509    0        0        261962   162950   | 8      712415         19594581     -       
8      16     2      2/8    | 0.16      2.47      5.15      0.92      8.72         127.43    | 54509    0        55116    206846   162950   | 16     712415         19594581     -       
8      16     3      3/8    | 0.16      2.46      5.11      0.94      8.68         127.93    | 54509    0        96622    165340   162950   | 24     712415         19594581     -       
8      16     4      4/8    | 0.16      2.47      5.15      0.94      8.72         127.29    | 54509    0        131318   130644   162950   | 32     712415         19594581     -       
8      16     5      5/8    | 0.17      2.46      5.11      0.99      8.74         127.08    | 54509    0        169893   92069    162950   | 40     712415         19594581     -       
8      16     6      6/8    | 0.16      2.45      5.18      0.95      8.76         126.76    | 54509    0        199481   62481    162950   | 48     712415         19594581     -       
8      16     7      7/8    | 0.16      2.44      5.44      0.92      8.97         123.75    | 54509    0        236709   25253    162950   | 56     712415         19594581     -       
8      16     8      8/8    | 0.16      2.50      12.39     0.93      16.00        69.39     | 54509    0        424912   0        0        | 64     712415         19594581     -       
8      32     0      0/8    | 0.15      2.62      7.46      1.04      11.28        98.44     | 54509    0        0        261962   162950   | 1      806265         19594581     -       
8      32     1      1/8    | 0.15      2.54      7.46      0.98      11.14        99.66     | 54509    0        0        261962   162950   | 8      806265         19594581     -       
8      32     2      2/8    | 0.15      2.50      7.29      0.98      10.93        101.60    | 54509    0        55116    206846   162950   | 16     806265         19594581     -       
8      32     3      3/8    | 0.16      2.63      7.15      1.03      10.99        101.04    | 54509    0        96622    165340   162950   | 24     806265         19594581     -       
8      32     4      4/8    | 0.15      2.58      7.04      1.02      10.80        102.84    | 54509    0        131318   130644   162950   | 32     806265         19594581     -       
8      32     5      5/8    | 0.15      2.56      6.94      1.01      10.68        104.04    | 54509    0        169893   92069    162950   | 40     806265         19594581     -       
8      32     6      6/8    | 0.15      2.57      6.95      1.01      10.70        103.84    | 54509    0        199481   62481    162950   | 48     806265         19594581     -       
8      32     7      7/8    | 0.17      2.63      6.97      1.02      10.81        102.69    | 54509    0        236709   25253    162950   | 56     806265         19594581     -       
8      32     8      8/8    | 0.16      2.58      13.21     0.98      16.95        65.52     | 54509    0        424912   0        0        | 64     806265         19594581     -       
16     8      0      0/8    | 0.13      1.35      5.48      0.72      7.71         144.09    | 33891    0        0        96403    23327    | 1      203661         19594581     -       
16     8      1      1/8    | 0.13      1.32      5.45      0.72      7.64         145.43    | 33891    0        0        96403    23327    | 32     203661         19594581     -       
16     8      2      2/8    | 0.14      1.31      5.39      0.73      7.59         146.33    | 33891    0        20318    76085    23327    | 64     203661         19594581     -       
16     8      3      3/8    | 0.14      1.36      5.42      0.74      7.67         144.88    | 33891    0        35012    61391    23327    | 96     203661         19594581     -       
16     8      4      4/8    | 0.28      1.33      5.50      0.72      7.84         141.61    | 33891    0        47694    48709    23327    | 128    203661         19594581     -       
16     8      5      5/8    | 0.12      1.34      5.76      0.71      7.94         139.88    | 33891    0        59576    36827    23327    | 160    203661         19594581     -       
16     8      6      6/8    | 0.13      1.35      6.08      0.71      8.29         134.02    | 33891    0        70233    26170    23327    | 192    203661         19594581     -       
16     8      7      7/8    | 0.12      1.34      6.67      0.71      8.85         125.50    | 33891    0        82226    14177    23327    | 224    203661         19594581     -       
16     8      8      8/8    | 0.12      1.28      10.94     0.70      13.06        85.05     | 33891    0        119730   0        0        | 256    203661         19594581     -       
16     16     0      0/8    | 0.12      1.21      4.33      0.76      6.43         172.73    | 33891    0        0        96403    23327    | 1      221571         19594581     -       
16     16     1      1/8    | 0.11      1.18      4.33      0.74      6.38         174.16    | 33891    0        0        96403    23327    | 32     221571         19594581     -       
16     16     2      2/8    | 0.12      1.19      4.21      0.76      6.29         176.52    | 33891    0        20318    76085    23327    | 64     221571         19594581     -       
16     16     3      3/8    | 0.10      1.16      4.25      0.74      6.27         177.02    | 33891    0        35012    61391    23327    | 96     221571         19594581     -       
16     16     4      4/8    | 0.12      1.20      4.45      0.75      6.54         169.95    | 33891    0        47694    48709    23327    | 128    221571         19594581     -       
16     16     5      5/8    | 0.12      1.19      4.70      0.75      6.78         163.93    | 33891    0        59576    36827    23327    | 160    221571         19594581     -       
16     16     6      6/8    | 0.12      1.20      5.05      0.74      7.11         156.12    | 33891    0        70233    26170    23327    | 192    221571         19594581     -       
16     16     7      7/8    | 0.11      1.16      5.80      0.72      7.80         142.37    | 33891    0        82226    14177    23327    | 224    221571         19594581     -       
16     16     8      8/8    | 0.10      1.16      12.01     0.72      14.00        79.32     | 33891    0        119730   0        0        | 256    221571         19594581     -       
16     32     0      0/8    | 0.10      1.27      6.77      0.72      8.87         125.17    | 33891    0        0        96403    23327    | 1      250049         19594581     -       
16     32     1      1/8    | 0.12      1.37      6.77      0.77      9.05         122.72    | 33891    0        0        96403    23327    | 32     250049         19594581     -       
16     32     2      2/8    | 0.12      1.33      6.49      0.71      8.65         128.37    | 33891    0        20318    76085    23327    | 64     250049         19594581     -       
16     32     3      3/8    | 0.12      1.32      6.33      0.74      8.52         130.43    | 33891    0        35012    61391    23327    | 96     250049         19594581     -       
16     32     4      4/8    | 0.13      1.32      6.27      0.74      8.48         131.03    | 33891    0        47694    48709    23327    | 128    250049         19594581     -       
16     32     5      5/8    | 0.12      1.30      6.37      0.76      8.57         129.61    | 33891    0        59576    36827    23327    | 160    250049         19594581     -       
16     32     6      6/8    | 0.11      1.30      6.59      0.75      8.78         126.51    | 33891    0        70233    26170    23327    | 192    250049         19594581     -       
16     32     7      7/8    | 0.12      1.31      7.17      0.77      9.39         118.33    | 33891    0        82226    14177    23327    | 224    250049         19594581     -       
16     32     8      8/8    | 0.11      1.33      14.13     0.74      16.33        68.00     | 33891    0        119730   0        0        | 256    250049         19594581     -       
32     8      0      0/8    | 0.12      0.77      8.66      0.54      10.11        109.83    | 17493    0        0        31308    2404     | 1      66883          19594581     -       
32     8      1      1/8    | 0.12      0.80      8.61      0.55      10.09        110.05    | 17493    0        0        31308    2404     | 128    66883          19594581     -       
32     8      2      2/8    | 0.12      0.76      8.44      0.54      9.88         112.44    | 17493    0        7324     23984    2404     | 256    66883          19594581     -       
32     8      3      3/8    | 0.13      0.80      8.36      0.59      9.90         112.15    | 17493    0        12646    18662    2404     | 384    66883          19594581     -       
32     8      4      4/8    | 0.13      0.81      8.39      0.57      9.92         111.97    | 17493    0        16768    14540    2404     | 512    66883          19594581     -       
32     8      5      5/8    | 0.13      0.79      8.51      0.55      9.99         111.13    | 17493    0        20482    10826    2404     | 640    66883          19594581     -       
32     8      6      6/8    | 0.13      0.81      9.13      0.56      10.65        104.33    | 17493    0        23638    7670     2404     | 768    66883          19594581     -       
32     8      7      7/8    | 0.13      0.81      9.59      0.57      11.12        99.89     | 17493    0        26628    4680     2404     | 896    66883          19594581     -       
32     8      8      8/8    | 0.12      0.78      12.68     0.57      14.16        78.44     | 17493    0        33712    0        0        | 1024   66883          19594581     -       
32     16     0      0/8    | 0.10      0.65      7.91      0.55      9.22         120.42    | 17493    0        0        31308    2404     | 1      72541          19594581     -       
32     16     1      1/8    | 0.11      0.64      8.02      0.58      9.36         118.66    | 17493    0        0        31308    2404     | 128    72541          19594581     -       
32     16     2      2/8    | 0.10      0.63      7.52      0.57      8.84         125.65    | 17493    0        7324     23984    2404     | 256    72541          19594581     -       
32     16     3      3/8    | 0.11      0.66      7.33      0.57      8.68         127.90    | 17493    0        12646    18662    2404     | 384    72541          19594581     -       
32     16     4      4/8    | 0.10      0.63      7.44      0.56      8.74         127.03    | 17493    0        16768    14540    2404     | 512    72541          19594581     -       
32     16     5      5/8    | 0.12      0.66      7.71      0.57      9.08         122.33    | 17493    0        20482    10826    2404     | 640    72541          19594581     -       
32     16     6      6/8    | 0.11      0.65      8.30      0.56      9.64         115.24    | 17493    0        23638    7670     2404     | 768    72541          19594581     -       
32     16     7      7/8    | 0.11      0.64      9.05      0.58      10.39        106.86    | 17493    0        26628    4680     2404     | 896    72541          19594581     -       
32     16     8      8/8    | 0.10      0.64      13.67     0.54      14.98        74.15     | 17493    0        33712    0        0        | 1024   72541          19594581     -       
32     32     0      0/8    | 0.09      0.66      7.28      0.55      8.60         129.19    | 17493    0        0        31308    2404     | 1      81609          19594581     -       
32     32     1      1/8    | 0.09      0.68      7.30      0.53      8.61         129.01    | 17493    0        0        31308    2404     | 128    81609          19594581     -       
