# Matrix: sme3Dc
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.1-1/sme3Dc.mtx
# Category: 10k-50k-0.1-1
# Date: 2026-03-06 07:11:50
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 42930
# Cols: 42930
# NNZ(A): 3148656
# NNZ(C) estimate: 289653169
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 8.37      602.20    757.44    2.15      1370.18      0.42      | 8433802  0        0        263668   1        | 1      28485715       22744224     -       
8      8      1      1/8    | 8.45      601.92    757.49    2.14      1370.02      0.42      | 8433802  0        0        263668   1        | 8      28485715       22744224     -       
8      8      2      2/8    | 8.40      601.75    748.12    2.15      1360.45      0.43      | 8433802  0        223136   40532    1        | 16     28485715       22744224     -       
8      8      3      3/8    | 8.47      602.22    748.57    2.13      1361.40      0.43      | 8433802  0        255900   7768     1        | 24     28485715       22744224     -       
8      8      4      4/8    | 8.31      600.49    751.08    2.11      1362.00      0.43      | 8433802  0        262137   1531     1        | 32     28485715       22744224     -       
8      8      5      5/8    | 8.72      600.42    747.01    2.12      1358.29      0.43      | 8433802  0        263328   340      1        | 40     28485715       22744224     -       
8      8      6      6/8    | 8.57      600.28    747.25    2.14      1358.27      0.43      | 8433802  0        263587   81       1        | 48     28485715       22744224     -       
8      8      7      7/8    | 8.39      602.64    748.02    2.18      1361.26      0.43      | 8433802  0        263652   16       1        | 56     28485715       22744224     -       
8      8      8      8/8    | 8.63      601.86    746.71    2.15      1359.38      0.43      | 8433802  0        263669   0        0        | 64     28485715       22744224     -       
8      16     0      0/8    | 13.80     763.69    882.95    2.11      1662.58      0.35      | 8433802  0        0        263668   1        | 1      28763411       22744224     -       
8      16     1      1/8    | 13.98     765.04    882.41    2.15      1663.65      0.35      | 8433802  0        0        263668   1        | 8      28763411       22744224     -       
8      16     2      2/8    | 13.67     764.74    872.18    2.13      1652.74      0.35      | 8433802  0        223136   40532    1        | 16     28763411       22744224     -       
8      16     3      3/8    | 13.74     764.60    869.96    2.20      1650.53      0.35      | 8433802  0        255900   7768     1        | 24     28763411       22744224     -       
8      16     4      4/8    | 13.32     764.13    873.61    2.20      1653.29      0.35      | 8433802  0        262137   1531     1        | 32     28763411       22744224     -       
8      16     5      5/8    | 13.56     764.49    869.59    2.16      1649.83      0.35      | 8433802  0        263328   340      1        | 40     28763411       22744224     -       
8      16     6      6/8    | 13.41     764.59    869.30    2.15      1649.47      0.35      | 8433802  0        263587   81       1        | 48     28763411       22744224     -       
8      16     7      7/8    | 13.60     762.96    869.69    2.13      1648.41      0.35      | 8433802  0        263652   16       1        | 56     28763411       22744224     -       
8      16     8      8/8    | 13.61     763.47    869.95    2.10      1649.15      0.35      | 8433802  0        263669   0        0        | 64     28763411       22744224     -       
8      32     0      0/8    | 21.40     921.27    883.74    2.27      1828.76      0.32      | 8433802  0        0        263668   1        | 1      28798941       22744224     -       
8      32     1      1/8    | 21.47     920.50    883.62    2.13      1827.75      0.32      | 8433802  0        0        263668   1        | 8      28798941       22744224     -       
8      32     2      2/8    | 21.24     907.49    878.27    2.18      1809.25      0.32      | 8433802  0        223136   40532    1        | 16     28798941       22744224     -       
8      32     3      3/8    | 21.54     919.11    877.51    2.11      1820.29      0.32      | 8433802  0        255900   7768     1        | 24     28798941       22744224     -       
8      32     4      4/8    | 21.75     918.97    877.85    2.10      1820.70      0.32      | 8433802  0        262137   1531     1        | 32     28798941       22744224     -       
8      32     5      5/8    | 21.53     918.81    877.84    2.13      1820.35      0.32      | 8433802  0        263328   340      1        | 40     28798941       22744224     -       
8      32     6      6/8    | 21.91     919.21    877.11    2.19      1820.45      0.32      | 8433802  0        263587   81       1        | 48     28798941       22744224     -       
8      32     7      7/8    | 21.46     911.65    878.26    2.14      1813.57      0.32      | 8433802  0        263652   16       1        | 56     28798941       22744224     -       
8      32     8      8/8    | 21.60     919.18    876.60    2.17      1819.57      0.32      | 8433802  0        263669   0        0        | 64     28798941       22744224     -       
16     8      0      0/8    | 8.92      460.06    688.99    1.44      1159.44      0.50      | 4269372  0        0        32252    0        | 1      7201587        22744224     -       
16     8      1      1/8    | 8.99      461.06    688.83    1.57      1160.51      0.50      | 4269372  0        0        32252    0        | 32     7201587        22744224     -       
16     8      2      2/8    | 8.93      461.03    685.95    1.44      1157.38      0.50      | 4269372  0        28268    3984     0        | 64     7201587        22744224     -       
16     8      3      3/8    | 8.96      459.51    685.90    1.45      1155.88      0.50      | 4269372  0        31811    441      0        | 96     7201587        22744224     -       
16     8      4      4/8    | 8.92      458.09    685.94    1.49      1154.48      0.50      | 4269372  0        32213    39       0        | 128    7201587        22744224     -       
16     8      5      5/8    | 8.93      459.62    685.64    1.45      1155.70      0.50      | 4269372  0        32251    1        0        | 160    7201587        22744224     -       
16     8      6      6/8    | 8.93      459.80    685.80    1.43      1155.99      0.50      | 4269372  0        32252    0        0        | 192    7201587        22744224     -       
16     8      7      7/8    | 8.93      459.34    685.93    1.44      1155.66      0.50      | 4269372  0        32252    0        0        | 224    7201587        22744224     -       
16     8      8      8/8    | 8.98      459.80    686.06    1.47      1156.37      0.50      | 4269372  0        32252    0        0        | 256    7201587        22744224     -       
16     16     0      0/8    | 11.50     485.17    657.48    1.45      1155.62      0.50      | 4269372  0        0        32252    0        | 1      7203750        22744224     -       
16     16     1      1/8    | 11.49     486.02    657.44    1.53      1156.50      0.50      | 4269372  0        0        32252    0        | 32     7203750        22744224     -       
16     16     2      2/8    | 11.50     485.19    654.92    1.44      1153.07      0.50      | 4269372  0        28268    3984     0        | 64     7203750        22744224     -       
16     16     3      3/8    | 11.52     484.88    654.89    1.49      1152.80      0.50      | 4269372  0        31811    441      0        | 96     7203750        22744224     -       
16     16     4      4/8    | 11.52     485.18    654.69    1.52      1152.94      0.50      | 4269372  0        32213    39       0        | 128    7203750        22744224     -       
16     16     5      5/8    | 11.68     484.91    654.45    1.47      1152.53      0.50      | 4269372  0        32251    1        0        | 160    7203750        22744224     -       
16     16     6      6/8    | 11.53     485.26    654.49    1.48      1152.78      0.50      | 4269372  0        32252    0        0        | 192    7203750        22744224     -       
16     16     7      7/8    | 11.49     485.46    653.95    1.47      1152.38      0.50      | 4269372  0        32252    0        0        | 224    7203750        22744224     -       
16     16     8      8/8    | 11.51     485.09    653.90    1.46      1151.99      0.50      | 4269372  0        32252    0        0        | 256    7203750        22744224     -       
16     32     0      0/8    | 14.80     490.08    647.63    1.54      1154.07      0.50      | 4269372  0        0        32252    0        | 1      7203844        22744224     -       
16     32     1      1/8    | 14.73     489.83    647.11    1.54      1153.23      0.50      | 4269372  0        0        32252    0        | 32     7203844        22744224     -       
16     32     2      2/8    | 14.75     490.26    644.86    1.52      1151.42      0.50      | 4269372  0        28268    3984     0        | 64     7203844        22744224     -       
16     32     3      3/8    | 14.75     490.50    644.57    1.54      1151.37      0.50      | 4269372  0        31811    441      0        | 96     7203844        22744224     -       
16     32     4      4/8    | 14.78     490.45    644.68    1.53      1151.45      0.50      | 4269372  0        32213    39       0        | 128    7203844        22744224     -       
16     32     5      5/8    | 14.77     490.35    644.05    1.56      1150.76      0.50      | 4269372  0        32251    1        0        | 160    7203844        22744224     -       
16     32     6      6/8    | 14.76     489.77    643.94    1.54      1150.04      0.50      | 4269372  0        32252    0        0        | 192    7203844        22744224     -       
16     32     7      7/8    | 14.80     490.43    644.17    1.60      1151.02      0.50      | 4269372  0        32252    0        0        | 224    7203844        22744224     -       
16     32     8      8/8    | 14.77     489.98    644.15    1.52      1150.43      0.50      | 4269372  0        32252    0        0        | 256    7203844        22744224     -       
32     8      0      0/8    | 9.91      286.76    465.99    1.35      764.08       0.76      | 1460277  0        0        4151     0        | 1      1800964        22744224     -       
32     8      1      1/8    | 9.92      286.08    465.86    1.32      763.19       0.76      | 1460277  0        0        4151     0        | 128    1800964        22744224     -       
32     8      2      2/8    | 9.95      286.44    463.75    1.33      761.53       0.76      | 1460277  0        3841     310      0        | 256    1800964        22744224     -       
32     8      3      3/8    | 9.79      286.45    462.78    1.28      760.31       0.76      | 1460277  0        4141     10       0        | 384    1800964        22744224     -       
32     8      4      4/8    | 9.94      286.58    462.75    1.38      760.71       0.76      | 1460277  0        4151     0        0        | 512    1800964        22744224     -       
32     8      5      5/8    | 9.94      285.85    462.55    1.31      759.66       0.76      | 1460277  0        4151     0        0        | 640    1800964        22744224     -       
32     8      6      6/8    | 9.85      286.70    462.59    1.31      760.49       0.76      | 1460277  0        4151     0        0        | 768    1800964        22744224     -       
32     8      7      7/8    | 9.87      286.60    462.90    1.28      760.68       0.76      | 1460277  0        4151     0        0        | 896    1800964        22744224     -       
32     8      8      8/8    | 9.89      286.96    462.55    1.29      760.71       0.76      | 1460277  0        4151     0        0        | 1024   1800964        22744224     -       
