# Matrix: CurlCurl_3
# Path: /home/stu1/Dataset/training_dataset/1M-2M-0.001/CurlCurl_3.mtx
# Category: 1M-2M-0.001
# Date: 2026-03-07 05:27:08
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 1219574
# Cols: 1219574
# NNZ(A): 13544618
# NNZ(C) estimate: 151383222
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 2.61      20.99     23.73     1.89      49.24        6.15      | 1561378  0        0        2915991  0        | 1      8475223        67920062     -       
8      8      1      1/8    | 2.61      21.04     23.73     1.83      49.22        6.15      | 1561378  0        0        2915991  0        | 8      8475223        67920062     -       
8      8      2      2/8    | 2.64      21.19     21.46     1.90      47.21        6.41      | 1561378  0        1127148  1788843  0        | 16     8475223        67920062     -       
8      8      3      3/8    | 2.63      21.10     19.38     1.90      45.03        6.72      | 1561378  0        1917361  998630   0        | 24     8475223        67920062     -       
8      8      4      4/8    | 2.63      20.98     18.26     1.80      43.70        6.93      | 1561378  0        2634279  281712   0        | 32     8475223        67920062     -       
8      8      5      5/8    | 2.66      21.09     15.61     1.83      41.21        7.35      | 1561378  0        2827545  88446    0        | 40     8475223        67920062     -       
8      8      6      6/8    | 2.64      21.15     14.80     1.85      40.46        7.48      | 1561378  0        2913669  2322     0        | 48     8475223        67920062     -       
8      8      7      7/8    | 2.61      21.30     14.77     1.84      40.54        7.47      | 1561378  0        2915991  0        0        | 56     8475223        67920062     -       
8      8      8      8/8    | 2.63      21.04     14.77     1.91      40.36        7.50      | 1561378  0        2915991  0        0        | 64     8475223        67920062     -       
8      16     0      0/8    | 2.40      27.25     25.69     1.87      57.22        5.29      | 1561378  0        0        2915991  0        | 1      10645339       67920062     -       
8      16     1      1/8    | 2.39      27.17     25.69     1.83      57.10        5.30      | 1561378  0        0        2915991  0        | 8      10645339       67920062     -       
8      16     2      2/8    | 2.53      27.11     22.44     1.99      54.09        5.60      | 1561378  0        1127148  1788843  0        | 16     10645339       67920062     -       
8      16     3      3/8    | 2.43      27.06     19.63     1.92      51.05        5.93      | 1561378  0        1917361  998630   0        | 24     10645339       67920062     -       
8      16     4      4/8    | 2.44      26.73     17.63     1.93      48.76        6.21      | 1561378  0        2634279  281712   0        | 32     10645339       67920062     -       
8      16     5      5/8    | 2.42      26.91     14.66     1.89      45.90        6.60      | 1561378  0        2827545  88446    0        | 40     10645339       67920062     -       
8      16     6      6/8    | 2.52      27.20     13.65     2.01      45.42        6.67      | 1561378  0        2913669  2322     0        | 48     10645339       67920062     -       
8      16     7      7/8    | 2.39      27.34     13.59     1.84      45.16        6.70      | 1561378  0        2915991  0        0        | 56     10645339       67920062     -       
8      16     8      8/8    | 2.40      27.37     13.59     1.87      45.24        6.69      | 1561378  0        2915991  0        0        | 64     10645339       67920062     -       
8      32     0      0/8    | 2.56      39.61     38.28     1.90      82.38        3.68      | 1561378  0        0        2915991  0        | 1      15382697       67920062     -       
8      32     1      1/8    | 2.52      39.76     38.27     1.96      82.52        3.67      | 1561378  0        0        2915991  0        | 8      15382697       67920062     -       
8      32     2      2/8    | 2.71      39.22     32.01     2.01      75.97        3.99      | 1561378  0        1127148  1788843  0        | 16     15382697       67920062     -       
8      32     3      3/8    | 2.53      38.90     26.85     1.89      70.19        4.31      | 1561378  0        1917361  998630   0        | 24     15382697       67920062     -       
8      32     4      4/8    | 2.55      39.06     20.45     1.94      64.03        4.73      | 1561378  0        2634279  281712   0        | 32     15382697       67920062     -       
8      32     5      5/8    | 2.54      39.10     16.88     1.92      60.47        5.01      | 1561378  0        2827545  88446    0        | 40     15382697       67920062     -       
8      32     6      6/8    | 2.38      39.17     14.62     1.92      58.11        5.21      | 1561378  0        2913669  2322     0        | 48     15382697       67920062     -       
8      32     7      7/8    | 2.51      39.62     14.54     2.01      58.70        5.16      | 1561378  0        2915991  0        0        | 56     15382697       67920062     -       
8      32     8      8/8    | 2.70      40.45     14.53     2.02      59.72        5.07      | 1561378  0        2915991  0        0        | 64     15382697       67920062     -       
16     8      0      0/8    | 1.89      7.44      18.77     1.53      29.65        10.21     | 972989   0        0        847823   0        | 1      2991558        67920062     -       
16     8      1      1/8    | 1.90      7.52      18.76     1.53      29.72        10.19     | 972989   0        0        847823   0        | 32     2991558        67920062     -       
16     8      2      2/8    | 1.97      7.55      16.27     1.63      27.44        11.03     | 972989   0        460032   387791   0        | 64     2991558        67920062     -       
16     8      3      3/8    | 1.92      7.50      12.99     1.60      24.03        12.60     | 972989   0        771054   76769    0        | 96     2991558        67920062     -       
16     8      4      4/8    | 1.94      7.56      12.97     1.61      24.11        12.56     | 972989   0        775476   72347    0        | 128    2991558        67920062     -       
16     8      5      5/8    | 1.96      7.57      11.68     1.64      22.86        13.24     | 972989   0        847654   169      0        | 160    2991558        67920062     -       
16     8      6      6/8    | 1.94      7.67      11.64     1.58      22.85        13.25     | 972989   0        847823   0        0        | 192    2991558        67920062     -       
16     8      7      7/8    | 1.95      7.49      11.64     1.60      22.71        13.33     | 972989   0        847823   0        0        | 224    2991558        67920062     -       
16     8      8      8/8    | 1.94      7.48      11.63     1.63      22.70        13.34     | 972989   0        847823   0        0        | 256    2991558        67920062     -       
