# Matrix: StocF-1465
# Path: /home/stu1/Dataset/training_dataset/1M-2M-0.001/StocF-1465.mtx
# Category: 1M-2M-0.001
# Date: 2026-03-07 09:53:42
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 1465137
# Cols: 1465137
# NNZ(A): 21005389
# NNZ(C) estimate: 310855795
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 6.57      80.08     63.14     2.75      152.56       4.08      | 8646928  0        0        3850950  3921     | 1      31695805       93163361     -       
8      8      1      1/8    | 6.57      80.33     63.14     2.76      152.82       4.07      | 8646928  0        0        3850950  3921     | 8      31695805       93163361     -       
8      8      2      2/8    | 6.59      79.53     54.24     2.75      143.12       4.34      | 8646928  0        2311856  1539094  3921     | 16     31695805       93163361     -       
8      8      3      3/8    | 6.57      79.91     47.84     2.76      137.11       4.53      | 8646928  0        3292867  558083   3921     | 24     31695805       93163361     -       
8      8      4      4/8    | 6.54      79.59     47.91     2.75      136.82       4.54      | 8646928  0        3675752  175198   3921     | 32     31695805       93163361     -       
8      8      5      5/8    | 6.57      80.25     43.70     2.76      133.29       4.66      | 8646928  0        3786842  64108    3921     | 40     31695805       93163361     -       
8      8      6      6/8    | 6.60      79.55     43.30     2.77      132.25       4.70      | 8646928  0        3828893  22057    3921     | 48     31695805       93163361     -       
8      8      7      7/8    | 6.56      79.54     43.14     2.73      132.00       4.71      | 8646928  0        3847199  3751     3921     | 56     31695805       93163361     -       
8      8      8      8/8    | 6.56      80.28     43.00     2.75      132.60       4.69      | 8646928  0        3854871  0        0        | 64     31695805       93163361     -       
8      16     0      0/8    | 7.46      107.89    70.58     3.27      189.22       3.29      | 8646928  0        0        3850950  3921     | 1      42773921       93163361     -       
8      16     1      1/8    | 7.43      108.19    70.59     3.24      189.46       3.28      | 8646928  0        0        3850950  3921     | 8      42773921       93163361     -       
8      16     2      2/8    | 7.59      108.84    57.53     3.30      177.28       3.51      | 8646928  0        2311856  1539094  3921     | 16     42773921       93163361     -       
8      16     3      3/8    | 7.52      107.74    48.87     3.27      167.42       3.71      | 8646928  0        3292867  558083   3921     | 24     42773921       93163361     -       
8      16     4      4/8    | 7.50      107.83    47.36     3.28      165.99       3.75      | 8646928  0        3675752  175198   3921     | 32     42773921       93163361     -       
8      16     5      5/8    | 7.46      107.97    43.22     3.26      161.93       3.84      | 8646928  0        3786842  64108    3921     | 40     42773921       93163361     -       
8      16     6      6/8    | 7.47      108.09    42.75     3.26      161.58       3.85      | 8646928  0        3828893  22057    3921     | 48     42773921       93163361     -       
8      16     7      7/8    | 7.50      109.62    42.50     3.31      162.96       3.82      | 8646928  0        3847199  3751     3921     | 56     42773921       93163361     -       
8      16     8      8/8    | 7.67      110.03    42.42     3.32      163.47       3.80      | 8646928  0        3854871  0        0        | 64     42773921       93163361     -       
8      32     0      0/8    | 10.03     153.13    98.29     3.93      265.41       2.34      | 8646928  0        0        3850950  3921     | 1      59723197       93163361     -       
8      32     1      1/8    | 10.05     151.79    98.29     3.81      263.96       2.36      | 8646928  0        0        3850950  3921     | 8      59723197       93163361     -       
8      32     2      2/8    | 10.07     153.79    72.55     3.89      240.33       2.59      | 8646928  0        2311856  1539094  3921     | 16     59723197       93163361     -       
8      32     3      3/8    | 10.01     157.22    55.76     3.86      226.89       2.74      | 8646928  0        3292867  558083   3921     | 24     59723197       93163361     -       
8      32     4      4/8    | 10.03     152.11    47.10     3.84      213.11       2.92      | 8646928  0        3675752  175198   3921     | 32     59723197       93163361     -       
8      32     5      5/8    | 10.09     153.84    44.43     3.86      212.25       2.93      | 8646928  0        3786842  64108    3921     | 40     59723197       93163361     -       
8      32     6      6/8    | 9.98      151.83    43.39     3.81      209.02       2.97      | 8646928  0        3828893  22057    3921     | 48     59723197       93163361     -       
8      32     7      7/8    | 10.01     152.09    42.86     3.87      208.84       2.98      | 8646928  0        3847199  3751     3921     | 56     59723197       93163361     -       
8      32     8      8/8    | 10.09     152.40    42.56     3.82      208.90       2.98      | 8646928  0        3854871  0        0        | 64     59723197       93163361     -       
16     8      0      0/8    | 4.24      50.19     53.28     2.40      110.13       5.65      | 5509101  0        0        837322   575      | 1      14029258       93163361     -       
16     8      1      1/8    | 4.34      35.96     53.29     2.43      96.05        6.47      | 5509101  0        0        837322   575      | 32     14029258       93163361     -       
16     8      2      2/8    | 4.21      35.66     41.54     2.34      83.77        7.42      | 5509101  0        656355   180967   575      | 64     14029258       93163361     -       
16     8      3      3/8    | 4.38      35.59     38.77     2.42      81.18        7.66      | 5509101  0        783084   54238    575      | 96     14029258       93163361     -       
16     8      4      4/8    | 4.18      34.90     37.77     2.34      79.20        7.85      | 5509101  0        823392   13930    575      | 128    14029258       93163361     -       
