# Matrix: atmosmodd
# Path: /home/stu1/Dataset/training_dataset/1M-2M-0.001/atmosmodd.mtx
# Category: 1M-2M-0.001
# Date: 2026-03-07 03:20:04
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 1270432
# Cols: 1270432
# NNZ(A): 8814880
# NNZ(C) estimate: 61238128
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 2.47      13.97     11.40     1.46      29.33        4.18      | 2776480  0        0        1101860  0        | 1      5444804        31215208     -       
8      8      1      1/8    | 2.49      13.90     11.39     1.45      29.25        4.19      | 2776480  0        0        1101860  0        | 8      5444804        31215208     -       
8      8      2      2/8    | 2.48      13.77     9.83      1.45      27.55        4.45      | 2776480  0        630924   470936   0        | 16     5444804        31215208     -       
8      8      3      3/8    | 2.48      13.82     9.11      1.46      26.88        4.56      | 2776480  0        943056   158804   0        | 24     5444804        31215208     -       
8      8      4      4/8    | 2.48      13.95     9.54      1.44      27.42        4.47      | 2776480  0        947348   154512   0        | 32     5444804        31215208     -       
8      8      5      5/8    | 2.48      13.85     8.11      1.47      25.93        4.72      | 2776480  0        1101860  0        0        | 40     5444804        31215208     -       
8      8      6      6/8    | 2.49      13.78     8.11      1.47      25.87        4.73      | 2776480  0        1101860  0        0        | 48     5444804        31215208     -       
8      8      7      7/8    | 2.48      13.72     8.12      1.47      25.81        4.75      | 2776480  0        1101860  0        0        | 56     5444804        31215208     -       
8      8      8      8/8    | 2.47      13.80     8.12      1.46      25.86        4.74      | 2776480  0        1101860  0        0        | 64     5444804        31215208     -       
8      16     0      0/8    | 2.27      21.04     12.51     1.53      37.36        3.28      | 2776480  0        0        1101860  0        | 1      8242124        31215208     -       
8      16     1      1/8    | 2.27      20.79     12.52     1.49      37.08        3.30      | 2776480  0        0        1101860  0        | 8      8242124        31215208     -       
8      16     2      2/8    | 2.26      20.81     10.39     1.51      35.00        3.50      | 2776480  0        630924   470936   0        | 16     8242124        31215208     -       
8      16     3      3/8    | 2.27      20.93     9.16      1.48      33.85        3.62      | 2776480  0        943056   158804   0        | 24     8242124        31215208     -       
8      16     4      4/8    | 2.37      20.88     9.56      1.59      34.43        3.56      | 2776480  0        947348   154512   0        | 32     8242124        31215208     -       
8      16     5      5/8    | 2.28      21.09     7.53      1.52      32.44        3.78      | 2776480  0        1101860  0        0        | 40     8242124        31215208     -       
8      16     6      6/8    | 2.26      21.05     7.53      1.49      32.34        3.79      | 2776480  0        1101860  0        0        | 48     8242124        31215208     -       
8      16     7      7/8    | 2.26      21.01     7.53      1.53      32.36        3.79      | 2776480  0        1101860  0        0        | 56     8242124        31215208     -       
8      16     8      8/8    | 2.25      20.85     7.53      1.48      32.13        3.81      | 2776480  0        1101860  0        0        | 64     8242124        31215208     -       
8      32     0      0/8    | 2.60      34.06     17.23     1.58      55.50        2.21      | 2776480  0        0        1101860  0        | 1      13252324       31215208     -       
8      32     1      1/8    | 2.56      34.68     17.26     1.55      56.07        2.18      | 2776480  0        0        1101860  0        | 8      13252324       31215208     -       
8      32     2      2/8    | 2.40      34.32     13.22     1.49      51.45        2.38      | 2776480  0        630924   470936   0        | 16     13252324       31215208     -       
8      32     3      3/8    | 2.41      34.10     11.22     1.49      49.24        2.49      | 2776480  0        943056   158804   0        | 24     13252324       31215208     -       
8      32     4      4/8    | 2.41      34.40     11.13     1.48      49.44        2.48      | 2776480  0        947348   154512   0        | 32     13252324       31215208     -       
8      32     5      5/8    | 2.40      34.02     7.54      1.49      45.46        2.69      | 2776480  0        1101860  0        0        | 40     13252324       31215208     -       
8      32     6      6/8    | 2.44      34.02     7.53      1.48      45.49        2.69      | 2776480  0        1101860  0        0        | 48     13252324       31215208     -       
8      32     7      7/8    | 2.47      34.02     7.56      1.61      45.69        2.68      | 2776480  0        1101860  0        0        | 56     13252324       31215208     -       
8      32     8      8/8    | 2.42      33.85     7.53      1.52      45.35        2.70      | 2776480  0        1101860  0        0        | 64     13252324       31215208     -       
16     8      0      0/8    | 1.86      5.66      12.00     1.24      20.78        5.90      | 1702428  0        0        393228   0        | 1      2257708        31215208     -       
16     8      1      1/8    | 1.84      5.72      12.00     1.24      20.82        5.88      | 1702428  0        0        393228   0        | 32     2257708        31215208     -       
16     8      2      2/8    | 1.85      5.70      9.60      1.24      18.39        6.66      | 1702428  0        313826   79402    0        | 64     2257708        31215208     -       
16     8      3      3/8    | 1.85      5.64      8.49      1.23      17.23        7.11      | 1702428  0        393228   0        0        | 96     2257708        31215208     -       
16     8      4      4/8    | 1.88      5.70      8.49      1.34      17.44        7.02      | 1702428  0        393228   0        0        | 128    2257708        31215208     -       
16     8      5      5/8    | 1.87      5.71      8.49      1.26      17.36        7.05      | 1702428  0        393228   0        0        | 160    2257708        31215208     -       
16     8      6      6/8    | 1.95      5.91      8.51      1.25      17.65        6.94      | 1702428  0        393228   0        0        | 192    2257708        31215208     -       
16     8      7      7/8    | 1.85      5.75      8.49      1.24      17.34        7.06      | 1702428  0        393228   0        0        | 224    2257708        31215208     -       
16     8      8      8/8    | 1.84      5.77      8.49      1.26      17.38        7.05      | 1702428  0        393228   0        0        | 256    2257708        31215208     -       
16     16     0      0/8    | 1.52      7.04      9.26      1.27      19.12        6.40      | 1702428  0        0        393228   0        | 1      2721940        31215208     -       
16     16     1      1/8    | 1.50      7.07      9.26      1.31      19.16        6.39      | 1702428  0        0        393228   0        | 32     2721940        31215208     -       
16     16     2      2/8    | 1.48      7.15      6.61      1.21      16.47        7.44      | 1702428  0        313826   79402    0        | 64     2721940        31215208     -       
16     16     3      3/8    | 1.51      6.97      4.71      1.27      14.49        8.45      | 1702428  0        393228   0        0        | 96     2721940        31215208     -       
