# Matrix: atmosmodm
# Path: /home/stu1/Dataset/training_dataset/1M-2M-0.001/atmosmodm.mtx
# Category: 1M-2M-0.001
# Date: 2026-03-07 04:10:44
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 1489752
# Cols: 1489752
# NNZ(A): 10319760
# NNZ(C) estimate: 71590768
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 3.31      20.34     16.65     1.50      41.82        3.42      | 3272736  0        0        1282069  0        | 1      8186465        36486008     -       
8      8      1      1/8    | 3.32      20.48     16.64     1.48      41.93        3.41      | 3272736  0        0        1282069  0        | 8      8186465        36486008     -       
8      8      2      2/8    | 3.29      20.43     14.01     1.48      39.23        3.65      | 3272736  0        732798   549271   0        | 16     8186465        36486008     -       
8      8      3      3/8    | 3.31      20.39     12.93     1.49      38.13        3.75      | 3272736  0        1095850  186219   0        | 24     8186465        36486008     -       
8      8      4      4/8    | 3.29      20.41     13.47     1.49      38.68        3.70      | 3272736  0        1101493  180576   0        | 32     8186465        36486008     -       
8      8      5      5/8    | 3.31      20.30     11.65     1.52      36.79        3.89      | 3272736  0        1282069  0        0        | 40     8186465        36486008     -       
8      8      6      6/8    | 3.31      20.25     12.11     1.49      37.17        3.85      | 3272736  0        1282069  0        0        | 48     8186465        36486008     -       
8      8      7      7/8    | 3.29      20.36     11.65     1.51      36.82        3.89      | 3272736  0        1282069  0        0        | 56     8186465        36486008     -       
8      8      8      8/8    | 3.34      20.82     11.65     1.49      37.32        3.84      | 3272736  0        1282069  0        0        | 64     8186465        36486008     -       
8      16     0      0/8    | 3.01      29.81     17.14     1.77      51.74        2.77      | 3272736  0        0        1282069  0        | 1      11273481       36486008     -       
8      16     1      1/8    | 2.86      29.00     17.11     1.70      50.70        2.82      | 3272736  0        0        1282069  0        | 8      11273481       36486008     -       
8      16     2      2/8    | 2.99      28.81     13.80     1.78      47.41        3.02      | 3272736  0        732798   549271   0        | 16     11273481       36486008     -       
8      16     3      3/8    | 2.89      28.52     12.42     1.73      45.57        3.14      | 3272736  0        1095850  186219   0        | 24     11273481       36486008     -       
8      16     4      4/8    | 2.87      28.34     12.87     1.69      45.80        3.13      | 3272736  0        1101493  180576   0        | 32     11273481       36486008     -       
8      16     5      5/8    | 2.86      28.36     10.38     1.73      43.34        3.30      | 3272736  0        1282069  0        0        | 40     11273481       36486008     -       
8      16     6      6/8    | 2.88      28.66     10.37     1.73      43.67        3.28      | 3272736  0        1282069  0        0        | 48     11273481       36486008     -       
8      16     7      7/8    | 2.99      29.98     10.39     1.73      45.12        3.17      | 3272736  0        1282069  0        0        | 56     11273481       36486008     -       
