# Matrix: belgium_osm
# Path: /home/stu1/Dataset/training_dataset/1M-2M-0.001/belgium_osm.mtx
# Category: 1M-2M-0.001
# Date: 2026-03-07 04:24:00
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 1441295
# Cols: 1441295
# NNZ(A): 3099940
# NNZ(C) estimate: 7017228
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 2.44      10.58     3.14      1.30      17.48        0.80      | 1108900  0        0        182172   0        | 1      4056130        5323073      -       
8      8      1      1/8    | 2.30      10.55     3.12      1.25      17.23        0.81      | 1108900  0        0        182172   0        | 8      4056130        5323073      -       
8      8      2      2/8    | 2.44      10.12     2.68      1.27      16.53        0.85      | 1108900  0        83727    98445    0        | 16     4056130        5323073      -       
8      8      3      3/8    | 2.42      10.30     2.21      1.21      16.17        0.87      | 1108900  0        181620   552      0        | 24     4056130        5323073      -       
8      8      4      4/8    | 2.42      10.13     2.30      1.26      16.14        0.87      | 1108900  0        182166   6        0        | 32     4056130        5323073      -       
8      8      5      5/8    | 2.25      10.10     2.17      1.15      15.68        0.89      | 1108900  0        182171   1        0        | 40     4056130        5323073      -       
8      8      6      6/8    | 2.44      10.22     2.19      1.25      16.11        0.87      | 1108900  0        182172   0        0        | 48     4056130        5323073      -       
8      8      7      7/8    | 2.27      10.56     2.17      1.17      16.19        0.87      | 1108900  0        182172   0        0        | 56     4056130        5323073      -       
8      8      8      8/8    | 2.42      10.11     2.19      1.24      15.98        0.88      | 1108900  0        182172   0        0        | 64     4056130        5323073      -       
8      16     0      0/8    | 2.10      15.22     3.50      1.30      22.14        0.63      | 1108900  0        0        182172   0        | 1      6142602        5323073      -       
8      16     1      1/8    | 2.29      15.40     3.51      1.30      22.52        0.62      | 1108900  0        0        182172   0        | 8      6142602        5323073      -       
8      16     2      2/8    | 2.28      15.26     2.88      1.35      21.80        0.64      | 1108900  0        83727    98445    0        | 16     6142602        5323073      -       
8      16     3      3/8    | 2.25      15.49     2.33      1.24      21.33        0.66      | 1108900  0        181620   552      0        | 24     6142602        5323073      -       
8      16     4      4/8    | 2.11      15.34     2.42      1.30      21.18        0.66      | 1108900  0        182166   6        0        | 32     6142602        5323073      -       
8      16     5      5/8    | 2.26      15.12     2.31      1.34      21.05        0.67      | 1108900  0        182171   1        0        | 40     6142602        5323073      -       
8      16     6      6/8    | 2.29      15.14     2.32      1.32      21.08        0.67      | 1108900  0        182172   0        0        | 48     6142602        5323073      -       
8      16     7      7/8    | 2.41      15.53     2.34      1.36      21.65        0.65      | 1108900  0        182172   0        0        | 56     6142602        5323073      -       
8      16     8      8/8    | 2.23      15.51     2.34      1.31      21.42        0.66      | 1108900  0        182172   0        0        | 64     6142602        5323073      -       
8      32     0      0/8    | 2.59      25.37     4.65      1.47      34.10        0.41      | 1108900  0        0        182172   0        | 1      9998546        5323073      -       
8      32     1      1/8    | 2.31      25.12     4.64      1.41      33.49        0.42      | 1108900  0        0        182172   0        | 8      9998546        5323073      -       
8      32     2      2/8    | 2.57      25.61     3.44      1.45      33.09        0.42      | 1108900  0        83727    98445    0        | 16     9998546        5323073      -       
8      32     3      3/8    | 2.30      25.47     2.45      1.39      31.63        0.44      | 1108900  0        181620   552      0        | 24     9998546        5323073      -       
8      32     4      4/8    | 2.44      25.71     2.43      1.41      32.02        0.44      | 1108900  0        182166   6        0        | 32     9998546        5323073      -       
8      32     5      5/8    | 2.30      25.64     2.39      1.37      31.71        0.44      | 1108900  0        182171   1        0        | 40     9998546        5323073      -       
8      32     6      6/8    | 2.47      25.22     2.41      1.44      31.56        0.44      | 1108900  0        182172   0        0        | 48     9998546        5323073      -       
8      32     7      7/8    | 2.57      25.81     2.41      1.43      32.27        0.43      | 1108900  0        182172   0        0        | 56     9998546        5323073      -       
8      32     8      8/8    | 2.30      25.64     2.38      1.38      31.72        0.44      | 1108900  0        182172   0        0        | 64     9998546        5323073      -       
16     8      0      0/8    | 1.69      6.43      3.06      1.15      12.36        1.14      | 799490   0        0        76659    0        | 1      2509565        5323073      -       
16     8      1      1/8    | 1.65      6.37      3.05      1.09      12.18        1.15      | 799490   0        0        76659    0        | 32     2509565        5323073      -       
16     8      2      2/8    | 1.66      6.40      1.90      1.10      11.06        1.27      | 799490   0        76631    28       0        | 64     2509565        5323073      -       
16     8      3      3/8    | 1.77      6.39      1.90      1.14      11.21        1.25      | 799490   0        76659    0        0        | 96     2509565        5323073      -       
16     8      4      4/8    | 1.79      6.64      1.90      1.11      11.46        1.22      | 799490   0        76659    0        0        | 128    2509565        5323073      -       
16     8      5      5/8    | 1.66      6.45      1.88      1.09      11.09        1.27      | 799490   0        76659    0        0        | 160    2509565        5323073      -       
16     8      6      6/8    | 1.78      6.41      1.90      1.15      11.25        1.25      | 799490   0        76659    0        0        | 192    2509565        5323073      -       
16     8      7      7/8    | 1.65      6.54      1.88      1.10      11.19        1.25      | 799490   0        76659    0        0        | 224    2509565        5323073      -       
16     8      8      8/8    | 1.71      6.34      1.88      1.17      11.12        1.26      | 799490   0        76659    0        0        | 256    2509565        5323073      -       
16     16     0      0/8    | 1.92      10.37     3.22      1.18      16.70        0.84      | 799490   0        0        76659    0        | 1      4093743        5323073      -       
16     16     1      1/8    | 1.72      10.34     3.21      1.13      16.42        0.85      | 799490   0        0        76659    0        | 32     4093743        5323073      -       
16     16     2      2/8    | 1.76      10.35     1.90      1.13      15.16        0.93      | 799490   0        76631    28       0        | 64     4093743        5323073      -       
16     16     3      3/8    | 1.91      10.17     1.88      1.19      15.17        0.93      | 799490   0        76659    0        0        | 96     4093743        5323073      -       
16     16     4      4/8    | 1.94      10.52     1.88      1.19      15.55        0.90      | 799490   0        76659    0        0        | 128    4093743        5323073      -       
16     16     5      5/8    | 1.94      10.17     1.88      1.20      15.21        0.92      | 799490   0        76659    0        0        | 160    4093743        5323073      -       
16     16     6      6/8    | 1.63      10.14     1.86      1.17      14.81        0.95      | 799490   0        76659    0        0        | 192    4093743        5323073      -       
16     16     7      7/8    | 1.80      10.38     1.87      1.18      15.25        0.92      | 799490   0        76659    0        0        | 224    4093743        5323073      -       
16     16     8      8/8    | 1.77      10.16     1.85      1.15      14.95        0.94      | 799490   0        76659    0        0        | 256    4093743        5323073      -       
16     32     0      0/8    | 1.89      16.87     5.20      1.41      25.38        0.55      | 799490   0        0        76659    0        | 1      6552803        5323073      -       
16     32     1      1/8    | 1.90      16.42     5.16      1.41      24.91        0.56      | 799490   0        0        76659    0        | 32     6552803        5323073      -       
16     32     2      2/8    | 1.77      16.48     2.00      1.37      21.64        0.65      | 799490   0        76631    28       0        | 64     6552803        5323073      -       
16     32     3      3/8    | 1.76      16.93     1.94      1.41      22.05        0.64      | 799490   0        76659    0        0        | 96     6552803        5323073      -       
16     32     4      4/8    | 1.77      24.36     1.90      1.40      29.46        0.48      | 799490   0        76659    0        0        | 128    6552803        5323073      -       
16     32     5      5/8    | 1.79      16.36     1.88      1.35      21.40        0.66      | 799490   0        76659    0        0        | 160    6552803        5323073      -       
16     32     6      6/8    | 1.88      16.90     1.91      1.41      22.12        0.63      | 799490   0        76659    0        0        | 192    6552803        5323073      -       
16     32     7      7/8    | 1.90      16.52     1.91      1.40      21.75        0.65      | 799490   0        76659    0        0        | 224    6552803        5323073      -       
16     32     8      8/8    | 1.76      16.70     1.91      1.37      21.77        0.64      | 799490   0        76659    0        0        | 256    6552803        5323073      -       
32     8      0      0/8    | 1.25      4.56      2.88      1.25      9.95         1.41      | 638659   0        0        36       0        | 1      1793235        5323073      -       
32     8      1      1/8    | 1.38      4.76      2.90      1.45      10.50        1.34      | 638659   0        0        36       0        | 128    1793235        5323073      -       
32     8      2      2/8    | 1.27      4.73      2.64      1.32      9.98         1.41      | 638659   0        36       0        0        | 256    1793235        5323073      -       
32     8      3      3/8    | 1.26      4.50      2.64      1.28      9.69         1.45      | 638659   0        36       0        0        | 384    1793235        5323073      -       
32     8      4      4/8    | 1.27      4.54      2.63      1.28      9.74         1.44      | 638659   0        36       0        0        | 512    1793235        5323073      -       
32     8      5      5/8    | 1.27      4.52      2.64      1.29      9.74         1.44      | 638659   0        36       0        0        | 640    1793235        5323073      -       
32     8      6      6/8    | 1.25      4.55      2.64      1.28      9.74         1.44      | 638659   0        36       0        0        | 768    1793235        5323073      -       
32     8      7      7/8    | 1.37      4.74      2.67      1.43      10.22        1.37      | 638659   0        36       0        0        | 896    1793235        5323073      -       
32     8      8      8/8    | 1.37      4.71      2.66      1.44      10.19        1.38      | 638659   0        36       0        0        | 1024   1793235        5323073      -       
32     16     0      0/8    | 1.39      7.07      2.08      1.38      11.93        1.18      | 638659   0        0        36       0        | 1      2823169        5323073      -       
32     16     1      1/8    | 1.57      7.25      2.10      1.38      12.32        1.14      | 638659   0        0        36       0        | 128    2823169        5323073      -       
32     16     2      2/8    | 1.35      7.14      1.79      1.34      11.64        1.21      | 638659   0        36       0        0        | 256    2823169        5323073      -       
32     16     3      3/8    | 1.56      7.11      1.81      1.43      11.92        1.18      | 638659   0        36       0        0        | 384    2823169        5323073      -       
32     16     4      4/8    | 1.53      7.23      1.81      1.46      12.05        1.16      | 638659   0        36       0        0        | 512    2823169        5323073      -       
32     16     5      5/8    | 1.39      7.10      1.78      1.41      11.69        1.20      | 638659   0        36       0        0        | 640    2823169        5323073      -       
32     16     6      6/8    | 1.52      7.13      1.81      1.46      11.93        1.18      | 638659   0        36       0        0        | 768    2823169        5323073      -       
32     16     7      7/8    | 1.41      6.99      1.78      1.35      11.54        1.22      | 638659   0        36       0        0        | 896    2823169        5323073      -       
32     16     8      8/8    | 1.40      7.07      1.79      1.35      11.62        1.21      | 638659   0        36       0        0        | 1024   2823169        5323073      -       
32     32     0      0/8    | 1.47      11.92     2.08      1.76      17.26        0.81      | 638659   0        0        36       0        | 1      4801003        5323073      -       
32     32     1      1/8    | 1.76      12.23     2.08      1.79      17.88        0.78      | 638659   0        0        36       0        | 128    4801003        5323073      -       
32     32     2      2/8    | 1.62      12.29     1.84      1.75      17.51        0.80      | 638659   0        36       0        0        | 256    4801003        5323073      -       
32     32     3      3/8    | 1.79      12.38     1.86      1.82      17.87        0.79      | 638659   0        36       0        0        | 384    4801003        5323073      -       
32     32     4      4/8    | 1.61      12.04     1.84      1.76      17.27        0.81      | 638659   0        36       0        0        | 512    4801003        5323073      -       
32     32     5      5/8    | 1.80      12.34     1.86      1.76      17.79        0.79      | 638659   0        36       0        0        | 640    4801003        5323073      -       
32     32     6      6/8    | 1.69      12.06     1.86      1.82      17.45        0.80      | 638659   0        36       0        0        | 768    4801003        5323073      -       
32     32     7      7/8    | 1.50      12.11     1.84      1.71      17.18        0.82      | 638659   0        36       0        0        | 896    4801003        5323073      -       
32     32     8      8/8    | 1.60      12.06     1.84      1.71      17.23        0.81      | 638659   0        36       0        0        | 1024   4801003        5323073      -       
