# Matrix: ecology1
# Path: /home/stu1/Dataset/training_dataset/1M-2M-0.001/ecology1.mtx
# Category: 1M-2M-0.001
# Date: 2026-03-07 06:18:16
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 1000000
# Cols: 1000000
# NNZ(A): 4996000
# NNZ(C) estimate: 24964008
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.93      3.68      3.27      1.07      8.97         5.56      | 993004   0        0        374750   0        | 1      1613754        12980004     -       
8      8      1      1/8    | 0.92      2.83      3.27      1.07      8.11         6.16      | 993004   0        0        374750   0        | 8      1613754        12980004     -       
8      8      2      2/8    | 1.11      5.83      3.31      1.21      11.48        4.35      | 993004   0        0        374750   0        | 16     1613754        12980004     -       
8      8      3      3/8    | 1.09      4.73      2.81      1.16      9.81         5.09      | 993004   0        249750   125000   0        | 24     1613754        12980004     -       
8      8      4      4/8    | 0.91      3.42      2.87      1.07      8.29         6.02      | 993004   0        249750   125000   0        | 32     1613754        12980004     -       
8      8      5      5/8    | 0.90      2.90      2.10      1.05      6.98         7.16      | 993004   0        374750   0        0        | 40     1613754        12980004     -       
8      8      6      6/8    | 0.91      3.44      2.11      1.08      7.55         6.61      | 993004   0        374750   0        0        | 48     1613754        12980004     -       
8      8      7      7/8    | 1.09      2.78      2.14      1.17      7.19         6.94      | 993004   0        374750   0        0        | 56     1613754        12980004     -       
8      8      8      8/8    | 0.93      3.15      2.10      1.08      7.29         6.85      | 993004   0        374750   0        0        | 64     1613754        12980004     -       
8      16     0      0/8    | 1.54      7.94      3.95      1.14      14.59        3.42      | 993004   0        0        374750   0        | 1      2243998        12980004     -       
8      16     1      1/8    | 1.37      7.11      3.94      1.17      13.62        3.67      | 993004   0        0        374750   0        | 8      2243998        12980004     -       
8      16     2      2/8    | 1.32      9.05      3.94      1.09      15.41        3.24      | 993004   0        0        374750   0        | 16     2243998        12980004     -       
8      16     3      3/8    | 1.17      8.45      3.16      1.07      13.86        3.60      | 993004   0        249750   125000   0        | 24     2243998        12980004     -       
8      16     4      4/8    | 1.33      7.36      3.24      1.09      13.04        3.83      | 993004   0        249750   125000   0        | 32     2243998        12980004     -       
