# Matrix: in-2004
# Path: /home/stu1/Dataset/training_dataset/1M-2M-0.001/in-2004.mtx
# Category: 1M-2M-0.001
# Date: 2026-03-07 07:10:41
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 1382908
# Cols: 1382908
# NNZ(A): 16917053
# NNZ(C) estimate: 1708503481
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 7.97      42.17     44.15     3.12      97.43        35.07     | 6038162  0        0        3229774  1399501  | 1      16884747       213255458    -       
8      8      1      1/8    | 7.95      41.99     44.21     3.11      97.27        35.13     | 6038162  0        0        3229774  1399501  | 8      16884747       213255458    -       
8      8      2      2/8    | 7.99      42.80     42.38     3.15      96.34        35.47     | 6038162  0        1230616  1999158  1399501  | 16     16884747       213255458    -       
8      8      3      3/8    | 7.98      42.91     41.37     3.17      95.44        35.80     | 6038162  0        1775852  1453922  1399501  | 24     16884747       213255458    -       
8      8      4      4/8    | 7.96      42.97     41.46     3.16      95.57        35.75     | 6038162  0        2207370  1022404  1399501  | 32     16884747       213255458    -       
8      8      5      5/8    | 8.03      42.85     39.67     3.17      93.74        36.45     | 6038162  0        2585174  644600   1399501  | 40     16884747       213255458    -       
8      8      6      6/8    | 7.97      42.82     39.02     3.14      92.98        36.75     | 6038162  0        2896119  333655   1399501  | 48     16884747       213255458    -       
8      8      7      7/8    | 7.95      42.98     38.62     3.17      92.74        36.84     | 6038162  0        3193279  36495    1399501  | 56     16884747       213255458    -       
8      8      8      8/8    | 7.98      42.76     52.88     3.17      106.82       31.99     | 6038162  0        4629275  0        0        | 64     16884747       213255458    -       
8      16     0      0/8    | 7.19      50.14     38.12     3.22      98.69        34.62     | 6038162  0        0        3229774  1399501  | 1      19659989       213255458    -       
8      16     1      1/8    | 7.17      50.15     37.95     3.19      98.48        34.70     | 6038162  0        0        3229774  1399501  | 8      19659989       213255458    -       
8      16     2      2/8    | 7.27      50.46     35.24     3.32      96.31        35.48     | 6038162  0        1230616  1999158  1399501  | 16     19659989       213255458    -       
8      16     3      3/8    | 7.19      50.18     33.61     3.22      94.22        36.27     | 6038162  0        1775852  1453922  1399501  | 24     19659989       213255458    -       
8      16     4      4/8    | 7.16      50.15     33.46     3.20      93.98        36.36     | 6038162  0        2207370  1022404  1399501  | 32     19659989       213255458    -       
8      16     5      5/8    | 7.16      50.16     31.57     3.21      92.12        37.09     | 6038162  0        2585174  644600   1399501  | 40     19659989       213255458    -       
8      16     6      6/8    | 7.31      49.34     30.80     3.24      90.72        37.67     | 6038162  0        2896119  333655   1399501  | 48     19659989       213255458    -       
8      16     7      7/8    | 7.13      49.22     29.93     3.17      89.47        38.19     | 6038162  0        3193279  36495    1399501  | 56     19659989       213255458    -       
8      16     8      8/8    | 7.13      49.19     51.57     3.20      111.12       30.75     | 6038162  0        4629275  0        0        | 64     19659989       213255458    -       
8      32     0      0/8    | 6.87      56.86     52.01     3.22      118.98       28.72     | 6038162  0        0        3229774  1399501  | 1      22762560       213255458    -       
8      32     1      1/8    | 6.74      57.41     52.06     3.23      119.45       28.61     | 6038162  0        0        3229774  1399501  | 8      22762560       213255458    -       
8      32     2      2/8    | 6.74      57.41     46.41     3.25      113.83       30.02     | 6038162  0        1230616  1999158  1399501  | 16     22762560       213255458    -       
8      32     3      3/8    | 6.73      56.80     43.36     3.22      110.13       31.03     | 6038162  0        1775852  1453922  1399501  | 24     22762560       213255458    -       
8      32     4      4/8    | 6.88      56.98     40.81     3.23      107.92       31.66     | 6038162  0        2207370  1022404  1399501  | 32     22762560       213255458    -       
