# Matrix: roadNet-CA
# Path: /home/stu1/Dataset/training_dataset/1M-2M-0.001/roadNet-CA.mtx
# Category: 1M-2M-0.001
# Date: 2026-03-07 08:05:59
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 1971281
# Cols: 1971281
# NNZ(A): 5533214
# NNZ(C) estimate: 17523394
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 4.06      34.55     8.76      1.61      48.99        0.72      | 3488369  0        0        325705   0        | 1      13762334       12908450     -       
8      8      1      1/8    | 4.11      35.44     8.76      1.65      49.98        0.70      | 3488369  0        0        325705   0        | 8      13762334       12908450     -       
8      8      2      2/8    | 4.22      34.67     7.49      1.70      48.10        0.73      | 3488369  0        221974   103731   0        | 16     13762334       12908450     -       
8      8      3      3/8    | 4.21      35.20     6.84      1.70      47.96        0.73      | 3488369  0        309150   16555    0        | 24     13762334       12908450     -       
8      8      4      4/8    | 4.09      35.12     6.97      1.68      47.88        0.73      | 3488369  0        324259   1446     0        | 32     13762334       12908450     -       
8      8      5      5/8    | 4.06      35.17     6.70      1.61      47.55        0.74      | 3488369  0        325603   102      0        | 40     13762334       12908450     -       
8      8      6      6/8    | 4.08      35.01     6.69      1.63      47.43        0.74      | 3488369  0        325700   5        0        | 48     13762334       12908450     -       
8      8      7      7/8    | 4.07      34.96     6.69      1.64      47.38        0.74      | 3488369  0        325705   0        0        | 56     13762334       12908450     -       
8      8      8      8/8    | 4.06      34.73     6.69      1.62      47.12        0.74      | 3488369  0        325705   0        0        | 64     13762334       12908450     -       
8      16     0      0/8    | 4.18      52.90     9.98      1.83      68.92        0.51      | 3488369  0        0        325705   0        | 1      20885680       12908450     -       
8      16     1      1/8    | 4.35      52.57     10.00     1.84      68.78        0.51      | 3488369  0        0        325705   0        | 8      20885680       12908450     -       
8      16     2      2/8    | 4.21      52.07     8.20      1.80      66.30        0.53      | 3488369  0        221974   103731   0        | 16     20885680       12908450     -       
8      16     3      3/8    | 4.17      52.20     7.59      1.80      65.78        0.53      | 3488369  0        309150   16555    0        | 24     20885680       12908450     -       
8      16     4      4/8    | 4.14      52.04     7.48      1.80      65.48        0.54      | 3488369  0        324259   1446     0        | 32     20885680       12908450     -       
8      16     5      5/8    | 4.19      52.29     7.24      1.78      65.52        0.53      | 3488369  0        325603   102      0        | 40     20885680       12908450     -       
8      16     6      6/8    | 4.37      53.41     7.26      1.86      66.92        0.52      | 3488369  0        325700   5        0        | 48     20885680       12908450     -       
8      16     7      7/8    | 4.19      53.45     7.22      1.81      66.69        0.53      | 3488369  0        325705   0        0        | 56     20885680       12908450     -       
8      16     8      8/8    | 4.20      53.36     7.22      1.82      66.62        0.53      | 3488369  0        325705   0        0        | 64     20885680       12908450     -       
8      32     0      0/8    | 4.91      84.69     12.62     2.23      104.46       0.34      | 3488369  0        0        325705   0        | 1      32017576       12908450     -       
8      32     1      1/8    | 4.94      82.14     12.62     2.25      101.97       0.34      | 3488369  0        0        325705   0        | 8      32017576       12908450     -       
8      32     2      2/8    | 4.99      80.40     9.18      2.28      96.87        0.36      | 3488369  0        221974   103731   0        | 16     32017576       12908450     -       
8      32     3      3/8    | 4.78      80.96     7.55      2.27      95.57        0.37      | 3488369  0        309150   16555    0        | 24     32017576       12908450     -       
8      32     4      4/8    | 6.27      82.65     7.33      2.34      98.61        0.36      | 3488369  0        324259   1446     0        | 32     32017576       12908450     -       
8      32     5      5/8    | 4.87      82.59     7.29      2.20      96.97        0.36      | 3488369  0        325603   102      0        | 40     32017576       12908450     -       
8      32     6      6/8    | 4.90      81.09     7.26      2.22      95.49        0.37      | 3488369  0        325700   5        0        | 48     32017576       12908450     -       
8      32     7      7/8    | 4.79      82.28     7.24      2.20      96.52        0.36      | 3488369  0        325705   0        0        | 56     32017576       12908450     -       
8      32     8      8/8    | 4.87      81.88     7.24      2.24      96.25        0.36      | 3488369  0        325705   0        0        | 64     32017576       12908450     -       
16     8      0      0/8    | 2.67      20.18     7.98      1.70      32.55        1.08      | 2272603  0        0        87452    0        | 1      8013611        12908450     -       
16     8      1      1/8    | 2.83      20.58     8.01      1.79      33.22        1.06      | 2272603  0        0        87452    0        | 32     8013611        12908450     -       
16     8      2      2/8    | 2.71      20.64     6.09      1.77      31.23        1.12      | 2272603  0        82868    4584     0        | 64     8013611        12908450     -       
16     8      3      3/8    | 2.72      20.35     6.01      1.68      30.79        1.14      | 2272603  0        87423    29       0        | 96     8013611        12908450     -       
16     8      4      4/8    | 2.81      20.51     6.02      1.77      31.13        1.13      | 2272603  0        87452    0        0        | 128    8013611        12908450     -       
16     8      5      5/8    | 2.67      20.50     6.01      1.66      30.87        1.14      | 2272603  0        87452    0        0        | 160    8013611        12908450     -       
16     8      6      6/8    | 2.81      20.22     6.02      1.73      30.80        1.14      | 2272603  0        87452    0        0        | 192    8013611        12908450     -       
16     8      7      7/8    | 2.68      20.12     6.00      1.69      30.50        1.15      | 2272603  0        87452    0        0        | 224    8013611        12908450     -       
16     8      8      8/8    | 2.68      20.34     6.00      1.70      30.73        1.14      | 2272603  0        87452    0        0        | 256    8013611        12908450     -       
16     16     0      0/8    | 3.00      30.29     8.03      1.74      43.06        0.81      | 2272603  0        0        87452    0        | 1      12024763       12908450     -       
16     16     1      1/8    | 2.99      30.29     8.03      1.78      43.12        0.81      | 2272603  0        0        87452    0        | 32     12024763       12908450     -       
16     16     2      2/8    | 3.15      30.89     5.91      1.75      41.72        0.84      | 2272603  0        82868    4584     0        | 64     12024763       12908450     -       
