# Matrix: roadNet-PA
# Path: /home/stu1/Dataset/training_dataset/1M-2M-0.001/roadNet-PA.mtx
# Category: 1M-2M-0.001
# Date: 2026-03-07 08:14:17
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 1090920
# Cols: 1090920
# NNZ(A): 3083796
# NNZ(C) estimate: 9865130
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 2.33      21.02     5.15      1.40      29.92        0.66      | 2087375  0        0        178998   0        | 1      8387167        7238920      -       
8      8      1      1/8    | 2.42      21.67     5.18      1.46      30.75        0.64      | 2087375  0        0        178998   0        | 8      8387167        7238920      -       
8      8      2      2/8    | 2.32      21.62     4.38      1.38      29.71        0.66      | 2087375  0        126916   52082    0        | 16     8387167        7238920      -       
8      8      3      3/8    | 2.32      21.62     4.05      1.38      29.38        0.67      | 2087375  0        170107   8891     0        | 24     8387167        7238920      -       
8      8      4      4/8    | 2.33      21.41     4.14      1.37      29.26        0.67      | 2087375  0        178218   780      0        | 32     8387167        7238920      -       
8      8      5      5/8    | 2.31      21.39     3.98      1.38      29.08        0.68      | 2087375  0        178939   59       0        | 40     8387167        7238920      -       
8      8      6      6/8    | 2.33      21.36     3.97      1.37      29.04        0.68      | 2087375  0        178998   0        0        | 48     8387167        7238920      -       
8      8      7      7/8    | 2.32      21.50     3.96      1.37      29.17        0.68      | 2087375  0        178998   0        0        | 56     8387167        7238920      -       
8      8      8      8/8    | 2.31      21.51     3.97      1.35      29.16        0.68      | 2087375  0        178998   0        0        | 64     8387167        7238920      -       
8      16     0      0/8    | 2.88      32.29     5.87      1.48      42.55        0.46      | 2087375  0        0        178998   0        | 1      12709263       7238920      -       
8      16     1      1/8    | 2.72      32.70     5.88      1.46      42.78        0.46      | 2087375  0        0        178998   0        | 8      12709263       7238920      -       
8      16     2      2/8    | 2.71      32.59     4.78      1.44      41.53        0.48      | 2087375  0        126916   52082    0        | 16     12709263       7238920      -       
8      16     3      3/8    | 2.74      32.23     4.38      1.51      40.89        0.48      | 2087375  0        170107   8891     0        | 24     12709263       7238920      -       
8      16     4      4/8    | 2.73      32.35     4.42      1.47      41.00        0.48      | 2087375  0        178218   780      0        | 32     12709263       7238920      -       
8      16     5      5/8    | 2.55      32.25     4.28      1.41      40.51        0.49      | 2087375  0        178939   59       0        | 40     12709263       7238920      -       
8      16     6      6/8    | 2.68      32.25     4.26      1.43      40.64        0.49      | 2087375  0        178998   0        0        | 48     12709263       7238920      -       
8      16     7      7/8    | 2.69      33.06     4.29      1.50      41.56        0.47      | 2087375  0        178998   0        0        | 56     12709263       7238920      -       
8      16     8      8/8    | 2.89      32.36     4.28      1.52      41.09        0.48      | 2087375  0        178998   0        0        | 64     12709263       7238920      -       
8      32     0      0/8    | 3.04      49.27     7.44      1.66      61.42        0.32      | 2087375  0        0        178998   0        | 1      19374389       7238920      -       
8      32     1      1/8    | 3.20      49.80     7.46      1.70      62.18        0.32      | 2087375  0        0        178998   0        | 8      19374389       7238920      -       
8      32     2      2/8    | 3.21      50.02     5.31      1.67      60.23        0.33      | 2087375  0        126916   52082    0        | 16     19374389       7238920      -       
