# Matrix: ss
# Path: /home/stu1/Dataset/training_dataset/1M-2M-0.001/ss.mtx
# Category: 1M-2M-0.001
# Date: 2026-03-07 09:31:10
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 1652680
# Cols: 1652680
# NNZ(A): 34753577
# NNZ(C) estimate: 687203895
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 5.69      50.56     74.77     2.62      133.66       10.28     | 6576675  0        0        5239508  0        | 1      20473520       138289810    -       
8      8      1      1/8    | 5.72      50.74     74.78     2.64      133.91       10.26     | 6576675  0        0        5239508  0        | 8      20473520       138289810    -       
8      8      2      2/8    | 5.69      50.93     69.64     2.64      128.92       10.66     | 6576675  0        2249480  2990028  0        | 16     20473520       138289810    -       
8      8      3      3/8    | 5.70      51.10     62.22     2.67      121.70       11.29     | 6576675  0        3939841  1299667  0        | 24     20473520       138289810    -       
8      8      4      4/8    | 5.71      50.72     62.77     2.64      121.85       11.28     | 6576675  0        4344638  894870   0        | 32     20473520       138289810    -       
8      8      5      5/8    | 5.71      50.77     57.27     2.63      116.39       11.81     | 6576675  0        4451392  788116   0        | 40     20473520       138289810    -       
8      8      6      6/8    | 5.71      50.99     53.11     2.64      112.47       12.22     | 6576675  0        5090372  149136   0        | 48     20473520       138289810    -       
8      8      7      7/8    | 5.69      50.90     53.11     2.66      112.37       12.23     | 6576675  0        5093492  146016   0        | 56     20473520       138289810    -       
8      8      8      8/8    | 5.71      51.20     51.55     2.65      111.13       12.37     | 6576675  0        5239508  0        0        | 64     20473520       138289810    -       
8      16     0      0/8    | 5.55      73.93     86.40     3.12      169.01       8.13      | 6576675  0        0        5239508  0        | 1      29657935       138289810    -       
8      16     1      1/8    | 5.56      73.91     86.39     3.11      168.99       8.13      | 6576675  0        0        5239508  0        | 8      29657935       138289810    -       
8      16     2      2/8    | 5.56      73.90     77.34     3.12      159.94       8.59      | 6576675  0        2249480  2990028  0        | 16     29657935       138289810    -       
8      16     3      3/8    | 5.56      78.71     65.83     3.11      153.22       8.97      | 6576675  0        3939841  1299667  0        | 24     29657935       138289810    -       
8      16     4      4/8    | 5.57      73.99     64.85     3.11      147.53       9.32      | 6576675  0        4344638  894870   0        | 32     29657935       138289810    -       
8      16     5      5/8    | 5.55      74.02     59.23     3.10      141.93       9.68      | 6576675  0        4451392  788116   0        | 40     29657935       138289810    -       
8      16     6      6/8    | 5.54      73.78     53.13     3.09      135.56       10.14     | 6576675  0        5090372  149136   0        | 48     29657935       138289810    -       
8      16     7      7/8    | 5.55      73.72     53.11     3.11      135.51       10.14     | 6576675  0        5093492  146016   0        | 56     29657935       138289810    -       
8      16     8      8/8    | 5.52      74.10     50.88     3.06      133.57       10.29     | 6576675  0        5239508  0        0        | 64     29657935       138289810    -       
