# Matrix: vas_stokes_1M
# Path: /home/stu1/Dataset/training_dataset/1M-2M-0.001/vas_stokes_1M.mtx
# Category: 1M-2M-0.001
# Date: 2026-03-07 11:13:53
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 1090664
# Cols: 1090664
# NNZ(A): 34767207
# NNZ(C) estimate: 985679918
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 36.39     182.45    223.58    5.14      447.58       4.40      | 20404256 0        0        7779808  87066    | 1      65395424       232207994    -       
8      8      1      1/8    | 36.35     182.98    223.64    5.11      448.09       4.40      | 20404256 0        0        7779808  87066    | 8      65395424       232207994    -       
8      8      2      2/8    | 36.35     182.97    199.61    5.12      424.07       4.65      | 20404256 0        4093087  3686721  87066    | 16     65395424       232207994    -       
8      8      3      3/8    | 36.70     182.00    187.69    5.06      411.47       4.79      | 20404256 0        5758940  2020868  87066    | 24     65395424       232207994    -       
8      8      4      4/8    | 36.36     182.48    190.86    5.09      414.80       4.75      | 20404256 0        6651207  1128601  87066    | 32     65395424       232207994    -       
8      8      5      5/8    | 36.46     182.41    175.26    5.13      399.27       4.94      | 20404256 0        7101677  678131   87066    | 40     65395424       232207994    -       
8      8      6      6/8    | 36.45     182.39    171.51    5.13      395.50       4.98      | 20404256 0        7501911  277897   87066    | 48     65395424       232207994    -       
8      8      7      7/8    | 36.58     182.21    169.77    5.13      393.70       5.01      | 20404256 0        7637434  142374   87066    | 56     65395424       232207994    -       
8      8      8      8/8    | 36.76     225.70    166.40    5.13      434.00       4.54      | 20404256 0        7866874  0        0        | 64     65395424       232207994    -       
8      16     0      0/8    | 51.64     234.28    244.55    5.83      536.33       3.68      | 20404256 0        0        7779808  87066    | 1      92852287       232207994    -       
8      16     1      1/8    | 51.82     235.40    244.56    5.86      537.66       3.67      | 20404256 0        0        7779808  87066    | 8      92852287       232207994    -       
8      16     2      2/8    | 51.79     235.37    207.46    5.82      500.47       3.94      | 20404256 0        4093087  3686721  87066    | 16     92852287       232207994    -       
8      16     3      3/8    | 51.97     234.32    189.98    5.85      482.14       4.09      | 20404256 0        5758940  2020868  87066    | 24     92852287       232207994    -       
8      16     4      4/8    | 52.01     232.38    188.81    5.84      479.06       4.12      | 20404256 0        6651207  1128601  87066    | 32     92852287       232207994    -       
8      16     5      5/8    | 51.78     235.03    172.91    5.82      465.56       4.23      | 20404256 0        7101677  678131   87066    | 40     92852287       232207994    -       
8      16     6      6/8    | 52.03     233.52    167.61    5.80      458.98       4.30      | 20404256 0        7501911  277897   87066    | 48     92852287       232207994    -       
8      16     7      7/8    | 51.84     235.23    165.44    5.81      458.33       4.30      | 20404256 0        7637434  142374   87066    | 56     92852287       232207994    -       
8      16     8      8/8    | 51.86     235.34    161.14    5.82      454.18       4.34      | 20404256 0        7866874  0        0        | 64     92852287       232207994    -       
8      32     0      0/8    | 101.05    362.15    322.36    9.44      795.02       2.48      | 20404256 0        0        7779808  87066    | 1      142705854      232207994    -       
8      32     1      1/8    | 100.87    361.55    322.34    9.39      794.17       2.48      | 20404256 0        0        7779808  87066    | 8      142705854      232207994    -       
8      32     2      2/8    | 100.70    360.23    254.09    9.37      724.41       2.72      | 20404256 0        4093087  3686721  87066    | 16     142705854      232207994    -       
8      32     3      3/8    | 100.78    359.55    219.54    9.37      689.26       2.86      | 20404256 0        5758940  2020868  87066    | 24     142705854      232207994    -       
8      32     4      4/8    | 100.78    361.46    199.15    9.37      670.79       2.94      | 20404256 0        6651207  1128601  87066    | 32     142705854      232207994    -       
8      32     5      5/8    | 100.76    359.60    185.97    9.40      655.76       3.01      | 20404256 0        7101677  678131   87066    | 40     142705854      232207994    -       
8      32     6      6/8    | 100.68    361.53    174.67    9.39      646.29       3.05      | 20404256 0        7501911  277897   87066    | 48     142705854      232207994    -       
8      32     7      7/8    | 100.77    360.47    169.99    9.38      640.63       3.08      | 20404256 0        7637434  142374   87066    | 56     142705854      232207994    -       
8      32     8      8/8    | 100.76    359.28    160.16    9.35      629.57       3.13      | 20404256 0        7866874  0        0        | 64     142705854      232207994    -       
16     8      0      0/8    | 16.16     109.95    200.91    4.14      331.18       5.95      | 12412960 0        0        1971916  4        | 1      28053243       232207994    -       
16     8      1      1/8    | 16.19     109.93    200.96    4.15      331.24       5.95      | 12412960 0        0        1971916  4        | 32     28053243       232207994    -       
16     8      2      2/8    | 16.02     109.75    176.39    4.11      306.28       6.44      | 12412960 0        1223144  748772   4        | 64     28053243       232207994    -       
16     8      3      3/8    | 16.03     109.94    164.98    4.14      295.11       6.68      | 12412960 0        1630050  341866   4        | 96     28053243       232207994    -       
16     8      4      4/8    | 15.96     109.75    159.09    4.15      288.97       6.82      | 12412960 0        1824965  146951   4        | 128    28053243       232207994    -       
16     8      5      5/8    | 16.04     129.23    156.23    4.16      305.67       6.45      | 12412960 0        1914076  57840    4        | 160    28053243       232207994    -       
16     8      6      6/8    | 16.15     110.16    154.82    4.10      285.25       6.91      | 12412960 0        1951573  20343    4        | 192    28053243       232207994    -       
16     8      7      7/8    | 16.06     109.70    153.98    4.13      283.88       6.94      | 12412960 0        1971843  73       4        | 224    28053243       232207994    -       
16     8      8      8/8    | 16.07     109.76    154.01    4.14      284.00       6.94      | 12412960 0        1971920  0        0        | 256    28053243       232207994    -       
16     16     0      0/8    | 18.95     114.90    179.72    4.71      318.29       6.19      | 12412960 0        0        1971916  4        | 1      37587884       232207994    -       
16     16     1      1/8    | 19.46     115.31    179.66    4.73      319.17       6.18      | 12412960 0        0        1971916  4        | 32     37587884       232207994    -       
16     16     2      2/8    | 19.00     114.93    152.91    4.67      291.54       6.76      | 12412960 0        1223144  748772   4        | 64     37587884       232207994    -       
16     16     3      3/8    | 19.41     114.70    141.26    4.69      280.09       7.04      | 12412960 0        1630050  341866   4        | 96     37587884       232207994    -       
16     16     4      4/8    | 19.19     114.84    135.09    4.72      273.86       7.20      | 12412960 0        1824965  146951   4        | 128    37587884       232207994    -       
16     16     5      5/8    | 19.31     115.61    132.15    4.75      271.84       7.25      | 12412960 0        1914076  57840    4        | 160    37587884       232207994    -       
16     16     6      6/8    | 19.48     115.02    130.75    4.73      270.00       7.30      | 12412960 0        1951573  20343    4        | 192    37587884       232207994    -       
16     16     7      7/8    | 19.27     114.84    129.96    4.71      268.81       7.33      | 12412960 0        1971843  73       4        | 224    37587884       232207994    -       
16     16     8      8/8    | 19.20     115.42    129.69    4.74      269.06       7.33      | 12412960 0        1971920  0        0        | 256    37587884       232207994    -       
16     32     0      0/8    | 30.33     137.64    235.69    6.49      410.18       4.81      | 12412960 0        0        1971916  4        | 1      54396731       232207994    -       
16     32     1      1/8    | 30.60     137.06    235.65    6.52      409.86       4.81      | 12412960 0        0        1971916  4        | 32     54396731       232207994    -       
16     32     2      2/8    | 30.73     136.87    174.18    6.50      348.31       5.66      | 12412960 0        1223144  748772   4        | 64     54396731       232207994    -       
16     32     3      3/8    | 30.68     138.03    147.97    6.54      323.24       6.10      | 12412960 0        1630050  341866   4        | 96     54396731       232207994    -       
