# Matrix: Chem97ZtZ
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.001-0.01/Chem97ZtZ.mtx
# Category: 1k-10k-0.001-0.01
# Date: 2026-03-06 08:37:37
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 2541
# Cols: 2541
# NNZ(A): 7361
# NNZ(C) estimate: 101005
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.12      0.13      0.09      0.10      0.45         0.45      | 838      0        0        749      935      | 1      9162           91365        -       
8      8      1      1/8    | 0.10      0.12      0.08      0.10      0.41         0.49      | 838      0        0        749      935      | 8      9162           91365        -       
8      8      2      2/8    | 0.09      0.12      0.08      0.10      0.40         0.50      | 838      0        165      584      935      | 16     9162           91365        -       
8      8      3      3/8    | 0.16      0.17      0.09      0.21      0.66         0.31      | 838      0        249      500      935      | 24     9162           91365        -       
8      8      4      4/8    | 0.10      0.13      0.08      0.09      0.41         0.50      | 838      0        401      348      935      | 32     9162           91365        -       
8      8      5      5/8    | 0.10      0.13      0.08      0.10      0.41         0.49      | 838      0        546      203      935      | 40     9162           91365        -       
8      8      6      6/8    | 0.12      0.13      0.09      0.11      0.45         0.44      | 838      0        632      117      935      | 48     9162           91365        -       
8      8      7      7/8    | 0.11      0.14      0.09      0.10      0.44         0.46      | 838      0        749      0        935      | 56     9162           91365        -       
8      8      8      8/8    | 0.11      0.13      0.09      0.10      0.44         0.46      | 838      0        1684     0        0        | 64     9162           91365        -       
8      16     0      0/8    | 0.10      0.12      0.05      0.10      0.38         0.53      | 838      0        0        749      935      | 1      17072          91365        -       
8      16     1      1/8    | 0.12      0.13      0.05      0.11      0.42         0.48      | 838      0        0        749      935      | 8      17072          91365        -       
8      16     2      2/8    | 0.10      0.13      0.05      0.10      0.39         0.52      | 838      0        165      584      935      | 16     17072          91365        -       
8      16     3      3/8    | 0.11      0.13      0.04      0.10      0.40         0.51      | 838      0        249      500      935      | 24     17072          91365        -       
8      16     4      4/8    | 0.11      0.12      0.05      0.11      0.40         0.51      | 838      0        401      348      935      | 32     17072          91365        -       
8      16     5      5/8    | 0.12      0.13      0.05      0.11      0.42         0.48      | 838      0        546      203      935      | 40     17072          91365        -       
8      16     6      6/8    | 0.10      0.13      0.05      0.11      0.40         0.50      | 838      0        632      117      935      | 48     17072          91365        -       
8      16     7      7/8    | 0.10      0.13      0.05      0.10      0.40         0.51      | 838      0        749      0        935      | 56     17072          91365        -       
8      16     8      8/8    | 0.10      0.12      0.05      0.11      0.39         0.52      | 838      0        1684     0        0        | 64     17072          91365        -       
8      32     0      0/8    | 0.17      0.15      0.05      0.29      0.68         0.30      | 838      0        0        749      935      | 1      25532          91365        -       
8      32     1      1/8    | 0.11      0.14      0.05      0.20      0.51         0.39      | 838      0        0        749      935      | 8      25532          91365        -       
8      32     2      2/8    | 0.09      0.12      0.05      0.19      0.47         0.43      | 838      0        165      584      935      | 16     25532          91365        -       
8      32     3      3/8    | 0.10      0.12      0.05      0.18      0.47         0.43      | 838      0        249      500      935      | 24     25532          91365        -       
8      32     4      4/8    | 0.10      0.14      0.05      0.19      0.48         0.42      | 838      0        401      348      935      | 32     25532          91365        -       
8      32     5      5/8    | 0.10      0.13      0.06      0.18      0.47         0.43      | 838      0        546      203      935      | 40     25532          91365        -       
8      32     6      6/8    | 0.10      0.13      0.05      0.18      0.47         0.43      | 838      0        632      117      935      | 48     25532          91365        -       
8      32     7      7/8    | 0.10      0.14      0.05      0.20      0.49         0.41      | 838      0        749      0        935      | 56     25532          91365        -       
8      32     8      8/8    | 0.09      0.12      0.04      0.18      0.44         0.46      | 838      0        1684     0        0        | 64     25532          91365        -       
16     8      0      0/8    | 0.12      0.15      0.36      0.09      0.73         0.28      | 430      0        0        356      159      | 1      2589           91365        -       
16     8      1      1/8    | 0.13      0.16      0.36      0.11      0.77         0.26      | 430      0        0        356      159      | 32     2589           91365        -       
16     8      2      2/8    | 0.12      0.15      0.36      0.10      0.74         0.27      | 430      0        82       274      159      | 64     2589           91365        -       
16     8      3      3/8    | 0.12      0.15      0.36      0.10      0.75         0.27      | 430      0        148      208      159      | 96     2589           91365        -       
16     8      4      4/8    | 0.12      0.16      0.36      0.13      0.78         0.26      | 430      0        195      161      159      | 128    2589           91365        -       
16     8      5      5/8    | 0.12      0.16      0.36      0.10      0.74         0.27      | 430      0        280      76       159      | 160    2589           91365        -       
16     8      6      6/8    | 0.12      0.15      0.36      0.10      0.75         0.27      | 430      0        306      50       159      | 192    2589           91365        -       
16     8      7      7/8    | 0.13      0.16      0.36      0.10      0.76         0.27      | 430      0        333      23       159      | 224    2589           91365        -       
16     8      8      8/8    | 0.14      0.17      0.36      0.11      0.79         0.26      | 430      0        515      0        0        | 256    2589           91365        -       
16     16     0      0/8    | 0.11      0.13      0.10      0.10      0.44         0.46      | 430      0        0        356      159      | 1      4407           91365        -       
16     16     1      1/8    | 0.11      0.13      0.10      0.11      0.46         0.44      | 430      0        0        356      159      | 32     4407           91365        -       
16     16     2      2/8    | 0.11      0.13      0.10      0.10      0.44         0.45      | 430      0        82       274      159      | 64     4407           91365        -       
16     16     3      3/8    | 0.12      0.14      0.10      0.11      0.47         0.43      | 430      0        148      208      159      | 96     4407           91365        -       
16     16     4      4/8    | 0.11      0.13      0.10      0.10      0.45         0.45      | 430      0        195      161      159      | 128    4407           91365        -       
16     16     5      5/8    | 0.09      0.12      0.10      0.10      0.42         0.49      | 430      0        280      76       159      | 160    4407           91365        -       
16     16     6      6/8    | 0.09      0.13      0.10      0.10      0.42         0.48      | 430      0        306      50       159      | 192    4407           91365        -       
16     16     7      7/8    | 0.09      0.12      0.10      0.10      0.41         0.49      | 430      0        333      23       159      | 224    4407           91365        -       
16     16     8      8/8    | 0.12      0.13      0.10      0.13      0.49         0.41      | 430      0        515      0        0        | 256    4407           91365        -       
16     32     0      0/8    | 0.10      0.10      0.07      0.10      0.38         0.53      | 430      0        0        356      159      | 1      6537           91365        -       
16     32     1      1/8    | 0.10      0.10      0.07      0.10      0.38         0.53      | 430      0        0        356      159      | 32     6537           91365        -       
16     32     2      2/8    | 0.10      0.11      0.07      0.11      0.40         0.51      | 430      0        82       274      159      | 64     6537           91365        -       
16     32     3      3/8    | 0.10      0.10      0.07      0.10      0.38         0.53      | 430      0        148      208      159      | 96     6537           91365        -       
16     32     4      4/8    | 0.10      0.11      0.07      0.10      0.39         0.52      | 430      0        195      161      159      | 128    6537           91365        -       
16     32     5      5/8    | 0.11      0.11      0.07      0.11      0.41         0.49      | 430      0        280      76       159      | 160    6537           91365        -       
16     32     6      6/8    | 0.10      0.11      0.07      0.10      0.39         0.52      | 430      0        306      50       159      | 192    6537           91365        -       
16     32     7      7/8    | 0.10      0.11      0.07      0.11      0.39         0.52      | 430      0        333      23       159      | 224    6537           91365        -       
16     32     8      8/8    | 0.12      0.11      0.07      0.12      0.43         0.47      | 430      0        515      0        0        | 256    6537           91365        -       
32     8      0      0/8    | 0.14      0.21      0.56      0.10      1.01         0.20      | 243      0        0        140      21       | 1      832            91365        -       
32     8      1      1/8    | 0.13      0.21      0.56      0.09      1.00         0.20      | 243      0        0        140      21       | 128    832            91365        -       
32     8      2      2/8    | 0.14      0.21      0.55      0.09      1.00         0.20      | 243      0        31       109      21       | 256    832            91365        -       
32     8      3      3/8    | 0.14      0.21      0.56      0.10      1.01         0.20      | 243      0        68       72       21       | 384    832            91365        -       
32     8      4      4/8    | 0.15      0.21      0.56      0.10      1.02         0.20      | 243      0        91       49       21       | 512    832            91365        -       
32     8      5      5/8    | 0.14      0.21      0.56      0.09      1.00         0.20      | 243      0        115      25       21       | 640    832            91365        -       
32     8      6      6/8    | 0.14      0.20      0.56      0.09      1.00         0.20      | 243      0        127      13       21       | 768    832            91365        -       
32     8      7      7/8    | 0.15      0.21      0.56      0.10      1.03         0.20      | 243      0        138      2        21       | 896    832            91365        -       
32     8      8      8/8    | 0.14      0.21      0.56      0.10      1.01         0.20      | 243      0        161      0        0        | 1024   832            91365        -       
32     16     0      0/8    | 0.13      0.15      0.46      0.10      0.85         0.24      | 243      0        0        140      21       | 1      1268           91365        -       
32     16     1      1/8    | 0.11      0.15      0.46      0.10      0.82         0.25      | 243      0        0        140      21       | 128    1268           91365        -       
32     16     2      2/8    | 0.11      0.14      0.46      0.10      0.81         0.25      | 243      0        31       109      21       | 256    1268           91365        -       
32     16     3      3/8    | 0.11      0.14      0.46      0.10      0.83         0.24      | 243      0        68       72       21       | 384    1268           91365        -       
32     16     4      4/8    | 0.12      0.14      0.46      0.10      0.82         0.24      | 243      0        91       49       21       | 512    1268           91365        -       
32     16     5      5/8    | 0.12      0.14      0.47      0.10      0.83         0.24      | 243      0        115      25       21       | 640    1268           91365        -       
32     16     6      6/8    | 0.12      0.14      0.46      0.10      0.84         0.24      | 243      0        127      13       21       | 768    1268           91365        -       
32     16     7      7/8    | 0.10      0.14      0.46      0.10      0.81         0.25      | 243      0        138      2        21       | 896    1268           91365        -       
32     16     8      8/8    | 0.11      0.14      0.46      0.10      0.81         0.25      | 243      0        161      0        0        | 1024   1268           91365        -       
32     32     0      0/8    | 0.10      0.11      0.08      0.10      0.40         0.50      | 243      0        0        140      21       | 1      1744           91365        -       
32     32     1      1/8    | 0.10      0.11      0.08      0.10      0.40         0.51      | 243      0        0        140      21       | 128    1744           91365        -       
32     32     2      2/8    | 0.09      0.11      0.07      0.10      0.38         0.53      | 243      0        31       109      21       | 256    1744           91365        -       
32     32     3      3/8    | 0.09      0.11      0.07      0.09      0.37         0.54      | 243      0        68       72       21       | 384    1744           91365        -       
32     32     4      4/8    | 0.09      0.11      0.08      0.10      0.38         0.54      | 243      0        91       49       21       | 512    1744           91365        -       
32     32     5      5/8    | 0.09      0.11      0.07      0.09      0.38         0.54      | 243      0        115      25       21       | 640    1744           91365        -       
32     32     6      6/8    | 0.11      0.11      0.08      0.10      0.41         0.50      | 243      0        127      13       21       | 768    1744           91365        -       
32     32     7      7/8    | 0.10      0.12      0.08      0.10      0.41         0.49      | 243      0        138      2        21       | 896    1744           91365        -       
32     32     8      8/8    | 0.12      0.12      0.08      0.11      0.44         0.46      | 243      0        161      0        0        | 1024   1744           91365        -       
