# Matrix: GD06_Java
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.001-0.01/GD06_Java.mtx
# Category: 1k-10k-0.001-0.01
# Date: 2026-03-06 09:14:50
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 1538
# Cols: 1538
# NNZ(A): 8032
# NNZ(C) estimate: 60791
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.09      0.26      0.12      0.10      0.56         0.22      | 6125     0        0        1353     0        | 1      14650          39109        -       
8      8      1      1/8    | 0.09      0.25      0.12      0.10      0.57         0.21      | 6125     0        0        1353     0        | 8      14650          39109        -       
8      8      2      2/8    | 0.12      0.27      0.12      0.11      0.62         0.20      | 6125     0        1020     333      0        | 16     14650          39109        -       
8      8      3      3/8    | 0.12      0.26      0.10      0.11      0.61         0.20      | 6125     0        1269     84       0        | 24     14650          39109        -       
8      8      4      4/8    | 0.11      0.26      0.12      0.10      0.59         0.21      | 6125     0        1329     24       0        | 32     14650          39109        -       
8      8      5      5/8    | 0.12      0.27      0.12      0.11      0.62         0.20      | 6125     0        1345     8        0        | 40     14650          39109        -       
8      8      6      6/8    | 0.11      0.26      0.11      0.10      0.59         0.21      | 6125     0        1351     2        0        | 48     14650          39109        -       
8      8      7      7/8    | 0.11      0.26      0.12      0.10      0.59         0.21      | 6125     0        1353     0        0        | 56     14650          39109        -       
8      8      8      8/8    | 0.10      0.26      0.11      0.10      0.59         0.21      | 6125     0        1353     0        0        | 64     14650          39109        -       
8      16     0      0/8    | 0.09      0.19      0.11      0.10      0.51         0.24      | 6125     0        0        1353     0        | 1      17641          39109        -       
8      16     1      1/8    | 0.11      0.21      0.12      0.11      0.56         0.22      | 6125     0        0        1353     0        | 8      17641          39109        -       
8      16     2      2/8    | 0.11      0.20      0.11      0.11      0.53         0.23      | 6125     0        1020     333      0        | 16     17641          39109        -       
8      16     3      3/8    | 0.10      0.20      0.09      0.11      0.50         0.24      | 6125     0        1269     84       0        | 24     17641          39109        -       
8      16     4      4/8    | 0.11      0.20      0.08      0.12      0.50         0.24      | 6125     0        1329     24       0        | 32     17641          39109        -       
8      16     5      5/8    | 0.10      0.20      0.07      0.12      0.50         0.24      | 6125     0        1345     8        0        | 40     17641          39109        -       
8      16     6      6/8    | 0.10      0.20      0.07      0.11      0.50         0.24      | 6125     0        1351     2        0        | 48     17641          39109        -       
8      16     7      7/8    | 0.09      0.19      0.07      0.11      0.46         0.27      | 6125     0        1353     0        0        | 56     17641          39109        -       
8      16     8      8/8    | 0.10      0.19      0.07      0.10      0.46         0.26      | 6125     0        1353     0        0        | 64     17641          39109        -       
8      32     0      0/8    | 0.09      0.19      0.19      0.10      0.57         0.21      | 6125     0        0        1353     0        | 1      19880          39109        -       
8      32     1      1/8    | 0.12      0.19      0.20      0.11      0.62         0.19      | 6125     0        0        1353     0        | 8      19880          39109        -       
8      32     2      2/8    | 0.11      0.20      0.18      0.11      0.61         0.20      | 6125     0        1020     333      0        | 16     19880          39109        -       
8      32     3      3/8    | 0.10      0.20      0.17      0.11      0.58         0.21      | 6125     0        1269     84       0        | 24     19880          39109        -       
8      32     4      4/8    | 0.10      0.20      0.11      0.11      0.53         0.23      | 6125     0        1329     24       0        | 32     19880          39109        -       
8      32     5      5/8    | 0.11      0.20      0.10      0.12      0.54         0.23      | 6125     0        1345     8        0        | 40     19880          39109        -       
8      32     6      6/8    | 0.09      0.19      0.07      0.10      0.46         0.26      | 6125     0        1351     2        0        | 48     19880          39109        -       
