# Matrix: GD96_a
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.001-0.01/GD96_a.mtx
# Category: 1k-10k-0.001-0.01
# Date: 2026-03-06 09:15:25
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 1096
# Cols: 1096
# NNZ(A): 1677
# NNZ(C) estimate: 2175
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.10      0.13      0.05      0.10      0.39         0.01      | 1596     0        0        6        0        | 1      8791           2137         -       
8      8      1      1/8    | 0.09      0.12      0.05      0.09      0.35         0.01      | 1596     0        0        6        0        | 8      8791           2137         -       
8      8      2      2/8    | 0.10      0.12      0.03      0.09      0.35         0.01      | 1596     0        6        0        0        | 16     8791           2137         -       
8      8      3      3/8    | 0.09      0.12      0.03      0.09      0.35         0.01      | 1596     0        6        0        0        | 24     8791           2137         -       
8      8      4      4/8    | 0.09      0.12      0.03      0.09      0.35         0.01      | 1596     0        6        0        0        | 32     8791           2137         -       
8      8      5      5/8    | 0.12      0.13      0.04      0.11      0.40         0.01      | 1596     0        6        0        0        | 40     8791           2137         -       
8      8      6      6/8    | 0.10      0.12      0.03      0.10      0.36         0.01      | 1596     0        6        0        0        | 48     8791           2137         -       
8      8      7      7/8    | 0.10      0.12      0.03      0.10      0.36         0.01      | 1596     0        6        0        0        | 56     8791           2137         -       
8      8      8      8/8    | 0.10      0.13      0.04      0.10      0.37         0.01      | 1596     0        6        0        0        | 64     8791           2137         -       
8      16     0      0/8    | 0.09      0.11      0.05      0.10      0.36         0.01      | 1596     0        0        6        0        | 1      13096          2137         -       
8      16     1      1/8    | 0.11      0.12      0.06      0.11      0.41         0.01      | 1596     0        0        6        0        | 8      13096          2137         -       
8      16     2      2/8    | 0.10      0.12      0.03      0.10      0.36         0.01      | 1596     0        6        0        0        | 16     13096          2137         -       
8      16     3      3/8    | 0.10      0.12      0.04      0.11      0.37         0.01      | 1596     0        6        0        0        | 24     13096          2137         -       
8      16     4      4/8    | 0.11      0.12      0.04      0.11      0.39         0.01      | 1596     0        6        0        0        | 32     13096          2137         -       
8      16     5      5/8    | 0.10      0.12      0.04      0.10      0.37         0.01      | 1596     0        6        0        0        | 40     13096          2137         -       
8      16     6      6/8    | 0.10      0.12      0.03      0.10      0.35         0.01      | 1596     0        6        0        0        | 48     13096          2137         -       
8      16     7      7/8    | 0.09      0.11      0.03      0.10      0.34         0.01      | 1596     0        6        0        0        | 56     13096          2137         -       
8      16     8      8/8    | 0.09      0.12      0.03      0.10      0.35         0.01      | 1596     0        6        0        0        | 64     13096          2137         -       
8      32     0      0/8    | 0.13      0.15      0.11      0.12      0.52         0.01      | 1596     0        0        6        0        | 1      16494          2137         -       
