# Matrix: S40PI_n
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.001-0.01/S40PI_n.mtx
# Category: 1k-10k-0.001-0.01
# Date: 2026-03-06 09:39:06
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 2182
# Cols: 2182
# NNZ(A): 5341
# NNZ(C) estimate: 13827
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.10      0.10      0.04      0.10      0.33         0.08      | 957      0        0        270      0        | 1      2445           10668        -       
8      8      1      1/8    | 0.09      0.10      0.05      0.10      0.34         0.08      | 957      0        0        270      0        | 8      2445           10668        -       
8      8      2      2/8    | 0.11      0.10      0.05      0.10      0.37         0.07      | 957      0        7        263      0        | 16     2445           10668        -       
8      8      3      3/8    | 0.11      0.09      0.05      0.11      0.37         0.07      | 957      0        43       227      0        | 24     2445           10668        -       
8      8      4      4/8    | 0.10      0.09      0.05      0.10      0.34         0.08      | 957      0        56       214      0        | 32     2445           10668        -       
8      8      5      5/8    | 0.10      0.09      0.05      0.10      0.34         0.08      | 957      0        270      0        0        | 40     2445           10668        -       
8      8      6      6/8    | 0.10      0.09      0.04      0.10      0.34         0.08      | 957      0        270      0        0        | 48     2445           10668        -       
8      8      7      7/8    | 0.10      0.10      0.04      0.10      0.35         0.08      | 957      0        270      0        0        | 56     2445           10668        -       
8      8      8      8/8    | 0.10      0.09      0.05      0.10      0.35         0.08      | 957      0        270      0        0        | 64     2445           10668        -       
8      16     0      0/8    | 0.11      0.09      0.05      0.11      0.37         0.08      | 957      0        0        270      0        | 1      3179           10668        -       
8      16     1      1/8    | 0.10      0.09      0.05      0.10      0.35         0.08      | 957      0        0        270      0        | 8      3179           10668        -       
8      16     2      2/8    | 0.08      0.09      0.04      0.10      0.32         0.09      | 957      0        7        263      0        | 16     3179           10668        -       
8      16     3      3/8    | 0.12      0.09      0.05      0.11      0.38         0.07      | 957      0        43       227      0        | 24     3179           10668        -       
8      16     4      4/8    | 0.10      0.09      0.04      0.10      0.34         0.08      | 957      0        56       214      0        | 32     3179           10668        -       
8      16     5      5/8    | 0.10      0.08      0.04      0.10      0.33         0.08      | 957      0        270      0        0        | 40     3179           10668        -       
8      16     6      6/8    | 0.10      0.09      0.05      0.10      0.35         0.08      | 957      0        270      0        0        | 48     3179           10668        -       
8      16     7      7/8    | 0.09      0.08      0.04      0.10      0.32         0.09      | 957      0        270      0        0        | 56     3179           10668        -       
8      16     8      8/8    | 0.10      0.09      0.04      0.10      0.33         0.08      | 957      0        270      0        0        | 64     3179           10668        -       
8      32     0      0/8    | 0.12      0.10      0.07      0.12      0.43         0.06      | 957      0        0        270      0        | 1      4465           10668        -       
