# Matrix: b_dyn
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.001-0.01/b_dyn.mtx
# Category: 1k-10k-0.001-0.01
# Date: 2026-03-06 08:35:51
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 1089
# Cols: 1089
# NNZ(A): 4264
# NNZ(C) estimate: 16151
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.10      0.10      0.04      0.10      0.34         0.09      | 1793     0        0        601      0        | 1      3149           14283        -       
8      8      1      1/8    | 0.09      0.10      0.04      0.10      0.34         0.09      | 1793     0        0        601      0        | 8      3149           14283        -       
8      8      2      2/8    | 0.11      0.10      0.05      0.11      0.38         0.09      | 1793     0        506      95       0        | 16     3149           14283        -       
8      8      3      3/8    | 0.10      0.10      0.05      0.10      0.37         0.09      | 1793     0        593      8        0        | 24     3149           14283        -       
8      8      4      4/8    | 0.08      0.10      0.03      0.10      0.32         0.10      | 1793     0        601      0        0        | 32     3149           14283        -       
8      8      5      5/8    | 0.11      0.11      0.03      0.11      0.37         0.09      | 1793     0        601      0        0        | 40     3149           14283        -       
8      8      6      6/8    | 0.09      0.10      0.03      0.10      0.33         0.10      | 1793     0        601      0        0        | 48     3149           14283        -       
8      8      7      7/8    | 0.11      0.12      0.03      0.11      0.38         0.09      | 1793     0        601      0        0        | 56     3149           14283        -       
8      8      8      8/8    | 0.10      0.11      0.04      0.11      0.36         0.09      | 1793     0        601      0        0        | 64     3149           14283        -       
8      16     0      0/8    | 0.09      0.09      0.04      0.10      0.31         0.10      | 1793     0        0        601      0        | 1      3651           14283        -       
8      16     1      1/8    | 0.12      0.10      0.04      0.14      0.41         0.08      | 1793     0        0        601      0        | 8      3651           14283        -       
8      16     2      2/8    | 0.09      0.09      0.05      0.11      0.34         0.09      | 1793     0        506      95       0        | 16     3651           14283        -       
8      16     3      3/8    | 0.09      0.09      0.04      0.10      0.33         0.10      | 1793     0        593      8        0        | 24     3651           14283        -       
8      16     4      4/8    | 0.09      0.09      0.03      0.10      0.32         0.10      | 1793     0        601      0        0        | 32     3651           14283        -       
8      16     5      5/8    | 0.09      0.09      0.03      0.10      0.32         0.10      | 1793     0        601      0        0        | 40     3651           14283        -       
8      16     6      6/8    | 0.09      0.09      0.03      0.11      0.33         0.10      | 1793     0        601      0        0        | 48     3651           14283        -       
8      16     7      7/8    | 0.10      0.09      0.03      0.11      0.35         0.09      | 1793     0        601      0        0        | 56     3651           14283        -       
8      16     8      8/8    | 0.12      0.11      0.03      0.16      0.44         0.07      | 1793     0        601      0        0        | 64     3651           14283        -       
8      32     0      0/8    | 0.10      0.09      0.06      0.11      0.36         0.09      | 1793     0        0        601      0        | 1      4539           14283        -       
8      32     1      1/8    | 0.08      0.08      0.05      0.10      0.32         0.10      | 1793     0        0        601      0        | 8      4539           14283        -       
8      32     2      2/8    | 0.17      0.13      0.08      0.24      0.63         0.05      | 1793     0        506      95       0        | 16     4539           14283        -       
8      32     3      3/8    | 0.10      0.08      0.06      0.11      0.36         0.09      | 1793     0        593      8        0        | 24     4539           14283        -       
8      32     4      4/8    | 0.11      0.09      0.03      0.11      0.35         0.09      | 1793     0        601      0        0        | 32     4539           14283        -       
8      32     5      5/8    | 0.09      0.09      0.03      0.10      0.32         0.10      | 1793     0        601      0        0        | 40     4539           14283        -       
8      32     6      6/8    | 0.09      0.08      0.03      0.11      0.33         0.10      | 1793     0        601      0        0        | 48     4539           14283        -       
8      32     7      7/8    | 0.09      0.08      0.03      0.10      0.30         0.11      | 1793     0        601      0        0        | 56     4539           14283        -       
8      32     8      8/8    | 0.09      0.08      0.03      0.10      0.30         0.11      | 1793     0        601      0        0        | 64     4539           14283        -       
16     8      0      0/8    | 0.09      0.11      0.06      0.10      0.35         0.09      | 932      0        0        94       0        | 1      1190           14283        -       
16     8      1      1/8    | 0.09      0.11      0.05      0.09      0.35         0.09      | 932      0        0        94       0        | 32     1190           14283        -       
16     8      2      2/8    | 0.12      0.13      0.06      0.11      0.42         0.08      | 932      0        92       2        0        | 64     1190           14283        -       
16     8      3      3/8    | 0.09      0.11      0.04      0.10      0.36         0.09      | 932      0        94       0        0        | 96     1190           14283        -       
16     8      4      4/8    | 0.09      0.12      0.04      0.11      0.37         0.09      | 932      0        94       0        0        | 128    1190           14283        -       
16     8      5      5/8    | 0.09      0.11      0.04      0.09      0.34         0.09      | 932      0        94       0        0        | 160    1190           14283        -       
16     8      6      6/8    | 0.11      0.12      0.04      0.10      0.38         0.08      | 932      0        94       0        0        | 192    1190           14283        -       
16     8      7      7/8    | 0.10      0.12      0.04      0.11      0.38         0.09      | 932      0        94       0        0        | 224    1190           14283        -       
16     8      8      8/8    | 0.10      0.11      0.04      0.10      0.35         0.09      | 932      0        94       0        0        | 256    1190           14283        -       
16     16     0      0/8    | 0.10      0.11      0.06      0.10      0.37         0.09      | 932      0        0        94       0        | 1      1314           14283        -       
16     16     1      1/8    | 0.10      0.10      0.05      0.10      0.37         0.09      | 932      0        0        94       0        | 32     1314           14283        -       
16     16     2      2/8    | 0.09      0.10      0.05      0.10      0.36         0.09      | 932      0        92       2        0        | 64     1314           14283        -       
16     16     3      3/8    | 0.08      0.11      0.03      0.10      0.32         0.10      | 932      0        94       0        0        | 96     1314           14283        -       
16     16     4      4/8    | 0.08      0.10      0.03      0.10      0.33         0.10      | 932      0        94       0        0        | 128    1314           14283        -       
16     16     5      5/8    | 0.11      0.10      0.04      0.11      0.37         0.09      | 932      0        94       0        0        | 160    1314           14283        -       
16     16     6      6/8    | 0.10      0.11      0.04      0.10      0.36         0.09      | 932      0        94       0        0        | 192    1314           14283        -       
16     16     7      7/8    | 0.10      0.12      0.04      0.11      0.37         0.09      | 932      0        94       0        0        | 224    1314           14283        -       
16     16     8      8/8    | 0.17      0.14      0.05      0.22      0.60         0.05      | 932      0        94       0        0        | 256    1314           14283        -       
16     32     0      0/8    | 0.08      0.09      0.08      0.10      0.37         0.09      | 932      0        0        94       0        | 1      1559           14283        -       
16     32     1      1/8    | 0.10      0.09      0.08      0.11      0.40         0.08      | 932      0        0        94       0        | 32     1559           14283        -       
16     32     2      2/8    | 0.09      0.10      0.06      0.11      0.36         0.09      | 932      0        92       2        0        | 64     1559           14283        -       
16     32     3      3/8    | 0.11      0.10      0.04      0.11      0.36         0.09      | 932      0        94       0        0        | 96     1559           14283        -       
16     32     4      4/8    | 0.10      0.10      0.03      0.10      0.34         0.10      | 932      0        94       0        0        | 128    1559           14283        -       
16     32     5      5/8    | 0.10      0.10      0.03      0.10      0.33         0.10      | 932      0        94       0        0        | 160    1559           14283        -       
16     32     6      6/8    | 0.10      0.10      0.03      0.10      0.34         0.09      | 932      0        94       0        0        | 192    1559           14283        -       
16     32     7      7/8    | 0.11      0.10      0.04      0.13      0.40         0.08      | 932      0        94       0        0        | 224    1559           14283        -       
16     32     8      8/8    | 0.10      0.10      0.03      0.10      0.34         0.10      | 932      0        94       0        0        | 256    1559           14283        -       
32     8      0      0/8    | 0.11      0.14      0.12      0.10      0.46         0.07      | 413      0        0        8        0        | 1      459            14283        -       
32     8      1      1/8    | 0.09      0.13      0.11      0.09      0.43         0.08      | 413      0        0        8        0        | 128    459            14283        -       
32     8      2      2/8    | 0.11      0.14      0.08      0.11      0.45         0.07      | 413      0        8        0        0        | 256    459            14283        -       
32     8      3      3/8    | 0.09      0.13      0.08      0.09      0.40         0.08      | 413      0        8        0        0        | 384    459            14283        -       
32     8      4      4/8    | 0.09      0.13      0.08      0.10      0.40         0.08      | 413      0        8        0        0        | 512    459            14283        -       
32     8      5      5/8    | 0.11      0.14      0.08      0.10      0.44         0.07      | 413      0        8        0        0        | 640    459            14283        -       
32     8      6      6/8    | 0.10      0.13      0.08      0.10      0.42         0.08      | 413      0        8        0        0        | 768    459            14283        -       
32     8      7      7/8    | 0.09      0.14      0.08      0.09      0.40         0.08      | 413      0        8        0        0        | 896    459            14283        -       
32     8      8      8/8    | 0.11      0.14      0.08      0.10      0.44         0.07      | 413      0        8        0        0        | 1024   459            14283        -       
32     16     0      0/8    | 0.09      0.12      0.11      0.10      0.43         0.08      | 413      0        0        8        0        | 1      490            14283        -       
32     16     1      1/8    | 0.08      0.12      0.11      0.09      0.40         0.08      | 413      0        0        8        0        | 128    490            14283        -       
32     16     2      2/8    | 0.12      0.12      0.06      0.13      0.45         0.07      | 413      0        8        0        0        | 256    490            14283        -       
32     16     3      3/8    | 0.10      0.11      0.06      0.09      0.37         0.09      | 413      0        8        0        0        | 384    490            14283        -       
32     16     4      4/8    | 0.10      0.12      0.06      0.10      0.37         0.09      | 413      0        8        0        0        | 512    490            14283        -       
32     16     5      5/8    | 0.10      0.11      0.06      0.09      0.38         0.09      | 413      0        8        0        0        | 640    490            14283        -       
32     16     6      6/8    | 0.08      0.12      0.06      0.09      0.35         0.09      | 413      0        8        0        0        | 768    490            14283        -       
32     16     7      7/8    | 0.10      0.11      0.06      0.09      0.38         0.08      | 413      0        8        0        0        | 896    490            14283        -       
32     16     8      8/8    | 0.10      0.12      0.06      0.10      0.38         0.08      | 413      0        8        0        0        | 1024   490            14283        -       
32     32     0      0/8    | 0.10      0.11      0.08      0.10      0.40         0.08      | 413      0        0        8        0        | 1      550            14283        -       
32     32     1      1/8    | 0.08      0.10      0.07      0.10      0.36         0.09      | 413      0        0        8        0        | 128    550            14283        -       
32     32     2      2/8    | 0.11      0.11      0.06      0.11      0.40         0.08      | 413      0        8        0        0        | 256    550            14283        -       
32     32     3      3/8    | 0.09      0.10      0.06      0.10      0.37         0.09      | 413      0        8        0        0        | 384    550            14283        -       
32     32     4      4/8    | 0.09      0.11      0.06      0.10      0.37         0.09      | 413      0        8        0        0        | 512    550            14283        -       
32     32     5      5/8    | 0.11      0.11      0.06      0.11      0.40         0.08      | 413      0        8        0        0        | 640    550            14283        -       
32     32     6      6/8    | 0.09      0.10      0.06      0.10      0.37         0.09      | 413      0        8        0        0        | 768    550            14283        -       
32     32     7      7/8    | 0.10      0.10      0.06      0.10      0.37         0.09      | 413      0        8        0        0        | 896    550            14283        -       
32     32     8      8/8    | 0.09      0.11      0.06      0.10      0.37         0.09      | 413      0        8        0        0        | 1024   550            14283        -       
