# Matrix: bcspwr07
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.001-0.01/bcspwr07.mtx
# Category: 1k-10k-0.001-0.01
# Date: 2026-03-06 08:29:58
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 1612
# Cols: 1612
# NNZ(A): 5824
# NNZ(C) estimate: 25234
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.10      0.13      0.08      0.10      0.42         0.12      | 3008     0        0        454      0        | 1      6366           15684        -       
8      8      1      1/8    | 0.10      0.14      0.06      0.10      0.41         0.12      | 3008     0        0        454      0        | 8      6366           15684        -       
8      8      2      2/8    | 0.11      0.13      0.07      0.11      0.42         0.12      | 3008     0        326      128      0        | 16     6366           15684        -       
8      8      3      3/8    | 0.09      0.12      0.06      0.10      0.38         0.13      | 3008     0        421      33       0        | 24     6366           15684        -       
8      8      4      4/8    | 0.09      0.13      0.05      0.10      0.38         0.13      | 3008     0        446      8        0        | 32     6366           15684        -       
8      8      5      5/8    | 0.09      0.12      0.04      0.10      0.37         0.14      | 3008     0        451      3        0        | 40     6366           15684        -       
8      8      6      6/8    | 0.16      0.16      0.06      0.21      0.61         0.08      | 3008     0        453      1        0        | 48     6366           15684        -       
8      8      7      7/8    | 0.12      0.14      0.05      0.11      0.43         0.12      | 3008     0        454      0        0        | 56     6366           15684        -       
8      8      8      8/8    | 0.11      0.14      0.05      0.11      0.41         0.12      | 3008     0        454      0        0        | 64     6366           15684        -       
8      16     0      0/8    | 0.10      0.14      0.06      0.10      0.41         0.12      | 3008     0        0        454      0        | 1      7896           15684        -       
8      16     1      1/8    | 0.10      0.14      0.07      0.12      0.43         0.12      | 3008     0        0        454      0        | 8      7896           15684        -       
8      16     2      2/8    | 0.12      0.14      0.07      0.12      0.46         0.11      | 3008     0        326      128      0        | 16     7896           15684        -       
8      16     3      3/8    | 0.10      0.14      0.06      0.10      0.41         0.12      | 3008     0        421      33       0        | 24     7896           15684        -       
8      16     4      4/8    | 0.10      0.14      0.05      0.10      0.39         0.13      | 3008     0        446      8        0        | 32     7896           15684        -       
8      16     5      5/8    | 0.10      0.14      0.04      0.10      0.39         0.13      | 3008     0        451      3        0        | 40     7896           15684        -       
8      16     6      6/8    | 0.09      0.14      0.05      0.10      0.40         0.13      | 3008     0        453      1        0        | 48     7896           15684        -       
8      16     7      7/8    | 0.10      0.13      0.04      0.10      0.38         0.13      | 3008     0        454      0        0        | 56     7896           15684        -       
8      16     8      8/8    | 0.08      0.14      0.04      0.10      0.37         0.14      | 3008     0        454      0        0        | 64     7896           15684        -       
8      32     0      0/8    | 0.09      0.13      0.10      0.10      0.42         0.12      | 3008     0        0        454      0        | 1      9942           15684        -       
8      32     1      1/8    | 0.11      0.14      0.11      0.11      0.48         0.11      | 3008     0        0        454      0        | 8      9942           15684        -       
8      32     2      2/8    | 0.10      0.14      0.10      0.11      0.45         0.11      | 3008     0        326      128      0        | 16     9942           15684        -       
8      32     3      3/8    | 0.11      0.14      0.09      0.13      0.48         0.11      | 3008     0        421      33       0        | 24     9942           15684        -       
8      32     4      4/8    | 0.09      0.13      0.07      0.10      0.41         0.12      | 3008     0        446      8        0        | 32     9942           15684        -       
8      32     5      5/8    | 0.12      0.14      0.07      0.11      0.44         0.11      | 3008     0        451      3        0        | 40     9942           15684        -       
8      32     6      6/8    | 0.09      0.13      0.05      0.10      0.37         0.13      | 3008     0        453      1        0        | 48     9942           15684        -       
8      32     7      7/8    | 0.11      0.14      0.04      0.11      0.41         0.12      | 3008     0        454      0        0        | 56     9942           15684        -       
8      32     8      8/8    | 0.09      0.13      0.04      0.11      0.37         0.14      | 3008     0        454      0        0        | 64     9942           15684        -       
16     8      0      0/8    | 0.10      0.19      0.10      0.10      0.49         0.10      | 1334     0        0        123      0        | 1      2451           15684        -       
16     8      1      1/8    | 0.12      0.20      0.11      0.12      0.57         0.09      | 1334     0        0        123      0        | 32     2451           15684        -       
16     8      2      2/8    | 0.10      0.19      0.10      0.10      0.49         0.10      | 1334     0        110      13       0        | 64     2451           15684        -       
16     8      3      3/8    | 0.10      0.18      0.06      0.10      0.45         0.11      | 1334     0        123      0        0        | 96     2451           15684        -       
16     8      4      4/8    | 0.09      0.18      0.06      0.10      0.44         0.12      | 1334     0        123      0        0        | 128    2451           15684        -       
16     8      5      5/8    | 0.11      0.20      0.07      0.11      0.49         0.10      | 1334     0        123      0        0        | 160    2451           15684        -       
16     8      6      6/8    | 0.10      0.19      0.07      0.10      0.47         0.11      | 1334     0        123      0        0        | 192    2451           15684        -       
16     8      7      7/8    | 0.12      0.20      0.07      0.11      0.51         0.10      | 1334     0        123      0        0        | 224    2451           15684        -       
16     8      8      8/8    | 0.11      0.20      0.06      0.13      0.52         0.10      | 1334     0        123      0        0        | 256    2451           15684        -       
16     16     0      0/8    | 0.10      0.22      0.13      0.10      0.55         0.09      | 1334     0        0        123      0        | 1      3067           15684        -       
16     16     1      1/8    | 0.11      0.22      0.13      0.11      0.58         0.09      | 1334     0        0        123      0        | 32     3067           15684        -       
16     16     2      2/8    | 0.10      0.22      0.10      0.10      0.53         0.09      | 1334     0        110      13       0        | 64     3067           15684        -       
16     16     3      3/8    | 0.09      0.21      0.06      0.10      0.47         0.11      | 1334     0        123      0        0        | 96     3067           15684        -       
16     16     4      4/8    | 0.09      0.21      0.06      0.10      0.47         0.11      | 1334     0        123      0        0        | 128    3067           15684        -       
16     16     5      5/8    | 0.08      0.21      0.06      0.10      0.46         0.11      | 1334     0        123      0        0        | 160    3067           15684        -       
16     16     6      6/8    | 0.09      0.22      0.06      0.10      0.47         0.11      | 1334     0        123      0        0        | 192    3067           15684        -       
16     16     7      7/8    | 0.09      0.21      0.06      0.10      0.46         0.11      | 1334     0        123      0        0        | 224    3067           15684        -       
16     16     8      8/8    | 0.11      0.21      0.06      0.11      0.51         0.10      | 1334     0        123      0        0        | 256    3067           15684        -       
16     32     0      0/8    | 0.10      0.15      0.18      0.11      0.54         0.09      | 1334     0        0        123      0        | 1      3695           15684        -       
16     32     1      1/8    | 0.12      0.15      0.19      0.11      0.58         0.09      | 1334     0        0        123      0        | 32     3695           15684        -       
16     32     2      2/8    | 0.10      0.14      0.16      0.10      0.52         0.10      | 1334     0        110      13       0        | 64     3695           15684        -       
16     32     3      3/8    | 0.10      0.15      0.05      0.10      0.41         0.12      | 1334     0        123      0        0        | 96     3695           15684        -       
16     32     4      4/8    | 0.09      0.15      0.05      0.10      0.39         0.13      | 1334     0        123      0        0        | 128    3695           15684        -       
16     32     5      5/8    | 0.09      0.14      0.05      0.10      0.39         0.13      | 1334     0        123      0        0        | 160    3695           15684        -       
16     32     6      6/8    | 0.08      0.14      0.05      0.10      0.38         0.13      | 1334     0        123      0        0        | 192    3695           15684        -       
16     32     7      7/8    | 0.09      0.14      0.05      0.10      0.38         0.13      | 1334     0        123      0        0        | 224    3695           15684        -       
16     32     8      8/8    | 0.09      0.14      0.05      0.10      0.38         0.13      | 1334     0        123      0        0        | 256    3695           15684        -       
32     8      0      0/8    | 0.12      0.24      0.21      0.10      0.67         0.07      | 577      0        0        22       0        | 1      1019           15684        -       
32     8      1      1/8    | 0.13      0.24      0.23      0.09      0.69         0.07      | 577      0        0        22       0        | 128    1019           15684        -       
32     8      2      2/8    | 0.09      0.23      0.14      0.09      0.57         0.09      | 577      0        22       0        0        | 256    1019           15684        -       
32     8      3      3/8    | 0.10      0.23      0.14      0.10      0.58         0.09      | 577      0        22       0        0        | 384    1019           15684        -       
32     8      4      4/8    | 0.11      0.24      0.15      0.10      0.61         0.08      | 577      0        22       0        0        | 512    1019           15684        -       
32     8      5      5/8    | 0.11      0.23      0.14      0.09      0.57         0.09      | 577      0        22       0        0        | 640    1019           15684        -       
32     8      6      6/8    | 0.10      0.24      0.14      0.10      0.59         0.09      | 577      0        22       0        0        | 768    1019           15684        -       
32     8      7      7/8    | 0.09      0.23      0.14      0.09      0.57         0.09      | 577      0        22       0        0        | 896    1019           15684        -       
32     8      8      8/8    | 0.12      0.24      0.15      0.11      0.63         0.08      | 577      0        22       0        0        | 1024   1019           15684        -       
32     16     0      0/8    | 0.10      0.21      0.20      0.10      0.61         0.08      | 577      0        0        22       0        | 1      1221           15684        -       
32     16     1      1/8    | 0.10      0.21      0.20      0.10      0.62         0.08      | 577      0        0        22       0        | 128    1221           15684        -       
32     16     2      2/8    | 0.09      0.20      0.10      0.10      0.49         0.10      | 577      0        22       0        0        | 256    1221           15684        -       
32     16     3      3/8    | 0.11      0.21      0.10      0.10      0.54         0.09      | 577      0        22       0        0        | 384    1221           15684        -       
32     16     4      4/8    | 0.11      0.21      0.10      0.10      0.53         0.10      | 577      0        22       0        0        | 512    1221           15684        -       
32     16     5      5/8    | 0.10      0.21      0.10      0.10      0.51         0.10      | 577      0        22       0        0        | 640    1221           15684        -       
32     16     6      6/8    | 0.09      0.20      0.10      0.10      0.51         0.10      | 577      0        22       0        0        | 768    1221           15684        -       
32     16     7      7/8    | 0.10      0.22      0.10      0.10      0.53         0.10      | 577      0        22       0        0        | 896    1221           15684        -       
32     16     8      8/8    | 0.09      0.21      0.10      0.10      0.50         0.10      | 577      0        22       0        0        | 1024   1221           15684        -       
32     32     0      0/8    | 0.11      0.16      0.14      0.11      0.53         0.10      | 577      0        0        22       0        | 1      1397           15684        -       
32     32     1      1/8    | 0.10      0.14      0.14      0.11      0.51         0.10      | 577      0        0        22       0        | 128    1397           15684        -       
32     32     2      2/8    | 0.09      0.14      0.09      0.10      0.43         0.12      | 577      0        22       0        0        | 256    1397           15684        -       
32     32     3      3/8    | 0.12      0.15      0.09      0.11      0.48         0.11      | 577      0        22       0        0        | 384    1397           15684        -       
32     32     4      4/8    | 0.10      0.14      0.09      0.10      0.45         0.11      | 577      0        22       0        0        | 512    1397           15684        -       
32     32     5      5/8    | 0.08      0.14      0.09      0.10      0.42         0.12      | 577      0        22       0        0        | 640    1397           15684        -       
