# Matrix: bcsstm23
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.001-0.01/bcsstm23.mtx
# Category: 1k-10k-0.001-0.01
# Date: 2026-03-06 08:34:05
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 3134
# Cols: 3134
# NNZ(A): 3134
# NNZ(C) estimate: 3134
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.09      0.07      0.02      0.11      0.29         0.02      | 392      0        0        0        0        | 1      392            3134         -       
8      8      1      1/8    | 0.08      0.06      0.01      0.09      0.25         0.02      | 392      0        0        0        0        | 8      392            3134         -       
8      8      2      2/8    | 0.08      0.06      0.01      0.10      0.26         0.02      | 392      0        0        0        0        | 16     392            3134         -       
8      8      3      3/8    | 0.08      0.06      0.01      0.09      0.25         0.03      | 392      0        0        0        0        | 24     392            3134         -       
8      8      4      4/8    | 0.08      0.06      0.02      0.09      0.25         0.03      | 392      0        0        0        0        | 32     392            3134         -       
8      8      5      5/8    | 0.08      0.06      0.02      0.09      0.25         0.03      | 392      0        0        0        0        | 40     392            3134         -       
8      8      6      6/8    | 0.08      0.06      0.01      0.09      0.25         0.02      | 392      0        0        0        0        | 48     392            3134         -       
8      8      7      7/8    | 0.09      0.06      0.01      0.09      0.26         0.02      | 392      0        0        0        0        | 56     392            3134         -       
8      8      8      8/8    | 0.08      0.06      0.01      0.10      0.25         0.02      | 392      0        0        0        0        | 64     392            3134         -       
8      16     0      0/8    | 0.08      0.06      0.02      0.09      0.25         0.02      | 392      0        0        0        0        | 1      784            3134         -       
8      16     1      1/8    | 0.08      0.06      0.02      0.09      0.26         0.02      | 392      0        0        0        0        | 8      784            3134         -       
8      16     2      2/8    | 0.09      0.06      0.02      0.10      0.28         0.02      | 392      0        0        0        0        | 16     784            3134         -       
8      16     3      3/8    | 0.08      0.06      0.02      0.09      0.26         0.02      | 392      0        0        0        0        | 24     784            3134         -       
8      16     4      4/8    | 0.10      0.07      0.02      0.10      0.30         0.02      | 392      0        0        0        0        | 32     784            3134         -       
8      16     5      5/8    | 0.10      0.06      0.02      0.10      0.28         0.02      | 392      0        0        0        0        | 40     784            3134         -       
8      16     6      6/8    | 0.11      0.07      0.02      0.10      0.31         0.02      | 392      0        0        0        0        | 48     784            3134         -       
8      16     7      7/8    | 0.09      0.06      0.02      0.10      0.27         0.02      | 392      0        0        0        0        | 56     784            3134         -       
8      16     8      8/8    | 0.09      0.06      0.02      0.10      0.27         0.02      | 392      0        0        0        0        | 64     784            3134         -       
8      32     0      0/8    | 0.09      0.07      0.02      0.11      0.30         0.02      | 392      0        0        0        0        | 1      1568           3134         -       
8      32     1      1/8    | 0.10      0.07      0.02      0.11      0.30         0.02      | 392      0        0        0        0        | 8      1568           3134         -       
8      32     2      2/8    | 0.10      0.07      0.02      0.12      0.32         0.02      | 392      0        0        0        0        | 16     1568           3134         -       
8      32     3      3/8    | 0.09      0.07      0.02      0.10      0.28         0.02      | 392      0        0        0        0        | 24     1568           3134         -       
8      32     4      4/8    | 0.10      0.07      0.02      0.10      0.30         0.02      | 392      0        0        0        0        | 32     1568           3134         -       
8      32     5      5/8    | 0.11      0.07      0.02      0.10      0.31         0.02      | 392      0        0        0        0        | 40     1568           3134         -       
8      32     6      6/8    | 0.10      0.07      0.02      0.11      0.30         0.02      | 392      0        0        0        0        | 48     1568           3134         -       
8      32     7      7/8    | 0.09      0.07      0.02      0.10      0.29         0.02      | 392      0        0        0        0        | 56     1568           3134         -       
8      32     8      8/8    | 0.08      0.06      0.02      0.10      0.26         0.02      | 392      0        0        0        0        | 64     1568           3134         -       
16     8      0      0/8    | 0.11      0.08      0.03      0.10      0.32         0.02      | 196      0        0        0        0        | 1      196            3134         -       
16     8      1      1/8    | 0.08      0.07      0.02      0.09      0.27         0.02      | 196      0        0        0        0        | 32     196            3134         -       
16     8      2      2/8    | 0.08      0.07      0.02      0.09      0.27         0.02      | 196      0        0        0        0        | 64     196            3134         -       
16     8      3      3/8    | 0.10      0.07      0.03      0.10      0.30         0.02      | 196      0        0        0        0        | 96     196            3134         -       
16     8      4      4/8    | 0.09      0.07      0.02      0.10      0.29         0.02      | 196      0        0        0        0        | 128    196            3134         -       
16     8      5      5/8    | 0.09      0.07      0.02      0.10      0.29         0.02      | 196      0        0        0        0        | 160    196            3134         -       
