# Matrix: bwm2000
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.001-0.01/bwm2000.mtx
# Category: 1k-10k-0.001-0.01
# Date: 2026-03-06 08:37:01
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 2000
# Cols: 2000
# NNZ(A): 7996
# NNZ(C) estimate: 31972
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.10      0.08      0.03      0.10      0.32         0.20      | 992      0        0        500      0        | 1      1984           15984        -       
8      8      1      1/8    | 0.08      0.09      0.03      0.10      0.32         0.20      | 992      0        0        500      0        | 8      1984           15984        -       
8      8      2      2/8    | 0.09      0.08      0.04      0.10      0.32         0.20      | 992      0        0        500      0        | 16     1984           15984        -       
8      8      3      3/8    | 0.08      0.08      0.04      0.09      0.30         0.21      | 992      0        250      250      0        | 24     1984           15984        -       
8      8      4      4/8    | 0.11      0.08      0.05      0.10      0.35         0.18      | 992      0        250      250      0        | 32     1984           15984        -       
8      8      5      5/8    | 0.09      0.08      0.03      0.10      0.30         0.22      | 992      0        500      0        0        | 40     1984           15984        -       
8      8      6      6/8    | 0.10      0.08      0.03      0.10      0.31         0.21      | 992      0        500      0        0        | 48     1984           15984        -       
8      8      7      7/8    | 0.09      0.08      0.03      0.10      0.31         0.21      | 992      0        500      0        0        | 56     1984           15984        -       
8      8      8      8/8    | 0.11      0.08      0.03      0.11      0.33         0.19      | 992      0        500      0        0        | 64     1984           15984        -       
8      16     0      0/8    | 0.09      0.08      0.03      0.10      0.32         0.20      | 992      0        0        500      0        | 1      2492           15984        -       
8      16     1      1/8    | 0.09      0.08      0.04      0.10      0.32         0.20      | 992      0        0        500      0        | 8      2492           15984        -       
8      16     2      2/8    | 0.09      0.09      0.03      0.10      0.33         0.19      | 992      0        0        500      0        | 16     2492           15984        -       
8      16     3      3/8    | 0.16      0.12      0.06      0.22      0.59         0.11      | 992      0        250      250      0        | 24     2492           15984        -       
8      16     4      4/8    | 0.08      0.08      0.04      0.10      0.31         0.21      | 992      0        250      250      0        | 32     2492           15984        -       
8      16     5      5/8    | 0.10      0.08      0.03      0.11      0.33         0.19      | 992      0        500      0        0        | 40     2492           15984        -       
8      16     6      6/8    | 0.09      0.08      0.03      0.10      0.30         0.21      | 992      0        500      0        0        | 48     2492           15984        -       
8      16     7      7/8    | 0.09      0.08      0.03      0.11      0.31         0.21      | 992      0        500      0        0        | 56     2492           15984        -       
8      16     8      8/8    | 0.08      0.07      0.02      0.10      0.28         0.23      | 992      0        500      0        0        | 64     2492           15984        -       
8      32     0      0/8    | 0.08      0.09      0.05      0.10      0.32         0.20      | 992      0        0        500      0        | 1      3732           15984        -       
8      32     1      1/8    | 0.08      0.09      0.05      0.10      0.32         0.20      | 992      0        0        500      0        | 8      3732           15984        -       
8      32     2      2/8    | 0.10      0.09      0.05      0.11      0.37         0.17      | 992      0        0        500      0        | 16     3732           15984        -       
8      32     3      3/8    | 0.09      0.09      0.07      0.11      0.37         0.17      | 992      0        250      250      0        | 24     3732           15984        -       
8      32     4      4/8    | 0.12      0.10      0.07      0.11      0.40         0.16      | 992      0        250      250      0        | 32     3732           15984        -       
8      32     5      5/8    | 0.08      0.09      0.03      0.10      0.31         0.21      | 992      0        500      0        0        | 40     3732           15984        -       
8      32     6      6/8    | 0.09      0.09      0.03      0.11      0.32         0.20      | 992      0        500      0        0        | 48     3732           15984        -       
8      32     7      7/8    | 0.09      0.09      0.03      0.10      0.31         0.20      | 992      0        500      0        0        | 56     3732           15984        -       
8      32     8      8/8    | 0.09      0.09      0.03      0.10      0.32         0.20      | 992      0        500      0        0        | 64     3732           15984        -       
16     8      0      0/8    | 0.10      0.10      0.05      0.09      0.35         0.18      | 498      0        0        125      0        | 1      623            15984        -       
16     8      1      1/8    | 0.09      0.10      0.06      0.09      0.35         0.18      | 498      0        0        125      0        | 32     623            15984        -       
16     8      2      2/8    | 0.09      0.10      0.05      0.09      0.34         0.19      | 498      0        0        125      0        | 64     623            15984        -       
16     8      3      3/8    | 0.17      0.15      0.06      0.21      0.61         0.10      | 498      0        125      0        0        | 96     623            15984        -       
16     8      4      4/8    | 0.10      0.10      0.04      0.10      0.35         0.18      | 498      0        125      0        0        | 128    623            15984        -       
16     8      5      5/8    | 0.18      0.16      0.06      0.21      0.62         0.10      | 498      0        125      0        0        | 160    623            15984        -       
16     8      6      6/8    | 0.10      0.10      0.04      0.10      0.34         0.19      | 498      0        125      0        0        | 192    623            15984        -       
16     8      7      7/8    | 0.09      0.11      0.04      0.09      0.35         0.18      | 498      0        125      0        0        | 224    623            15984        -       
16     8      8      8/8    | 0.08      0.10      0.04      0.09      0.33         0.20      | 498      0        125      0        0        | 256    623            15984        -       
16     16     0      0/8    | 0.09      0.10      0.07      0.10      0.39         0.17      | 498      0        0        125      0        | 1      1121           15984        -       
16     16     1      1/8    | 0.08      0.10      0.07      0.10      0.36         0.18      | 498      0        0        125      0        | 32     1121           15984        -       
16     16     2      2/8    | 0.08      0.10      0.07      0.10      0.36         0.18      | 498      0        0        125      0        | 64     1121           15984        -       
16     16     3      3/8    | 0.08      0.10      0.04      0.10      0.33         0.19      | 498      0        125      0        0        | 96     1121           15984        -       
16     16     4      4/8    | 0.18      0.15      0.06      0.23      0.64         0.10      | 498      0        125      0        0        | 128    1121           15984        -       
16     16     5      5/8    | 0.09      0.10      0.04      0.10      0.35         0.18      | 498      0        125      0        0        | 160    1121           15984        -       
16     16     6      6/8    | 0.09      0.11      0.04      0.10      0.35         0.18      | 498      0        125      0        0        | 192    1121           15984        -       
16     16     7      7/8    | 0.09      0.11      0.04      0.11      0.35         0.18      | 498      0        125      0        0        | 224    1121           15984        -       
16     16     8      8/8    | 0.10      0.11      0.04      0.11      0.36         0.18      | 498      0        125      0        0        | 256    1121           15984        -       
16     32     0      0/8    | 0.09      0.10      0.10      0.10      0.39         0.16      | 498      0        0        125      0        | 1      1431           15984        -       
16     32     1      1/8    | 0.08      0.10      0.10      0.10      0.39         0.16      | 498      0        0        125      0        | 32     1431           15984        -       
16     32     2      2/8    | 0.08      0.10      0.10      0.10      0.39         0.16      | 498      0        0        125      0        | 64     1431           15984        -       
16     32     3      3/8    | 0.11      0.10      0.04      0.11      0.37         0.17      | 498      0        125      0        0        | 96     1431           15984        -       
16     32     4      4/8    | 0.10      0.10      0.04      0.10      0.35         0.18      | 498      0        125      0        0        | 128    1431           15984        -       
16     32     5      5/8    | 0.10      0.10      0.04      0.10      0.35         0.18      | 498      0        125      0        0        | 160    1431           15984        -       
