# Matrix: circuit204
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.001-0.01/circuit204.mtx
# Category: 1k-10k-0.001-0.01
# Date: 2026-03-06 08:38:13
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 1020
# Cols: 1020
# NNZ(A): 5883
# NNZ(C) estimate: 39010
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.10      0.14      0.06      0.10      0.41         0.19      | 3475     0        0        758      0        | 1      7034           22890        -       
8      8      1      1/8    | 0.10      0.14      0.06      0.11      0.43         0.18      | 3475     0        0        758      0        | 8      7034           22890        -       
8      8      2      2/8    | 0.10      0.14      0.06      0.10      0.40         0.20      | 3475     0        598      160      0        | 16     7034           22890        -       
8      8      3      3/8    | 0.11      0.14      0.07      0.11      0.44         0.18      | 3475     0        691      67       0        | 24     7034           22890        -       
8      8      4      4/8    | 0.10      0.14      0.06      0.10      0.41         0.19      | 3475     0        730      28       0        | 32     7034           22890        -       
8      8      5      5/8    | 0.10      0.14      0.05      0.10      0.41         0.19      | 3475     0        758      0        0        | 40     7034           22890        -       
8      8      6      6/8    | 0.09      0.14      0.04      0.10      0.38         0.21      | 3475     0        758      0        0        | 48     7034           22890        -       
8      8      7      7/8    | 0.10      0.14      0.04      0.10      0.39         0.20      | 3475     0        758      0        0        | 56     7034           22890        -       
8      8      8      8/8    | 0.10      0.14      0.04      0.10      0.39         0.20      | 3475     0        758      0        0        | 64     7034           22890        -       
8      16     0      0/8    | 0.11      0.14      0.06      0.11      0.43         0.18      | 3475     0        0        758      0        | 1      8617           22890        -       
8      16     1      1/8    | 0.10      0.13      0.05      0.10      0.39         0.20      | 3475     0        0        758      0        | 8      8617           22890        -       
8      16     2      2/8    | 0.10      0.13      0.07      0.11      0.41         0.19      | 3475     0        598      160      0        | 16     8617           22890        -       
8      16     3      3/8    | 0.09      0.12      0.06      0.10      0.39         0.20      | 3475     0        691      67       0        | 24     8617           22890        -       
8      16     4      4/8    | 0.11      0.13      0.07      0.11      0.43         0.18      | 3475     0        730      28       0        | 32     8617           22890        -       
8      16     5      5/8    | 0.10      0.13      0.04      0.11      0.39         0.20      | 3475     0        758      0        0        | 40     8617           22890        -       
8      16     6      6/8    | 0.12      0.13      0.05      0.11      0.42         0.19      | 3475     0        758      0        0        | 48     8617           22890        -       
8      16     7      7/8    | 0.10      0.13      0.04      0.10      0.38         0.21      | 3475     0        758      0        0        | 56     8617           22890        -       
8      16     8      8/8    | 0.10      0.13      0.05      0.11      0.39         0.20      | 3475     0        758      0        0        | 64     8617           22890        -       
8      32     0      0/8    | 0.10      0.13      0.09      0.12      0.46         0.17      | 3475     0        0        758      0        | 1      10357          22890        -       
8      32     1      1/8    | 0.09      0.12      0.09      0.10      0.40         0.20      | 3475     0        0        758      0        | 8      10357          22890        -       
8      32     2      2/8    | 0.09      0.12      0.10      0.10      0.41         0.19      | 3475     0        598      160      0        | 16     10357          22890        -       
8      32     3      3/8    | 0.18      0.20      0.12      0.23      0.75         0.10      | 3475     0        691      67       0        | 24     10357          22890        -       
8      32     4      4/8    | 0.10      0.13      0.09      0.10      0.43         0.18      | 3475     0        730      28       0        | 32     10357          22890        -       
8      32     5      5/8    | 0.10      0.13      0.04      0.11      0.39         0.20      | 3475     0        758      0        0        | 40     10357          22890        -       
