# Matrix: diag
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.001-0.01/diag.mtx
# Category: 1k-10k-0.001-0.01
# Date: 2026-03-06 08:39:23
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 2559
# Cols: 2559
# NNZ(A): 8184
# NNZ(C) estimate: 26588
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.10      0.10      0.04      0.10      0.34         0.16      | 1420     0        0        858      0        | 1      4146           16867        -       
8      8      1      1/8    | 0.10      0.10      0.05      0.10      0.35         0.15      | 1420     0        0        858      0        | 8      4146           16867        -       
8      8      2      2/8    | 0.11      0.10      0.05      0.10      0.37         0.14      | 1420     0        539      319      0        | 16     4146           16867        -       
8      8      3      3/8    | 0.10      0.09      0.04      0.10      0.34         0.16      | 1420     0        704      154      0        | 24     4146           16867        -       
8      8      4      4/8    | 0.09      0.10      0.04      0.10      0.34         0.16      | 1420     0        858      0        0        | 32     4146           16867        -       
8      8      5      5/8    | 0.11      0.10      0.04      0.10      0.35         0.15      | 1420     0        858      0        0        | 40     4146           16867        -       
8      8      6      6/8    | 0.11      0.10      0.03      0.12      0.38         0.14      | 1420     0        858      0        0        | 48     4146           16867        -       
8      8      7      7/8    | 0.10      0.10      0.04      0.10      0.34         0.15      | 1420     0        858      0        0        | 56     4146           16867        -       
8      8      8      8/8    | 0.11      0.10      0.04      0.10      0.35         0.15      | 1420     0        858      0        0        | 64     4146           16867        -       
8      16     0      0/8    | 0.10      0.09      0.04      0.10      0.34         0.16      | 1420     0        0        858      0        | 1      4770           16867        -       
8      16     1      1/8    | 0.10      0.09      0.04      0.11      0.35         0.15      | 1420     0        0        858      0        | 8      4770           16867        -       
8      16     2      2/8    | 0.09      0.09      0.05      0.10      0.33         0.16      | 1420     0        539      319      0        | 16     4770           16867        -       
8      16     3      3/8    | 0.08      0.09      0.05      0.10      0.32         0.16      | 1420     0        704      154      0        | 24     4770           16867        -       
8      16     4      4/8    | 0.10      0.11      0.04      0.11      0.36         0.15      | 1420     0        858      0        0        | 32     4770           16867        -       
8      16     5      5/8    | 0.09      0.10      0.03      0.11      0.34         0.16      | 1420     0        858      0        0        | 40     4770           16867        -       
8      16     6      6/8    | 0.09      0.09      0.03      0.10      0.31         0.17      | 1420     0        858      0        0        | 48     4770           16867        -       
8      16     7      7/8    | 0.10      0.09      0.03      0.11      0.35         0.15      | 1420     0        858      0        0        | 56     4770           16867        -       
8      16     8      8/8    | 0.09      0.09      0.03      0.11      0.33         0.16      | 1420     0        858      0        0        | 64     4770           16867        -       
8      32     0      0/8    | 0.09      0.09      0.06      0.10      0.35         0.15      | 1420     0        0        858      0        | 1      5652           16867        -       
8      32     1      1/8    | 0.18      0.18      0.07      0.23      0.69         0.08      | 1420     0        0        858      0        | 8      5652           16867        -       
8      32     2      2/8    | 0.09      0.08      0.07      0.10      0.36         0.15      | 1420     0        539      319      0        | 16     5652           16867        -       
8      32     3      3/8    | 0.10      0.09      0.05      0.10      0.35         0.15      | 1420     0        704      154      0        | 24     5652           16867        -       
8      32     4      4/8    | 0.10      0.09      0.03      0.10      0.32         0.17      | 1420     0        858      0        0        | 32     5652           16867        -       
8      32     5      5/8    | 0.09      0.09      0.03      0.11      0.33         0.16      | 1420     0        858      0        0        | 40     5652           16867        -       
8      32     6      6/8    | 0.11      0.09      0.03      0.11      0.35         0.15      | 1420     0        858      0        0        | 48     5652           16867        -       
8      32     7      7/8    | 0.08      0.08      0.03      0.10      0.30         0.18      | 1420     0        858      0        0        | 56     5652           16867        -       
8      32     8      8/8    | 0.10      0.09      0.03      0.11      0.35         0.15      | 1420     0        858      0        0        | 64     5652           16867        -       
16     8      0      0/8    | 0.10      0.11      0.06      0.10      0.38         0.14      | 834      0        0        160      0        | 1      1846           16867        -       
16     8      1      1/8    | 0.11      0.12      0.06      0.11      0.41         0.13      | 834      0        0        160      0        | 32     1846           16867        -       
16     8      2      2/8    | 0.10      0.11      0.07      0.10      0.38         0.14      | 834      0        34       126      0        | 64     1846           16867        -       
16     8      3      3/8    | 0.10      0.11      0.04      0.12      0.38         0.14      | 834      0        160      0        0        | 96     1846           16867        -       
16     8      4      4/8    | 0.11      0.12      0.04      0.11      0.38         0.14      | 834      0        160      0        0        | 128    1846           16867        -       
16     8      5      5/8    | 0.09      0.10      0.04      0.10      0.34         0.16      | 834      0        160      0        0        | 160    1846           16867        -       
16     8      6      6/8    | 0.10      0.11      0.04      0.10      0.35         0.15      | 834      0        160      0        0        | 192    1846           16867        -       
