# Matrix: fpga_dcop_33
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.001-0.01/fpga_dcop_33.mtx
# Category: 1k-10k-0.001-0.01
# Date: 2026-03-06 09:00:39
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 1220
# Cols: 1220
# NNZ(A): 5892
# NNZ(C) estimate: 46772
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.10      0.14      0.06      0.10      0.41         0.23      | 2111     0        0        928      72       | 1      6860           32688        -       
8      8      1      1/8    | 0.09      0.13      0.06      0.10      0.39         0.24      | 2111     0        0        928      72       | 8      6860           32688        -       
8      8      2      2/8    | 0.11      0.14      0.06      0.11      0.44         0.21      | 2111     0        508      420      72       | 16     6860           32688        -       
8      8      3      3/8    | 0.10      0.14      0.06      0.11      0.40         0.23      | 2111     0        678      250      72       | 24     6860           32688        -       
8      8      4      4/8    | 0.10      0.14      0.06      0.11      0.42         0.22      | 2111     0        764      164      72       | 32     6860           32688        -       
8      8      5      5/8    | 0.09      0.13      0.06      0.10      0.39         0.24      | 2111     0        870      58       72       | 40     6860           32688        -       
8      8      6      6/8    | 0.10      0.14      0.06      0.10      0.40         0.23      | 2111     0        893      35       72       | 48     6860           32688        -       
8      8      7      7/8    | 0.11      0.14      0.06      0.11      0.42         0.22      | 2111     0        926      2        72       | 56     6860           32688        -       
8      8      8      8/8    | 0.10      0.13      0.05      0.10      0.40         0.24      | 2111     0        1000     0        0        | 64     6860           32688        -       
8      16     0      0/8    | 0.10      0.12      0.05      0.11      0.39         0.24      | 2111     0        0        928      72       | 1      10565          32688        -       
8      16     1      1/8    | 0.12      0.12      0.05      0.11      0.42         0.22      | 2111     0        0        928      72       | 8      10565          32688        -       
8      16     2      2/8    | 0.10      0.12      0.05      0.10      0.39         0.24      | 2111     0        508      420      72       | 16     10565          32688        -       
8      16     3      3/8    | 0.10      0.13      0.05      0.10      0.39         0.24      | 2111     0        678      250      72       | 24     10565          32688        -       
8      16     4      4/8    | 0.10      0.12      0.06      0.11      0.39         0.24      | 2111     0        764      164      72       | 32     10565          32688        -       
8      16     5      5/8    | 0.09      0.12      0.05      0.10      0.37         0.25      | 2111     0        870      58       72       | 40     10565          32688        -       
8      16     6      6/8    | 0.12      0.12      0.06      0.12      0.42         0.22      | 2111     0        893      35       72       | 48     10565          32688        -       
8      16     7      7/8    | 0.10      0.12      0.06      0.11      0.40         0.24      | 2111     0        926      2        72       | 56     10565          32688        -       
8      16     8      8/8    | 0.11      0.12      0.04      0.11      0.40         0.23      | 2111     0        1000     0        0        | 64     10565          32688        -       
8      32     0      0/8    | 0.10      0.12      0.08      0.10      0.41         0.23      | 2111     0        0        928      72       | 1      15945          32688        -       
8      32     1      1/8    | 0.10      0.12      0.09      0.11      0.43         0.22      | 2111     0        0        928      72       | 8      15945          32688        -       
8      32     2      2/8    | 0.11      0.12      0.09      0.11      0.44         0.21      | 2111     0        508      420      72       | 16     15945          32688        -       
8      32     3      3/8    | 0.10      0.12      0.08      0.10      0.41         0.23      | 2111     0        678      250      72       | 24     15945          32688        -       
8      32     4      4/8    | 0.10      0.12      0.08      0.10      0.42         0.22      | 2111     0        764      164      72       | 32     15945          32688        -       
