# Matrix: fpga_trans_02
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.001-0.01/fpga_trans_02.mtx
# Category: 1k-10k-0.001-0.01
# Date: 2026-03-06 09:12:28
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 1220
# Cols: 1220
# NNZ(A): 7382
# NNZ(C) estimate: 87306
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.11      0.18      0.14      0.11      0.56         0.31      | 2801     0        0        1848     82       | 1      11433          56472        -       
8      8      1      1/8    | 0.11      0.20      0.15      0.10      0.56         0.31      | 2801     0        0        1848     82       | 8      11433          56472        -       
8      8      2      2/8    | 0.10      0.18      0.14      0.10      0.54         0.32      | 2801     0        889      959      82       | 16     11433          56472        -       
8      8      3      3/8    | 0.13      0.20      0.16      0.12      0.62         0.28      | 2801     0        1408     440      82       | 24     11433          56472        -       
8      8      4      4/8    | 0.10      0.19      0.13      0.10      0.53         0.33      | 2801     0        1599     249      82       | 32     11433          56472        -       
8      8      5      5/8    | 0.12      0.18      0.12      0.11      0.55         0.32      | 2801     0        1762     86       82       | 40     11433          56472        -       
8      8      6      6/8    | 0.12      0.19      0.12      0.12      0.55         0.32      | 2801     0        1777     71       82       | 48     11433          56472        -       
8      8      7      7/8    | 0.11      0.19      0.12      0.12      0.55         0.32      | 2801     0        1846     2        82       | 56     11433          56472        -       
8      8      8      8/8    | 0.11      0.18      0.12      0.11      0.53         0.33      | 2801     0        1930     0        0        | 64     11433          56472        -       
8      16     0      0/8    | 0.10      0.17      0.08      0.10      0.47         0.37      | 2801     0        0        1848     82       | 1      15437          56472        -       
8      16     1      1/8    | 0.09      0.17      0.07      0.10      0.44         0.39      | 2801     0        0        1848     82       | 8      15437          56472        -       
8      16     2      2/8    | 0.09      0.17      0.08      0.10      0.45         0.39      | 2801     0        889      959      82       | 16     15437          56472        -       
8      16     3      3/8    | 0.09      0.17      0.10      0.10      0.46         0.38      | 2801     0        1408     440      82       | 24     15437          56472        -       
8      16     4      4/8    | 0.12      0.17      0.07      0.11      0.48         0.36      | 2801     0        1599     249      82       | 32     15437          56472        -       
8      16     5      5/8    | 0.10      0.17      0.07      0.10      0.45         0.39      | 2801     0        1762     86       82       | 40     15437          56472        -       
8      16     6      6/8    | 0.12      0.18      0.07      0.13      0.51         0.35      | 2801     0        1777     71       82       | 48     15437          56472        -       
8      16     7      7/8    | 0.10      0.17      0.07      0.11      0.47         0.37      | 2801     0        1846     2        82       | 56     15437          56472        -       
8      16     8      8/8    | 0.11      0.18      0.07      0.12      0.48         0.36      | 2801     0        1930     0        0        | 64     15437          56472        -       
8      32     0      0/8    | 0.11      0.17      0.13      0.11      0.52         0.34      | 2801     0        0        1848     82       | 1      20173          56472        -       
8      32     1      1/8    | 0.09      0.16      0.13      0.10      0.48         0.36      | 2801     0        0        1848     82       | 8      20173          56472        -       
8      32     2      2/8    | 0.12      0.17      0.13      0.11      0.54         0.33      | 2801     0        889      959      82       | 16     20173          56472        -       
8      32     3      3/8    | 0.10      0.16      0.16      0.10      0.53         0.33      | 2801     0        1408     440      82       | 24     20173          56472        -       
8      32     4      4/8    | 0.11      0.17      0.09      0.11      0.48         0.36      | 2801     0        1599     249      82       | 32     20173          56472        -       
8      32     5      5/8    | 0.08      0.15      0.08      0.10      0.43         0.41      | 2801     0        1762     86       82       | 40     20173          56472        -       
8      32     6      6/8    | 0.12      0.17      0.09      0.11      0.50         0.35      | 2801     0        1777     71       82       | 48     20173          56472        -       
8      32     7      7/8    | 0.10      0.16      0.08      0.11      0.46         0.38      | 2801     0        1846     2        82       | 56     20173          56472        -       
8      32     8      8/8    | 0.10      0.17      0.05      0.11      0.44         0.40      | 2801     0        1930     0        0        | 64     20173          56472        -       
16     8      0      0/8    | 0.10      0.25      0.22      0.09      0.67         0.26      | 1517     0        0        505      9        | 1      3807           56472        -       
16     8      1      1/8    | 0.10      0.26      0.22      0.09      0.68         0.26      | 1517     0        0        505      9        | 32     3807           56472        -       
16     8      2      2/8    | 0.11      0.25      0.24      0.09      0.70         0.25      | 1517     0        309      196      9        | 64     3807           56472        -       
16     8      3      3/8    | 0.13      0.26      0.28      0.10      0.78         0.22      | 1517     0        426      79       9        | 96     3807           56472        -       
16     8      4      4/8    | 0.11      0.26      0.30      0.10      0.78         0.23      | 1517     0        447      58       9        | 128    3807           56472        -       
