# Matrix: gre_1107
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.001-0.01/gre_1107.mtx
# Category: 1k-10k-0.001-0.01
# Date: 2026-03-06 09:16:01
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 1107
# Cols: 1107
# NNZ(A): 5664
# NNZ(C) estimate: 29422
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.08      0.10      0.04      0.10      0.33         0.18      | 2112     0        0        738      0        | 1      4501           17480        -       
8      8      1      1/8    | 0.10      0.12      0.04      0.13      0.40         0.15      | 2112     0        0        738      0        | 8      4501           17480        -       
8      8      2      2/8    | 0.11      0.12      0.05      0.11      0.40         0.15      | 2112     0        517      221      0        | 16     4501           17480        -       
8      8      3      3/8    | 0.10      0.11      0.04      0.10      0.36         0.16      | 2112     0        713      25       0        | 24     4501           17480        -       
8      8      4      4/8    | 0.10      0.11      0.04      0.11      0.36         0.16      | 2112     0        738      0        0        | 32     4501           17480        -       
8      8      5      5/8    | 0.09      0.10      0.03      0.10      0.33         0.18      | 2112     0        738      0        0        | 40     4501           17480        -       
8      8      6      6/8    | 0.09      0.10      0.03      0.10      0.33         0.18      | 2112     0        738      0        0        | 48     4501           17480        -       
8      8      7      7/8    | 0.09      0.10      0.03      0.10      0.33         0.18      | 2112     0        738      0        0        | 56     4501           17480        -       
8      8      8      8/8    | 0.08      0.10      0.03      0.10      0.33         0.18      | 2112     0        738      0        0        | 64     4501           17480        -       
8      16     0      0/8    | 0.09      0.09      0.04      0.10      0.32         0.18      | 2112     0        0        738      0        | 1      5815           17480        -       
8      16     1      1/8    | 0.12      0.10      0.04      0.11      0.39         0.15      | 2112     0        0        738      0        | 8      5815           17480        -       
8      16     2      2/8    | 0.10      0.09      0.04      0.10      0.35         0.17      | 2112     0        517      221      0        | 16     5815           17480        -       
8      16     3      3/8    | 0.10      0.09      0.04      0.10      0.34         0.17      | 2112     0        713      25       0        | 24     5815           17480        -       
8      16     4      4/8    | 0.10      0.10      0.04      0.11      0.35         0.17      | 2112     0        738      0        0        | 32     5815           17480        -       
8      16     5      5/8    | 0.12      0.10      0.04      0.11      0.38         0.16      | 2112     0        738      0        0        | 40     5815           17480        -       
8      16     6      6/8    | 0.10      0.10      0.03      0.10      0.34         0.17      | 2112     0        738      0        0        | 48     5815           17480        -       
8      16     7      7/8    | 0.11      0.10      0.04      0.11      0.36         0.16      | 2112     0        738      0        0        | 56     5815           17480        -       
8      16     8      8/8    | 0.10      0.10      0.03      0.11      0.36         0.16      | 2112     0        738      0        0        | 64     5815           17480        -       
8      32     0      0/8    | 0.10      0.10      0.06      0.10      0.37         0.16      | 2112     0        0        738      0        | 1      7494           17480        -       
8      32     1      1/8    | 0.10      0.10      0.06      0.10      0.36         0.16      | 2112     0        0        738      0        | 8      7494           17480        -       
8      32     2      2/8    | 0.10      0.09      0.06      0.10      0.36         0.16      | 2112     0        517      221      0        | 16     7494           17480        -       
8      32     3      3/8    | 0.09      0.10      0.05      0.12      0.37         0.16      | 2112     0        713      25       0        | 24     7494           17480        -       
8      32     4      4/8    | 0.08      0.09      0.03      0.10      0.31         0.19      | 2112     0        738      0        0        | 32     7494           17480        -       
8      32     5      5/8    | 0.12      0.10      0.03      0.11      0.37         0.16      | 2112     0        738      0        0        | 40     7494           17480        -       
8      32     6      6/8    | 0.10      0.09      0.03      0.11      0.34         0.17      | 2112     0        738      0        0        | 48     7494           17480        -       
8      32     7      7/8    | 0.11      0.10      0.03      0.11      0.36         0.16      | 2112     0        738      0        0        | 56     7494           17480        -       
8      32     8      8/8    | 0.08      0.10      0.03      0.10      0.31         0.19      | 2112     0        738      0        0        | 64     7494           17480        -       
16     8      0      0/8    | 0.09      0.12      0.06      0.10      0.36         0.16      | 1074     0        0        153      0        | 1      1708           17480        -       
16     8      1      1/8    | 0.09      0.12      0.05      0.10      0.36         0.16      | 1074     0        0        153      0        | 32     1708           17480        -       
16     8      2      2/8    | 0.11      0.12      0.07      0.10      0.41         0.14      | 1074     0        147      6        0        | 64     1708           17480        -       
16     8      3      3/8    | 0.10      0.12      0.05      0.10      0.38         0.15      | 1074     0        153      0        0        | 96     1708           17480        -       
16     8      4      4/8    | 0.10      0.12      0.05      0.10      0.38         0.15      | 1074     0        153      0        0        | 128    1708           17480        -       
16     8      5      5/8    | 0.09      0.12      0.05      0.10      0.37         0.16      | 1074     0        153      0        0        | 160    1708           17480        -       
16     8      6      6/8    | 0.10      0.12      0.05      0.10      0.38         0.16      | 1074     0        153      0        0        | 192    1708           17480        -       
16     8      7      7/8    | 0.10      0.12      0.05      0.10      0.38         0.16      | 1074     0        153      0        0        | 224    1708           17480        -       
16     8      8      8/8    | 0.09      0.12      0.05      0.10      0.38         0.16      | 1074     0        153      0        0        | 256    1708           17480        -       
16     16     0      0/8    | 0.08      0.10      0.06      0.10      0.35         0.17      | 1074     0        0        153      0        | 1      1939           17480        -       
16     16     1      1/8    | 0.09      0.10      0.06      0.10      0.36         0.16      | 1074     0        0        153      0        | 32     1939           17480        -       
16     16     2      2/8    | 0.10      0.11      0.06      0.10      0.36         0.16      | 1074     0        147      6        0        | 64     1939           17480        -       
16     16     3      3/8    | 0.12      0.11      0.04      0.11      0.39         0.15      | 1074     0        153      0        0        | 96     1939           17480        -       
16     16     4      4/8    | 0.10      0.11      0.04      0.10      0.35         0.17      | 1074     0        153      0        0        | 128    1939           17480        -       
16     16     5      5/8    | 0.10      0.11      0.04      0.10      0.36         0.16      | 1074     0        153      0        0        | 160    1939           17480        -       
16     16     6      6/8    | 0.11      0.11      0.04      0.10      0.36         0.16      | 1074     0        153      0        0        | 192    1939           17480        -       
16     16     7      7/8    | 0.10      0.10      0.04      0.10      0.35         0.17      | 1074     0        153      0        0        | 224    1939           17480        -       
16     16     8      8/8    | 0.10      0.11      0.04      0.10      0.35         0.17      | 1074     0        153      0        0        | 256    1939           17480        -       
16     32     0      0/8    | 0.09      0.11      0.09      0.10      0.40         0.15      | 1074     0        0        153      0        | 1      2327           17480        -       
16     32     1      1/8    | 0.10      0.10      0.09      0.10      0.40         0.15      | 1074     0        0        153      0        | 32     2327           17480        -       
16     32     2      2/8    | 0.11      0.11      0.08      0.12      0.43         0.14      | 1074     0        147      6        0        | 64     2327           17480        -       
16     32     3      3/8    | 0.10      0.10      0.04      0.11      0.36         0.16      | 1074     0        153      0        0        | 96     2327           17480        -       
16     32     4      4/8    | 0.11      0.11      0.04      0.11      0.38         0.16      | 1074     0        153      0        0        | 128    2327           17480        -       
16     32     5      5/8    | 0.10      0.11      0.04      0.11      0.35         0.17      | 1074     0        153      0        0        | 160    2327           17480        -       
16     32     6      6/8    | 0.10      0.10      0.04      0.11      0.35         0.17      | 1074     0        153      0        0        | 192    2327           17480        -       
16     32     7      7/8    | 0.09      0.10      0.03      0.10      0.33         0.18      | 1074     0        153      0        0        | 224    2327           17480        -       
16     32     8      8/8    | 0.08      0.10      0.03      0.10      0.32         0.18      | 1074     0        153      0        0        | 256    2327           17480        -       
32     8      0      0/8    | 0.11      0.16      0.16      0.12      0.56         0.11      | 482      0        0        23       0        | 1      618            17480        -       
32     8      1      1/8    | 0.11      0.16      0.16      0.10      0.54         0.11      | 482      0        0        23       0        | 128    618            17480        -       
32     8      2      2/8    | 0.10      0.16      0.10      0.09      0.46         0.13      | 482      0        23       0        0        | 256    618            17480        -       
32     8      3      3/8    | 0.10      0.16      0.10      0.10      0.47         0.13      | 482      0        23       0        0        | 384    618            17480        -       
32     8      4      4/8    | 0.10      0.16      0.11      0.10      0.48         0.12      | 482      0        23       0        0        | 512    618            17480        -       
32     8      5      5/8    | 0.09      0.16      0.10      0.09      0.45         0.13      | 482      0        23       0        0        | 640    618            17480        -       
32     8      6      6/8    | 0.11      0.17      0.11      0.10      0.50         0.12      | 482      0        23       0        0        | 768    618            17480        -       
32     8      7      7/8    | 0.10      0.17      0.10      0.10      0.48         0.12      | 482      0        23       0        0        | 896    618            17480        -       
32     8      8      8/8    | 0.09      0.17      0.11      0.09      0.47         0.13      | 482      0        23       0        0        | 1024   618            17480        -       
32     16     0      0/8    | 0.10      0.15      0.14      0.10      0.50         0.12      | 482      0        0        23       0        | 1      654            17480        -       
32     16     1      1/8    | 0.09      0.14      0.13      0.10      0.47         0.12      | 482      0        0        23       0        | 128    654            17480        -       
32     16     2      2/8    | 0.11      0.15      0.06      0.11      0.44         0.13      | 482      0        23       0        0        | 256    654            17480        -       
32     16     3      3/8    | 0.10      0.15      0.06      0.12      0.44         0.13      | 482      0        23       0        0        | 384    654            17480        -       
32     16     4      4/8    | 0.12      0.15      0.06      0.13      0.48         0.12      | 482      0        23       0        0        | 512    654            17480        -       
32     16     5      5/8    | 0.10      0.14      0.06      0.10      0.41         0.14      | 482      0        23       0        0        | 640    654            17480        -       
32     16     6      6/8    | 0.10      0.15      0.05      0.11      0.41         0.14      | 482      0        23       0        0        | 768    654            17480        -       
32     16     7      7/8    | 0.09      0.14      0.06      0.10      0.39         0.15      | 482      0        23       0        0        | 896    654            17480        -       
32     16     8      8/8    | 0.12      0.15      0.05      0.11      0.44         0.13      | 482      0        23       0        0        | 1024   654            17480        -       
32     32     0      0/8    | 0.10      0.14      0.10      0.10      0.45         0.13      | 482      0        0        23       0        | 1      739            17480        -       
32     32     1      1/8    | 0.11      0.14      0.12      0.11      0.48         0.12      | 482      0        0        23       0        | 128    739            17480        -       
32     32     2      2/8    | 0.10      0.13      0.05      0.10      0.39         0.15      | 482      0        23       0        0        | 256    739            17480        -       
32     32     3      3/8    | 0.08      0.14      0.05      0.09      0.38         0.16      | 482      0        23       0        0        | 384    739            17480        -       
32     32     4      4/8    | 0.09      0.13      0.05      0.09      0.38         0.16      | 482      0        23       0        0        | 512    739            17480        -       
32     32     5      5/8    | 0.15      0.18      0.06      0.22      0.63         0.09      | 482      0        23       0        0        | 640    739            17480        -       
32     32     6      6/8    | 0.08      0.13      0.05      0.10      0.37         0.16      | 482      0        23       0        0        | 768    739            17480        -       
32     32     7      7/8    | 0.09      0.14      0.05      0.12      0.41         0.14      | 482      0        23       0        0        | 896    739            17480        -       
32     32     8      8/8    | 0.14      0.14      0.06      0.14      0.49         0.12      | 482      0        23       0        0        | 1024   739            17480        -       
