# Matrix: iprob
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.001-0.01/iprob.mtx
# Category: 1k-10k-0.001-0.01
# Date: 2026-03-06 09:16:36
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 3001
# Cols: 3001
# NNZ(A): 9000
# NNZ(C) estimate: 9012000
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.28      0.64      2.31      0.58      3.82         4.71      | 751      0        0        0        140625   | 1      141376         9006001      -       
8      8      1      1/8    | 0.29      0.65      2.27      0.60      3.81         4.73      | 751      0        0        0        140625   | 8      141376         9006001      -       
8      8      2      2/8    | 0.28      0.62      2.23      0.56      3.70         4.87      | 751      0        0        0        140625   | 16     141376         9006001      -       
8      8      3      3/8    | 0.28      0.64      2.47      0.56      3.95         4.56      | 751      0        0        0        140625   | 24     141376         9006001      -       
8      8      4      4/8    | 0.27      0.63      2.35      0.59      3.85         4.68      | 751      0        0        0        140625   | 32     141376         9006001      -       
8      8      5      5/8    | 0.28      0.65      2.39      0.61      3.94         4.57      | 751      0        0        0        140625   | 40     141376         9006001      -       
8      8      6      6/8    | 0.27      0.61      2.25      0.55      3.70         4.87      | 751      0        0        0        140625   | 48     141376         9006001      -       
8      8      7      7/8    | 0.27      0.65      2.44      0.57      3.94         4.58      | 751      0        0        0        140625   | 56     141376         9006001      -       
8      8      8      8/8    | 0.28      0.64      0.87      0.61      2.42         7.45      | 751      0        140625   0        0        | 64     141376         9006001      -       
8      16     0      0/8    | 0.19      0.52      2.27      0.55      3.54         5.09      | 751      0        0        0        140625   | 1      141376         9006001      -       
8      16     1      1/8    | 0.18      0.54      2.18      0.58      3.50         5.16      | 751      0        0        0        140625   | 8      141376         9006001      -       
8      16     2      2/8    | 0.19      0.54      2.12      0.62      3.49         5.16      | 751      0        0        0        140625   | 16     141376         9006001      -       
8      16     3      3/8    | 0.18      0.53      2.20      0.68      3.61         4.99      | 751      0        0        0        140625   | 24     141376         9006001      -       
8      16     4      4/8    | 0.19      0.53      2.27      0.56      3.55         5.08      | 751      0        0        0        140625   | 32     141376         9006001      -       
8      16     5      5/8    | 0.18      0.52      2.28      0.56      3.55         5.08      | 751      0        0        0        140625   | 40     141376         9006001      -       
8      16     6      6/8    | 0.18      0.52      2.17      0.57      3.45         5.22      | 751      0        0        0        140625   | 48     141376         9006001      -       
8      16     7      7/8    | 0.18      0.55      2.21      0.57      3.53         5.10      | 751      0        0        0        140625   | 56     141376         9006001      -       
8      16     8      8/8    | 0.19      0.56      0.61      0.61      1.98         9.10      | 751      0        140625   0        0        | 64     141376         9006001      -       
8      32     0      0/8    | 0.14      0.41      2.31      0.56      3.44         5.25      | 751      0        0        0        140625   | 1      141376         9006001      -       
8      32     1      1/8    | 0.14      0.44      2.24      0.56      3.39         5.32      | 751      0        0        0        140625   | 8      141376         9006001      -       
8      32     2      2/8    | 0.13      0.43      2.29      0.59      3.46         5.21      | 751      0        0        0        140625   | 16     141376         9006001      -       
8      32     3      3/8    | 0.13      0.42      2.37      0.55      3.48         5.18      | 751      0        0        0        140625   | 24     141376         9006001      -       
8      32     4      4/8    | 0.12      0.43      2.19      0.54      3.30         5.46      | 751      0        0        0        140625   | 32     141376         9006001      -       
8      32     5      5/8    | 0.13      0.40      2.19      0.55      3.27         5.51      | 751      0        0        0        140625   | 40     141376         9006001      -       
8      32     6      6/8    | 0.13      0.40      2.34      0.54      3.42         5.27      | 751      0        0        0        140625   | 48     141376         9006001      -       
8      32     7      7/8    | 0.13      0.40      2.26      0.54      3.34         5.40      | 751      0        0        0        140625   | 56     141376         9006001      -       
8      32     8      8/8    | 0.15      0.45      0.49      0.59      1.68         10.70     | 751      0        140625   0        0        | 64     141376         9006001      -       
16     8      0      0/8    | 0.27      0.41      2.17      0.39      3.24         5.56      | 0        0        0        375      34969    | 1      35344          9006001      -       
16     8      1      1/8    | 0.28      0.40      2.22      0.40      3.30         5.46      | 0        0        0        375      34969    | 32     35344          9006001      -       
16     8      2      2/8    | 0.27      0.41      2.16      0.42      3.27         5.51      | 0        0        0        375      34969    | 64     35344          9006001      -       
16     8      3      3/8    | 0.28      0.41      2.18      0.43      3.31         5.44      | 0        0        1        374      34969    | 96     35344          9006001      -       
16     8      4      4/8    | 0.27      0.41      2.24      0.42      3.34         5.39      | 0        0        1        374      34969    | 128    35344          9006001      -       
16     8      5      5/8    | 0.27      0.40      2.20      0.38      3.26         5.53      | 0        0        375      0        34969    | 160    35344          9006001      -       
16     8      6      6/8    | 0.28      0.42      2.19      0.44      3.33         5.40      | 0        0        375      0        34969    | 192    35344          9006001      -       
16     8      7      7/8    | 0.28      0.43      2.18      0.43      3.32         5.42      | 0        0        375      0        34969    | 224    35344          9006001      -       
16     8      8      8/8    | 0.26      0.39      2.60      0.39      3.65         4.94      | 0        0        35344    0        0        | 256    35344          9006001      -       
16     16     0      0/8    | 0.19      0.28      2.15      0.43      3.06         5.89      | 0        0        0        375      34969    | 1      35344          9006001      -       
16     16     1      1/8    | 0.17      0.28      2.00      0.41      2.87         6.27      | 0        0        0        375      34969    | 32     35344          9006001      -       
16     16     2      2/8    | 0.17      0.27      1.90      0.40      2.76         6.54      | 0        0        0        375      34969    | 64     35344          9006001      -       
16     16     3      3/8    | 0.17      0.28      2.08      0.42      2.97         6.07      | 0        0        1        374      34969    | 96     35344          9006001      -       
16     16     4      4/8    | 0.18      0.26      2.01      0.39      2.85         6.32      | 0        0        1        374      34969    | 128    35344          9006001      -       
16     16     5      5/8    | 0.18      0.28      2.01      0.43      2.92         6.18      | 0        0        375      0        34969    | 160    35344          9006001      -       
16     16     6      6/8    | 0.17      0.28      1.94      0.42      2.81         6.41      | 0        0        375      0        34969    | 192    35344          9006001      -       
16     16     7      7/8    | 0.17      0.27      1.91      0.49      2.85         6.33      | 0        0        375      0        34969    | 224    35344          9006001      -       
16     16     8      8/8    | 0.17      0.27      0.55      0.36      1.35         13.30     | 0        0        35344    0        0        | 256    35344          9006001      -       
16     32     0      0/8    | 0.14      0.24      2.00      0.43      2.82         6.39      | 0        0        0        375      34969    | 1      35344          9006001      -       
16     32     1      1/8    | 0.13      0.25      2.10      0.39      2.87         6.27      | 0        0        0        375      34969    | 32     35344          9006001      -       
16     32     2      2/8    | 0.13      0.24      2.12      0.38      2.88         6.25      | 0        0        0        375      34969    | 64     35344          9006001      -       
