# Matrix: jagmesh5
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.001-0.01/jagmesh5.mtx
# Category: 1k-10k-0.001-0.01
# Date: 2026-03-06 09:18:58
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 1180
# Cols: 1180
# NNZ(A): 7750
# NNZ(C) estimate: 51742
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.09      0.12      0.05      0.10      0.37         0.28      | 906      0        0        728      0        | 1      2872           19900        -       
8      8      1      1/8    | 0.09      0.12      0.05      0.10      0.36         0.29      | 906      0        0        728      0        | 8      2872           19900        -       
8      8      2      2/8    | 0.09      0.12      0.05      0.10      0.36         0.28      | 906      0        289      439      0        | 16     2872           19900        -       
8      8      3      3/8    | 0.14      0.13      0.07      0.14      0.49         0.21      | 906      0        431      297      0        | 24     2872           19900        -       
8      8      4      4/8    | 0.10      0.12      0.07      0.11      0.40         0.26      | 906      0        559      169      0        | 32     2872           19900        -       
8      8      5      5/8    | 0.11      0.12      0.06      0.11      0.41         0.25      | 906      0        683      45       0        | 40     2872           19900        -       
8      8      6      6/8    | 0.16      0.16      0.07      0.21      0.61         0.17      | 906      0        706      22       0        | 48     2872           19900        -       
8      8      7      7/8    | 0.09      0.12      0.05      0.10      0.36         0.28      | 906      0        725      3        0        | 56     2872           19900        -       
8      8      8      8/8    | 0.11      0.12      0.05      0.11      0.40         0.26      | 906      0        728      0        0        | 64     2872           19900        -       
8      16     0      0/8    | 0.10      0.10      0.04      0.10      0.35         0.29      | 906      0        0        728      0        | 1      3448           19900        -       
8      16     1      1/8    | 0.10      0.10      0.04      0.11      0.36         0.29      | 906      0        0        728      0        | 8      3448           19900        -       
8      16     2      2/8    | 0.10      0.09      0.05      0.10      0.35         0.30      | 906      0        289      439      0        | 16     3448           19900        -       
8      16     3      3/8    | 0.11      0.11      0.07      0.12      0.42         0.25      | 906      0        431      297      0        | 24     3448           19900        -       
8      16     4      4/8    | 0.11      0.11      0.06      0.11      0.40         0.26      | 906      0        559      169      0        | 32     3448           19900        -       
