# Matrix: laser
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.001-0.01/laser.mtx
# Category: 1k-10k-0.001-0.01
# Date: 2026-03-06 09:21:54
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 3002
# Cols: 3002
# NNZ(A): 9000
# NNZ(C) estimate: 28992
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.09      0.07      0.04      0.10      0.31         0.19      | 1125     0        0        503      0        | 1      1634           18998        -       
8      8      1      1/8    | 0.12      0.09      0.03      0.11      0.36         0.16      | 1125     0        0        503      0        | 8      1634           18998        -       
8      8      2      2/8    | 0.11      0.09      0.04      0.15      0.41         0.14      | 1125     0        3        500      0        | 16     1634           18998        -       
8      8      3      3/8    | 0.08      0.07      0.04      0.10      0.29         0.20      | 1125     0        253      250      0        | 24     1634           18998        -       
8      8      4      4/8    | 0.08      0.07      0.04      0.10      0.29         0.20      | 1125     0        254      249      0        | 32     1634           18998        -       
8      8      5      5/8    | 0.08      0.07      0.03      0.10      0.28         0.21      | 1125     0        503      0        0        | 40     1634           18998        -       
8      8      6      6/8    | 0.16      0.11      0.04      0.21      0.55         0.11      | 1125     0        503      0        0        | 48     1634           18998        -       
8      8      7      7/8    | 0.09      0.07      0.03      0.10      0.29         0.20      | 1125     0        503      0        0        | 56     1634           18998        -       
8      8      8      8/8    | 0.09      0.07      0.03      0.10      0.29         0.20      | 1125     0        503      0        0        | 64     1634           18998        -       
8      16     0      0/8    | 0.10      0.08      0.04      0.10      0.33         0.18      | 1125     0        0        503      0        | 1      2642           18998        -       
8      16     1      1/8    | 0.11      0.09      0.04      0.11      0.35         0.17      | 1125     0        0        503      0        | 8      2642           18998        -       
8      16     2      2/8    | 0.09      0.07      0.04      0.10      0.31         0.19      | 1125     0        3        500      0        | 16     2642           18998        -       
8      16     3      3/8    | 0.10      0.08      0.04      0.11      0.34         0.17      | 1125     0        253      250      0        | 24     2642           18998        -       
8      16     4      4/8    | 0.09      0.08      0.04      0.10      0.32         0.18      | 1125     0        254      249      0        | 32     2642           18998        -       
8      16     5      5/8    | 0.10      0.08      0.03      0.10      0.31         0.19      | 1125     0        503      0        0        | 40     2642           18998        -       
