# Matrix: netz4504
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.001-0.01/netz4504.mtx
# Category: 1k-10k-0.001-0.01
# Date: 2026-03-06 09:27:57
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 1961
# Cols: 1961
# NNZ(A): 5156
# NNZ(C) estimate: 15300
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.11      0.10      0.06      0.10      0.38         0.08      | 2033     0        0        409      0        | 1      4820           12105        -       
8      8      1      1/8    | 0.09      0.09      0.05      0.09      0.33         0.09      | 2033     0        0        409      0        | 8      4820           12105        -       
8      8      2      2/8    | 0.10      0.10      0.06      0.10      0.37         0.08      | 2033     0        260      149      0        | 16     4820           12105        -       
8      8      3      3/8    | 0.10      0.09      0.04      0.10      0.34         0.09      | 2033     0        396      13       0        | 24     4820           12105        -       
8      8      4      4/8    | 0.10      0.09      0.04      0.10      0.34         0.09      | 2033     0        409      0        0        | 32     4820           12105        -       
8      8      5      5/8    | 0.09      0.09      0.04      0.10      0.32         0.10      | 2033     0        409      0        0        | 40     4820           12105        -       
8      8      6      6/8    | 0.09      0.09      0.04      0.10      0.32         0.10      | 2033     0        409      0        0        | 48     4820           12105        -       
8      8      7      7/8    | 0.10      0.09      0.03      0.10      0.33         0.09      | 2033     0        409      0        0        | 56     4820           12105        -       
8      8      8      8/8    | 0.11      0.10      0.04      0.11      0.37         0.08      | 2033     0        409      0        0        | 64     4820           12105        -       
8      16     0      0/8    | 0.10      0.09      0.05      0.10      0.35         0.09      | 2033     0        0        409      0        | 1      6134           12105        -       
8      16     1      1/8    | 0.11      0.10      0.06      0.11      0.38         0.08      | 2033     0        0        409      0        | 8      6134           12105        -       
8      16     2      2/8    | 0.10      0.10      0.06      0.10      0.36         0.08      | 2033     0        260      149      0        | 16     6134           12105        -       
8      16     3      3/8    | 0.11      0.10      0.05      0.11      0.38         0.08      | 2033     0        396      13       0        | 24     6134           12105        -       
8      16     4      4/8    | 0.11      0.11      0.04      0.10      0.36         0.08      | 2033     0        409      0        0        | 32     6134           12105        -       
8      16     5      5/8    | 0.10      0.10      0.03      0.10      0.34         0.09      | 2033     0        409      0        0        | 40     6134           12105        -       
8      16     6      6/8    | 0.11      0.10      0.04      0.12      0.38         0.08      | 2033     0        409      0        0        | 48     6134           12105        -       
8      16     7      7/8    | 0.09      0.10      0.03      0.10      0.33         0.09      | 2033     0        409      0        0        | 56     6134           12105        -       
8      16     8      8/8    | 0.10      0.09      0.03      0.11      0.33         0.09      | 2033     0        409      0        0        | 64     6134           12105        -       
8      32     0      0/8    | 0.11      0.10      0.07      0.12      0.41         0.07      | 2033     0        0        409      0        | 1      7952           12105        -       
8      32     1      1/8    | 0.09      0.10      0.07      0.10      0.36         0.08      | 2033     0        0        409      0        | 8      7952           12105        -       
8      32     2      2/8    | 0.10      0.09      0.07      0.10      0.36         0.08      | 2033     0        260      149      0        | 16     7952           12105        -       
8      32     3      3/8    | 0.10      0.10      0.06      0.11      0.37         0.08      | 2033     0        396      13       0        | 24     7952           12105        -       
8      32     4      4/8    | 0.09      0.09      0.03      0.10      0.31         0.10      | 2033     0        409      0        0        | 32     7952           12105        -       
8      32     5      5/8    | 0.08      0.09      0.03      0.10      0.32         0.10      | 2033     0        409      0        0        | 40     7952           12105        -       
8      32     6      6/8    | 0.09      0.09      0.03      0.10      0.31         0.10      | 2033     0        409      0        0        | 48     7952           12105        -       
8      32     7      7/8    | 0.11      0.10      0.04      0.11      0.37         0.08      | 2033     0        409      0        0        | 56     7952           12105        -       
8      32     8      8/8    | 0.10      0.10      0.04      0.11      0.35         0.09      | 2033     0        409      0        0        | 64     7952           12105        -       
16     8      0      0/8    | 0.11      0.12      0.07      0.10      0.41         0.08      | 1054     0        0        111      0        | 1      2051           12105        -       
16     8      1      1/8    | 0.10      0.11      0.07      0.10      0.39         0.08      | 1054     0        0        111      0        | 32     2051           12105        -       
16     8      2      2/8    | 0.10      0.11      0.04      0.10      0.36         0.08      | 1054     0        108      3        0        | 64     2051           12105        -       
16     8      3      3/8    | 0.10      0.11      0.05      0.10      0.36         0.08      | 1054     0        111      0        0        | 96     2051           12105        -       
16     8      4      4/8    | 0.11      0.11      0.05      0.12      0.40         0.08      | 1054     0        111      0        0        | 128    2051           12105        -       
16     8      5      5/8    | 0.10      0.12      0.05      0.10      0.38         0.08      | 1054     0        111      0        0        | 160    2051           12105        -       
16     8      6      6/8    | 0.10      0.12      0.04      0.10      0.36         0.08      | 1054     0        111      0        0        | 192    2051           12105        -       
16     8      7      7/8    | 0.10      0.11      0.05      0.10      0.37         0.08      | 1054     0        111      0        0        | 224    2051           12105        -       
16     8      8      8/8    | 0.10      0.12      0.05      0.10      0.37         0.08      | 1054     0        111      0        0        | 256    2051           12105        -       
16     16     0      0/8    | 0.10      0.11      0.08      0.13      0.43         0.07      | 1054     0        0        111      0        | 1      2645           12105        -       
16     16     1      1/8    | 0.10      0.10      0.09      0.11      0.41         0.08      | 1054     0        0        111      0        | 32     2645           12105        -       
16     16     2      2/8    | 0.11      0.11      0.05      0.11      0.39         0.08      | 1054     0        108      3        0        | 64     2645           12105        -       
16     16     3      3/8    | 0.10      0.11      0.05      0.10      0.37         0.08      | 1054     0        111      0        0        | 96     2645           12105        -       
16     16     4      4/8    | 0.09      0.11      0.05      0.10      0.34         0.09      | 1054     0        111      0        0        | 128    2645           12105        -       
