# Matrix: nnc1374
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.001-0.01/nnc1374.mtx
# Category: 1k-10k-0.001-0.01
# Date: 2026-03-06 09:28:32
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 1374
# Cols: 1374
# NNZ(A): 8606
# NNZ(C) estimate: 60398
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.08      0.11      0.05      0.10      0.35         0.34      | 1515     0        0        1283     39       | 1      5296           34888        -       
8      8      1      1/8    | 0.09      0.11      0.05      0.10      0.36         0.34      | 1515     0        0        1283     39       | 8      5296           34888        -       
8      8      2      2/8    | 0.09      0.10      0.06      0.10      0.34         0.35      | 1515     0        671      612      39       | 16     5296           34888        -       
8      8      3      3/8    | 0.11      0.10      0.06      0.11      0.39         0.31      | 1515     0        1012     271      39       | 24     5296           34888        -       
8      8      4      4/8    | 0.11      0.11      0.06      0.12      0.40         0.30      | 1515     0        1109     174      39       | 32     5296           34888        -       
8      8      5      5/8    | 0.10      0.11      0.06      0.11      0.38         0.32      | 1515     0        1182     101      39       | 40     5296           34888        -       
8      8      6      6/8    | 0.12      0.12      0.07      0.12      0.43         0.28      | 1515     0        1223     60       39       | 48     5296           34888        -       
8      8      7      7/8    | 0.10      0.10      0.05      0.10      0.36         0.33      | 1515     0        1257     26       39       | 56     5296           34888        -       
8      8      8      8/8    | 0.10      0.10      0.05      0.10      0.36         0.33      | 1515     0        1322     0        0        | 64     5296           34888        -       
8      16     0      0/8    | 0.10      0.10      0.05      0.10      0.36         0.33      | 1515     0        0        1283     39       | 1      6682           34888        -       
8      16     1      1/8    | 0.10      0.11      0.06      0.11      0.39         0.31      | 1515     0        0        1283     39       | 8      6682           34888        -       
8      16     2      2/8    | 0.17      0.14      0.07      0.21      0.61         0.20      | 1515     0        671      612      39       | 16     6682           34888        -       
8      16     3      3/8    | 0.10      0.12      0.05      0.11      0.38         0.31      | 1515     0        1012     271      39       | 24     6682           34888        -       
8      16     4      4/8    | 0.10      0.11      0.06      0.11      0.39         0.31      | 1515     0        1109     174      39       | 32     6682           34888        -       
8      16     5      5/8    | 0.09      0.11      0.05      0.10      0.37         0.33      | 1515     0        1182     101      39       | 40     6682           34888        -       
8      16     6      6/8    | 0.10      0.11      0.06      0.11      0.39         0.31      | 1515     0        1223     60       39       | 48     6682           34888        -       
8      16     7      7/8    | 0.11      0.11      0.06      0.11      0.40         0.30      | 1515     0        1257     26       39       | 56     6682           34888        -       
8      16     8      8/8    | 0.09      0.11      0.05      0.11      0.37         0.33      | 1515     0        1322     0        0        | 64     6682           34888        -       
8      32     0      0/8    | 0.09      0.10      0.07      0.10      0.38         0.32      | 1515     0        0        1283     39       | 1      7823           34888        -       
8      32     1      1/8    | 0.09      0.10      0.07      0.10      0.38         0.32      | 1515     0        0        1283     39       | 8      7823           34888        -       
8      32     2      2/8    | 0.10      0.11      0.07      0.10      0.39         0.31      | 1515     0        671      612      39       | 16     7823           34888        -       
8      32     3      3/8    | 0.10      0.10      0.09      0.10      0.40         0.30      | 1515     0        1012     271      39       | 24     7823           34888        -       
8      32     4      4/8    | 0.10      0.10      0.09      0.11      0.41         0.29      | 1515     0        1109     174      39       | 32     7823           34888        -       
8      32     5      5/8    | 0.09      0.11      0.08      0.10      0.39         0.31      | 1515     0        1182     101      39       | 40     7823           34888        -       
8      32     6      6/8    | 0.09      0.10      0.08      0.10      0.38         0.32      | 1515     0        1223     60       39       | 48     7823           34888        -       
8      32     7      7/8    | 0.10      0.10      0.09      0.11      0.41         0.30      | 1515     0        1257     26       39       | 56     7823           34888        -       
8      32     8      8/8    | 0.09      0.11      0.04      0.10      0.36         0.34      | 1515     0        1322     0        0        | 64     7823           34888        -       
16     8      0      0/8    | 0.11      0.13      0.08      0.10      0.43         0.28      | 782      0        0        344      0        | 1      1911           34888        -       
16     8      1      1/8    | 0.10      0.13      0.08      0.10      0.41         0.29      | 782      0        0        344      0        | 32     1911           34888        -       
16     8      2      2/8    | 0.10      0.13      0.09      0.10      0.41         0.29      | 782      0        224      120      0        | 64     1911           34888        -       
16     8      3      3/8    | 0.10      0.13      0.09      0.10      0.42         0.29      | 782      0        277      67       0        | 96     1911           34888        -       
16     8      4      4/8    | 0.09      0.13      0.09      0.10      0.41         0.29      | 782      0        296      48       0        | 128    1911           34888        -       
16     8      5      5/8    | 0.09      0.13      0.08      0.09      0.41         0.29      | 782      0        320      24       0        | 160    1911           34888        -       
16     8      6      6/8    | 0.10      0.13      0.09      0.10      0.43         0.28      | 782      0        337      7        0        | 192    1911           34888        -       
16     8      7      7/8    | 0.09      0.13      0.08      0.10      0.41         0.30      | 782      0        344      0        0        | 224    1911           34888        -       
16     8      8      8/8    | 0.12      0.14      0.08      0.12      0.47         0.26      | 782      0        344      0        0        | 256    1911           34888        -       
16     16     0      0/8    | 0.09      0.12      0.10      0.10      0.42         0.29      | 782      0        0        344      0        | 1      2253           34888        -       
16     16     1      1/8    | 0.10      0.13      0.10      0.11      0.45         0.27      | 782      0        0        344      0        | 32     2253           34888        -       
16     16     2      2/8    | 0.10      0.12      0.10      0.10      0.43         0.28      | 782      0        224      120      0        | 64     2253           34888        -       
16     16     3      3/8    | 0.10      0.13      0.12      0.11      0.46         0.26      | 782      0        277      67       0        | 96     2253           34888        -       
16     16     4      4/8    | 0.08      0.13      0.10      0.10      0.43         0.28      | 782      0        296      48       0        | 128    2253           34888        -       
16     16     5      5/8    | 0.10      0.14      0.09      0.11      0.46         0.26      | 782      0        320      24       0        | 160    2253           34888        -       
16     16     6      6/8    | 0.10      0.12      0.08      0.10      0.42         0.29      | 782      0        337      7        0        | 192    2253           34888        -       
16     16     7      7/8    | 0.10      0.13      0.07      0.11      0.42         0.29      | 782      0        344      0        0        | 224    2253           34888        -       
16     16     8      8/8    | 0.11      0.13      0.08      0.11      0.43         0.28      | 782      0        344      0        0        | 256    2253           34888        -       
16     32     0      0/8    | 0.10      0.13      0.14      0.11      0.49         0.25      | 782      0        0        344      0        | 1      2508           34888        -       
