# Matrix: olm2000
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.001-0.01/olm2000.mtx
# Category: 1k-10k-0.001-0.01
# Date: 2026-03-06 09:30:17
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 2000
# Cols: 2000
# NNZ(A): 7996
# NNZ(C) estimate: 31972
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.08      0.08      0.03      0.10      0.30         0.21      | 498      0        0        250      0        | 1      1244           15984        -       
8      8      1      1/8    | 0.08      0.08      0.03      0.10      0.29         0.22      | 498      0        0        250      0        | 8      1244           15984        -       
8      8      2      2/8    | 0.08      0.08      0.03      0.09      0.29         0.22      | 498      0        0        250      0        | 16     1244           15984        -       
8      8      3      3/8    | 0.09      0.08      0.03      0.09      0.30         0.22      | 498      0        0        250      0        | 24     1244           15984        -       
8      8      4      4/8    | 0.09      0.08      0.03      0.12      0.33         0.19      | 498      0        0        250      0        | 32     1244           15984        -       
8      8      5      5/8    | 0.08      0.08      0.03      0.09      0.29         0.22      | 498      0        0        250      0        | 40     1244           15984        -       
8      8      6      6/8    | 0.11      0.08      0.03      0.11      0.34         0.19      | 498      0        250      0        0        | 48     1244           15984        -       
8      8      7      7/8    | 0.10      0.08      0.03      0.10      0.31         0.21      | 498      0        250      0        0        | 56     1244           15984        -       
8      8      8      8/8    | 0.10      0.08      0.03      0.10      0.32         0.20      | 498      0        250      0        0        | 64     1244           15984        -       
8      16     0      0/8    | 0.08      0.07      0.03      0.10      0.29         0.22      | 498      0        0        250      0        | 1      1490           15984        -       
8      16     1      1/8    | 0.08      0.07      0.03      0.10      0.29         0.22      | 498      0        0        250      0        | 8      1490           15984        -       
8      16     2      2/8    | 0.08      0.07      0.03      0.10      0.29         0.22      | 498      0        0        250      0        | 16     1490           15984        -       
8      16     3      3/8    | 0.08      0.07      0.03      0.10      0.29         0.22      | 498      0        0        250      0        | 24     1490           15984        -       
8      16     4      4/8    | 0.08      0.07      0.03      0.10      0.28         0.23      | 498      0        0        250      0        | 32     1490           15984        -       
8      16     5      5/8    | 0.09      0.08      0.03      0.12      0.33         0.20      | 498      0        0        250      0        | 40     1490           15984        -       
8      16     6      6/8    | 0.10      0.08      0.03      0.11      0.33         0.19      | 498      0        250      0        0        | 48     1490           15984        -       
8      16     7      7/8    | 0.09      0.07      0.03      0.11      0.31         0.21      | 498      0        250      0        0        | 56     1490           15984        -       
8      16     8      8/8    | 0.09      0.07      0.03      0.10      0.30         0.22      | 498      0        250      0        0        | 64     1490           15984        -       
8      32     0      0/8    | 0.10      0.08      0.05      0.10      0.33         0.19      | 498      0        0        250      0        | 1      1982           15984        -       
8      32     1      1/8    | 0.10      0.08      0.05      0.11      0.36         0.18      | 498      0        0        250      0        | 8      1982           15984        -       
8      32     2      2/8    | 0.09      0.08      0.05      0.10      0.33         0.19      | 498      0        0        250      0        | 16     1982           15984        -       
8      32     3      3/8    | 0.08      0.07      0.04      0.10      0.30         0.21      | 498      0        0        250      0        | 24     1982           15984        -       
8      32     4      4/8    | 0.09      0.09      0.04      0.12      0.35         0.18      | 498      0        0        250      0        | 32     1982           15984        -       
8      32     5      5/8    | 0.17      0.12      0.06      0.21      0.58         0.11      | 498      0        0        250      0        | 40     1982           15984        -       
8      32     6      6/8    | 0.08      0.07      0.03      0.10      0.29         0.22      | 498      0        250      0        0        | 48     1982           15984        -       
8      32     7      7/8    | 0.08      0.08      0.03      0.11      0.32         0.20      | 498      0        250      0        0        | 56     1982           15984        -       
8      32     8      8/8    | 0.08      0.07      0.03      0.10      0.28         0.22      | 498      0        250      0        0        | 64     1982           15984        -       
16     8      0      0/8    | 0.11      0.09      0.04      0.10      0.36         0.18      | 248      0        0        125      0        | 1      373            15984        -       
16     8      1      1/8    | 0.09      0.10      0.05      0.10      0.34         0.19      | 248      0        0        125      0        | 32     373            15984        -       
16     8      2      2/8    | 0.08      0.09      0.04      0.09      0.32         0.20      | 248      0        0        125      0        | 64     373            15984        -       
16     8      3      3/8    | 0.08      0.10      0.04      0.09      0.31         0.20      | 248      0        0        125      0        | 96     373            15984        -       
16     8      4      4/8    | 0.08      0.10      0.03      0.09      0.31         0.21      | 248      0        125      0        0        | 128    373            15984        -       
16     8      5      5/8    | 0.10      0.11      0.04      0.10      0.36         0.18      | 248      0        125      0        0        | 160    373            15984        -       
