# Matrix: pores_2
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.001-0.01/pores_2.mtx
# Category: 1k-10k-0.001-0.01
# Date: 2026-03-06 09:32:38
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 1224
# Cols: 1224
# NNZ(A): 9613
# NNZ(C) estimate: 77875
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.12      0.11      0.05      0.12      0.40         0.39      | 2081     0        0        994      0        | 1      3655           35222        -       
8      8      1      1/8    | 0.11      0.10      0.05      0.10      0.37         0.42      | 2081     0        0        994      0        | 8      3655           35222        -       
8      8      2      2/8    | 0.10      0.11      0.07      0.10      0.39         0.40      | 2081     0        326      668      0        | 16     3655           35222        -       
8      8      3      3/8    | 0.09      0.10      0.06      0.10      0.35         0.45      | 2081     0        523      471      0        | 24     3655           35222        -       
8      8      4      4/8    | 0.09      0.11      0.07      0.10      0.37         0.42      | 2081     0        823      171      0        | 32     3655           35222        -       
8      8      5      5/8    | 0.09      0.10      0.06      0.10      0.36         0.44      | 2081     0        880      114      0        | 40     3655           35222        -       
8      8      6      6/8    | 0.09      0.10      0.05      0.10      0.35         0.44      | 2081     0        961      33       0        | 48     3655           35222        -       
8      8      7      7/8    | 0.11      0.11      0.06      0.11      0.39         0.40      | 2081     0        994      0        0        | 56     3655           35222        -       
8      8      8      8/8    | 0.10      0.11      0.06      0.11      0.37         0.42      | 2081     0        994      0        0        | 64     3655           35222        -       
8      16     0      0/8    | 0.10      0.10      0.05      0.10      0.36         0.43      | 2081     0        0        994      0        | 1      5631           35222        -       
8      16     1      1/8    | 0.09      0.10      0.05      0.10      0.34         0.45      | 2081     0        0        994      0        | 8      5631           35222        -       
8      16     2      2/8    | 0.09      0.10      0.06      0.10      0.36         0.44      | 2081     0        326      668      0        | 16     5631           35222        -       
