# Matrix: saylr3
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.001-0.01/saylr3.mtx
# Category: 1k-10k-0.001-0.01
# Date: 2026-03-06 09:40:16
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 1000
# Cols: 1000
# NNZ(A): 3750
# NNZ(C) estimate: 18126
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.12      0.11      0.05      0.12      0.41         0.09      | 1456     0        0        297      0        | 1      2641           9906         -       
8      8      1      1/8    | 0.10      0.10      0.04      0.10      0.35         0.10      | 1456     0        0        297      0        | 8      2641           9906         -       
8      8      2      2/8    | 0.09      0.10      0.05      0.11      0.37         0.10      | 1456     0        122      175      0        | 16     2641           9906         -       
8      8      3      3/8    | 0.09      0.10      0.06      0.10      0.36         0.10      | 1456     0        237      60       0        | 24     2641           9906         -       
8      8      4      4/8    | 0.10      0.10      0.05      0.11      0.36         0.10      | 1456     0        272      25       0        | 32     2641           9906         -       
8      8      5      5/8    | 0.09      0.10      0.04      0.11      0.35         0.10      | 1456     0        297      0        0        | 40     2641           9906         -       
8      8      6      6/8    | 0.10      0.10      0.03      0.10      0.34         0.11      | 1456     0        297      0        0        | 48     2641           9906         -       
8      8      7      7/8    | 0.10      0.10      0.04      0.10      0.35         0.10      | 1456     0        297      0        0        | 56     2641           9906         -       
8      8      8      8/8    | 0.10      0.10      0.04      0.11      0.36         0.10      | 1456     0        297      0        0        | 64     2641           9906         -       
8      16     0      0/8    | 0.10      0.09      0.04      0.11      0.36         0.10      | 1456     0        0        297      0        | 1      3285           9906         -       
8      16     1      1/8    | 0.10      0.09      0.04      0.11      0.34         0.11      | 1456     0        0        297      0        | 8      3285           9906         -       
8      16     2      2/8    | 0.09      0.08      0.04      0.10      0.33         0.11      | 1456     0        122      175      0        | 16     3285           9906         -       
8      16     3      3/8    | 0.09      0.08      0.05      0.10      0.33         0.11      | 1456     0        237      60       0        | 24     3285           9906         -       
8      16     4      4/8    | 0.10      0.09      0.05      0.12      0.37         0.10      | 1456     0        272      25       0        | 32     3285           9906         -       
8      16     5      5/8    | 0.08      0.09      0.03      0.10      0.31         0.12      | 1456     0        297      0        0        | 40     3285           9906         -       
8      16     6      6/8    | 0.09      0.09      0.03      0.11      0.33         0.11      | 1456     0        297      0        0        | 48     3285           9906         -       
8      16     7      7/8    | 0.10      0.09      0.04      0.11      0.34         0.11      | 1456     0        297      0        0        | 56     3285           9906         -       
8      16     8      8/8    | 0.08      0.08      0.03      0.10      0.30         0.12      | 1456     0        297      0        0        | 64     3285           9906         -       
8      32     0      0/8    | 0.09      0.09      0.06      0.10      0.35         0.10      | 1456     0        0        297      0        | 1      4567           9906         -       
8      32     1      1/8    | 0.11      0.09      0.06      0.11      0.38         0.09      | 1456     0        0        297      0        | 8      4567           9906         -       
8      32     2      2/8    | 0.09      0.09      0.06      0.10      0.35         0.10      | 1456     0        122      175      0        | 16     4567           9906         -       
8      32     3      3/8    | 0.09      0.09      0.08      0.11      0.37         0.10      | 1456     0        237      60       0        | 24     4567           9906         -       
8      32     4      4/8    | 0.08      0.09      0.07      0.10      0.34         0.11      | 1456     0        272      25       0        | 32     4567           9906         -       
8      32     5      5/8    | 0.09      0.09      0.03      0.12      0.34         0.11      | 1456     0        297      0        0        | 40     4567           9906         -       
8      32     6      6/8    | 0.08      0.09      0.03      0.10      0.31         0.12      | 1456     0        297      0        0        | 48     4567           9906         -       
8      32     7      7/8    | 0.08      0.09      0.03      0.10      0.31         0.12      | 1456     0        297      0        0        | 56     4567           9906         -       
8      32     8      8/8    | 0.09      0.09      0.03      0.10      0.31         0.12      | 1456     0        297      0        0        | 64     4567           9906         -       
16     8      0      0/8    | 0.09      0.12      0.06      0.09      0.36         0.10      | 685      0        0        82       0        | 1      889            9906         -       
16     8      1      1/8    | 0.12      0.12      0.06      0.10      0.41         0.09      | 685      0        0        82       0        | 32     889            9906         -       
16     8      2      2/8    | 0.10      0.12      0.08      0.10      0.40         0.09      | 685      0        54       28       0        | 64     889            9906         -       
16     8      3      3/8    | 0.10      0.12      0.08      0.10      0.40         0.09      | 685      0        64       18       0        | 96     889            9906         -       
16     8      4      4/8    | 0.10      0.13      0.05      0.10      0.39         0.09      | 685      0        82       0        0        | 128    889            9906         -       
16     8      5      5/8    | 0.10      0.12      0.05      0.11      0.40         0.09      | 685      0        82       0        0        | 160    889            9906         -       
16     8      6      6/8    | 0.10      0.13      0.05      0.10      0.39         0.09      | 685      0        82       0        0        | 192    889            9906         -       
16     8      7      7/8    | 0.08      0.12      0.05      0.09      0.34         0.11      | 685      0        82       0        0        | 224    889            9906         -       
16     8      8      8/8    | 0.09      0.12      0.05      0.09      0.35         0.10      | 685      0        82       0        0        | 256    889            9906         -       
16     16     0      0/8    | 0.08      0.10      0.06      0.10      0.35         0.10      | 685      0        0        82       0        | 1      1013           9906         -       
16     16     1      1/8    | 0.11      0.11      0.07      0.10      0.40         0.09      | 685      0        0        82       0        | 32     1013           9906         -       
16     16     2      2/8    | 0.10      0.11      0.07      0.10      0.39         0.09      | 685      0        54       28       0        | 64     1013           9906         -       
16     16     3      3/8    | 0.08      0.10      0.06      0.09      0.34         0.11      | 685      0        64       18       0        | 96     1013           9906         -       
