# Matrix: stufe
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.001-0.01/stufe.mtx
# Category: 1k-10k-0.001-0.01
# Date: 2026-03-06 09:42:37
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 1036
# Cols: 1036
# NNZ(A): 3736
# NNZ(C) estimate: 13728
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.10      0.12      0.06      0.11      0.39         0.07      | 1429     0        0        249      0        | 1      4154           8376         -       
8      8      1      1/8    | 0.11      0.12      0.06      0.11      0.41         0.07      | 1429     0        0        249      0        | 8      4154           8376         -       
8      8      2      2/8    | 0.10      0.12      0.06      0.11      0.39         0.07      | 1429     0        148      101      0        | 16     4154           8376         -       
8      8      3      3/8    | 0.09      0.12      0.05      0.10      0.37         0.07      | 1429     0        218      31       0        | 24     4154           8376         -       
8      8      4      4/8    | 0.09      0.11      0.04      0.10      0.36         0.08      | 1429     0        249      0        0        | 32     4154           8376         -       
8      8      5      5/8    | 0.08      0.12      0.04      0.10      0.35         0.08      | 1429     0        249      0        0        | 40     4154           8376         -       
8      8      6      6/8    | 0.11      0.13      0.05      0.11      0.41         0.07      | 1429     0        249      0        0        | 48     4154           8376         -       
8      8      7      7/8    | 0.10      0.11      0.04      0.11      0.37         0.07      | 1429     0        249      0        0        | 56     4154           8376         -       
8      8      8      8/8    | 0.11      0.11      0.04      0.11      0.39         0.07      | 1429     0        249      0        0        | 64     4154           8376         -       
8      16     0      0/8    | 0.09      0.11      0.05      0.10      0.35         0.08      | 1429     0        0        249      0        | 1      5054           8376         -       
8      16     1      1/8    | 0.11      0.10      0.06      0.11      0.40         0.07      | 1429     0        0        249      0        | 8      5054           8376         -       
8      16     2      2/8    | 0.10      0.10      0.06      0.11      0.39         0.07      | 1429     0        148      101      0        | 16     5054           8376         -       
8      16     3      3/8    | 0.12      0.11      0.06      0.11      0.40         0.07      | 1429     0        218      31       0        | 24     5054           8376         -       
8      16     4      4/8    | 0.10      0.11      0.04      0.10      0.36         0.08      | 1429     0        249      0        0        | 32     5054           8376         -       
8      16     5      5/8    | 0.10      0.11      0.04      0.11      0.37         0.08      | 1429     0        249      0        0        | 40     5054           8376         -       
8      16     6      6/8    | 0.09      0.10      0.04      0.10      0.34         0.08      | 1429     0        249      0        0        | 48     5054           8376         -       
8      16     7      7/8    | 0.11      0.11      0.04      0.11      0.38         0.07      | 1429     0        249      0        0        | 56     5054           8376         -       
8      16     8      8/8    | 0.10      0.11      0.04      0.11      0.37         0.07      | 1429     0        249      0        0        | 64     5054           8376         -       
8      32     0      0/8    | 0.11      0.10      0.09      0.11      0.41         0.07      | 1429     0        0        249      0        | 1      6374           8376         -       
8      32     1      1/8    | 0.10      0.10      0.08      0.11      0.40         0.07      | 1429     0        0        249      0        | 8      6374           8376         -       
8      32     2      2/8    | 0.10      0.10      0.09      0.11      0.41         0.07      | 1429     0        148      101      0        | 16     6374           8376         -       
8      32     3      3/8    | 0.09      0.09      0.07      0.11      0.37         0.07      | 1429     0        218      31       0        | 24     6374           8376         -       
8      32     4      4/8    | 0.10      0.10      0.04      0.11      0.35         0.08      | 1429     0        249      0        0        | 32     6374           8376         -       
8      32     5      5/8    | 0.11      0.10      0.04      0.11      0.37         0.07      | 1429     0        249      0        0        | 40     6374           8376         -       
8      32     6      6/8    | 0.10      0.10      0.04      0.11      0.35         0.08      | 1429     0        249      0        0        | 48     6374           8376         -       
8      32     7      7/8    | 0.09      0.09      0.03      0.10      0.32         0.09      | 1429     0        249      0        0        | 56     6374           8376         -       
8      32     8      8/8    | 0.11      0.10      0.04      0.11      0.37         0.08      | 1429     0        249      0        0        | 64     6374           8376         -       
16     8      0      0/8    | 0.10      0.13      0.08      0.10      0.42         0.06      | 682      0        0        65       0        | 1      1559           8376         -       
16     8      1      1/8    | 0.11      0.13      0.08      0.10      0.44         0.06      | 682      0        0        65       0        | 32     1559           8376         -       
16     8      2      2/8    | 0.10      0.13      0.07      0.11      0.42         0.06      | 682      0        44       21       0        | 64     1559           8376         -       
16     8      3      3/8    | 0.10      0.13      0.06      0.10      0.39         0.07      | 682      0        65       0        0        | 96     1559           8376         -       
16     8      4      4/8    | 0.10      0.13      0.06      0.10      0.41         0.07      | 682      0        65       0        0        | 128    1559           8376         -       
16     8      5      5/8    | 0.11      0.13      0.06      0.10      0.42         0.07      | 682      0        65       0        0        | 160    1559           8376         -       
16     8      6      6/8    | 0.11      0.14      0.06      0.11      0.44         0.06      | 682      0        65       0        0        | 192    1559           8376         -       
16     8      7      7/8    | 0.10      0.13      0.06      0.10      0.40         0.07      | 682      0        65       0        0        | 224    1559           8376         -       
16     8      8      8/8    | 0.10      0.13      0.06      0.10      0.40         0.07      | 682      0        65       0        0        | 256    1559           8376         -       
16     16     0      0/8    | 0.10      0.12      0.10      0.10      0.43         0.06      | 682      0        0        65       0        | 1      1853           8376         -       
16     16     1      1/8    | 0.10      0.13      0.11      0.11      0.45         0.06      | 682      0        0        65       0        | 32     1853           8376         -       
16     16     2      2/8    | 0.11      0.14      0.07      0.14      0.47         0.06      | 682      0        44       21       0        | 64     1853           8376         -       
16     16     3      3/8    | 0.09      0.12      0.05      0.10      0.37         0.07      | 682      0        65       0        0        | 96     1853           8376         -       
16     16     4      4/8    | 0.11      0.12      0.06      0.11      0.41         0.07      | 682      0        65       0        0        | 128    1853           8376         -       
16     16     5      5/8    | 0.11      0.13      0.06      0.12      0.43         0.06      | 682      0        65       0        0        | 160    1853           8376         -       
16     16     6      6/8    | 0.10      0.12      0.06      0.10      0.39         0.07      | 682      0        65       0        0        | 192    1853           8376         -       
16     16     7      7/8    | 0.16      0.18      0.07      0.22      0.65         0.04      | 682      0        65       0        0        | 224    1853           8376         -       
16     16     8      8/8    | 0.12      0.13      0.06      0.11      0.42         0.06      | 682      0        65       0        0        | 256    1853           8376         -       
16     32     0      0/8    | 0.10      0.11      0.16      0.10      0.48         0.06      | 682      0        0        65       0        | 1      2231           8376         -       
16     32     1      1/8    | 0.09      0.11      0.15      0.10      0.47         0.06      | 682      0        0        65       0        | 32     2231           8376         -       
16     32     2      2/8    | 0.17      0.16      0.14      0.22      0.70         0.04      | 682      0        44       21       0        | 64     2231           8376         -       
16     32     3      3/8    | 0.09      0.11      0.04      0.10      0.35         0.08      | 682      0        65       0        0        | 96     2231           8376         -       
16     32     4      4/8    | 0.11      0.12      0.05      0.11      0.40         0.07      | 682      0        65       0        0        | 128    2231           8376         -       
16     32     5      5/8    | 0.10      0.12      0.05      0.10      0.37         0.07      | 682      0        65       0        0        | 160    2231           8376         -       
16     32     6      6/8    | 0.09      0.12      0.04      0.10      0.37         0.07      | 682      0        65       0        0        | 192    2231           8376         -       
16     32     7      7/8    | 0.09      0.12      0.05      0.10      0.37         0.07      | 682      0        65       0        0        | 224    2231           8376         -       
16     32     8      8/8    | 0.10      0.13      0.05      0.11      0.40         0.07      | 682      0        65       0        0        | 256    2231           8376         -       
32     8      0      0/8    | 0.11      0.16      0.22      0.10      0.59         0.05      | 304      0        0        25       0        | 1      589            8376         -       
32     8      1      1/8    | 0.10      0.16      0.21      0.10      0.57         0.05      | 304      0        0        25       0        | 128    589            8376         -       
32     8      2      2/8    | 0.11      0.16      0.12      0.10      0.49         0.06      | 304      0        25       0        0        | 256    589            8376         -       
32     8      3      3/8    | 0.11      0.17      0.12      0.11      0.52         0.05      | 304      0        25       0        0        | 384    589            8376         -       
32     8      4      4/8    | 0.11      0.16      0.12      0.10      0.49         0.06      | 304      0        25       0        0        | 512    589            8376         -       
32     8      5      5/8    | 0.11      0.16      0.12      0.10      0.50         0.06      | 304      0        25       0        0        | 640    589            8376         -       
32     8      6      6/8    | 0.09      0.16      0.12      0.09      0.47         0.06      | 304      0        25       0        0        | 768    589            8376         -       
32     8      7      7/8    | 0.17      0.20      0.13      0.20      0.72         0.04      | 304      0        25       0        0        | 896    589            8376         -       
32     8      8      8/8    | 0.11      0.16      0.12      0.10      0.49         0.06      | 304      0        25       0        0        | 1024   589            8376         -       
32     16     0      0/8    | 0.12      0.16      0.23      0.11      0.63         0.04      | 304      0        0        25       0        | 1      681            8376         -       
32     16     1      1/8    | 0.09      0.17      0.22      0.10      0.58         0.05      | 304      0        0        25       0        | 128    681            8376         -       
32     16     2      2/8    | 0.09      0.17      0.08      0.10      0.44         0.06      | 304      0        25       0        0        | 256    681            8376         -       
32     16     3      3/8    | 0.10      0.17      0.09      0.10      0.47         0.06      | 304      0        25       0        0        | 384    681            8376         -       
32     16     4      4/8    | 0.10      0.17      0.09      0.10      0.46         0.06      | 304      0        25       0        0        | 512    681            8376         -       
32     16     5      5/8    | 0.09      0.17      0.08      0.10      0.44         0.06      | 304      0        25       0        0        | 640    681            8376         -       
32     16     6      6/8    | 0.11      0.17      0.09      0.10      0.48         0.06      | 304      0        25       0        0        | 768    681            8376         -       
32     16     7      7/8    | 0.10      0.17      0.09      0.10      0.47         0.06      | 304      0        25       0        0        | 896    681            8376         -       
32     16     8      8/8    | 0.09      0.17      0.08      0.10      0.44         0.06      | 304      0        25       0        0        | 1024   681            8376         -       
32     32     0      0/8    | 0.11      0.15      0.15      0.11      0.52         0.05      | 304      0        0        25       0        | 1      779            8376         -       
32     32     1      1/8    | 0.10      0.14      0.14      0.10      0.49         0.06      | 304      0        0        25       0        | 128    779            8376         -       
32     32     2      2/8    | 0.10      0.14      0.07      0.10      0.41         0.07      | 304      0        25       0        0        | 256    779            8376         -       
32     32     3      3/8    | 0.10      0.14      0.07      0.10      0.41         0.07      | 304      0        25       0        0        | 384    779            8376         -       
32     32     4      4/8    | 0.10      0.14      0.07      0.10      0.41         0.07      | 304      0        25       0        0        | 512    779            8376         -       
32     32     5      5/8    | 0.10      0.14      0.07      0.10      0.41         0.07      | 304      0        25       0        0        | 640    779            8376         -       
32     32     6      6/8    | 0.10      0.14      0.07      0.10      0.41         0.07      | 304      0        25       0        0        | 768    779            8376         -       
32     32     7      7/8    | 0.10      0.14      0.07      0.10      0.42         0.07      | 304      0        25       0        0        | 896    779            8376         -       
32     32     8      8/8    | 0.11      0.14      0.07      0.10      0.43         0.06      | 304      0        25       0        0        | 1024   779            8376         -       
